source_file,source_name,geni_id,geni_name,source_father,geni_father,matched_by,verdict
samaritan-sources.ged,Aaron /ben Amram/,,,,,,not on Geni
samaritan-sources.ged,Shalma //,,,//,,,not on Geni
samaritan-sources.ged,'Abed Ela /ben Shalma/,I6000000227238923834,'Abed Ela ben Shalma /President of the House of 'Abtah/,Shalma //,Shalma /Priest of the line of Ithamar/,name and father agree,AGREE
samaritan-sources.ged,Yusef //,I6000000227238943846,Yusef /Priest of the line of Ithamar/,//,119th generation Samaritan Itamar line /Priest of the line of Ithamar/,"name only, unique",DISAGREE
samaritan-sources.ged,Tabia /ha'Abta'i/,I6000000220294810877,Tabia /ha'Åbtå'i/,Yusef //,Yusef /Priest of the line of Ithamar/,name and father agree,AGREE
samaritan-sources.ged,Aaron /ben Shalma/,,,,,,not on Geni
samaritan-sources.ged,Phinhas /ben Yitzhaq/,,,,,,not on Geni
samaritan-sources.ged,'Azzi /ben Jacob/,,,,,,not on Geni
samaritan-sources.ged,Ab-Hisda /ben Jacob/,I6000000178795218822,Ab-Hisda,,Yaacob I /ben Aaharon ben Shalma/,"name only, unique",geni only: the source records no father
samaritan-sources.ged,Tsedaka /ben Yitzhaq/,,,,,,not on Geni
samaritan-sources.ged,Tsedaka /ben Tabia/,I6000000178795360828,Tsedaka II /ben Tabia ha'Åbtå'i/,Tabia /ha'Abta'i/,Tabia /ha'Åbtå'i/,name and father agree,AGREE
samaritan-sources.ged,Yitzhaq /ben Tsedaka/,I6000000227245553985,Yitzhaq I /ben Tsedaka/,Tsedaka /ben Tabia/,Tsedaka II /ben Tabia ha'Åbtå'i/,name and father agree,AGREE
samaritan-sources.ged,Abraham /ben Yitzhaq/,,,Yitzhaq /ben Tsedaka/,,,not on Geni
samaritan-sources.ged,Levi /ben Abraham/,,,Abraham /ben Yitzhaq/,,,not on Geni
samaritan-sources.ged,Tabia /ben Yitzhaq/,,,Abraham /ben Yitzhaq/,,,not on Geni
samaritan-sources.ged,Shalma /ben Tabia/,I6000000178794831823,Shalma II /ben Tabia/,Tabia /ben Yitzhaq/,Tabia III /ben Yitzhaq ben Abram/,name and father agree,AGREE
