geni_id	descendants	ancestors	blood_relatives	family_tree	followers	at
6000000008671626582	15000	11113	15000	3934	10	2026-09-14T06:50:00.688Z
6000000000756359120	5024	11372	15000	4605	5	2026-09-14T06:48:35.652Z
6000000010774335429	1555	8114	15000	8094	14	2026-09-14T06:51:15.281Z
6000000105261481892	1298	4421	15000	5517	5	2026-09-14T06:45:49.535Z
6000000062840944113	888	11065	15000	15000	7	2026-09-14T06:51:59.211Z
6000000008248535734	703	12344	15000	942	6	2026-09-14T06:50:22.123Z
6000000008726747362	465	14773	15000	7985	1	2026-09-14T06:45:04.471Z
6000000000868544885	419	9608	15000	434	3	2026-09-14T06:46:02.565Z
6000000010962715337	284	12049	15000	15000	4	2026-09-14T06:45:15.148Z
6000000223713522749	211	12554	15000	15000	2	2026-09-14T06:51:32.881Z
6000000223428513373	171	10144	15000	14999	1	2026-09-14T06:47:55.996Z
6000000185140435835	151	10858	15000	15000	2	2026-09-14T06:47:13.845Z
6000000037537347137	63	12349	15000	736	1	2026-09-14T06:49:44.642Z
6000000034001631716	54	8047	15000	2494	1	2026-09-14T06:49:31.639Z
6000000128550146834	26	9474	15000	2522	1	2026-09-14T06:51:10.248Z
6000000042993172139	18	14198	15000	4253	1	2026-09-14T06:50:36.769Z
6000000065510175151	12	8088	15000	2180	2	2026-09-14T06:44:41.394Z
6000000003866136656	2	4489	15000	5464	10	2026-09-14T06:47:02.575Z
6000000009978856359	1	14758	15000	15000	3	2026-09-14T06:46:16.718Z
6000000223823849822	1	12018	15000	15000	1	2026-09-14T06:46:51.187Z
6000000048121591968	1	10781	15000	1523	1	2026-09-14T06:47:25.376Z
6000000097727778821	1	4453	15000	7836	10	2026-09-14T06:48:57.846Z
6000000022755871103	0	11222	15000	15000	2	2026-09-14T06:44:17.532Z
6000000140102938895	0	9447	15000	1088	0	2026-09-14T06:44:27.725Z
6000000022700800637	0	12028	15000	14185	4	2026-09-14T06:44:44.711Z
6000000223806381319	0	12553	15000	15000	1	2026-09-14T06:45:25.451Z
6000000105260221143	0	4345	15000	3511	1	2026-09-14T06:45:38.078Z
6000000014406458427	0	13862	15000	14066	4	2026-09-14T06:46:28.575Z
6000000205990644096	0	10931	15000	13842	1	2026-09-14T06:46:39.193Z
6000000084159984325	0	12357	15000	6071	1	2026-09-14T06:47:42.781Z
6000000016146067941	0	8248	15000	5180	1	2026-09-14T06:48:06.611Z
6000000002764822419	0	0	0	4	0	2026-09-14T06:48:09.609Z
6000000011147276800	0	7598	15000	13124	7	2026-09-14T06:48:40.150Z
6000000146007804882	0	9994	15000	7100	1	2026-09-14T06:49:02.457Z
6000000022759139069	0	12553	15000	15000	1	2026-09-14T06:49:20.423Z
6000000174356565901	0	12079	15000	15000	2	2026-09-14T06:50:12.653Z
6000000083273210335	0	9442	15000	953	1	2026-09-14T06:50:47.020Z
6000000208460400090	0	777	15000	9777	1	2026-09-14T06:50:55.476Z
6000000214064685771	0	9698	15000	1657	1	2026-09-14T06:51:43.287Z
6000000115414681877	0	10882	15000	15000	2	2026-09-14T06:51:54.714Z
