token,bearers,as_given,as_surname,as_married,behaves,patronymic_marker,script,placeholder
de,46583,1724,27264,38966,both,,Latin,
von,9179,378,5056,7684,both,,Latin,
y,7094,77,3865,5785,both,,Latin,
of,6719,2764,1256,3399,both,,Latin,
Maria,6266,6251,8,9,both,,Latin,
陳,4930,8,3247,4774,both,,Han,
Anna,4030,4029,1,1,both,,Latin,
la,3728,196,2681,2229,both,,Latin,
ap,3608,57,1320,3406,both,particle,Latin,
John,3385,3317,63,38,both,,Latin,
María,3244,3230,6,13,both,,Latin,
.,3071,495,868,2729,both,,none,yes
NN,3037,2717,366,291,both,,Latin,yes
李,2907,84,380,2781,both,,Han,
De,2823,302,1821,1194,both,,Latin,
William,2712,2666,45,28,both,,Latin,
I,2633,2476,66,152,both,,Latin,
Mary,2589,2585,6,4,both,,Latin,
II,2586,2434,45,162,both,,Latin,
曾,2563,6,2263,2483,both,,Han,
Elizabeth,2496,2495,0,1,given,,Latin,
Juan,2477,2469,2,8,both,,Latin,
Joseph,2472,2403,24,51,both,,Latin,
Anne,2470,2470,0,0,given,,Latin,
van,2469,42,1727,1905,both,,Latin,
Chén,2430,267,1245,2161,both,,Latin,
Marie,2426,2425,1,1,both,,Latin,
Thomas,2419,2015,277,268,both,,Latin,
Francisco,1969,1961,5,4,both,,Latin,
Pedro,1911,1903,10,7,both,,Latin,
/,1878,1501,167,262,both,,none,
Olsen,1807,1147,377,506,both,-sen,Latin,
Garza,1726,21,1610,776,both,,Latin,
da,1716,111,596,1468,both,,Latin,
Samuel,1684,1592,48,56,both,,Latin,
N.N.,1669,1594,104,100,both,,Latin,yes
Olsdatter,1622,1296,301,203,both,-sdatter,Latin,
Hans,1589,1587,1,2,both,,Latin,
Antonio,1576,1575,1,1,both,,Latin,
James,1534,1407,84,76,both,,Latin,
Isabel,1492,1490,3,1,both,,Latin,
José,1492,1492,0,0,given,,Latin,
Ole,1443,1440,0,3,given,,Latin,
David,1400,1292,51,83,both,,Latin,
Lars,1389,1389,0,0,given,,Latin,
Jacob,1366,1235,74,86,both,,Latin,
Sarah,1358,1358,0,0,given,,Latin,
Anders,1349,1348,0,1,given,,Latin,
Ana,1325,1323,0,2,given,,Latin,
Johan,1320,1320,1,0,both,,Latin,
Henry,1315,1284,13,24,both,,Latin,
Robert,1301,1279,14,23,both,,Latin,
藤原,1285,0,1128,1270,surname,,Han,
Jean,1282,1279,2,2,both,,Latin,
隴西狄道,1264,0,1264,1,surname,,Han,
Peder,1260,1260,0,0,given,,Latin,
del,1229,131,652,820,both,,Latin,
