qid	lang	label
Q1000387	ja	フェルディナンダ
Q1000387	zh	费迪南德
Q100156208	zh	戈利岑
Q100165766	ja	メンド
Q1001781	ja	ブエナベントゥーラ
Q100181869	ja	メネンド
Q1001948	ja	アルビン
Q1001948	zh	阿尔宾
Q1002298	ja	コールマン
Q1002298	zh	科尔曼
Q1002298	ko	콜먼
Q100338371	ja	フォルトゥン
Q1003466	ja	フランチェスカ
Q1003466	zh	弗兰切斯卡
Q1007221	ja	ガブリエッラ
Q1007221	zh	加布丽埃拉
Q1009255	ja	ジュヌヴィエーヴ
Q1009255	zh	吉纳维芙
Q1009647	ja	ゲルダ
Q100964961	ja	アンドリーヴィッチ
Q100965196	ja	パヴロヴィチ
Q100965196	zh	帕夫洛维奇
Q101039381	zh	加蒂卢西奥
Q1010638	ja	バーグ
Q1010781	zh	吉塔
Q1016412	ja	ブルクハルト
Q1016412	zh	伯克哈德
Q1017270	ja	ブッシュ
Q1017270	zh	布施
Q1019005	ja	ベア
Q1019005	zh	巴尔
Q10281657	ja	フェレイラ
Q10281657	zh	费雷拉
Q10282153	ja	フィゲイレド
Q10282153	zh	菲格雷多
Q10292580	ja	ゲヂス
Q10292580	zh	格德斯
Q10292580	ko	게지스
Q10313989	ja	キャサリン
Q10313989	zh	凱瑟琳恩
Q10328432	zh	梅洛
Q10337334	ja	ノルベルト
Q10337334	zh	诺韦尔托
Q10343642	zh	派斯
Q10349837	ja	ピニェイロ
Q10349837	zh	皮涅罗
Q1035107	ja	ヘルガ
Q1035107	zh	海尔加
Q1035239	ja	ヘレナ
Q1035239	zh	海伦娜
Q1035239	ko	헬레나
Q10368463	zh	萨门托
Q10369061	ja	セバスチアン
Q10369061	zh	塞巴斯蒂昂
Q10369061	ko	세바스티앙
Q103703891	zh	德罗戈
Q10371528	ko	실베이라
Q10379116	ja	テイシェイラ
Q10379116	zh	特谢拉
Q10391415	ja	ビリャロボス
Q10391415	zh	維拉羅伯斯
Q1039419	ja	ハミル
Q1039419	zh	贾米尔
Q10419770	zh	阿斯克
Q104253238	ja	娥
Q104253238	zh	娥
Q104253238	ko	어
Q1043415	ja	クレメンタイン
Q1043415	zh	克莱门廷
Q1043457	ja	ロザリー
Q1043457	zh	罗萨丽
Q1043619	ja	カルメン
Q1043619	zh	卡门
Q1043866	ja	カサンドラ
Q1043866	zh	卡桑德拉
Q1044619	ja	カロルシュ
Q1044619	zh	卡罗勒斯
Q104517790	ja	滕
Q104517790	zh	滕
Q104517790	ko	텅
Q104537806	ja	ドプール
Q104540073	zh	奧爾良郡主
Q104543415	zh	马凯达
Q1045829	ja	カーター
Q1045829	zh	卡特
Q1045829	ko	카터
Q104620989	ja	ミリア
Q104621994	ja	ジャチンタ
Q104621994	zh	贾钦塔
Q10471460	ja	ディキンソン
Q10471460	zh	迪金森
Q104783887	ja	パーキントン
Q104783887	zh	帕金顿
Q10478964	ja	エッベ
Q10478964	zh	埃伯
Q104832352	zh	佩莱特
Q104838150	zh	贾瓦尔
Q104899010	ja	ポープ
Q104903577	zh	特兰西托
Q1049855	ja	カストロ
Q1049855	zh	卡斯特罗
Q10504943	ja	ギリス
Q10504943	zh	吉利斯
Q10505172	zh	格拉德
Q1050684	ja	カテリーナ
Q1050684	zh	卡泰丽娜
Q1050754	ja	カハル
Q10510889	zh	冈纳尔
Q1051881	ja	イローナ
Q1051881	zh	伊洛娜
Q105253272	zh	达阿尔邦
Q10535618	ja	イング
Q10535618	zh	Ing
Q10540746	ja	ヨーナ
Q10540746	zh	约纳
Q10546861	ja	ファービアーン
Q10546861	zh	法比安
Q10548439	ja	クラフト
Q10548439	zh	克拉夫特
Q105498343	zh	比肖夫斯海姆
Q105609458	ja	スクロープ
Q105612564	ja	コロネル
Q105612564	zh	科罗内尔
Q105622636	ko	쑹
Q105623497	ja	敏
Q105623497	zh	敏
Q105623497	ko	민
Q105627062	ja	岡
Q105627062	zh	岡
Q105627062	ko	강
Q10563206	zh	丽塞特
Q10570000	ja	ロヴィーサ
Q10570000	zh	洛维萨
Q10575920	ja	マリンダ
Q10575920	zh	米林达
Q105778290	zh	雅罗斯瓦夫
Q10578719	zh	马克西米利亚纳
Q1058731	ja	モーガン
Q1058731	zh	摩根
Q105877356	zh	卢因森
Q10588869	ja	ムーア
Q10588869	zh	穆尔
Q10588869	ko	무어
Q1058951	zh	海姆
Q10589512	zh	摩西森
Q10594424	ja	ナニー
Q106069829	ja	ケーニヒスバーガー
Q106069943	ja	パッペンハイマー
Q10608165	ja	オラウス
Q106119361	zh	莱温格
Q1061262	ja	ルビー
Q1061262	zh	鲁比
Q10613677	ja	モレノ
Q10613677	zh	莫雷诺
Q106142720	zh	扎伊德
Q106145763	ja	オティリエ
Q10622039	ja	ペダー
Q10622039	zh	彼泽
Q10625184	ja	ペトリ
Q10625184	zh	佩特里
Q106358668	zh	阿格瑙尔
Q106398373	ja	クライツェナッハ
Q106481545	zh	奥布里
Q1064920	ja	メラニー
Q1064920	zh	梅蘭妮
Q1064920	ko	멜라니
Q106529042	zh	纳乔德
Q10656802	ja	ルース
Q10656802	zh	鲁斯
Q1066178	ja	アウローラ
Q1066178	zh	奥罗拉
Q1066712	ja	ザヴィア
Q1066712	zh	泽维尔/哈维尔
Q1066712	ko	하비에르
Q10667549	ja	シギスムント
Q1067071	zh	夏洛塔
Q10673071	ja	ソル
Q10673071	zh	索尔
Q106814234	ja	順
Q106814234	zh	順
Q106814234	ko	순
Q1068231	ja	マルチェッラ
Q1068231	zh	玛塞拉
Q1068242	ja	ヴァレリー
Q1068242	zh	瓦莱丽
Q1068487	ja	ローランド
Q1068487	zh	罗兰
Q106860101	ja	朝
Q106860101	zh	朝
Q106860101	ko	차오
Q10686817	ja	シルヴィア
Q10686817	zh	西尔维娅
Q106869326	zh	Shao
Q106918717	ja	寅
Q106918717	zh	寅
Q106918717	ko	인
Q1069827	ja	ロサリオ
Q1069827	zh	罗萨里奥
Q10699292	ja	トケ
Q10699292	zh	托克基
Q10700660	zh	图巴
Q107099106	zh	Chung
Q107227465	zh	佩特琳
Q10723105	ja	エイキン
Q10723105	zh	艾肯
Q1072980	ja	アルビナ
Q1072980	zh	阿宾娜
Q107321411	ja	オルセン
Q107406675	ja	ドヴォラ
Q1074232	ja	オティーラ
Q1074232	zh	奥迪勒
Q1074232	ko	오틸리
Q107423678	zh	迪尔凯姆
Q10752423	ja	オテロ
Q10752423	zh	奥特罗
Q107636836	zh	亚当森
Q1076652	ja	レオポルト
Q1076652	zh	利奥波德
Q1077181	ja	エルサ
Q1077181	zh	埃尔莎
Q107723833	ja	ラウリッズ
Q107723833	zh	劳里斯
Q107980655	ja	弼
Q107980655	zh	弼
Q107980655	ko	비
Q10803202	ja	オルテガ
Q10803202	zh	奥尔特加
Q10816799	ja	セクストン
Q10816799	zh	塞克斯顿
Q108295840	zh	丽妮尔
Q108328903	ja	ラウレアーノ
Q1084384	zh	克里斯托弗 男性(人名)
Q10859343	ja	ハリス
Q10859343	zh	哈里斯
Q10861038	ja	ローチャ
Q10861038	zh	罗查
Q10861063	ja	サイラス
Q10861063	zh	赛勒斯
Q10862233	ja	リチャード
Q10862233	zh	理查德
