geni_id	qid	display_name	tokens
1179438		Karen Larsdtr Melgard	Larsdtr
1366662		Jacob Christophersøn Grøn	Christophersøn
1605692		Carolina Elisabet Petersdotter	Petersdr.
2322509		Anna Tecilazich	Jurjevich
2363251		John ap Thomas	ap Thomas
2399810		Ulrik Anderssøn Sandberg	Anderssøn
2428748		Adelisse Bruijstensdr van Herwijnen	Bruijstensdr
2568144		Kristi Rasmusdtr Håland	Rasmusdtr
2833166		Ben Alan Plotkin	Ben Alan
284203349390005018		Llewelyn ab Ifor	ab Ifor | ab Ifor
284204992870006100		Nest verch Caradog	verch Caradog
287473595920001455		Anna Jensdtr. Jensdatter	Jensdtr.
287591530480008978		Ónefnd Einarsdóttir	Einarsdóttir
287591530480008978		Ónefnd Einarsdóttir	Einarsdóttir
287593915670008014		Jórunn Þórðardóttir	Þórðardóttir | Þórðardóttir
287632500560006329		Hans Petter Taraldssøn Giæver	Taraldssøn
290762044700001072		Udna Nilsdtr Eide	Nilsdtr
292676707670001463		Olof Joenssøn Joensson Skancke	Joenssøn
292676707670001463		Oluf Joenssøn	Joenssøn
292766488600008523		Morten Erikssøn Krag	Erikssøn
294434855870002563		Knud VI Estridsøn Konge af Danmark	Estridsøn | Valdemarsøn
298278257740006394		Llewelyn ab Owain	ab Owain
298278582480007936		Gwrgeneu ab Einion	ab Einion | ab Einion
298280089350002501		Owain ap Cadwgan of Powys	ap Cadwgan | ap Cadwgan
298281973900005467		Euron verch Hoedlyw	verch Hoedlyw
298290050720007917		Caenog ap Tegonwy	ap Tegonwy
298303118230001741		Gwawl verch De Grande Bretagne	verch Coel
298307982010006401		Dyfwn ap ap Gurdumn (Gwrddwfn) King of the Britons	ap Gurdumn
3004206		Wan Mohd Salleh bin Haji Muhammad Said	bin Haji
304447739780001798		Guðrún Ólafsdóttir	Ólafsdóttir
304447739780001798		Guðrún Ólafsdóttir	Ólafsdóttir
304449290140002302		Þorbjörg Ormsdóttir	Ormsdóttir
304449290140002302		Þorbjörg Ormsdóttir	Ormsdóttir
304523561630001762		Steinunn Þorgrímsdóttir	Þorgrímsdóttir
304526241010004201		Guðrún Þórarinsdóttir	Þórarinsdóttir | Þórarinsdóttir
304603218090003756		Margrét Vigfúsdóttir	Vigfúsdóttir
304603218090003756		Margrét	Vigfúsdóttir
304885137050006494		Halldóra Þorvaldsdóttir	Þorvaldsdóttir
304885137050006494		Halldóra Þorvaldsdóttir	Þorvaldsdóttir
304888156690006473		Álfheiður Þorleifsdóttir	Þorleifsdóttir | Þorleifsdóttir
304888156690006473		Álfheiður Þorleifsdóttir	Þorleifsdóttir | Þorleifsdóttir
304888325510007154		Guðlaug Eyjólfsdóttir	Eyjólfsdóttir | Eyjólfsdóttir
304888325510007154		Guðlaug Eyjólfsdóttir	Eyjólfsdóttir | Eyjólfsdóttir
304891381280001413		Herdís Koðránsdóttir	Koðránsdóttir | Koðránsdóttir
304893784420004261		Guðrún Sigmundardóttir	Sigmundardóttir | Sigmundardóttir
304895145540004270		Herdís Bolladóttir	Bolladóttir | Bolladóttir
304896842280004284		Yngvildur Ormsdóttir	Ormsdóttir | Ormsdóttir
304897243640006477		Ingibjörg Asbjørnsdatter	Ásbjarnardóttir
304899972010001439		Thurid 'dylla' Gunnlaugsdóttir Tistelsådd	Gunnlaugsdóttir | Thverarhliddottir
304901643280005644		Vélaug Örlygsdottir	Örlygsdottir
304903496180002973		Ísgerður Þormóðardóttir	Þormóðardóttir | Þormóðardóttir
304980520970008255		Margit (Marta) Larsdtr. Nordbø	Larsdtr.
304983837140001391		Marta Larsdtr. Ekrene	Larsdtr.
308297455000005682		Alexander Hieronimussøn Brüghmann	Hieronimussøn
309752110320008250		Christen Christenssøn Thrane	Christenssøn
3120250		Valgerður Flosadóttir	Flosadóttir
3120250		Valgerður Flosadóttir	Flosadóttir
3122402		Bruna Mohovic	Mohovic
3122422		Tomás Mohovic	Mohovic
3122434		Juçara Zulli Mohovic	Mohovic
3122559		Tatiana Mohovic	Mohovic
3122563		Julia Mohovic	Mohovic
3122625		Egon Rafael Mohovic	Mohovic
312478266190003854	Q234257	Ekaterina Pavlovna Romanova-Holstein-Gottorp	Pavlovna
3137288	Q5642805	Hallbera Úlfsdóttir	Úlfsdóttir | Úlfsdóttir
3137288	Q5642805	Hallbera Úlfsdóttir	Úlfsdóttir | Úlfsdóttir
3137346	Q7403744	Salbjörg Berðlu-Káradóttir	Berðlu-Káradóttir | Berðlu-Káradóttir
3137346	Q7403744	Salbjörg Berðlukáradóttir	Berðlukáradóttir | Berðlu-Káradóttir
3137417		Bera Yngvarsdatter	Yngvarsdóttir
3137417		Bera Yngvarsdóttir	Yngvarsdóttir | Yngvarsdóttir
3137531		Mæfa (Thæfa) Þorvarðardóttir	Þorvarðardóttir
3137573	Q133796450	Sigríður Þórarinsdóttir	Þórarinsdóttir
3139222		Ingunn Helgadóttir	Helgadóttir | Helgadóttir
3139222		Ingunn Helgadóttir	Helgadóttir | Helgadóttir
3139482		Þórdís Kaðalsdóttir	Kaðalsdóttir | Kaðalsdóttir
3139482		Þórdís Kaðalsdóttir	Kaðalsdóttir | Kaðalsdóttir
3139753		Þóra Hrólfsdóttir	Hrólfsdóttir
3139828		Ásborg Oddsdóttir	Oddsdóttir
3139852		Helga Hrólfsdóttir	Hrólfsdóttir
3139875		Þórný Þorgilsdóttir	Þorgilsdóttir
3140083		Þórunn Ásgeirsdóttir	Ásgeirsdóttir
3140110		Þórdís Þóroddsdóttir	Þóroddsdóttir
3140198		Þórvör Þormóðardóttir	Þormóðardóttir | Þormóðardóttir
3144087		Hj Muhammad Said bin Haji Putih (Tahir)	bin Haji
315762219770005617		Rachel Chasidah Shapiro	Ben Zev
317900501850008853		Avraham Chaim אברהם חיים מאפטא אב''ד ניקלשבורג of Opatow ABD Nikolsburg	ben Avraham
318588958010001063		Abraham ben Joseph of Orleans	ben Joseph
321695252970001663		Gunnhild Henriksdtr. Ringja	Henriksdtr.
3217802		Elisabeth Hansdtr. Opheim	Hansdtr.
321979883380007363		Torborg Jørgensdtr. Askvik	Jørgensdtr.
324213628700006382	Q140053154	Yaakov ben Binyamin Ashkenazi of Vilna	ben Binyamin
324782572270006412		Aedh Athlamhan mac Flaithbertach	Ua Néill
3248436		Guðrún Illugadottir	Illugadottir | Illugadóttir
3248588		Guðrún Þorvarðardóttir	Þorvarðardóttir | Þorvarðardóttir
3248683		Hallbera Einarsdóttir	Einarsdóttir | Einarsdóttir
3249879		Vilborg Sigurðardóttir	Sigurðardóttir
3249879		Vilborg Sigurðardóttir	Sigurðardóttir
3249946		Kolfinna Þorvaldsdóttir	Þorvaldsdóttir
3249946		Kolfinna Þorvaldsdóttir	Þorvaldsdóttir
3250004	Q16421316	Þórdís Snorradóttir	Snorradóttir
