round	geni_id	qid	band	ours	theirs	our_parents	their_parents	comparable_slots	slots_agreeing
2	6000000015871828117	Q110586824	BOTH-PARENTS-AGREE	Marie d'Estouteville dame de Blainville, Oissery et Marcilly, vicomtesse du Tremblay,	Marie d'Estouteville, Dame de Blainville	2	2	2	2
2	6000000015878218503	Q110422244	BOTH-PARENTS-AGREE	Guglielmo Ruffo Santapau	Don Guglielmo Ruffo di Calabria-Santapau, 5.Principe di Scilla	2	2	2	2
2	6000000015878511011	Q110422289	BOTH-PARENTS-AGREE	Silvia della Marra	Silvia della Marra, 6.Duchessa di Guardia Lombarda	2	2	2	2
2	6000000015878646317	Q110421770	PARENTS-ONE-SIDE	Giuseppa Sofia Maria Moncada	Donna Maria Giuseppa Moncada	0	2	0	0
2	6000000015885630307	Q105817221	BOTH-PARENTS-AGREE	Maria Ruffo	Donna Maria Ruffo, 2.Principessa di Scilla	2	2	2	2
2	6000000015887980850	Q110422317	NO-PARENTS	Pietro Tovar	Pietro Tovar, Marchese di San Marcellino	0	0	0	0
2	6000000015888144922	Q108431610	BOTH-PARENTS-AGREE	Giovanni Alfonso Carafa	Giovanni Carafa, 2.Duca di Noja	2	2	2	2
2	6000000015888207690	Q110421750	PARENTS-ONE-SIDE	Caterina Gravina	Caterina Gravina	2	0	0	0
2	6000000015888246488	Q110422318	PARENTS-ONE-SIDE	Giovanna di Soria marchesa di Crispano	Giovanna di Soria	2	0	0	0
2	6000000015888596368	Q110421757	BOTH-PARENTS-AGREE	Maria Giovanna di Somma	Donna Giovanna di Somma, dei Principi di Colle	2	2	2	2
2	6000000015888608200	Q110421752	ONE-PARENT-AGREE	Giuseppe Maria della Leonessa IV principe di Sepino	Don Giuseppe della Leonessa, 4.Principe di Sepino, 5.Duca di San Martino	1	2	1	1
2	6000000015888969655	Q108432959	BOTH-PARENTS-AGREE	Paolo Ruffo 1°duca di Baranello	Paolo Ruffo	2	2	2	2
2	6000000015906426215	Q136367207	PARENTS-ONE-SIDE	Elias Jacob Fuld	Elias Jacob Fuld	2	0	0	0
2	6000000015910642192	Q116005946	BOTH-PARENTS-AGREE	Christophe d'Apchier Vicomte de Vazeilles	Comte Christophe d'Apchier, Vicomte de Vazeilles	2	2	2	2
2	6000000015913398360	Q115306132	PARENTS-ONE-SIDE	Sigismond Adélaïde Charles Maria de Lévis-Mirepoix	Comte Sigismond de Lévis-Mirepoix	0	2	0	0
2	6000000015913912573	Q110313957	PARENTS-ONE-SIDE	Elisabeth von Birgell Heiress of Rath & Bovensberg	Elisabeth von Birgell, Heiress of Rath & Bovensberg	0	2	0	0
2	6000000015938210029	Q4269998	NO-PARENTS	Lucius Cornelius Cinna	Lucius Cornelius Cinna	0	0	0	0
2	6000000015946965321	Q7359190	ONE-PARENT-DISAGREE	Roger Clifford	Roger de Clifford	1	2	1	0
2	6000000015957442798	Q116045739	ONE-PARENT-AGREE	Filipe de Sousa	Felipe de Sousa, 7.Senhor de Calhariz	1	2	1	1
2	6000000015957694048	Q116045746	BOTH-PARENTS-AGREE	Catarina Menezes	Catarina de Meneses Telles da Silva	2	2	2	2
2	6000000015973024592	Q29048282	PARENTS-ONE-SIDE	Juan de Cervantes Corregidor	Juan de Cervantes	2	0	0	0
2	6000000015980736240	Q65931495	ONE-PARENT-DISAGREE	Amir Burkul Barlas of the Jalayer one of the large clans of the Mongols	Burgul Noyan	1	1	1	0
2	6000000016022160835	Q104550171	NO-PARENTS	Anders Persson	Anders Persson, Lord of Tuomarinkartano in Karjaa	0	0	0	0
2	6000000016074071184	Q29048275	NO-PARENTS	Leonor Fernández de Torreblanca	Leonor Fernández de Torreblanca	0	0	0	0
2	6000000016091429838	Q105871757	PARENTS-ONE-SIDE	Catherine de Narbonne	Catherine de Narbonne, Dame de Biars	2	0	0	0
2	6000000016130176241	Q30114674	PARENTS-ONE-SIDE	Bruno	Bruno the Young	0	2	0	0
2	6000000016130573875	Q99517149	NO-PARENTS		恩地トミ	0	0	0	0
2	6000000016144330810	Q666202	BOTH-PARENTS-AGREE	Aristobulos of Chalcis	Aristobulus of Chalcis	2	2	2	2
2	6000000016144421761	Q16828253	BOTH-PARENTS-AGREE	Francis Edward Courtenay	Francis Courtenay	2	2	2	2
2	6000000016170670442	Q63050265	NO-PARENTS	Argilo de Castela	Argilo	0	0	0	0
2	6000000016176117677	Q110459815	BOTH-PARENTS-AGREE	Dorotea Acquaviva d'Aragona	Donna Dorothea Acquaviva d'Aragona	2	2	2	2
2	6000000016176352747	Q110459893	BOTH-PARENTS-AGREE	Giulia Spinelli Barrile	Giulia Spinelli	2	2	2	2
2	6000000016176457082	Q110459773	BOTH-PARENTS-AGREE	Giulio Antonio Acquaviva d'Aragona VI Duca di Noci	Don Giuliantonio Acquaviva d'Aragona, 10.Duca di Nardò	2	2	2	2
2	6000000016192426357	Q113956718	BOTH-PARENTS-AGREE	Asselinde d'Albret	Assalide d'Albret	2	2	2	2
