geni_id	qid	geni_name	wikidata_ja_label	state	reading_or_source	evidence_strength	correspondence_sources
6000000001749058392	Q17209483	含笑院殿(織田良頼の娘) 織田	含笑院	kana on the item	いぬゐ	1 hop(s)	zipper
6000000001749841641	Q11354865	昌吉 弥右衛門 木下	三好吉房	kana on the item	みよし よしふさ	1 hop(s)	zipper
6000000001749955703	Q10855371	豪 樹正院 前田	豪姫	kana on the item	マリア	1 hop(s)	zipper
6000000004163215802	Q5353737	重頼正室 内藤	大政所	kana on the item	なか	1 hop(s)	zipper
6000000001748757438	Q1040026	五徳 岡崎殿 織田	徳姫	kana on the item	おごとく	2 hop(s)	zipper
6000000001748815632	Q11106295	信秀 三吉郎 織田	織田信秀	kana on the item	おだ のぶひで	2 hop(s)	zipper
6000000001748847423	Q836600	まつ 芳春院 篠原	芳春院	kana on the item	おまつ	2 hop(s)	zipper
6000000001750027284	Q10379849	円融院 三浦	円融院	kana on the item	おふく	2 hop(s)	zipper
6000000001751566356	Q10502504	梶 英勝院 太田	英勝院	kana on the item	おはち	2 hop(s)	zipper
6000000001774179501	Q3276029	督 良正院 徳川	督姫	kana on the item	ふう	2 hop(s)	zipper
6000000005222715671	Q5366163	於大 水野	於大の方	kana on the item	たい	2 hop(s)	structural;zipper
6000000006763904865	Q11588520	古那 祖心尼 牧村	祖心尼	kana on the item	おなあ	2 hop(s)	zipper
6000000001904279171	Q11642123	遠智娘 蘇我	遠智娘	kana on the item	おちのいらつめ	3 hop(s)	zipper
6000000001904336185	Q11447356	姪娘 蘇我	姪娘	kana on the item	めいのいらつめ	3 hop(s)	zipper
6000000106992633838	Q10945092	羯 姬姓	孟孝伯	kana on the item	もう こうはく	9 hop(s)	zipper
6000000001749799095	Q247408	菊子 浅井	淀殿	kana on the item	おちゃちゃ	name form	zipper
6000000001748661095	Q4207778	土田御前 土田	土田御前	jawiki article	土田御前	1 hop(s)	structural;zipper
6000000001748867302	Q11608270	信吉 織田	織田信吉	jawiki article	織田信吉	1 hop(s)	zipper
6000000001748924354	Q1051724	昭実 二条	二条昭実	jawiki article	二条昭実	1 hop(s)	zipper
6000000001749021258	Q11608277	信定 織田	織田信定	jawiki article	織田信定	1 hop(s)	zipper
6000000001749058424	Q11608264	信光 孫三郎 織田	織田信光	jawiki article	織田信光	1 hop(s)	zipper
6000000001749096089	Q11608422	良頼 藤左衛門 織田	織田良頼	jawiki article	織田良頼	1 hop(s)	zipper
6000000001749170506	Q11608386	敏定 織田	織田敏定	jawiki article	織田敏定	1 hop(s)	zipper
6000000001749769541	Q11253422	定利 杉原	杉原定利	jawiki article	杉原定利	1 hop(s)	zipper
