geni_id	our_name	qid	candidate_name	slot	via	sex	shared_words
5070297868330102010	Аглая Антоновна Давыдова	Q19963499	Q19963499	child	Aglaé Louise Françoise Gabrielle de Polignac	F	
5070664763290103981		Q75284410	Q75284410	child	Serge Orloff-Davidoff	F	
5078850948260081070	Maria von Hohenzollern-Sigmaringen Principesa a României.	Q3180697	Q3180697	child	Carol I Eitel Friedrich Zephyrinus Ludwig von Hohenzollern-Sigmaringen Regele Carol I al României, King of Romania	F	carol elisabeth romania wied
5089279944130025928	Isabel Bourchier	Q96074826	Q96074826	sibling	Richard Grey KG	F	baroness bourchier
5113814138890103962	Roberto Olivetti	Q29378278	Q29378278	child	Adriano Olivetti	M	
5117237483010136800	Ludwig August Maria Eudes Sachsen-Coburg-Saalfeld-Koháry	Q696021	Q696021	child	Marie Clémentine Léopoldine Caroline Clotilde d'Orléans Princess of Saxe-Coburg-Gotha-Koháry, Duchess in Saxony	M	bulgaria ferdinand gotha joseph
5117961509730116581		Q64871563	Q64871563	child	Natalia Ginzburg	M	
5151829937250121390	Alfonso Fernández de Córdoba y Aguilar VI Señor de Aguilar de la Frontera y de Priego	Q113989941	Alonso de Aguilar	sibling	Gonzalo El Gran Capitán Fernández de Córdoba I Duque de Sessa, Virrey de Nápoles	M	crdoba fernndez pacheco pedro
5161874216230119540	Jeanne Modigliani	Q3807739	Q3807739	child	Jeanne Hébuterne Modigliani	F	modigliani
5167937741010020995	Stéphanie Marie Elisabeth Ducruet Princess of Monaco	Q215012	Q215012	child	Rainier Louis Henri Maxence Bertrand Grimaldi	F	
5183485143240075571	Rudolph Franz Joseph Maria Graf Vetter von der Lilie	Q75299738	Q75299738	child	Theodoline Vetter	M	
5211634497850106163		Q75359866	Q75359866	child	Franziska de Paula Henriette Marie Amelie Mechtildis Benedikta Petra de Alcantara von Spee	M	
5211650308830126944		Q16169307	Wolfgang von und zu Liechtenstein	child	Elisabeth Florentine von Württemberg-Urach	M	
5234988542950043306	Joan Seymour	Q75249708	Q75249708	child	Anne Percy Countess of Northumberland	F	anne countess northumberland
5246166443650065391	Ewen Cameron	Q75534262	Q75534262	child	Ewen mac Allan of Lochiel 13th Chief of Clan Cameron	M	
5260341154370084028	Albéric Jules Albert de Beauharnais	Q1332164	Jules Barthélemy-Saint-Hilaire	sibling	Stephanie de Beauharnais Großherzogin zu Baden	M	beauharnais stephanie
5261007896990119269		Q670430	Q670430	child	Antoinette Louise Alberte Suzanne Grimaldi	F	antoinette christine massy
5261051969110120896		Q76013420	Q76013420	child	Christine Alix de Massy	M	christine massy
5285330963680075201	Lettice Digby Baroness Offaly	Q6533807	Q6533807	child	Gerald Fitzgerald Lord Offaly and Garratt	F	
5294611705130107428	Florestine Gabrielle Antoinette Grimaldi de Monaco Prinzessin, Gräfin zu WürttembergHerzogin zu Urach	Q222089	Q222089	child	Florestan I de Grimaldi	F	duke florestan karl urach wilhelm
5294690101060075713	Honoré V Grimaldi	Q705300	Q705300	child	Honoré Grimaldi	M	florestan honore
5329530656080100762	Elizabeth Seymour	Q75267357	Q75267357	child	Arthur Champernowne, Kt., MP	F	arthur champernowne
