geni_id	our_name	qid	candidate_name	slot	via	sex	shared_words
6000000000736563560	Juan de Castilla y Castro Infante de Castilla	Q6119856	Sancho de Castilla	sibling	Pedro López de Haro	M	
6000000000741275245	Hannibal Vivian, MP	Q5482659	Francis Vyvyan	child	Hannibal Vivian	M	hannibal
6000000000748092332	William Douglas	Q75262260	Q75262260	child	Christian Montgomerie	M	douglas james
6000000000769914531	Lucy de Plumpton	Q75494758	Q75494758	child	William de Ros	F	
6000000000769914864	Jean Elliot	Q105799908	Jean Elliot	child	Mary Scott	F	elliot mary scott william
6000000000770002673	María Luisa Fernanda de Borbón Infanta de España Duquesa de Montpensier	Q240397	Q240397	child	Fernando VII of Bourbon and Bourbón-Two Sicilies King of Spain	F	antoine borbn duke infanta isabel luisa mara montpensier prince spain
6000000000785395986	Regitze Christoffersdatter Løvenbalk	Q75385312	Q75385312	child	Inger Iversdatter Lunge	F	
6000000000796427195	Alexandre Joseph de Ségur vicomte	Q130364802	Alexandre Joseph Reine de Ségur, Vicomte de Ségur	child	Joseph Alexandre Pierre de Ségur vicomte	M	
6000000000796830224	Thomas de Camoys, 1st Baron Camoys	Q2893387	Q2893387	child	Elizabeth Rosselyn Rosslyn Latimer	M	
6000000000806431424	Anne Hill	Q88017963	Q88017963	child	Eleanor Brooke	F	
6000000000810859136		Q53016225	Pauline von Bonsdorff	child	Göran Edvard von Bonsdorff	F	bonsdorff goran von
6000000000840099462	Carl Edvard Walleen	Q12319945	Johan Mantzius	sibling	Theodor Walléen	M	
6000000000841130591		Q4983219	Anna Toss	child	Per Lukas Daniel Bonnier	F	
6000000000841300122		Q1811163	Q1811163	child	Per Lukas Daniel Bonnier	M	
6000000000841500297		Q4940014	Eva Bonnier	child	Gerard Bonnier	F	bonnier gerard
6000000000896463384	Dorothy Ogle, Lady Grey	Q75597629	Q75597629	child	Ralph Ogle	F	
6000000000896705011	Adolf Herman Herman Wrangel af Lindeberg Sr.	Q125463838	Adolf Herman Wrangel	child	Catharina Gyllenstierna	M	adolf catharina gyllenstierna herman lindeberg wrangel
6000000000899098894	Alexander Urquhart	Q75487147	Q75487147	child	Christian Urquhart	M	
6000000000906027191	Betty Wilhelmina Fürst	Q87919174	Q87919174	sibling	Jacob Hubendick	F	
6000000000908873787	Leonora Radcliffe	Q75466848	Q75466848	child	Sylvester Radcliffe	F	
6000000000914324951	Requiario or Rechiar	Q364260	Q364260	sibling	Flavius Richomeres	M	
6000000000915460437	Cecily Stapleton	Q76283165	Q76283165	child	William Bardolf, 4th Baron Bardolph	F	stapleton
6000000000941590317	George Graham	Q18783659	Q18783659	sibling	James Robert George Graham	M	
6000000000943366713	James Sandilands	Q76206495	Q76206495	child	James Sandilands III, of Calder	M	
6000000000952253790	Marie Theresia von Sachsen-Teschen Prinzessin	Q16601526	Q16601526	child	Maria Christina Johanna Josepha Antonia von Habsburg-Lorraine Herzogin zu Sachsen-Teschen	F	albert
6000000000969784761	Agnes Cole	Q111506947	Agnes FitzWarine	child	Fulk FitzWarin 5th Baron FitzWarin	F	cole john
6000000001009251281	Caroline Charlotte Marianne von Mecklenburg-Strelitz Kronprinsesse af Danmark	Q260555	Q260555	child	Marie Wilhelmine Friedrike von Hessen-Kassel Großherzogin zu Mecklenburg-Strelitz	F	august frederick mecklenburg mecklenburgstrelitz william
6000000001050540857	Anna Margareta Sture	Q96868353	Q96868353	child	Svante Mauritzson Sture	F	ebba mauritzdotter mauritzson sture svante
6000000001068722368	Alice Chaucer	Q2836713	Q2836713	child	Thomas Chaucer Chief Butler	F	montacute thomas
6000000001082751610		Q11780738	Nicolas Sapieha	child	Paweł Maria Fryderyk Sapieha Jr.	M	maria pawe sapieha
6000000001082778228	Christine Sapieha Fremantle	Q11768978	Maria Krystyna Sapieha	child	Paweł Maria Fryderyk Sapieha Jr.	F	maria pawe sapieha
