parent	child	kind
Izumo no Takatoki#53	Izumo no Kiyotaka#54	child
Izumo no Takatoki#53	Senge no Takamune#55	child
Izumo no Takatoki#53	Kitajima no Sadataka#55	child
Izumo no Yasutaka#52	Izumo no Takatoki#53	child
Izumo no Yasutaka#52	Hiraoka no Sadataka	child
Izumo no Yasutaka#52	Higashitakakage	child
Senge no Takamune#55	Senge no Naokuni#56	child
Senge no Naokuni#56	Matsujo	child
Ookuma no Hiro	Senge no Takakuni#57	child
Matsujo	Senge no Takakuni#57	adopted
Senge no Takakuni#57	Senge no Mochikuni#58	child
Senge no Takakuni#57	Akatsuka no Masatoki	child
Senge no Mochikuni#58	Senge no Naonobu#59	child
Senge no Naonobu#59	Senge no Takatoshi#60	child
Senge no Naonobu#59	Senge no Takakatsu#62	child
Senge no Takatoshi#60	Senge no Toyotoshi#61	child
Akatsuka no Masatoki	Akatsuka no Masakuni	child
Akatsuka no Masakuni	Akatsuka no Tokinobu	child
Akatsuka no Tokinobu	Akatsuka no Kazunobu	child
Akatsuka no Kazunobu	Akatsuka no Nagatoshi	child
Akatsuka no Nagatoshi	Senge no Motokatsu#66	child
Senge no Motokatsu#66	Senge no Takanou#67	child
Senge no Takanou#67	Senge no Takamitsu#68	child
Senge no Takamitsu#68	Senge no Hiromitsu#72	child
Hiraoka no Sadataka	Hiraoka no Takataka	child
Hiraoka no Takataka	Hiraoka no Tsunetaka	child
Hiraoka no Tsunetaka	Hiraoka no Kuninori	child
Hiraoka no Kuninori	Hiraoka no Naonori	child
Hiraoka no Naonori	Hiraoka no Naotaka	child
Hiraoka no Naotaka	Hiraoka no Naokiyo	child
Hiraoka no Naokiyo	Senge no Naokatsu#63	child
Higashitakakage	Higashitokitaka	child
Higashitokitaka	Higashitakataka	child
Higashitakataka	Higashisadayori	child
Higashisadayori	Higashitakanori	child
Higashitakanori	Higashiyasunori	child
Higashiyasunori	Higashianatsuu	child
Higashianatsuu	Senge no Yoshikatsu#64	child
Senge no Yoshikatsu#64	Senge no Yoshihiro#65	child
Senge no Yoshikatsu#64	Higashiyoshiakira	child
Higashiyoshiakira	Higashisadanobu	child
Higashisadanobu	Sakusa no Jisei	child
Higashisadanobu	Higashinobutoshi	child
Sakusa no Jisei	Senge no Munetoshi#71	child
Higashinobutoshi	Senge no Takafusa#69	child
Higashinobutoshi	Senge no Naoharu#70	child
Senge no Munetoshi#71	Senge no Toyomasa#73	child
Senge no Munetoshi#71	Senge no Toyomi#74	child
Senge no Naoharu#70	Higashisadatsune	child
Higashisadatsune	Senge no Toshikatsu#75	child
Senge no Toshikatsu#75	Senge no Toshihide#76	child
Senge no Toshihide#76	Senge no Takanori#77	child
Senge no Takanori#77	Senge no Takamago#78	child
Senge no Takamago#78	Senge no Takasumi#79	child
Senge no Takasumi#79	Senge Takatomi#80	child
Senge no Takasumi#79	Senge Takanori#81	child
Senge Takanori#81	Senge no Takanori#82	child
Senge no Takanori#82	Senge no Takamitsu#83	child
Senge no Takamitsu#83	Senge no Takanori#84	child
Senge no Takanori#84	Kunimaro Senge	child
Kunimaro Senge	Noriko Senge	spouse
Kitajima no Sadataka#55	Kitajima no Yoshitaka#56	child
Kitajima no Yoshitaka#56	Kitajima no Yukitaka#57	child
Kitajima no Yukitaka#57	Kitajima no Takataka#58	child
Kitajima no Takataka#58	Kitajima no Yoshitaka#59	child
Kitajima no Takataka#58	Inaoka no Nobutaka	child
Kitajima no Takataka#58	Takahama no Yoshitaka	child
Kitajima no Yoshitaka#59	Kitashima no Saburou	child
Inaoka no Nobutaka	Kitajima no Masataka#60	child
Takahama no Yoshitaka	Takahama no Tomotaka	child
Takahama no Tomotaka	Kitajima no Hidetaka#61	child
Kitashima no Saburou	Kitajima no Tokitaka	child
Kitajima no Tokitaka	Kitajima no Yasutaka	child
Kitajima no Yasutaka	Kitajima no Hisataka#62	child
Kitajima no Hisataka#62	Kitajima no Hirokatsu#63	child
Kitajima no Hirokatsu#63	Kitajima no Harutaka#64	child
Kitajima no Harutaka#64	Kitajima no Tsunetaka#65	child
Kitajima no Tsunetaka#65	Kitajima no Kanetaka#66	child
Kitajima no Tsunetaka#65	Kitajima no Michitaka#67	child
Kitajima no Tsunetaka#65	Hisayama no Mototaka	child
Kitajima no Michitaka#67	Kitajima no Naotaka#68	child
Kitajima no Naotaka#68	Kitajima no Yoritaka#69	child
Kitajima no Yoritaka#69	Kitajima no Akitaka#70	child
Kitajima no Yoritaka#69	Kitajima no Okitaka#72	child
Kitajima no Yoritaka#69	Kitajima no Yoritaka#73	child
Kitajima no Akitaka#70	Kitajima no Nobutaka#71	child
Kitajima no Yoritaka#73	Kitajima no Zentaka#74	child
Kitajima no Zentaka#74	Kitashima no Naotaka#75	child
Kitashima no Naotaka#75	Q48763085#76	child
Q48763085#76	Yoshinori Kitajima#77	child
Yoshinori Kitajima#77	Kitajima no Eitaka#78	child
Kitajima no Eitaka#78	Kitajima no Takataka#79	child
Kitajima no Takataka#79	Kitajima no Daikou	child
Hisayama no Mototaka	Yakura no Motonori	child
Yakura no Motonori	Yakura no Kazutaka	child
