cluster,cluster_size,geni_id,name,generations_above,exports_containing
1,18019,6000000000628843233,Philippe,124,1
1,18019,6000000003306282722,Françoise de Lorraine,124,1
1,18019,6000000075303107928,Philippe,124,1
1,18019,6000000075303152835,Francois,124,1
1,18019,6000000084582573894,Philippe de La Trémoille,124,1
1,18019,6000000000905018424,Louis,123,1
1,18019,6000000000905085347,François d'Orléans,123,1
1,18019,6000000003234018546,Mary Stewart,123,1
1,18019,6000000006727785569,James,123,1
1,18019,6000000014568702032,Arthur Robert Stewart,123,1
1,18019,6000000012408750343,Catherine,123,1
1,18019,6000000015870547860,Diane de Lorraine,123,1
1,18019,6000000016792417330,Claude de Lorraine,123,1
1,18019,6000000016793310471,Charles de Lorraine,123,1
1,18019,6000000000883338447,Catherine Marie de Lorraine,123,1
1,18019,6000000003784346124,Louis II de Lorraine,123,1
1,18019,6000000006101312718,Henri de Lorraine,123,1
1,18019,6000000014294784153,Charles de Lorraine de Lorraine,123,1
1,18019,6000000075622551884,Francois de Guise,123,1
1,18019,6000000075622821821,Antoine de Guise,123,1
1,18019,6000000075622993842,Maximilien de Guise,123,1
1,18019,6000000000883502040,Charles de Lorraine,123,1
1,18019,6000000009525069321,Marie de Lorraine,123,1
1,18019,6000000000883254898,Catherine de Bourbon,123,1
1,18019,6000000001479508039,"Henry ""The Great"" King Of of Bourbon",123,1
1,18019,6000000006444753224,Madeleine,123,1
1,18019,6000000006444762285,Louis,123,1
1,18019,6000000007605705166,Charles,123,1
1,18019,6000000011092337926,Henri,123,1
1,18019,6000000002447405127,Charles Count of Soisson de Bourbon,123,1
1,18019,6000000003481828861,Louis,123,1
1,18019,6000000003481828867,Henri I de Bourbon,123,1
1,18019,6000000003481828874,Catherine,123,1
1,18019,6000000010260332878,Madeleine,123,1
1,18019,6000000010260726071,Marguerite,123,1
1,18019,6000000010260947239,Charles,123,1
1,18019,6000000013279400970,François de Bourbon,123,1
1,18019,6000000014123653322,Louis,123,1
1,18019,6000000014123866712,Benjamin,123,1
1,18019,6000000029208605779,Charles de Bourbon,123,1
1,18019,6000000048138874030,Nicholas,123,1
1,18019,6000000225021887854,Benjamin,123,1
1,18019,6000000000883304840,Catherine de Clèves,123,1
1,18019,6000000006101415836,Marie,123,1
1,18019,6000000007273295799,Henriette de Nevers Clèves,123,1
1,18019,6000000015871153179,Jacques de Clèves,123,1
1,18019,6000000026185751596,François de Clèves,123,1
1,18019,6000000075308985157,Francois Plourde,123,1
1,18019,6000000075433223822,"Henry of Perigord, and Viscount of Bearn of Bourbon-Vendome",123,1
1,18019,6000000075433339850,Louis of Navarre,123,1
1,18019,6000000075433725821,Maddalena of Bourbon-Vendome,123,1
1,18019,6000000075433804879,Charles II of Bourbon,123,1
1,18019,6000000075433861822,Catherine Countess of Armagnac and of Rodez of Bourbon,123,1
1,18019,6000000015738036752,Antoinette d'Orléans-Longueville,123,1
1,18019,6000000015746510337,Henri Prince of Estouteville Chatelaillon d'Orléans,123,1
1,18019,6000000015746654214,François d'Orléans,123,1
1,18019,6000000015746688153,Eléonore d'Orléans,123,1
