qid,geni_id,en_label,reaches_charlemagne
Q10087177,6000000074787646989,Yao Shu,no
Q10107750,6000000074698434144,Kong Yanzhi,no
Q10115605,6000000074703431263,Sun Zude,no
Q10120827,6000000075427343824,Meng binyu,no
Q10125270,6000000075481396885,Sun Sigong,no
Q10125565,6000000074703721018,Sun Bian,no
Q10127704,6000000074703880937,Sun Changqing,no
Q10161951,6000000075422982857,An Shouliang,no
Q10184707,6000000075414586929,Song Xi,no
Q10195137,6000000038201385151,Song Wo,yes
Q10195253,6000000075344174163,Song Hun,yes
Q10195480,6000000075406186194,Song Shen,no
Q10195745,6000000063343218912,Song Shou,no
Q10197451,6000000074703693225,Song Di,no
Q10233798,6000000074784871395,Xuan Zeng,no
Q10244158,6000000074784398185,Jia Xuanweng,no
Q10259846,,Feng Xiaoyan,yes
Q10259855,,Feng Longzhi,yes
Q10259883,6000000075326922974,Yuchi Baolin,no
Q10260387,,Söse,yes
Q10265294,6000000074717612001,Yin Yuan,yes
Q10265327,6000000075423972039,Yin Qishen,no
Q10271210,,Cui Peng,yes
Q10271262,6000000074704226057,Cui Taifu,no
Q10271321,6000000074716986016,Cui Xian,yes
Q10271512,6000000075344727977,Cui Zhaoju,yes
Q10271617,6000000074747851036,Cui Zhuan,yes
Q10271660,,Cui Yixuan,yes
Q10271678,6000000075484703616,Cui Han,no
Q10271698,6000000074716811255,Cui Jiao,yes
Q10271786,,Cui Xinggong,yes
Q10271804,6000000074717138923,Cui Zhan,yes
Q10271876,,Cui Xing,yes
Q10280081,6000000074708862446,Chang Wuming,no
Q10282143,6000000075426999843,Xing Yinxun,no
Q10287656,6000000074783367864,Liao Deming,no
Q10292658,6000000074770862883,Zhang Wumeng,no
Q10293151,6000000075484126216,Zhang Duanyi,no
Q10293267,6000000074685571945,Zhang Zhiyuan,no
Q10293285,6000000074686862899,Zhang Shunmin,no
Q10293598,6000000075405056854,Zhang Qiqiu,no
Q10293920,6000000075060508870,Zhang Jiugao,no
Q10294699,6000000074733399028,Zhang Hongce,yes
Q10294985,6000000075484666857,Zhang Mengde,no
Q10295119,6000000075397912902,Zhang Wengui,no
Q10295721,6000000075058419834,Zhang Gang,no
Q10295840,6000000075328253015,Zhang Jian,no
Q10295868,6000000074735682051,Zhang Xingcheng,no
Q10295880,6000000037889287747,Zhang Biaochen,no
Q10295889,6000000075430320911,Zhang Yue,yes
Q10295911,6000000074685377056,Zhang Bangji,yes
Q10295919,6000000074299827992,Zhang Yong,no
Q10295973,6000000051945816932,Qiang Zhi,no
Q10296175,,Zhangtai,yes
Q10296338,6000000075482839883,Xu Fu,no
Q10296401,6000000074770768840,Xu Qingsou,no
Q10296403,,Xu Zhanzhi,yes
Q10296407,6000000075431126979,Xu Ji,no
Q10296413,6000000074691374315,Xu Xi,no
Q10296421,6000000075326158468,Xu Ziming,no
Q10296423,6000000074771478868,Xu Fan,no
Q10296426,6000000074770849859,Xu Rongsou,no
Q10296436,6000000074733218821,Xu Kai,no
Q10296822,,Murong Xuanchao,yes
Q10297039,6000000074784233328,Hu Meng,no
Q10297212,,Anzhijidai,yes
Q10299269,6000000075328183989,Jing Bo,no
Q10300103,6000000038220851214,Wen Jifu,no
Q10301066,6000000074751039986,Wen Weng,no
Q10307923,6000000074792884020,Fang Shao,no
Q10308129,6000000075421088887,Fang Shanjing,no
Q10308428,6000000075506894859,Fang Dengyi,yes
Q10308615,6000000075345529854,Yu Ao,yes
Q10309461,6000000074757353870,Shi Chou,no
Q10313955,6000000074727701079,Shi Shaozhang,no
Q10317793,6000000037869833609,Chao Jiong,yes
Q10323112,6000000074725792513,Cao Liyong,no
Q10323658,6000000074745406022,Cao Jing,no
Q10323734,6000000074704378049,Cao Yingshu,no
Q10324490,6000000038069706867,Zeng Xiaokuan,no
Q10324555,6000000038069538248,Zeng Xiaoyun,no
Q10330338,6000000074711781860,Zhu Bian,no
Q10331089,6000000074711529955,Zhu Yi,yes
Q10331300,6000000074691523911,Zhu E,no
Q10331388,6000000038201404345,Li Zhiyi,yes
Q10332085,6000000074750799821,Li ?,yes
Q10332182,6000000075425133822,Li Jiuling,no
Q10332262,6000000075399132050,Li Liang,yes
Q10332436,6000000074750543914,Li Ji,yes
Q10332536,6000000074750615941,Li Bao,yes
Q10333344,6000000074769147897,Li Gu,no
Q10333491,6000000074699290275,Li Kan,no
Q10333884,6000000074749178870,Li Cunli,yes
Q10333929,6000000074749221821,Li Cunmei,yes
Q10333957,,Li Xiaoxie,yes
Q10334181,6000000074750256416,Li Xuan,yes
Q10334412,6000000074750508039,Li Qi,yes
Q10334500,6000000074750590989,Li Yi,yes
Q10334525,6000000074750480176,Li Xian,yes
Q10334553,6000000074749995425,Li Jun,yes
Q10334646,6000000074750678916,Li Cuo,yes
Q10334669,6000000074712317938,Li Yi,yes
Q10334695,6000000074699111347,Li Shizhong,no
Q10334812,6000000074736917090,Li Zhi,no
Q10334836,6000000074735001940,Li Yanbo,yes
Q10334889,6000000075425814893,Li Tinggui,no
Q10335022,6000000074699107210,Li Congshan,no
Q10335031,6000000074734564078,Li Deliang,yes
Q10335039,6000000075425764860,Li Dechu,no
Q10335214,6000000074750751869,Li Xun,yes
Q10335322,6000000074750265294,Li Yue,yes
Q10335390,6000000074750755859,Li Yin,yes
Q10335476,6000000074750602014,Li Dan,yes
Q10335499,6000000074750499973,Li Yi,yes
Q10335524,6000000075424999947,Li Cheng,no
Q10335712,6000000074792369036,Li Chengji,no
Q10335983,6000000074750169911,Li Fangzi,no
Q10336135,6000000074734494144,Li Hui,yes
Q10336159,,Li Jingjian,yes
Q10336473,6000000074751054982,Li Zhengmin,no
Q10336685,6000000074750570955,Li Ze,yes
Q10336705,6000000074750147263,Li Jing,yes
Q10336794,6000000074750668878,Li Qia,yes
Q10337238,6000000074734820047,Li Jian,yes
Q10337438,6000000074735626121,Li Zhixiao,no
Q10337824,6000000075424585196,Li Zun,no
Q10337964,6000000074750794916,Li Shan,yes
Q10338022,6000000074734419267,Li Hui,yes
Q10338085,6000000074750888840,Li Ji,yes
Q10338127,6000000047471201887,Li Wei,yes
Q10338313,6000000075425847889,Li Shunju,no
Q10338351,6000000074699014438,Li Ruoxu,no
Q10338468,6000000075061063879,Li Ai,yes
Q10338496,,Li Xuzhong,yes
Q10338578,6000000074750266236,Li Jie,yes
Q10338604,6000000074750265186,Li Liang,yes
Q10338646,6000000074749923465,Li E,yes
Q10338690,6000000074750372035,Li Qian,yes
Q10338937,6000000074749721790,Li Nai,yes
Q10338963,6000000074750755997,Li Tong,yes
Q10339093,6000000074735476857,Li Daoming,yes
Q10339141,6000000074750852910,Li Su,yes
Q10339165,,Komutan Li Çefu,yes
Q10339208,6000000074750990821,Li Yu,yes
Q10339233,6000000074699751886,Li Bangyan,no
Q10339781,6000000075413658038,Li Fu,no
Q10339856,6000000075346326846,Li Guinian,no
Q10340192,6000000074716938141,Du Sheng,no
Q10340350,6000000074704846850,Du Shu,no
Q10340529,,Du Chuke,yes
Q10340552,,Du Gou,yes
Q10340792,,Du He,yes
