qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q21148619,Q202444,Walrodina,Walrodina,,,,,,,Walrodina,Walrodina,Walrodina,Walrodina,Walrodina,Walrodina,Walrodina,Walrodina,Walrodina,Walrodina,Walrodina
Q21148635,Q202444,Wernardus,Wernardus,,,,,,,Wernardus,Wernardus,Wernardus,Wernardus,Wernardus,Wernardus,Wernardus,Wernardus,Wernardus,Wernardus,Wernardus
Q21148651,Q202444,Wiepje,Wiepje,,,,,,,Wiepje,Wiepje,Wiepje,Wiepje,Wiepje,Wiepje,Wiepje,Wiepje,Wiepje,Wiepje,Wiepje
Q21148683,Q202444,Wintje,Wintje,,,,,,,Wintje,Wintje,Wintje,Wintje,Wintje,Wintje,Wintje,Wintje,Wintje,Wintje,Wintje
Q21167131,Q101352,Chirac,,,希拉克,,شيراك,,Ширак,Chirac,Chirac,Chirac,Chirac,Chirac,Chirac,Chirac,Chirac,,Chirac,
Q21178203,Q101352,,Buryakov,,,,,,Буряков,,,,,,,,,,,
Q21179275,Q101352,Yefremenko,Yefremenko,,,,,,Ефременко,Yefremenko,Yefremenko,Yefremenko,Yefremenko,Yefremenko,Yefremenko,Yefremenko,Yefremenko,Yefremenko,Yefremenko,Yefremenko
Q21285755,Q12308941,Paulinho,Paulinho,,保利尼奥,,,,,Paulinho,Paulinho,Paulinho,Paulinho,Paulinho,Paulinho,Paulinho,Paulinho,Paulinho,Paulinho,Paulinho
Q21285771,Q12308941,Emílio,Emílio,,埃米利奥 (名字),,,,,Emílio,Emílio,Emílio,Emílio,Emílio,Emílio,Emílio,Emílio,Emílio,Emílio,Emílio
Q21285787,Q12308941,Moacyr,Moacyr,,穆阿基尔,,,,,Moacyr,Moacyr,Moacyr,Moacyr,Moacyr,Moacyr,Moacyr,Moacyr,Moacyr,Moacyr,Moacyr
Q21285803,Q12308941,Virgílio,Virgílio,,,,,,Виржилиу,Virgílio,Virgílio,Virgílio,Virgílio,Virgílio,Virgílio,Virgílio,Virgílio,Virgílio,Virgílio,Virgílio
Q21285819,Q12308941,,Durval,,,,,,,Durval,Durval,Durval,Durval,Durval,Durval,Durval,Durval,Durval,Durval,Durval
Q21285835,Q11879590,Heloísa,Heloísa,ヘロイザ,,,,,,Heloísa,Heloísa,Heloísa,Heloísa,Heloísa,Heloísa,Heloísa,Heloísa,Heloísa,Heloísa,Heloísa
Q21285851,Q12308941,Brás,Brás,,,,,,,Brás,Brás,Brás,Brás,Brás,Brás,Brás,Brás,Brás,Brás,Brás
Q21285867,Q12308941,Benead,Benead,,,,,,Бенид,Benead,Benead,Benead,Benead,Benead,Benead,Benead,Benead,Benead,Benead,Benead
Q21285883,Q12308941,,Jorginho,,,,,,,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho,Jorginho
Q21285899,Q12308941,Alair,Alair,,,,,,,Alair,Alair,Alair,Alair,Alair,Alair,Alair,Alair,Alair,Alair,Alair
Q21285915,Q11879590,Íris,Íris,,伊里斯,,,,,Íris,Íris,Íris,Íris,Íris,Íris,Íris,Íris,Íris,Íris,Íris
Q21285931,Q12308941,Vagner,Vagner,,瓦格纳,,,,,Vagner,Vagner,Vagner,Vagner,Vagner,Vagner,Vagner,Vagner,Vagner,Vagner,Vagner
Q21285963,Q12308941,Reynaldo,Reynaldo,レイナルド,雷纳尔多,,رينالدو,,Рейнальдо / Рейналду,Reynaldo,Reynaldo,Reynaldo,Reynaldo,Reynaldo,Reynaldo,Reynaldo,Reynaldo,Reynaldo,Reynaldo,Reynaldo
Q21285995,Q12308941,Epaminondas,Epaminondas,,,,,,,Epaminondas,Epaminondas,Epaminondas,Epaminondas,Epaminondas,Epaminondas,Epaminondas,Epaminondas,Epaminondas,Epaminondas,Epaminondas
Q21286027,Q12308941,Silveira,Silveira,,,,,,,Silveira,Silveira,Silveira,Silveira,Silveira,Silveira,Silveira,Silveira,Silveira,Silveira,Silveira
Q21286059,Q12308941,Claudinei,Claudinei,クラウディネイ,克劳迪内,,,,,Claudinei,Claudinei,Claudinei,Claudinei,Claudinei,Claudinei,Claudinei,Claudinei,Claudinei,Claudinei,Claudinei
Q21286075,Q12308941,Heleno,Heleno,,,,,,,Heleno,Heleno,Heleno,Heleno,Heleno,Heleno,Heleno,Heleno,Heleno,Heleno,Heleno
Q21286091,Q12308941,Olinto,Olinto,,奥林托,,,,,Olinto,Olinto,Olinto,Olinto,Olinto,Olinto,Olinto,Olinto,Olinto,Olinto,Olinto
Q21286107,Q12308941,Walmor,Walmor,,,,,,,Walmor,Walmor,Walmor,Walmor,Walmor,Walmor,Walmor,Walmor,Walmor,Walmor,Walmor
Q21286123,Q11879590,Zélia,Zélia,,载里亚,,,,,Zélia,Zélia,Zélia,Zélia,Zélia,Zélia,Zélia,Zélia,Zélia,Zélia,Zélia
Q21286219,Q12308941,Aires,Aires,アイレス,,,,,,Aires,Aires,Aires,Aires,Aires,Aires,Aires,Aires,Aires,Aires,Aires
