qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q108631,Q11879590,Katherine,Katherine,キャサリン,凱瑟琳,캐서린,كاثرين,קתרין,Катерин,Katherine,Katherine,Katherine,Katherine,Katherine,Katherine,Katherine,Katherine,Katherine,Katherine,Katherine
Q138887,Q101352,Radulović,Radulović,,拉杜洛维奇,,,,Радулович,Radulović,,,,,,,,,,
Q163495,Q11879590,Þóra,Þóra,,,,,,,Þóra,Þóra,Þóra,Þóra,Þóra,Þóra,Þóra,Þóra,Þóra,Þóra,Þóra
Q164503,Q101352,Hartog,,,,,هارتوغ,,Хартог,,,,,,,,,,,
Q170455,Q101352,Jenkins,,ジェンキンズ,詹金斯,,جنكينز,ג'נקינס,Дженкинс,,,,,,,,,,,
Q200983,Q101352,Cevdet,Cevdet,,,,جودت,,,Cevdet,Cevdet,Cevdet,Cevdet,Cevdet,Cevdet,Cevdet,Cevdet,Cevdet,Cevdet,Cevdet
Q203255,Q12308941,Jaromir,Jaromir,,,,,,Яромир,Jaromir,Jaromir,Jaromir,Jaromir,Jaromir,Jaromir,Jaromir,Jaromir,Jaromir,Jaromir,Jaromir
Q204039,Q12308941,Ásgeir,Ásgeir,アスラン,,,,אסגיר,Аусгейр,Ásgeir,Ásgeir,Ásgeir,Ásgeir,Ásgeir,Ásgeir,Ásgeir,Ásgeir,Ásgeir,Ásgeir,Ásgeir
Q221815,Q11879590,Leonóra,Leonóra,レオノーラ,,,,,Леонора,Leonóra,Leonóra,Leonóra,Leonóra,Leonóra,Leonóra,Leonóra,Leonóra,Leonóra,Leonóra,Leonóra
Q222327,Q11879590,Gretha,Gretha,,格丽塔 (名字),,,,Грета,Gretha,Gretha,Gretha,Gretha,Gretha,Gretha,Gretha,Gretha,Gretha,Gretha,Gretha
Q227367,Q12308941,Zsombor,Zsombor,,,,,,Жомбор,Zsombor,Zsombor,Zsombor,Zsombor,Zsombor,Zsombor,Zsombor,Zsombor,Zsombor,Zsombor,Zsombor
Q236231,Q101352,Trintignant,Trintignant,トランティニャン,特兰蒂尼昂,,ترنتينيان,,Трентиньян,Trintignant,Trintignant,Trintignant,Trintignant,Trintignant,Trintignant,Trintignant,Trintignant,Trintignant,Trintignant,Trintignant
Q252247,Q12308941,Árni,Árni,アルニ,,,آرنِي,ארני,Аудни,Árni,Árni,Árni,Árni,Árni,Árni,Árni,Árni,Árni,Árni,Árni
Q257383,Q101352,Normandeau,Normandeau,,诺曼多,,,,,Normandeau,Normandeau,Normandeau,Normandeau,Normandeau,Normandeau,Normandeau,Normandeau,Normandeau,Normandeau,Normandeau
