qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q28657,Q101352,Fotopoulos,,フォトプロス,福托普洛斯,,,,Фотопулос,,,,,,,,,,,
Q120401,Q101352,Kennedy,Kennedy,ケネディ,肯尼迪,,كينيدي,קנדי,Кеннеди,Kennedy,,,,,,,,,,
Q128673,Q11879590,Gyöngyvér,Gyöngyvér,,,,,,,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér,Gyöngyvér
Q139281,Q101352,Zacchia,,,,,,,,,,,,,,,,,,
Q140065,Q12308941,Zadoc,Zadoc,,,,,,,Zadoc,Zadoc,Zadoc,Zadoc,Zadoc,Zadoc,Zadoc,Zadoc,Zadoc,Zadoc,Zadoc
Q159713,Q12308941,Klemens,Klemens,クレメンス,克莱门斯 (名字),,,קלמנס,Клеменс / Климент,Klemens,Klemens,Klemens,Klemens,Klemens,Klemens,Klemens,Klemens,Klemens,Klemens,Klemens
Q181377,Q11879590,Edda,Edda,エッダ,埃达,,إيدا,אדה,Эдда,Edda,Edda,Edda,Edda,Edda,Edda,Edda,Edda,Edda,Edda,Edda
Q189537,Q101352,Zengin,,,曾金,젱긴,,,Зенгин,,,,,,,,,,,
Q196769,Q11879590,Zeruya,Zeruja,,,,,,,Zeruja,Zeruja,Zeruja,Zeruja,Zeruja,Zeruja,Zeruja,Zeruja,Zeruja,Zeruja,Zeruja
Q197057,Q101352,Zevi,,ゼーヴィ,,,تسفي,צבי,,,,,,,,,,,,
Q198785,Q101352,Ziegenfuss,,,,,زيجينفوس,,,,,,,,,,,,,
Q220401,Q101352,Zopf,Zopf,,,,,,Цопф,Zopf,Zopf,Zopf,Zopf,Zopf,Zopf,Zopf,Zopf,Zopf,Zopf,Zopf
Q229729,Q101352,Zumpe,Zumpe,,,,,,,Zumpe,Zumpe,Zumpe,Zumpe,Zumpe,Zumpe,Zumpe,Zumpe,Zumpe,Zumpe,Zumpe
Q230225,Q101352,Zupančič,Zupančič,,,,,,Зупанчич,Zupančič,Zupančič,Zupančič,Zupančič,Zupančič,Zupančič,Zupančič,Zupančič,Zupančič,Zupančič,Zupančič
Q265409,Q12308941,Libor,Libor,リボル,里伯,리보르,,ליבור,,Libor,Libor,Libor,Libor,Libor,Libor,Libor,Libor,,Libor,
Q266225,Q12308941,Haroun,Haroun,アルーン,,,هارون,,Харун,Haroun,Haroun,Haroun,Haroun,Haroun,Haroun,Haroun,Haroun,Haroun,Haroun,Haroun
Q271313,Q101352,Åström,Åström,,奥斯特伦,,أستروم,,Острём,Åström,Åström,Åström,Åström,Åström,Åström,Åström,Åström,Åström,Åström,Åström
Q294833,Q12308941,Alan,Alan,アラン,Alan,,ألان,אלן,Алан,Alan,Alan,Alan,Alan,Alan,Alan,Alan,Alan,Alan,Alan,Alan
Q320881,Q101352,Abidi,Abidi,,阿比迪,,عابدي,,,Abidi,Abidi,Abidi,Abidi,Abidi,Abidi,Abidi,Abidi,Abidi,Abidi,Abidi
Q334769,Q3409032,,Ülkü,,乌尔库,,,,,Ülkü,Ülkü,Ülkü,Ülkü,Ülkü,Ülkü,Ülkü,Ülkü,Ülkü,Ülkü,Ülkü
