# The seeds of the round being exported RIGHT NOW, written at creation time and
# overwritten every round — the same handoff shape as midpoint-seeds-to-open.tsv,
# not a history. It exists because the 2026-08-17 crash left three downloaded zips
# with nothing in the repo saying what they were: the seed IDs are the whole state
# of a round, and they are cheap to write down and expensive to reconstruct.
# Empty below the header means no round is mid-flight.
seed_geni_id	seed_name	tier	slot	target_geni_id	target_name
6000000227313817874	Nils father of Lars	2	father of Lars Nilsson	1605703	Constans Wilhelm Wenström
6000000227313926836	Arren Lindberg	1	father of NN Arrensson Lindberg	1554340	Wilhelmina Eva Christina Wulff
6000000227313986833	Carl father of Brita	2	father of Brita Persson (Carlsdotter)	1793387	Ann-Mari Lindberger
6000000227314246906	NN Nyman	4	father of Anna Maria Pelin (Nyman)	2023653	<private> Jahn (Pelin)
6000000227314279910	Tørris Tønjum	1	father of Anders Tørrisen Tønjum	2077926	Kari Svennungsen (Groethe)
6000000227314318922	NN Lowson	4	father of Anna Lowson	2120676	David Johansen Monrad
6000000227314434935	NN Jiménez de Castro	4	father of Juana Jiménez de Castro	2570116	Juan González de Bohórquez Jiménez
6000000227314487906	NN Vaumund	4	father of Moritz Vaumund	2800320	Hjalmar Torp
6000000227315362825	Torkel father of Mareta	2	father of Mareta Torkelsdatter	6000000079231324930	Ola R Sande (RETRY after earlier bail)
6000000227315400923	NN Koehler	4	father of Elizabeth May Ashbury (Koehler)	6000000066481522948	John Lawrence Ashbery (DESTINATION-seeded)
6000000227315602824	NN Qvist	4	father of Anders Johan Qvist	6000000080562610272	Karl Bertil Mathias Qvist (DESTINATION, 30 missing)
6000000227315594831	NN Zech	4	father of Paul Zech	6000000004016043175	Uli Zech (DESTINATION, component only 96 people)
6000000227315562970	NN Alioto	4	father of Francesco Alioto	6000000218365400850	Pope Leo XIV (DESTINATION, 27 missing)
6000000227315747834	Lars father of Ole	2	father of Ole LarsenLauritsen Larsen (Tjaland) 1649	GARBORG CLUSTER
6000000227315706873	Klaus father of Asgjerd	2	father of Asgjerd Klausdtr. Aabo 1796-1883	GARBORG CLUSTER
6000000227315748873	NN Rast	4	father of George Aaron Rast	6000000090358245316	Lehre Livingston Dantzler (28 missing)
6000000227315739939	NN Jarvinen	4	father of Lasse Armas Jarvinen 1924-2007	6000000041173248960	Olli Juhani Jarvinen (28 missing)
6000000227315851864	NN Habegger	4	father of Jacob H. Habegger	6000000014438228368	Richard Schrock (27 missing)
6000000227315871857	NN Rieger	4	father of Isidor Rieger 1860-1912	6000000010888345851	Pope Benedict XVI - ONLY 53 PEOPLE, needs midpoint
6000000227315857894	NN Pedersen	4	father of Hans Henrik Pedersen 1893-1956	6000000004104829407	Olaf Pedersen (26 missing)
6000000227315840948	NN Stohrer	4	father of Christian Stohrer	6000000123493262823	Paul Stohrer (26 missing)
6000000227315856887	NN Dega	4	father of Michal Dega c.1809	6000000032020782138	Wiktor Marian Dega (26 missing)
6000000227315929835	NN Caldeira Castelo Branco e Melo	4	father of Jose Caldeira Castelo Branco e Melo c.1811	6000000003152860875	Francisco Caldeira Cabral (24 missing)
6000000227315959846	NN Migliorati	4	father of Elia Giovanni Battista Migliorati	6000000076714784457	Pope Benedict XV (24 missing)
SKIP	Kentucky Representative Andy Barr	-	no open parent slot: paternal side entirely private/locked	6000000002625917550	needs MIDPOINT
6000000227315967852	NN Cox	4	father of John William Allen Cox 1865-1949	6000000121159833867	Gertrude Mary Cox (23 missing)
6000000227316049825	NN Cuperus	4	father of Johannes Cuperus 1791-1870	6000000172736611835	Lindor Serrurier (23 missing)
6000000227316047839	NN Peebles	4	father of James Andrew Charles Peebles 1906-1963	6000000109139929839	Jim Peebles (23 missing)
6000000227316148823	NN Adelheim	4	father of Gottfried Friedrich Adelheim c.1743-1812	6000000025590724230	Roman August Adelheim (23 missing)
6000000227316185841	NN Goddard	4	father of Elizabeth Walton (Goddard) 1839-1896	6000000020128946533	Alan C. Ashton (22 missing)
6000000227316186849	Mikkel Saugstad	1	father of Agnete Mikkelsdatter Gjestvang (Saugstad) 1822-1906	6000000064115854341	Alexandra Lindh (22 missing)
6000000227316267834	NN Dorumsgaard	4	father of Peder Dorumsgaard c.1882-c.1970	6000000006327229028	Arne Oddvar Dorumsgaard (22 missing)
6000000227316272844	NN Ritchie	4	father of Alexander G. Ritchie 1884	6000000014300629210	Dennis Ritchie (22 missing)
6000000227316301867	NN Helamar	4	father of Dora Perlmutter (Helamar) c.1862	6000000081001962237	George R.R. Martin (35 missing) UNBAILED
6000000227316509825	Matti Kinnunen	1	MARTIN MIDPOINT: father of Antti Matinpoika Kinnunen 1769-1806	6000000081001962237	George R.R. Martin 11->3 DONE
