qid,geni_id,label,in_universe,wikidata_degree,wd_bure_in_component,wd_nearest_bure_hops,tree_bure_in_component,tree_nearest_bure_hops
Q16650517,6000000008605294394,Mikael von Törne,1,6,231,1,250,1
Q16945159,6000000017424989989,Nils Abraham Bruncrona,1,4,3,1,250,1
Q16945169,6000000138783072822,Mårten Bunge till Beateberg,1,2,231,3,250,3
Q1814297,6000000000047267273,Carl Erik Mannerheim,1,8,231,1,250,1
Q185832,6000000006713354346,Emanuel Swedenborg,1,6,231,2,250,3
Q19312912,6000000008778928032,Fabian Reinhold von Fersen,1,10,231,1,250,2
Q19631563,6000000006783257558,Erik Carlsson Odelström,1,1,1,,250,3
Q19721217,6000000002309876767,Salomon Christoffer von Köhler,1,9,231,1,250,2
Q19828095,6000000006127570365,Carl Mörner af Morlanda,1,2,231,1,250,1
Q19860752,6000000008650533822,Carl Harald Strömfelt,1,8,231,1,250,1
Q19975889,6000000006127732174,Fredrik August August Adelswärd,1,8,231,1,250,1
Q19976400,6000000002142697033,Abraham Burensund,1,2,231,2,250,2
Q19976679,6000000008890203139,Otto Johan Lagerfelt,1,5,231,1,250,1
Q19977201,6000000007814473860,Jakob Pedersson Törnsköld,1,14,231,3,250,4
Q2021113,6000000078709755794,Olof Broman,1,5,1,,250,7
Q2075113,6000000006127523492,Hedvig Ulrika De la Gardie,1,7,231,1,250,1
Q217044,6000000018252392646,Franz Adolf Berwald,1,5,231,1,250,2
Q2361145,5580434788100067215,Carl Reinhold Sahlberg,1,6,1,,250,7
Q2415388,6000000000047165787,Carl Gustaf Mannerheim,1,7,231,1,250,1
Q2471654,6000000004396685338,Eva Aurora Charlotta Stjernvall,1,7,231,1,250,2
Q2478781,6000000003748326674,Adolf Fredrik Munck,1,6,231,6,250,6
Q2490612,6000000007548029494,Johan Graan till Ånsta,1,8,231,2,250,2
Q2575818,6000000000909345046,Robert Henrik Иванович Rehbinder till Viksberg,1,4,231,2,250,2
Q2624238,6000000006127108986,Wilhelm Mauritz Klingspor,1,12,231,1,250,2
Q26405863,6000000001218533012,Olof Engelbertsson Bure,1,8,231,1,250,2
Q2694124,6000000025022974646,Albrecht Elof Ihre II,1,2,231,1,250,1
Q27863581,6000000009366671365,Johan Carl Strömfelt,1,6,231,1,250,1
Q2965864,6000000006127529349,Christina Charlotta Cederström,1,14,231,1,250,1
Q3129338,6000000008778922864,Hedvig Eleonora von Fersen,1,10,231,1,250,1
Q329253,6000000010039794573,Ivar Henning Mankell,1,8,231,5,250,4
Q333297,6000000001005202384,Frans Michael Zachrichsson Franzén,1,12,231,2,250,2
Q333651,6000000012069920227,Henrik Gabriel Porthan,1,2,231,10,250,6
