qid	label	geni_ids	in_corpus	shape	detail
Q121093043	Яўфімія Млечка	6000000082670470610;6000000086636184844	0	neither profile is in our corpus	
Q121094789	V. Ignác Somlyói	6000000011749904336;6000000204653336843	0	neither profile is in our corpus	
Q121125985	Альжбета Кэнштарт	6000000174716755145;6000000224022805826	0	neither profile is in our corpus	
Q121290320	Станіслаў Валовіч	6000000020358094089;6000000085311900913	0	neither profile is in our corpus	
Q121290385	Элеанора дэ Раес	6000000020357297240;6000000177587312821	0	neither profile is in our corpus	
Q121290590	Антаніна Францішка Валовіч	6000000025417834713;6000000037376402697	0	neither profile is in our corpus	
Q121339523	Марцыян Валовіч	6000000094778300855;6000000193086479896	0	neither profile is in our corpus	
Q121339763	Тэкля Камар	6000000094777797041;6000000193086672878	0	neither profile is in our corpus	
Q121409641	Фядора Халецкая	6000000021287187687;6000000039480157291	0	neither profile is in our corpus	
Q121477612	Настасся Міхайлаўна Сангушка	6000000039319121802;6000000044762955915	0	neither profile is in our corpus	
Q121477888	Сямён Багданавіч Адзінцэвіч	6000000039319549709;6000000044763534866	0	neither profile is in our corpus	
Q121483776	Лаўрын Ратомскі	6000000015185491416;6000000015346316791	0	neither profile is in our corpus	
Q121536547	Piotr Żyżemski	6000000044502081463;6000000050134271852	0	neither profile is in our corpus	
Q121536805	Крысціна Багданаўна Саламярэцкая	6000000014980560094;6000000050133894078	0	neither profile is in our corpus	
Q121547236	Salumith Weston (Wadsworth)	6000000003681332467;6000000026986650318	0	neither profile is in our corpus	
Q12157828	Stefan Aleksander Potocki	6000000116748595634;6000000131449366187	0	neither profile is in our corpus	
Q121600806	Michał Połubiński	6000000039321089021;6000000224171753821	0	neither profile is in our corpus	
Q121600809	Edward Wing, II	6000000003939881172;6000000021078134977	0	neither profile is in our corpus	
Q121602581	Соф’я Хадкевіч	6000000014192954718;6000000224178872828	0	neither profile is in our corpus	
Q121850376	John Wilcox, I	6000000001299265121;6000000200139872411	0	neither profile is in our corpus	
Q121851129	Lucretia Cornell	5122164556700055508;6000000003940464788	0	neither profile is in our corpus	
Q121862861	Stephen Champlin	6000000003940255070;6000000038026374986	0	neither profile is in our corpus	
Q121862864	Dinah Champlin	6000000002663148953;6000000038026456911	0	neither profile is in our corpus	
Q121879215	Станіслаў Скоп	6000000014883498015;6000000183961266825	0	neither profile is in our corpus	
Q121886595	Станіслаў Радзівіл	6000000013932668866;6000000209563795823	0	neither profile is in our corpus	
Q121887589	Krzysztof Radziwiłł	6000000001380352693;6000000209567780843	0	neither profile is in our corpus	
Q121888428	Anna Radziwiłł	6000000014193954340;6000000209568236840	0	neither profile is in our corpus	
Q121888649	Мікалай Крыштаф Радзівіл	6000000023341192042;6000000190455000356	0	neither profile is in our corpus	
Q121889297	Канстанцыя Соф’я Радзівіл	6000000038082649363;6000000205507802824	0	neither profile is in our corpus	
Q121890022	Huldah Hopkins Field	6000000001383046212;6000000008851585147	0	neither profile is in our corpus	
Q122148115	Sophia Weston Pratt	6000000043912623055;6000000082000821044	0	neither profile is in our corpus	
Q122148116	Lydia Lyon	6000000002678085890;6000000043926007305	0	neither profile is in our corpus	
Q122184846	Юзаф Нарбут	6000000015388590001;6000000176784510825	0	neither profile is in our corpus	
Q122198076	"Mercy ""Marcy"" Robinson"	6000000001212844769;6000000006519403589	0	neither profile is in our corpus	
Q122259201	John Baylis	6000000002703766718;6000000004630613986	0	neither profile is in our corpus	
Q122259202	NN	6000000000571078562;6000000013270319741	0	neither profile is in our corpus	
Q122372337	Margaret Trentham, of Rocester	6000000025085571195;6000000059902479033	0	neither profile is in our corpus	
Q122382380	Сенька Дашкавіч	6000000014661708587;6000000021417581436;6000000044786278821;6000000050006595096	0	neither profile is in our corpus	
Q122387351	Геранім Максіміліян Стравінскі	6000000064577875830;6000000215173014828	0	neither profile is in our corpus	
Q122453987	Тэафіла Вапоўская	6000000013072467055;6000000087361598229	0	neither profile is in our corpus	
Q122664423	Станіслаў Шуйскі	6000000039633224271;6000000039645719128	0	neither profile is in our corpus	
Q122706137	Sophia Karlovna Skavronskaya	6000000008415697201;6000000190459360848	0	neither profile is in our corpus	
Q122706227	Jan Józef Sapieha	6000000017758870777;6000000190459360886	0	neither profile is in our corpus	
Q122706492	Franciszka Izabela Sapieha	6000000017761377043;6000000190459360892	0	neither profile is in our corpus	
Q122724156	Jan Jundziłłowicz	6000000022669484900;6000000024763230207	0	neither profile is in our corpus	
Q122724182	Jundziłł Raczkowicz	6000000022665298840;6000000024763336393	0	neither profile is in our corpus	
Q122724187	Рачка Табутавіч	6000000014945624212;6000000052262235886	0	neither profile is in our corpus	
Q122726452	Міхна Рачкавіч	6000000022664471005;6000000053781565892;6000000125111639871	0	neither profile is in our corpus	
Q122731705	Аляксандра Тышкевіч	6000000015184478661;6000000015184596680	0	neither profile is in our corpus	
Q122745967	Мікалай Юндзілавіч	6000000022669274288;6000000024763674115	0	neither profile is in our corpus	
Q122761256	Павел Юндзілавіч	6000000022670265744;6000000024763790895	0	neither profile is in our corpus	
Q122761298	Шымка Юндзілавіч	6000000014945829471;6000000022670182588	0	neither profile is in our corpus	
Q122762362	Тэрэза Ганна Ляцкая	6000000039633021528;6000000039645719254	0	neither profile is in our corpus	
Q122767083	Mercy Sacket	6000000020008455349;6000000134761153411	0	neither profile is in our corpus	
Q122775844	Пётр Шуйскі	6000000011323189489;6000000039644335142	0	neither profile is in our corpus	
Q122781284	Tecla Weissenhof	6000000028110462866;6000000039732375946	0	neither profile is in our corpus	
Q122808597	Julia Ann Huntington King	6000000000632099032;6000000140299639836	0	neither profile is in our corpus	
Q122811311	"Susannah ""Susan"" Huntington"	6000000000211144777;6000000084230918119;6000000140299639868	0	neither profile is in our corpus	
Q122811529	Edward Rand	6000000016036369582;6000000047019455883	0	neither profile is in our corpus	
Q122814297	Joseph Worth	6000000008319722479;6000000030751196779	0	neither profile is in our corpus	
Q1229894	Henry Condell	6000000022373694236;6000000042046544412	0	neither profile is in our corpus	
Q123000883	Стэфан Антоні Грабоўскі	6000000027150740054;6000000046229968915	0	neither profile is in our corpus	
Q123012619	Ян Абрамавіч Езафовіч	6000000045423899837;6000000082554502059	0	neither profile is in our corpus	
Q123224157	Sarah Nichols	6000000039000594490;6000000068026925076	0	neither profile is in our corpus	
Q123224768	Nathaniel Seaver	1544654;6000000039616880919	0	neither profile is in our corpus	
Q123224770	Hannah White	1544652;6000000020649422905	0	neither profile is in our corpus	
Q123238333	Alexander Bliss	6000000021996571389;6000000024462418029	0	neither profile is in our corpus	
Q123285367	Багдан Друцкі-Любецкі	6000000015712413889;6000000192194068376	0	neither profile is in our corpus	
Q12330140	Ole Scherfig	6000000011306996310;6000000098038242914	0	neither profile is in our corpus	
Q123337619	Дзмітрый Алехнавіч Казінскі	6000000014067092176;6000000032121057922	0	neither profile is in our corpus	
Q123337646	Алехна Грынькавіч Казінскі	6000000014066382861;6000000032118133779	0	neither profile is in our corpus	
Q123347407	Michał Aleksander Połubiński	6000000016682061713;6000000185431628856	0	neither profile is in our corpus	
Q123376592	Васіль Дравінскі	6000000046284159016;6000000090936222822	0	neither profile is in our corpus	
Q123397723	Петрушка Мушаціч	6000000024827620643;6000000222728795864	0	neither profile is in our corpus	
Q123402515	Joseph Bigsby	6000000006252151668;6000000020957596387	0	neither profile is in our corpus	
Q123461194	Антоні Юзаф Красіцкі	6000000015864949995;6000000039632680541	0	neither profile is in our corpus	
Q123473553	Marianne Guerard	6000000029877748493;6000000079199332821	0	neither profile is in our corpus	
Q123551017	Charles Hutchins Hapgood	6000000023738289923;6000000173585655513	0	neither profile is in our corpus	
Q123556412	Simon Tracy	6000000008018618359;6000000081002682338	0	neither profile is in our corpus	
Q123556421	Mary Leffingwell	6000000000475109491;6000000081002832280	0	neither profile is in our corpus	
Q123559911	William P. Rend II	6000000031687535343;6000000038876504795	0	neither profile is in our corpus	
Q123631823	Marcus Morton Holmes	6000000001843231451;6000000119965958861	0	neither profile is in our corpus	
Q123651532	Asael / Asahel Adams	6000000026477121886;6000000182540540861	0	neither profile is in our corpus	
Q123669353	Major Benjamin Adams Jr.	6000000002364343637;6000000026702106239	0	neither profile is in our corpus	
Q123687910	Benjamin C Dillingham	6000000012421282935;6000000023866246141	0	neither profile is in our corpus	
Q123694370	Фядора Крошынская	6000000086424343933;6000000174720902902	0	neither profile is in our corpus	
Q123702106	Benjamin Douglas	6000000007418556860;6000000038449595521	0	neither profile is in our corpus	
Q123703052	Alsa Else Starr	6000000014891747852;6000000035198564982	0	neither profile is in our corpus	
Q123915883	Jerusha Marcy	6000000028278336493;6000000056929300141	0	neither profile is in our corpus	
Q123991445	Rebecca Hamlin	6000000023839032858;6000000024306654482	0	neither profile is in our corpus	
Q123992196	Beriah Fitch	6000000013113161678;6000000029678041096	0	neither profile is in our corpus	
Q123992431	Elizabeth Franz Pickett	6000000002268627780;6000000024682050611	0	neither profile is in our corpus	
Q124014176	Elisha Tracy	6000000003938203442;6000000005415337876	0	neither profile is in our corpus	
Q124014302	Ann Plummer	6000000016819265816;6000000030225883171	0	neither profile is in our corpus	
Q124029400	Томаш Цадроўскі	6000000016457784705;6000000082755810152	0	neither profile is in our corpus	
Q124079420	Марына Андрэеўна Друцкая-Прыхабская	6000000015346371975;6000000042508730533	0	neither profile is in our corpus	
Q124080024	Ганна Глінская	6000000040415353614;6000000085100512013	0	neither profile is in our corpus	
Q124089731	Susannah Robinson	6000000047381902197;6000000089109321912	0	neither profile is in our corpus	
Q124089838	Comfort Dow	6000000015977976299;6000000085034422963	0	neither profile is in our corpus	
Q124089845	Elizabeth Batchelder	6000000011943824767;6000000187072103371	0	neither profile is in our corpus	
Q124157388	Багдана Кміта	6000000015346160816;6000000046097358070	0	neither profile is in our corpus	
Q124172713	Rev. Petrus Ten Broeck	6000000012170451830;6000000020378769597	0	neither profile is in our corpus	
Q124172801	Bethiah Bingham	6000000000336233700;6000000018678045227	0	neither profile is in our corpus	
Q124247202	Fanny Mason	6000000046664709821;6000000072328548057	0	neither profile is in our corpus	
Q124289107	Ганна Шчыт-Неміровіч	6000000014058418605;6000000039438478038	0	neither profile is in our corpus	
Q124289309	Сільвестр Іванавіч Жыжэмскі	6000000044502485199;6000000215785513823	0	neither profile is in our corpus	
Q124300319	Joseph Bailey	6000000002073423246;6000000027214819579	0	neither profile is in our corpus	
Q124307101	David Pearson	6000000003323593220;6000000183277873959	0	neither profile is in our corpus	
Q124307108	Sarah Danford	6000000003323621151;6000000183280152847	0	neither profile is in our corpus	
Q124325749	Chloe Orcutt	6000000033116180234;6000000068575990857	0	neither profile is in our corpus	
Q124327970	Jane Riker	309085786930002796;6000000173104918867	0	neither profile is in our corpus	
Q124353338	Раман Лукомскі	6000000050133709164;6000000133417750081	0	neither profile is in our corpus	
Q124353362	Стрэт Міхайлавіч Тышкевіч	6000000014981761389;6000000041168422976	0	neither profile is in our corpus	
Q124364167	Margaret Wilson	6000000012960714484;6000000031833209499	0	neither profile is in our corpus	
Q124364351	Sarah Reeve	6000000081787391384;6000000188260709031	0	neither profile is in our corpus	
Q124422893	Dan F. Shanower	6000000151089613825;6000000152383773903	0	neither profile is in our corpus	
Q124423371	Maximilian Graf von und zu Sandizell	6000000019664170307;6000000196467751851	0	neither profile is in our corpus	
Q124598682	István Kerpacsics	6000000025066780258;6000000025067047958	0	neither profile is in our corpus	
Q124652237	Elisha Chase Chace	6000000065636914699;6000000178215599823	0	neither profile is in our corpus	
Q124660918	Юзаф Іахім Кубліцкі	6000000014768990746;6000000210735903843	0	neither profile is in our corpus	
Q124684448	Антоні Касакоўскі	6000000189173264835;6000000192675079926	0	neither profile is in our corpus	
Q124684458	Канстанцыя з Красноўскіх	6000000189173496822;6000000192659962830	0	neither profile is in our corpus	
Q124685389	Rachel Wells Easton	6000000026107200938;6000000027614084973	0	neither profile is in our corpus	
Q124695737	Thomas Bigelow	6000000003040502160;6000000195067103853	0	neither profile is in our corpus	
Q124719193	Parthenia Beach	6000000024487950501;6000000198695531470	0	neither profile is in our corpus	
Q124719587	Theodosia Brewer	6000000000211147535;6000000002705083028	0	neither profile is in our corpus	
Q124721262	Orpha Hamilton	6000000002980195078;6000000020880925683	0	neither profile is in our corpus	
Q124742480	Соф’я Пац	6000000014959511309;6000000215547273829	0	neither profile is in our corpus	
Q124750477	Альжбета Далмат-Ісайкоўская	6000000014960456999;6000000015153221217	0	neither profile is in our corpus	
Q124755116	Михайло Козека	6000000090934228077;6000000206987884895	0	neither profile is in our corpus	
Q124798606	Antoni Rudomina Dusiacki	6000000083821742946;6000000224209954882	0	neither profile is in our corpus	
Q124804792	Аляксандр Масальскі	6000000033244539979;6000000038237952537;6000000043660070078;6000000053549922189	0	neither profile is in our corpus	
Q124804809	Ева Курцэвіч	6000000033244627880;6000000038238358869	0	neither profile is in our corpus	
Q124832875	Ян Валерыян Кунцэвіч	6000000028266010427;6000000094082718906	0	neither profile is in our corpus	
Q124832907	Ганна Валовіч	6000000014947925354;6000000028266053545	0	neither profile is in our corpus	
Q124833169	Аляксандр Геранім Валовіч	6000000028266185543;6000000043455443167	0	neither profile is in our corpus	
Q124833256	Барбара Крышпін-Кіршэнштэйн	6000000014726531080;6000000028266365031	0	neither profile is in our corpus	
Q124881094	Jesse Williams	6000000022290681171;6000000033023814946	0	neither profile is in our corpus	
Q124883211	Hannah Gilman	6000000025902690120;6000000035137253125	0	neither profile is in our corpus	
Q1249126	Joel Pritchard	6000000075076619861;6000000078044074255	0	neither profile is in our corpus	
Q124958871	Michał Kazimierz Żyżemski	6000000015185878047;6000000044502137967	0	neither profile is in our corpus	
Q125024550	Барыс Сямёнавіч	6000000039480372892;6000000222419367923	0	neither profile is in our corpus	
Q125142540	John Old Goodford	6000000001413361513;6000000042777363201	0	neither profile is in our corpus	
Q125145854	Крысціна Лянкевіч	6000000008259864779;6000000015395208057	0	neither profile is in our corpus	
Q125217	Christopher Rouse	6000000189216797842;6000000210380433854	0	neither profile is in our corpus	
Q125303244	William Steele	6000000040748310118;6000000181195261863	0	neither profile is in our corpus	
Q125334885	Адам Храптовіч	6000000015150619495;6000000174721180157	0	neither profile is in our corpus	
Q125335039	Крыштаф Юндзіл	6000000015150671216;6000000210565555821	0	neither profile is in our corpus	
Q125657870	Ян Азямблоўскі	6000000015346608905;6000000024948325476	0	neither profile is in our corpus	
Q125684776	Глеб Иванович Головня-Острожецкий	6000000032120744535;6000000090936608822	0	neither profile is in our corpus	
Q125685746	Anna Chreptowicz	6000000006706505796;6000000044787159886	0	neither profile is in our corpus	
Q125697925	Karoline Schilling	6000000021478569281;6000000046800508881	0	neither profile is in our corpus	
Q125705841	Aboe Bakar St. Pangeran	6000000017411832409;6000000189913374821	0	neither profile is in our corpus	
Q125781335	Юрый Юндзіл	6000000014946507506;6000000206194284836	0	neither profile is in our corpus	
Q125782370	Zofia Hołowczyńska	6000000009204753188;6000000014983978309	0	neither profile is in our corpus	
Q125826732	Крыштаф Жыжэмскі	6000000044499349475;6000000050133871067	0	neither profile is in our corpus	
Q126011301	Rebecca Mann	6000000003940729768;6000000191745820823	0	neither profile is in our corpus	
Q126031921	Krik Świrski	6000000014559760032;6000000024823694298	0	neither profile is in our corpus	
Q126094319	Самуэль Галоўчынскі	6000000038240102938;6000000212948928838	0	neither profile is in our corpus	
Q126111450	Аляксандр Падбярэзскі	6000000019204426809;6000000179258968823	0	neither profile is in our corpus	
Q126198423	Крысціна Францкевіч-Радзімінская	6000000087927312865;6000000174721232145	0	neither profile is in our corpus	
Q126364777	Антоні Камар	6000000017199228704;6000000094777978871	0	neither profile is in our corpus	
Q126364778	Тэкля Галынская	6000000017199153716;6000000094777789989	0	neither profile is in our corpus	
Q126365392	John Mannsett Bradford	6000000017307104993;6000000081928739853	0	neither profile is in our corpus	
Q126366432	Ян Валовіч	6000000028264804731;6000000094084015939;6000000184873529847	0	neither profile is in our corpus	
Q126366453	Ян Павел Валовіч	6000000014947484900;6000000215528525858	0	neither profile is in our corpus	
Q126366563	Антоні Валовіч	6000000215243826837;6000000215455004821	0	neither profile is in our corpus	
Q126372961	Антоні Скіндэр	6000000025429099117;6000000041089139211	0	neither profile is in our corpus	
Q126373358	Петранела Рыдзэўская	6000000025428974520;6000000214940315826	0	neither profile is in our corpus	
Q126373376	Эдвард Валовіч	6000000025429162170;6000000214940457822	0	neither profile is in our corpus	
Q126373382	Казімір Валовіч	6000000025428888535;6000000214940326832	0	neither profile is in our corpus	
Q126373405	Геранім Валовіч	6000000025429093687;6000000214970981838	0	neither profile is in our corpus	
Q126373443	Юзэфа Лапушанская	6000000025428692430;6000000214971078831	0	neither profile is in our corpus	
Q126373448	Станіслаў Валовіч	6000000025428628520;6000000214971212825	0	neither profile is in our corpus	
Q126373457	Юлія Валовіч	6000000025429049638;6000000214971150834	0	neither profile is in our corpus	
Q126373557	Кацярына Асяцімская	6000000025428753483;6000000214914709879	0	neither profile is in our corpus	
Q126373579	Густаў Валовіч	6000000025428771709;6000000214914723878	0	neither profile is in our corpus	
Q126373581	Міхал Валовіч	6000000025428362552;6000000214914872849	0	neither profile is in our corpus	
Q126378052	Jonas Astikas	6000000009204867285;6000000040385939837	0	neither profile is in our corpus	
Q126391829	Carl Praefcke	6000000080500560084;6000000171920387833	0	neither profile is in our corpus	
Q12658811	Juszko Goyczowicz	6000000012156490683;6000000080760138938	0	neither profile is in our corpus	
Q12659748	Karolis Radvila	6000000002188456857;6000000221118390938;6000000221147201863	0	neither profile is in our corpus	
Q126673825	Susan Codman Welles	6000000012381114388;6000000044148224042	0	neither profile is in our corpus	
Q126678460	Elizabeth Bosworth	6000000057495829832;6000000109334887174	0	neither profile is in our corpus	
Q126746139	Eunice Chase	6000000002860816677;6000000014428465424	0	neither profile is in our corpus	
Q12675087	Tyszko	6000000014659931318;6000000076958569606	0	neither profile is in our corpus	
Q126759014	Martha Amanda Thayer	6000000018454696993;6000000141703684854	0	neither profile is in our corpus	
Q126855301	Ян Нарбут	6000000039673362859;6000000086322902870	0	neither profile is in our corpus	
Q126879754	Hannah Andrews	6000000005953961752;6000000084650922589	0	neither profile is in our corpus	
Q126890385	Solomon Rand	6000000008436070702;6000000180292870822	0	neither profile is in our corpus	
Q126890386	Deborah Rand	6000000008436153689;6000000180293000821	0	neither profile is in our corpus	
Q126896105	Антоні Валовіч	6000000002659221628;6000000214946894821	0	neither profile is in our corpus	
Q126901381	Касільда Валовіч	6000000002659221129;6000000214767567852	0	neither profile is in our corpus	
Q126902284	Дамінік Аскерка	6000000211472141830;6000000214402245829	0	neither profile is in our corpus	
Q126902816	Benjamin Ropes Nichols	6000000016933530617;6000000108341934949	0	neither profile is in our corpus	
Q126911321	Разалія Корсак	6000000022953231352;6000000076170873046	0	neither profile is in our corpus	
Q126911695	William Clark	6000000024934267303;6000000048343232163	0	neither profile is in our corpus	
Q126911877	Aron Moses	6000000174873795027;6000000198251616854	0	neither profile is in our corpus	
Q126947740	Rebecca Wardner	6000000007470989762;6000000073074922865	0	neither profile is in our corpus	
Q126962759	Theodosia van Name	6000000082780226843;6000000153707053841	0	neither profile is in our corpus	
Q126962902	Josiah Fowle	6000000009850111708;6000000013698431165	0	neither profile is in our corpus	
Q126962903	Margery Carter	6000000013698410136;6000000019242746764	0	neither profile is in our corpus	
Q126964431	Heinrich Ferdinand Lehmkuhl	6000000011489067545;6000000016123001808	0	neither profile is in our corpus	
Q127038633	Леў Талочка	6000000024824149381;6000000046722105491	0	neither profile is in our corpus	
Q127038747	Н Буйніцкая	6000000011710956172;6000000024824362338	0	neither profile is in our corpus	
Q127043434	Марына Лашч	6000000000945056818;6000000033243712085	0	neither profile is in our corpus	
Q127203488	Laura Bascom	6000000002860855799;6000000032435874025	0	neither profile is in our corpus	
Q127325175	Фёдар Іванавіч Чацвярцінскі	6000000014067937624;6000000015405646016	0	neither profile is in our corpus	
Q127327324	Юрый Міхайлавіч Чацвярцінскі	6000000014068470224;6000000018441512732	0	neither profile is in our corpus	
Q127327340	Фядора Чацвярцінская	6000000014068554747;6000000044790893146	0	neither profile is in our corpus	
Q127328728	Phoebe Medbery	6000000003680221482;6000000143191661152	0	neither profile is in our corpus	
Q127328742	Charles Rhodes	6000000003539495310;6000000019254490127	0	neither profile is in our corpus	
Q127328835	Jesse Stetson	6000000002066226982;6000000003635253881	0	neither profile is in our corpus	
Q127328952	Haliburton G. Avery	6000000000250147119;6000000026338315459	0	neither profile is in our corpus	
Q127427296	Gail Gilbert	6000000002589268983;6000000050242742906	0	neither profile is in our corpus	
Q127504124	Канстанцыя Чацвярцінская	6000000005011309159;6000000199221686826	0	neither profile is in our corpus	
Q127514594	Раман Дольскі	6000000044360830885;6000000084383896987	0	neither profile is in our corpus	
Q127514884	Астафій Храптовіч	6000000024988413045;6000000085099493941	0	neither profile is in our corpus	
Q127518496	Габрыэль Рудаміна-Дусяцкі	6000000016750159540;6000000038236765721	0	neither profile is in our corpus	
Q127603336	Іван Дзмітрыевіч Кіндыр	6000000011422597142;6000000018171189155	0	neither profile is in our corpus	
Q127695847	Frederick Henry Bedford	6000000014224718225;6000000021426450788	0	neither profile is in our corpus	
Q127719223	Тэрэза Камароўская	6000000094268529821;6000000182739339821	0	neither profile is in our corpus	
Q127808958	Nils af Sillén	6000000006128046932;6000000193579550856	0	neither profile is in our corpus	
Q127868875	Аляксандра Петрачэвіч	6000000014570673052;6000000027157378917	0	neither profile is in our corpus	
Q127952034	Ignacy Przeciszewski	6000000195209993821;6000000210468380844	0	neither profile is in our corpus	
Q127954553	Антаніна Сулістроўская	6000000195209935829;6000000210468368892	0	neither profile is in our corpus	
Q128067589	Robert Heinrich Brehm	6000000034884911363;6000000108712594891	0	neither profile is in our corpus	
Q128134540	Ежы Юзаф Хжанстоўскі	6000000024947554792;6000000179216819829	0	neither profile is in our corpus	
Q128210234	Mary Crosby	6000000032580589928;6000000176734243852	0	neither profile is in our corpus	
Q128210482	Priscilla Lewis	6000000098094383878;6000000111209261823	0	neither profile is in our corpus	
Q128210548	Hannah Deane	6000000024557337037;6000000126974109098	0	neither profile is in our corpus	
Q128215133	Міхаіл Фёдаравіч Масальскі	6000000024824362379;6000000053596199455	0	neither profile is in our corpus	
Q128215150	Ганна Крывец	6000000037019198447;6000000041525668947	0	neither profile is in our corpus	
Q128238187	Julius Adolph Constantin Ciechanowiecki	6000000211472654835;6000000214436962859	0	neither profile is in our corpus	
Q128373492	Sarah Williams	6000000024954813254;6000000089214862922	0	neither profile is in our corpus	
Q128373971	Hannah Smith	6000000023996153845;6000000025165259657	0	neither profile is in our corpus	
Q128374551	Joseph Nash Bradford	6000000000320658719;6000000056839626977	0	neither profile is in our corpus	
Q128450724	Sarah Pemberton Wright	6000000017115508249;6000000179419088822	0	neither profile is in our corpus	
Q128519452	Крыштаф Шэмет	6000000090463810720;6000000094265824821	0	neither profile is in our corpus	
Q128633431	Thomas Fuller	6000000008231421873;6000000008369853247	0	neither profile is in our corpus	
Q128693751	Abigail C Nichols	6000000001915228713;6000000080834192744	0	neither profile is in our corpus	
Q128801734	Mary G Hoar	6000000021897234740;6000000021917876128	0	neither profile is in our corpus	
Q128801912	Timothy Vinton	6000000014782588853;6000000029857297322	0	neither profile is in our corpus	
Q1290835	Tao Kan	6000000055530009896;6000000074758485075	0	neither profile is in our corpus	
Q129255441	Барталамей Мірскі	6000000085540705897;6000000174743558191	0	neither profile is in our corpus	
Q129419699	Zerviah Wright	6000000012965440376;6000000060236660846	0	neither profile is in our corpus	
Q129676340	Joseph Whitney	6000000026862425888;6000000029858116481	0	neither profile is in our corpus	
Q129676931	Себасцьян Кэнштарт	6000000174709249933;6000000224022342876	0	neither profile is in our corpus	
Q129736726	Hannah Richards	6000000003941146878;6000000010440569713	0	neither profile is in our corpus	
Q129843481	Asa Hoyt	6000000016820874683;6000000079146214823	0	neither profile is in our corpus	
Q129922479	Альбрэхт Крыштаф Білевіч	6000000033769346895;6000000217988131826	0	neither profile is in our corpus	
Q129925147	Mehitable Huntington	6000000003796649666;6000000008439599909	0	neither profile is in our corpus	
Q129926258	Moses Noyes	6000000000561660123;6000000193332705894	0	neither profile is in our corpus	
Q129926314	Hannah Noyes	6000000003939897269;6000000193333036849	0	neither profile is in our corpus	
Q129978825	Roger Zsigmond Csáky-Pallavicini	6000000002466717406;6000000035399509164	0	neither profile is in our corpus	
Q130003846	Kaulahea, Mo'i of Maui	6000000002918754314;6000000195379175857	0	neither profile is in our corpus	
Q130094497	Emma Sherman	6000000008439675979;6000000206780488867	0	neither profile is in our corpus	
Q130098233	Captain Thomas Starr	6000000008809309202;6000000206776449828	0	neither profile is in our corpus	
Q130159054	Ян Шэмет	6000000014984432566;6000000043443506962	0	neither profile is in our corpus	
Q130214837	Salmon Curtiss	6000000003942861910;6000000166015825342	0	neither profile is in our corpus	
Q130214838	Esther Curtiss	6000000003942861903;6000000166017974843	0	neither profile is in our corpus	
Q130214962	Joseph Bridgham	6000000044420765919;6000000077634057708	0	neither profile is in our corpus	
Q130214964	Martha Bridgham	6000000044420659924;6000000170034165065	0	neither profile is in our corpus	
Q130215085	Iliki-a-moana	6000000006102569561;6000000034703587799	0	neither profile is in our corpus	
Q130215087	Moana Kane	6000000000185911420;6000000006103032131	0	neither profile is in our corpus	
Q130215109	Moana Wahine	6000000006339903480;6000000006412879059	0	neither profile is in our corpus	
Q130252005	Войцех Шукшта	6000000024947965170;6000000025412563275	0	neither profile is in our corpus	
Q130260116	Ганна Война	6000000014883361093;6000000224021657081	0	neither profile is in our corpus	
Q130269732	Sir Mark Edlmann Collet	6000000109055776060;6000000109120021954	0	neither profile is in our corpus	
Q130271127	Piotr Kroszyński	6000000038357291613;6000000046211216009	0	neither profile is in our corpus	
Q130273096	Deacon William Dudley	6000000003177891482;6000000217062956181	0	neither profile is in our corpus	
Q130279498	Ежы Галоўчынскі	6000000016281076508;6000000038239593163	0	neither profile is in our corpus	
Q130283264	Соф’я Андрэеўна	6000000014066830534;6000000032120911171	0	neither profile is in our corpus	
Q130283323	Юрый Пятровіч Галаўня-Астрожацкі	6000000014066921973;6000000032120902095	0	neither profile is in our corpus	
Q130283488	Соф’я Пятроўна Галаўня-Астрожацкая	6000000014066944998;6000000032120912137	0	neither profile is in our corpus	
Q130283553	Ганна Васілеўна Сангушка	6000000014066959404;6000000032119884801	0	neither profile is in our corpus	
Q13028456	Andrzej Sanguszko	6000000003523354151;6000000022875250616	0	neither profile is in our corpus	
Q13028463	Andrzej Massalski	6000000039919774121;6000000053550152908	0	neither profile is in our corpus	
Q13028484	Antoni Oskierko	6000000011157098831;6000000211748941821	0	neither profile is in our corpus	
Q130299049	Jerzy Zamoyski	6000000021658937654;6000000190450528245	0	neither profile is in our corpus	
Q13030416	Hieronim Kryszpin-Kirszensztein	6000000024779435475;6000000028265935701	0	neither profile is in our corpus	
Q13030549	Giligin	6000000016776251930;6000000191155470849	0	neither profile is in our corpus	
Q130305701	Thomas Spencer	6000000008506843252;6000000019415335741	0	neither profile is in our corpus	
Q130305729	Mary B Spencer	6000000008501498843;6000000019415255598	0	neither profile is in our corpus	
Q130308447	Aleksandra Chodkiewicz	6000000006603545389;6000000215427008824	0	neither profile is in our corpus	
Q13031211	Лаўрын Война	6000000024948474283;6000000220953082833;6000000224022562849	0	neither profile is in our corpus	
Q13031216	Leon Władysław Radziwiłł	6000000025875163844;6000000219768699967	0	neither profile is in our corpus	
Q13031410	Marcin Michał Kryszpin-Kirszensztein	6000000043454840201;6000000083821666970	0	neither profile is in our corpus	
Q13031411	Marcin Chreptowicz	6000000040415934025;6000000055622508831	0	neither profile is in our corpus	
Q13032415	Roman Ivashkovich	6000000041191681823;6000000042841491337	0	neither profile is in our corpus	
Q13032479	Hrihory Sanguszko	6000000010762386010;6000000148754536351	0	neither profile is in our corpus	
