qid	label	geni_ids	in_corpus	shape	detail
Q886894	Ptolemy Apion	6000000003645908672;6000000041073777758	2	SIBLINGS - they share a parent	Ptolemy Apion King of Cyrene / Ptolemy Apion: share Ptolemy, Concubine (Irene?) of Egypt I
Q961910	Jean-Toussaint Arrighi de Casanova	6000000014163322246;6000000185833360841	2	SIBLINGS - they share a parent	Jean Toussaint Arrighi de Casanova / Jean Toussaint ARRIGHI DE CASANOVA: share Marie Antoinette BENIELLI, Hyacinthe ARRIGHI DE CASANOVA
Q100152591	Priscilla Hobart	6000000003939689400;6000000020747276888	0	neither profile is in our corpus	
Q10018149	Józef Felicjan Potocki	6000000002111549157;6000000131451545881	0	neither profile is in our corpus	
Q100272284	Luise Bacharach	6000000020369544899;6000000115308651170	0	neither profile is in our corpus	
Q100432929	Mary Butler	6000000009103099807;6000000044316259878	0	neither profile is in our corpus	
Q100450214	John B Noyes	5262976979220045503;6000000210034810880	0	neither profile is in our corpus	
Q100450218	Elizabeth Billings “Betsey” Noyes	6000000006846187688;6000000210035093828	0	neither profile is in our corpus	
Q100490602	Elizabeth Somerby	4269699771790031909;6000000003937884078;6000000030306735940	0	neither profile is in our corpus	
Q100503723	Michał Ezofowicz-Rabinkowicz	6000000045424111893;6000000137823895858	0	neither profile is in our corpus	
Q100591197	Feliks Nikodem Ciechanowiecki	6000000024304520829;6000000082668862879	0	neither profile is in our corpus	
Q100591414	Kazimierz Józef Narbutt	6000000015163641260;6000000015388236297	0	neither profile is in our corpus	
Q100747256	Rebecca Slocum	6000000006348580123;6000000009288919620	0	neither profile is in our corpus	
Q100749568	Susanna Latham	6000000003077570867;6000000175010757071	0	neither profile is in our corpus	
Q100913572	Judith Rogers	6000000006770427124;6000000014178313068	0	neither profile is in our corpus	
Q100938060	Pricilla Mitchel	6000000020271475649;6000000192207539829	0	neither profile is in our corpus	
Q100938304	Amos D. Smith	6000000020274482924;6000000077859411410;6000000192207336844	0	neither profile is in our corpus	
Q100950217	Grigorijus Vaina	6000000039230963203;6000000115012446864	0	neither profile is in our corpus	
Q101226431	Benjamin Bird	6000000004237645211;6000000025581808569	0	neither profile is in our corpus	
