round	slot	method	geni_id	fs_id	from_geni	from_fs_id	evidence
1	child	date	6000000033246815864	LD91-SRS	6000000001172352035	L8BY-3VJ	born 987 vs 987
1	child	date	6000000000769135454	P44L-JVN	6000000001119785651	LDMN-5Y4	born 928 vs 928
1	child	date	6000000006727905636	LBBB-4XS	6000000001441509684	KT4G-S84	born 882 vs 882
1	child	date	6000000001544431739	9MN9-YL4	6000000003714562119	MBMH-FJ9	born 1124 vs 1124
1	child	date	6000000022504923184	28YJ-Z4N	6000000010211396295	9HTX-2CD	born 965 vs 965
2	child	name	6000000000759679062	LF8V-ZQJ	6000000003601184398	LYKJ-7K2	shared: byzantine
2	child	date	6000000064669681299	P8MW-V4S	5287530087430075153	LD38-423	born 1071 vs 1071
2	child	date	6000000002325842230	L8W6-496	6000000001156548028	L1W1-M5G	born 1025 vs 1025
2	child	date	6000000000769135454	P44L-JVN	6000000005870356001	GX7F-XSZ	born 928 vs 928
2	child	date	6000000000769119163	G14M-WMG	6000000000599365568	LD91-95N	born 1039 vs 1039
2	child	date	6000000004287155704	9Z8D-PM9	6000000010455043218	LZ84-SKX	born 1144 vs 1144
2	child	date	6000000001544431739	9MN9-YL4	6000000005587789441	L8WY-7T9	born 1124 vs 1124
2	child	date	6000000021652749382	G8CT-ZXV	6000000177921458863	G8PW-127	born 1888 vs 1888
2	child	date	6000000003858746697	G5QS-333	6000000006111890476	KZ48-P15	born 1140 vs 1140
2	child	date	6000000032863736748	LY4P-5GS	6000000002893824744	9K4K-WPT	born 1615 vs 1615
2	child	date	6000000022504923184	28YJ-Z4N	6000000003852730222	G39Q-HBK	born 965 vs 965
2	child	date	6000000008248183695	GX9W-PZS	6000000004533384157	L2Z5-9TF	born 875 vs 875
2	father	solo	6000000059483186905	GTHC-MLJ	6000000059500038071	GTHH-193	position
2	mother	solo	6000000201590078885	LV5J-6BV	6000000059500038071	GTHH-193	position
2	child	date	6000000002043186469	LH7S-12Y	6000000002043186152	L8MP-T1Y	born 950 vs 950
2	child	date	6000000004287155704	9Z8D-PM9	6000000001068387165	LZB4-2C7	born 1144 vs 1144
2	child	date	6000000003645760022	2743-44R	6000000000350890514	9MTF-W16	born 999 vs 999
2	child	date	6000000002325842230	L8W6-496	6000000001156548017	LY66-YCC	born 1025 vs 1025
3	child	date	6000000006727905636	LBBB-4XS	6000000011511306547	2MRF-3P5	born 882 vs 882
3	child	date	6000000000769119163	G14M-WMG	6000000000768857361	LD91-95X	born 1039 vs 1039
3	child	date	6000000002006348319	L89K-M3F	6000000002512252466	LHXN-S9G	born 1490 vs 1490
3	child	date	6000000226873737894	KL62-4DB	6000000001595814236	GGT4-LF5	born 1140 vs 1140
3	child	date	6000000008248183695	GX9W-PZS	6000000004533384241	LHF2-4VW	born 875 vs 875
3	child	date	6000000016182297373	LH7F-PJY	6000000006906578280	GJ4X-8TJ	born 1060 vs 1060
3	child	date	6000000002187690071	G7S7-WX7	4927794328070059657	GQP4-2K4	born 1105 vs 1105
3	child	date	6000000002043186469	LH7S-12Y	6000000003243439507	9CXC-BT8	born 950 vs 950
3	child	date	6000000003243493460	LY1D-RHM	6000000000162318926	GH7M-SN1	born 1084 vs 1084
3	child	date	6000000002006348319	L89K-M3F	6000000002342409509	LVZ4-NRQ	born 1490 vs 1490
3	child	date	6000000002187690071	G7S7-WX7	6000000002979930748	L1QM-QVR	born 1105 vs 1105
4	child	date	6000000050515434829	GB1V-6J1	6000000002212535092	L6JX-69T	born 1020 vs 1020
4	child	solo	6000000014911702559	MZ1V-Q9C	6000000015837840394	9NCQ-CW5	position
4	child	date	6000000001210506430	9CCY-2J4	6000000001169154590	GTDT-KWC	born 1000 vs 1000
4	child	solo	6000000014911702559	MZ1V-Q9C	6000000015837837619	9NCQ-CWP	position
4	child	date	6000000002225606559	GLNH-Z4P	6000000002224166476	LZG2-MSS	born 1058 vs 1058
4	child	date	6000000002187855010	GKD2-NSL	6000000005704400010	GWZB-NNM	born 955 vs 955
4	child	date	6000000003827470038	GXSN-TQM	6000000004533196565	K1TD-CZC	born 1215 vs 1215
4	child	date	6000000004533196555	GTCZ-25H	6000000000782781239	LY1P-166	born 1181 vs 1181
4	child	date	6000000006880491517	LCTV-5WG	6000000000782781239	LY1P-166	born 1182 vs 1182
4	child	date	6000000001210506430	9CCY-2J4	4957883020510080233	LD29-51J	born 1000 vs 1000
4	child	date	6000000050515434829	GB1V-6J1	6000000002212152431	LT1B-6DX	born 1020 vs 1020
4	mother	solo	6000000079186414501	LR6L-VSV	6000000003423203044	PXKF-DLM	position
4	child	date	6000000006906534698	GX7F-D83	6000000005587855694	LD97-CH9	born 997 vs 997
4	child	date	6000000003243493460	LY1D-RHM	6000000004148977344	M1TK-CR7	born 1084 vs 1084
4	child	date	6000000219102465824	PXHQ-PQP	6000000004148977344	M1TK-CR7	born 1090 vs 1090
4	child	date	6000000006906534698	GX7F-D83	6000000002566610371	KH4Q-2SB	born 997 vs 997
4	child	date	6000000003828071112	GJ15-LBH	6000000003051199072	G6G7-B83	born 1115 vs 1115
4	child	date	6000000001711091993	G98Y-F38	6000000009726660856	P7Y6-WQC	born 1005 vs 1005
4	father	solo	6000000009304958402	P79G-41Z	6000000009304958398	9S1L-ZP2	position
4	mother	solo	6000000009304958406	G6Z5-SS2	6000000009304958398	9S1L-ZP2	position
4	child	date	6000000003827681789	GVXS-8GC	6000000003827339236	GJH4-VMH	born 1115 vs 1115
4	child	date	6000000002225606559	GLNH-Z4P	6000000002215326285	LBL3-PTN	born 1058 vs 1058
4	child	date	6000000016182297373	LH7F-PJY	6000000025915205161	G5K6-S12	born 1060 vs 1060
4	child	date	6000000001711091993	G98Y-F38	6000000009782507443	G8WY-6L8	born 1005 vs 1005
4	child	date	6000000002247834869	GX75-DRY	6000000002916836425	LD9R-SHL	born 997 vs 997
4	child	date	6000000003397003322	GJR2-5J1	6000000002916836425	LD9R-SHL	born 1010 vs 1010
4	child	solo	6000000009404732188	PN97-3D3	6000000000424685255	L1TH-HRK	position
4	child	date	6000000004533664681	LK2Q-8HJ	6000000001593972605	MKG4-RM3	born 1064 vs 1064
4	child	date	6000000002187855010	GKD2-NSL	6000000000595794863	LB27-YWT	born 955 vs 955
4	child	date	6000000002247834869	GX75-DRY	6000000005936863007	MBGG-7NP	born 997 vs 997
4	child	date	6000000003397003322	GJR2-5J1	6000000005936863007	MBGG-7NP	born 1010 vs 1010
