n	geni_id	name	descendants	checked
1	6000000124574020843	Caterina Cornaro nipote della regina di Cipro	1	2026-09-10
2	6000000000640989195	Claire de Glandevès	0	2026-09-10
3	6000000015647948256	Jacques Grimaldi	11468	2026-09-10
4	6000000048606468567	Giorgi Gurieli of Guria	0	2026-09-10
5	6000000015633226273	Pietro Antonio di Capua	12476	2026-09-10
6	6000000186779024883	Tuta Bagrationi	0	2026-09-10
7	6000000027340806933	Fortunato Rangoni Conte di Castelcrescente e Borgofranco	829	2026-09-10
8	6000000000641011820	Gaspard de Pontevès	861	2026-09-10
9	6000000008384075400	Sayaluna ata	15000	2026-09-10
10	6000000103465917821	Hassan Beg Aq Qoyunlu	0	2026-09-10
11	6000000192981486821	Дмитрий Михайлович Кубенской	0	2026-09-10
12	6000000027504663889	Claude de Blacas	6	2026-09-10
13	6000000065462095858	Giovanni Theodore Paleologo	72	2026-09-10
14	6000000015216191129	Alessandro di Sangro archbishop of Benevento	0	2026-09-10
15	6000000091635323204	Paolo Cifai	265	2026-09-10
16	6000000160978840821	Girolamo Attardo	0	2026-09-10
17	6000000169682618866	Francesco Corner Piscopia provveditore ad Asola e in Istria	0	2026-09-10
18	6000000008511157206	Moḥammadī Aq Qoyunlu	0	2026-09-10
19	6000000000746523797	Hélène de Corday	15000	2026-09-10
20	6000000000640991408	Anne de Glandevès Montblanc		
21	6000000014295289536	Anne d'Ornano		
22	6000000015909511157	François de Luxembourg vicomte de Martigues		
23	6000000015214199992	Carlo Filiberto d'Este		
24	6000000027106548361	Farangis Khanom Saffavi		
25	6000000005062536963	Manuchar Mancha Suleiman-bey Ростомович Shervashidze I		
26	6000000180701061850	Grazia ZERAFA		
27	6000000014295951380	MARIA Flores de la Garza		
28	6000000178023484823	Antonio Ventimiglia Barone di Baucina		
29	6000000015368719150	Francesca Giulia Maria Carafa		
30	6000000048529633969	Natale aquilina		
31	6000000209904103850	Miguel Ramos Rios		
32	6000000203464190952	Муста-бей Бекирович Шервашидзе		
33	6000000082049846055	Lucrezia Giglioli		
34	6000000045038533853	Isabella d' Armenia		
35	6000000114645943987	Leonor Flores de Abrego		
36	6000000040463986883	Angélique de Requiston		
37	6000000048138874030	Nicholas de Bourbon-Condé		
38	6000000110034841864	Andrea Cottone		
39	6000000006101354838	Smbat I Hethumen Pahlavuni Prince of Paperon		
40	6000000089824051242	Исак Асен Shishman		
41	6000000019012246498	Jean du Bénéfice		
42	6000000000641030272	Scipion de Raymond		
43	6000000008909224402	Pedro Joseph De Valle Botello		
44	6000000015879202188	Pietro de Luna conte di Caltabellotta, duca di Bivona		
45	6000000061272734998	Giovanna de Luna		
46	6000000014295400244	José Rodrigo De la Fuente Cabello		
47	6000000022425346294	Jean de Lusignan		
48	6000000134547754160	Eleonora Moncada		
49	6000000018626022323	Cecilia Michiel		
50	6000000010941840335	Vasili Петрович Morozov		
51	6000000006781963580	Григорий Папуаьев сын Эристави		
52	6000000014294544029	Jose Flores de Valdez		
53	6000000079862541508	Niccolo de Theuma		
54	6000000001881446504	Mauricette Fébronie de La Tour d'Auvergne-Bouillon		
55	6000000013173876777	Leonora Marullo		
56	6000000021911367870	Ferdinando di Capua VI duca di Termoli		
57	6000000005062596951	Аслан бей Шервашидзе		
58	6000000000640997444	Antoinette de GLANDEVES		
59	6000000014928544038	Bohemond VII de Poitiers prince of Antioch, count of Tripoli		
60	6000000026884369608	François de Garde de Vins		
