qid	kind	case	leading_title	live_mul	live_en	proposed_label	proposed_aliases	hold	langs_carrying_live	geni_ids
Q4030	title	upper	Duke	Duke Ellington	Duke Ellington			no-change	mul en en-us fr nl	6000000016068953863
Q4813	title	upper	Lady	Lady Ann Cunningham	Lady Ann Cunningham			no-change	mul en en-ca nl	
Q5679	title	upper	Lord	Lord Byron	Lord Byron			no-change	mul en en-ca fr nl da nb pt	6000000005395417045
Q7104	title	upper	Baron		Baron d'Holbach			no-change	en en-ca sv	6000000020572653243
Q7228	title	upper	Prince		Prince of Changyi			no-change	en	
Q7301	title	upper	Prince		Prince of Hongnong			no-change	en en-ca	6000000012580151007
Q15474	title	upper	Sir		Sir William Hamilton, 9th Baronet			no-change	en en-ca hu	
Q19006	title	upper	Princess		Princess Elizabeth of Greece and Denmark			no-change	en	6000000001488398899
Q19848	title	upper	Lady	Lady Gaga	Lady Gaga			no-change	mul en en-ca en-us fr de nl sv da nb fi et es it pt la pl cs hu	6000000007723253626
Q24184	title	upper	Don	Don Rosa	Don Rosa			no-change	mul en en-ca fr de sv da nb fi es it pt la pl cs hu	6000000083363703078
Q24427	title	upper	Countess		Countess Maria Josepha of Harrach-Rohrau			no-change	en	6000000020350830641
Q27492	title	upper	Duke		Duke Constantine Petrovich of Oldenburg			no-change	en en-ca nl es	6000000002188453770
Q31129	title	upper	Queen		Queen Paola of Belgium			no-change	en	
Q33218	title	upper	Infanta		Infanta Alicia, Duchess of Calabria			no-change	en en-ca	
Q33923	title	upper	Saint		Saint Peter			no-change	en en-us	
Q44269	title	upper	Saint		Saint Nicholas			no-change	en	6000000007097847692
Q45195	title	upper	Duke		Duke Albrecht, Duke of Bavaria			no-change	en	6000000007329627422
Q50922	title	upper	Prince		Prince Augustus Ferdinand of Prussia			no-change	en en-ca	6000000000632012030
Q50984	title	upper	Princess		Princess Wilhelmina of Hesse-Kassel			no-change	en en-ca nl	6000000002188458284
Q50993	title	upper	Prince		Prince Heinrich of Prussia			no-change	en	6000000003219746232
Q50998	title	upper	Prince		Prince Adalbert of Prussia			no-change	en en-ca	4308141486140069539
Q51007	title	upper	Prince		Prince Adolf of Schaumburg-Lippe			no-change	en en-ca	6000000000307244864
