qid	lineage	roster_name	verdict	p31	wikidata_label
Q25337	other	2020	not in the local store		
Q135579479	other	Akatsuka no Kazunobu	not in the local store		
Q135579465	other	Akatsuka no Masakuni	not in the local store		
Q135579456	other	Akatsuka no Masatoki	not in the local store		
Q135579484	other	Akatsuka no Nagatoshi	not in the local store		
Q135579473	other	Akatsuka no Tokinobu	not in the local store		
Q65272445	other	Amabe clan	not in the local store		
Q455602	other	Amaterasu	solar deity	Q60994492;Q511056;Q11581090	Amaterasu
Q462555	other	Ame-no-oshihomimi	human	Q524158;Q5;Q60994492	Ame no Oshihomimi
Q11619936	other	Ancestor of Kikumakoku Governor	not in the local store		
Q85883175	other	Ancestor of Suga no Kuni no Miyatsuko	not in the local store		
Q140447402	other	Aogaki Publishing	not in the local store		
Q11499521	other	Atsumi-shinnō	human	Q5	Atsumi-shinnō
Q11657515	other	Awa no Kuni no Miyatsuko	not in the local store		
Q313345	other	Emperor Annei	legendary human figure	Q124710051	Emperor Annei
Q316637	other	Emperor Bidatsu	human	Q5	Bidatsu
Q179971	other	Emperor Chūai	not in the local store		
Q271536	other	Emperor Itoku	legendary human figure	Q124710051	Emperor Itoku
Q200188	other	Emperor Jimmu	human	Q5;Q21070568;Q12334344	Jimmu
Q329761	other	Emperor Jomei	human	Q5	Jomei
Q333548	other	Emperor Kaika	legendary human figure	Q124710051	Emperor Kaika
Q314846	other	Emperor Kanmu	human	Q5	Emperor Kanmu
Q329723	other	Emperor Keikō	not in the local store		
Q349277	other	Emperor Keitai	human	Q5	Keitai
Q329792	other	Emperor Kinmei	human	Q5	Kinmei
Q312821	other	Emperor Kōan	legendary human figure	Q124710051	Emperor Kōan
Q333572	other	Emperor Kōgen	legendary human figure	Q124710051	Emperor Kōgen
Q440518	other	Emperor Kōkō	human	Q5	Kōkō
Q958662	other	Emperor Kōnin	human	Q5	Kōnin
Q313041	other	Emperor Kōrei	legendary human figure	Q124710051	Kōrei
Q312841	other	Emperor Kōshō	legendary human figure	Q124710051	Emperor Kōshō
Q349271	other	Emperor Ninmyō	human	Q5	Ninmyō
Q313119	other	Emperor Nintoku	human	Q5	Nintoku
Q316654	other	Emperor Saga	human	Q5	Emperor Saga
Q314850	other	Emperor Suinin	legendary human figure	Q124710051	Suinin
Q313321	other	Emperor Suizei	legendary human figure	Q124710051	Emperor Suizei
Q333530	other	Emperor Sujin	legendary human figure	Q124710051	Sujin
Q314802	other	Emperor Tenji	human	Q5	Tenji
Q349267	other	Emperor Uda	human	Q5	Uda
Q317997	other	Emperor Ōjin	not in the local store		
Q232803	other	Empress Jingū	legendary human figure	Q124710051	Empress Jingū
Q18225783	other	En'ya Sadakiyo	not in the local store		
Q11428604	other	En'ya Takasada	not in the local store		
Q108487217	other	Futakata Kuni no Miyatsuko	not in the local store		
Q10927758	other	Haji clan	not in the local store		
