geni_id	qid	style	outcome	redirected_to	new_geni_id	ged_file	people	notes
6000000227464556886	Q109660986	Forest	exported			exports/bure-campaign/export-Forest-6000000227464556886.ged	5000	task_id 6000000227466996870; ~6 min, not the 'several days' Geni warns of; hit the 5000 cap exactly; seed present in the file
6000000227464556886	Q109660986	Ancestors	exported			exports/bure-campaign/export-Ancestors-6000000227464556886.ged	4309	task_id 6000000227468026906; matches the profile's own 'Ancestors 4,308' statistic; seed present
6000000040951562251	Q10411463	Forest	id-found					Andreas Olai b.1521 d.1560. NOT in our corpus by name or by date. Found on Geni via his brother: a 'Benedictus Olai, Son of Olof, Brother of Kerstin Olofsdotter and Andreas Olai' matches Wikidata's P3373 sibling Q4355463 exactly. Emma supplied the profile URL directly: 6000000040951562251. CONFIRMED -- the About text reads 'Andreas Olai, foedd 1521 i Oerebro, doed 1560, var en svensk aembetsman', matching P569 1521, P570 1560 and the item's 'Swedish civil servant'; Son of Olof, Brother of Kerstin Olofsdotter and Benedictus Olai matches P3373 Q4355463. NOTE the structured Birth field says 'estimated between 1450 and 1570' -- the real dates are only in the prose, which is why the search result looked unmatchable. Not in our corpus (0 exports); brother 6000000040951399522 also 0.
6000000227468650841		Forest	exported			exports/bure-campaign/export-Forest-6000000227468650841.ged	5000	Tier 3 per docs/export-seed-rules.md: Andreas has his father Olof and no mother, so Geni's tree view offered an 'Add mother' box.  Created NN, given name only, no surname -- 'Suggest surnames' left unchecked on purpose, since it would have offered Andreas's and that would be invented.  Geni id of the seed 6000000227468650841, read off the profile tab the node opened, never searched for.  Forest/5000 submitted, task_id 6000000227468363986.  Emma authorised the seeds: 'And yes I'm authorizing new seed people on all of these people lol'.  EXPORTED: 5000 people, the cap exactly; ~13 min, longer than the ~6 Emma quotes for a Forest.  Seed present, and Andreas Olai 6000000040951562251 present -- which is the success condition, since the seed exists only to reach him.  Corpus before: 0 of 559 exports held him.  Incidentally swept in two Bureatten people who needed no export of their own, Pehr Kalling 6000000006127453696 and Johan Otto Nauckhoff 6000000013020967973, taking group 4 from 100 absent to 98.
6000000227469177824		Forest	exported			exports/bure-campaign/export-Forest-6000000227469177824.ged	5000	Group 4, export 1.  Seeded in Elof Steuch's tree (342032974900007076, Q6330080), tier 3: Mattias Georgii Ilsbodinus has his father Orge (Goran) Eriksson and no mother, so the open Add mother box took NN, given name only, no surname.  Elof's own ancestry is dense and this was the one open parent slot on the page.  Forest/5000 submitted, task_id 6000000227468914831.  Success condition is Elof appearing in the file; the coverage script then re-measures all 251.  EXPORTED: 5000 people, the cap exactly; ~18 min.  Seed present and Elof Steuch present, so the target was reached.  It closed TWENTY Bureatten people in one export -- 98 absent to 78 -- including Axel Gustaf Gyllenkrok, who was the next name on the list and now needs no export of his own.  This is Emma's convergence argument measured: they are one family, so a 5000-person Forest seeded inside it sweeps in many at once.
6000000227469393830		Forest	exported			exports/bure-campaign/export-Forest-6000000227469393830.ged	5000	Group 4, export 2.  Target Carl Reinhold Sahlberg 5580434788100067215 (Q2361145).  His own visible ancestry is saturated -- every parent slot filled -- so per docs/export-seed-rules.md the tree was panned rather than abandoned, and the open pair appeared one generation down: Margareta Katarina Polviander (Alanus) (1731-1792) has NEITHER parent.  That is tier 4: no patronymic in her name, so the father is NN plus her BIRTH surname.  GUESS RECORDED: read (Alanus) as the birth surname and Polviander as married, so the seed is NN /Alanus/.  Grounds -- she sits beside Karl Nilsson Polviander as a parent of Lovisa Catharina Polviander, so Polviander is by marriage, and the same shape repeats on Agneta Henriksdotter Polviander (Paulinus), wife of Nils Simonsson Polviander.  REJECTED reading: that the parenthesis is a Latinised variant, as in Abraham Sahlberg (Salbergius) -- true for men on this page, but he is not married into anything.  What would falsify it: her profile giving a different birth surname.  Seed 6000000227469393830, Forest/5000, task_id 6000000227469176980.  EXPORTED: 5000 people, the cap exactly; ~40 min, much longer than the ~6 Emma quotes. Seed present and Carl Reinhold Sahlberg present, so the target was reached and the (Alanus) reading held up in the sense that mattered -- the seed attached where intended. Closed 2: Sahlberg himself and Olof Pryss 6000000001208426544.  78 absent -> 76.
6000000227469461989		Forest	exported			exports/bure-campaign/export-Forest-6000000227469461989.ged	5000	Group 4, export 3.  Target Nils Gustaf Nordenskiold 6000000000446956140 (Q593706).  His visible ancestry is saturated to the fourth generation, so the seed came off the RELATIVE MENU rather than an Add-parent box: the yellow + on a node opens a panel whose Parents row reads 'Add father | Add mother' when both are absent, which is how a saturated-looking page still yields a slot.  Katarina Bruun (1646-1722) has neither parent and was the only right-column person with no green +N, which is what made her worth trying.  Tier 4: a surname, no patronymic, so the father is NN plus her birth surname -> NN /Bruun/.  Seed 6000000227469461989, Forest/5000, task_id 6000000227470193826.  EXPORTED: 5000 people, the cap exactly; the file's own HEAD is dated 03:30, so the build was quick and it simply sat uncollected until 06:57.  Seed present and Nils Gustaf Nordenskiold present, so the target was reached and the NN /Bruun/ reading held where it mattered -- the seed attached inside his ancestry.  Closed FOUR: Nils Nordenskiold, his son Adolf Erik Nordenskiold 6000000000839941745, Fredrik Johan Cederschiold 6000000020086878142 and Ulrika Stromfelt 6000000044151433054.  76 absent -> 72.
6000000227472057910		Forest	exported			exports/bure-campaign/export-Forest-6000000227472057910.ged	5000	Group 4, export 4.  Target Robert Henrik Rehbinder 6000000000909345046 (Q2575818).  His own ancestry is filled to the fourth generation, so the seed came off the relative menu again: Anna Magnusdotter Meijer (c.1647-1722), fourth generation on the Palen side, has her father Magnus Meijer and NO mother, which the panel shows as a Parents row still offering 'Add mother'.  That is TIER 3 per docs/export-seed-rules.md -- the highest tier this page offered, and better than the tier-4 guesses the last two exports rested on, since nothing about the created person is invented beyond her existence.  NN, given name only, no surname; 'Suggest surnames' left unchecked.  Seed 6000000227472057910, read off the profile tab her node opened.  Forest/5000, task_id 6000000227472256825.  EXPORTED: 5000 people, the cap exactly; about four minutes from submit to ready, the quickest of the campaign.  Seed present and Robert Henrik Rehbinder present, so the target was reached.  Closed 2: Rehbinder himself and Henrik Gabriel Porthan 6000000012069920227.  72 absent -> 70.
6000000227471944047		Forest	exported			exports/bure-campaign/export-Forest-6000000227471944047.ged	5000	Group 4, export 5.  Target Gustaf Thure Bielke 6000000001801796027 (Q5575580).  His ancestry is dense on the Bielke/Piper/von Duben sides -- five relative menus checked (Margareta Andersen, Ingrid Charlotta Ekenbom, Gustaf Duben d.a., Emerentia Standaert, and the Bielke pair) and every one had BOTH parents.  The open slots were on the Dutch Temminck/van Wouw branch, where four fourth-generation people carry NO green +N at all: Reinier Temminck, Johanna Walburg van Hachten, Hendrik van Wouw and Catharina van Ruyven.  Absent-green-arrow turned out to be a reliable tell for a parentless person on this page, which the +N counts are not.  Catharina van Ruyven has neither parent -> TIER 4: a surname, no patronymic, so the father is NN plus her birth surname.  van Ruyven is read as the BIRTH surname because her partner is Hendrik van Wouw and her children are van Wouw, so the name she carries is not her husband's.  Seed 6000000227471944047 NN /van Ruyven/, Forest/5000, task_id 6000000227472140957.  EXPORTED: 5000 people, the cap exactly; about five minutes.  Seed present and Gustaf Thure Bielke present.  Closed SIX -- Bielke, Nils Gyldenstolpe 6000000007464308710, Charlotta Aurora De Geer 6000000007753195350, Carl Georg Sparre 6000000010894303789, Hans Henric von Essen 6000000012617406308 and Gustaf Fredrik Akerhielm 6000000013400675492.  70 absent -> 64.  Note the seed sits on the DUTCH branch and the six closed are all Swedish nobility, so the Forest walked back through Bielke into the network rather than out into Holland.
6000000227472157986		Forest	exported			exports/bure-campaign/export-Forest-6000000227472157986.ged	5000	Group 4, export 6.  Target Adolf Fredrik Munck 6000000003748326674 (Q2478781).  Slot found on the FIRST look this time, using the rule the Bielke page taught: ignore the green +N counts and look for a node with no green button at all.  George Wright (c.1630-1694), fourth generation on the Hedvig Juliana Wright side, displays bare 'Add father' and 'Add mother' boxes -- neither parent.  TIER 4: surname Wright, no patronymic, so the father is NN /Wright/.  Anna Danielsdotter Walding on the same page carries a patronymic and would have been tier 1, but both her parents are already recorded.  Seed 6000000227472157986, Forest/5000, task_id 6000000227472478830.  EXPORTED: 5000 people, the cap exactly; about five minutes.  Seed present and Adolf Fredrik Munck present.  Closed SIX -- Munck, three Adelswards (Fredrik August 6000000006127732174, Erik Goran 6000000009401515923, Erik Reinhold 6000000009726668887) and two Heijkenskjolds (Detlof den yngre 6000000011370804802, Margaretha 6000000017986416972).  64 absent -> 58.
6000000227472434852		Forest	exported			exports/bure-campaign/export-Forest-6000000227472434852.ged	5000	Group 4, export 7.  Target Vilhelm Hisinger 6000000004138124294 (Q900478).  FIRST TIER-1 SEED OF THE CAMPAIGN.  Johannes Brynolphi Fabrin (Brynolfsson), c.1657-1717, is fatherless and carries a live patronymic, so per docs/export-seed-rules.md tier 1 the father is named by the patronymic rather than invented: given name Brynolf, surname the child's with the patronymic stripped -> Brynolf /Fabrin/.  Both the Swedish -sson form and the Latin genitive Brynolphi agree on the father's name.  Three other slots were open on the same page and all rank lower: Ingemar Frodbom (both parents absent, no patronymic, tier 4) and Anna Maria Bruhn (father Erik Matsson Bruhn present, mother absent, tier 3).  Seed 6000000227472434852, Forest/5000, task_id 6000000227472444842.  EXPORTED: 5000 people, the cap exactly; about four minutes.  Seed present and Vilhelm Hisinger present.  Closed ONE, the target alone.  58 absent -> 57.  The thinnest yield of group 4, and the tier of the seed has nothing to do with it -- Brynolf Fabrin sits in a Finnish clerical line at the edge of the network, so the ball grown from him mostly leaves it.  Seed quality is about whether the created person is invented; WHERE the seed sits is what decides how many Bureatten people the export sweeps in.
6000000227472483865		Forest	exported			exports/bure-campaign/export-Forest-6000000227472483865.ged	5000	Group 4, export 8.  Target Arvid Nils Stenbock 6000000004594967673 (Q6188777).  High Swedish nobility -- the whole visible tree is saturated to four generations, every node carrying a green +N and most of them +28 to +30.  So this is the case docs/export-seed-rules.md calls 'expand a +N and the frontier appears': clicked the SMALLEST arrow on the page, Bernhard von Gertten +11, which re-rooted on him (6000000007522062492) and exposed four open slots one generation up.  Took the highest tier of those four: Margareta de Rees (Derris), av Ruis c.1505-1556 has her father Peter Derris and no mother -> TIER 3, plain NN, no surname.  Passed over two tier-4 slots (Berend von Gertten c.1550-1626 and Duke Louis de Rees c.1500-1555, both parentless with a surname).  Seed 6000000227472483865, Forest/5000, task_id 6000000227472314005.  EXPORTED: 5000 people, the cap exactly; about four minutes.  Seed present and Arvid Nils Stenbock present, so expanding a +N to reach the frontier works and the seed two generations out from the target still reached it.  Closed FOUR -- Stenbock plus three von Rosens (Hedvig Sofia 6000000012056862710, Gustaf Fredrik 6000000013143783109, Robert Magnus 6000000050931739847).  57 absent -> 53.
6000000227472588849		Forest	exported			exports/bure-campaign/export-Forest-6000000227472588849.ged	5000	Group 4, export 9.  Target Otto Reinhold Klingspor 6000000006127120304 (Q5914181); Fredric Philip Klingspor 6000000006127120320 (Q5914160) is the next name on the list and adjacent in the tree, so one export may close both.  Saturated page again -- the ONLY node without a green arrow is 'NN, wife 1', and she is the degenerate case docs/export-seed-rules.md records under 'father of NN': tier 5 would name her father 'NN /father of NN/', which names nobody.  Took the other route the file gives and expanded the smallest arrow instead, Per Jonsson Stalhammar +2, which re-rooted on him (6000000004657088822) and exposed his parents Jons Gudmunsson (1580- d.) and Karin Pedersdotter, both parentless and both carrying a live patronymic with no other surname -> TIER 2 either way.  Took Jons: father is Gudmund, surname 'father of Jons' per tier 2.  Geni warned 'It looks like you're entering a non-English name' on the o-umlaut; advisory only, and the existing seeds in the rules file include 'Oystein father of Berta', so it was saved as typed.  Seed 6000000227472588849, Forest/5000, task_id 6000000227472621837.  EXPORTED: 5000 people, the cap exactly; about four minutes.  Seed present and BOTH Klingspors present, which was the reason for taking this target next -- two adjacent names on the list closed by one export.  Closed THREE: Otto Reinhold Klingspor, Fredric Philip Klingspor and Carl Petter Tornebladh 6000000007858436950.  53 absent -> 50.
6000000227472598906		Forest	exported			exports/bure-campaign/export-Forest-6000000227472598906.ged	5000	Group 4, export 10.  Target Aron Gustaf Silfversparre 6000000006127570851 (Q6175928).  TIER 1, the cleanest of the campaign: Lars Eriksson Welt (1581-1650) is parentless -- confirmed on the relative menu, Parents row empty with both Add links -- and carries a live patronymic Eriksson AND a separate surname Welt.  So the father is named by the patronymic and takes the child's surname with the patronymic stripped: Erik /Welt/.  Three other arrowless people on the same page rank lower: Cecilia Israelsdotter (patronymic, no other surname, tier 2), Erik Petri Malmander and Anna Istmenia.  Anna Jonsdotter Bure sits on this page, which is a good sign for how close the seed is to the Bureatten network.  Seed 6000000227472598906, Forest/5000, task_id 6000000227472846821.  EXPORTED: 5000 people, the cap exactly; about four minutes.  Seed present and Aron Gustaf Silfversparre present.  Closed FIVE -- Silfversparre, three Silfverstolpes (David Wilhelm 6000000007510100335, Malla 6000000009217333438, Fredrik Otto 6000000019324978972) and Marten Bunge 6000000138783072822.  50 absent -> 45.  The Anna Jonsdotter Bure reading held: a seed on a page carrying a Bure-surnamed person landed well inside the network.
6000000227472646979		Forest	exported			exports/bure-campaign/export-Forest-6000000227472646979.ged	5000	Group 4, export 11.  Target Johan Adelsward 6000000006127732217 (Q5542622).  Two open parent pairs sat on the first screen, both TIER 2 -- Lars Hemmingsson (c.1610-1688) and Maria Hansdotter (b.-1684), each carrying a live patronymic and no other surname.  Neither is tier 1 because neither has a separate surname for the created father to take.  Took Lars, the male line: father is Hemming, surname 'father of Lars'.  Seed 6000000227472646979, Forest/5000, task_id 6000000227472859837.  EXPORTED: 5000 people, the cap exactly; about four minutes.  Seed present and Johan Adelsward present.  Closed TWO: Adelsward and Samuel Gustaf Hermelin 6000000011700742344.  45 absent -> 43.
6000000227472825938		Forest	exported			exports/bure-campaign/export-Forest-6000000227472825938.ged	5000	Group 4, export 12.  Target Baltzar von Platen 6000000006127899214 (Q805827).  Back to a noble tree and back to tier 4: the whole page carries green arrows except Charlotta von Braun (1794- d.), whose relative menu confirms no parents at all.  No patronymic, so the father is NN plus her birth surname -> NN /von Braun/.  Read as a BIRTH surname because her partner is Carl Magnus Gripenskold and their daughter is Emilia Charlotta Gripenskold, so von Braun is not her husband's name.  Seed 6000000227472825938, Forest/5000, task_id 6000000227472845865.  EXPORTED: 5000 people, the cap exactly; about four minutes.  Seed present and Baltzar von Platen present.  Closed ONE, the target alone.  43 absent -> 42.
6000000227473113833		Forest	exported			exports/bure-campaign/export-Forest-6000000227473113833.ged	5000	Group 4, export 13.  Target Gustaf de Laval 6000000006429643351 (Q364270) -- Geni has him as Carl Gustaf Patrik de Laval.  Saturated to the fourth generation except one node: Bernhard Matias Schwinger (1697-1768), no green arrow, and his relative menu confirms no parents at all.  No patronymic, surname Schwinger -> TIER 4, NN /Schwinger/.  Read as his own surname rather than a married one since he is male and his wife is Agneta Elisabeth Schultze.  Seed 6000000227473113833, Forest/5000, task_id 6000000227473206821.  EXPORTED: 5000 people, the cap exactly; about four minutes.  Seed present and Gustaf de Laval present.  Closed TWO: de Laval and Roland Martin (jurist) 6000000026092005226.  42 absent -> 40.
