geni_id	descendants	ancestors	blood_relatives	family_tree	followers	at
6000000063819051026	15000	6290	15000	2460	4	2026-09-14T14:20:24.368Z
6000000054042411822	15000	791	15000	71	4	2026-09-14T14:21:56.907Z
6000000010656845076	2281	1090	15000	223	26	2026-09-14T14:26:59.406Z
6000000035829627738	442	148	15000	25	1	2026-09-14T14:20:47.923Z
6000000002424016270	390	1093	15000	11	1	2026-09-14T14:24:12.679Z
6000000006603881100	347	1072	15000	18	2	2026-09-14T14:20:05.427Z
6000000020472637003	150	133	15000	11	1	2026-09-14T14:25:43.303Z
6000000000792308564	21	4519	15000	6268	4	2026-09-14T14:23:20.250Z
5585905696580027639	12	224	15000	109	0	2026-09-14T14:25:02.995Z
6000000138786793906	9	124	15000	499	1	2026-09-14T14:21:00.946Z
6000000121557675886	9	3913	15000	1613	1	2026-09-14T14:26:07.469Z
6000000075338307829	6	132	15000	459	1	2026-09-14T14:24:01.521Z
6000000075345719842	4	463	15000	305	1	2026-09-14T14:25:33.798Z
6000000225240068836	3	884	15000	9	1	2026-09-14T14:21:09.795Z
6000000186291378929	3	2331	15000	459	2	2026-09-14T14:24:46.127Z
6000000075345862871	2	182	15000	124	1	2026-09-14T14:21:32.486Z
6000000227544906851	1	4975	15000	247	1	2026-09-14T14:21:47.274Z
6000000031032637793	1	5594	15000	635	4	2026-09-14T14:26:30.388Z
6000000038068138190	0	317	15000	89	1	2026-09-14T14:19:42.300Z
6000000227493196886	0	985	15000	1000	1	2026-09-14T14:19:55.707Z
6000000203395843896	0	5711	15000	1637	1	2026-09-14T14:20:18.063Z
4814128046980069574	0	1080	15000	677	0	2026-09-14T14:20:37.411Z
6000000075059566569	0	608	15000	171	1	2026-09-14T14:21:18.166Z
6000000008651401607	0	14580	15000	5765	10	2026-09-14T14:22:11.540Z
6000000010437741864	0	2355	15000	321	0	2026-09-14T14:22:20.963Z
6000000116728887229	0	237	15000	43	1	2026-09-14T14:22:55.437Z
6000000074750723821	0	782	15000	367	1	2026-09-14T14:23:04.448Z
6000000218222829859	0	4355	15000	379	1	2026-09-14T14:23:29.309Z
6000000127120248845	0	5976	15000	2717	1	2026-09-14T14:23:40.412Z
6000000005034481173	0	4238	15000	5294	1	2026-09-14T14:23:52.814Z
6000000193409920884	0	2559	15000	430	2	2026-09-14T14:24:25.094Z
6000000075344339995	0	449	15000	34	1	2026-09-14T14:24:33.057Z
6000000075373007830	0	144	15000	401	1	2026-09-14T14:25:10.545Z
6000000004110348250	0	1896	15000	4653	0	2026-09-14T14:25:24.264Z
6000000074788494889	0	209	15000	37	1	2026-09-14T14:25:55.271Z
6000000021476667677	0	2717	15000	919	1	2026-09-14T14:26:18.892Z
6000000075328325981	0	153	15000	262	1	2026-09-14T14:26:39.008Z
6000000075399672869	0	131	15000	40	1	2026-09-14T14:26:50.269Z
6000000197941984861	0	1081	15000	146	1	2026-09-14T14:27:15.071Z
