wikidata_qid,property,label,value,geni_id,orderlife_qid,verdict
Q830183,P1185,Rodovid ID,103833|32370|361720,298349057780005454,Q30880,item states a DIFFERENT value for this property
Q830183,P2889,FamilySearch person ID,L8R2-JBH|LJYV-GRB|LR35-F8Z,298349057780005454,Q30880,item states a DIFFERENT value for this property
Q830183,P9495,National Historical Museums of Sweden ID,term/A1D53604-DF15-49A1-8B35-6F7B7A7D3AED,298349057780005454,Q30880,already stated
Q3631722,P1185,Rodovid ID,330040,,Q1676,already stated
Q29085,P1185,Rodovid ID,330086,,Q1681,already stated
Q49334,P1185,Rodovid ID,330091,,Q1684,already stated
Q4199265,P1185,Rodovid ID,769161,6000000040338300845,Q1815,already stated
Q844424,P1185,Rodovid ID,637060,,Q1906,already stated
Q24405,P1185,Rodovid ID,324706,,Q2188,already stated
Q345134,P1185,Rodovid ID,402419,,Q137731,already stated
Q345134,P1819,genealogics.org person ID,I00717516,,Q137731,already stated
Q256430,P1185,Rodovid ID,157598,,Q2490,already stated
Q311650,P1185,Rodovid ID,334683,,Q2495,already stated
Q354903,P1185,Rodovid ID,157669,,Q2497,already stated
Q342524,P1185,Rodovid ID,423635,,Q2498,already stated
Q314361,P1185,Rodovid ID,617828,,Q2515,already stated
Q15623586,P1819,genealogics.org person ID,I00736575,,Q136441,already stated
Q391426,P1819,genealogics.org person ID,I00567196,,Q135746,already stated
Q122931448,P1819,genealogics.org person ID,I00279862,6000000007170562706,Q2664,already stated
Q122931448,P4159,WeRelate person ID,Thora_Guttormsdt_(1),6000000007170562706,Q2664,already stated
Q3542445,P1185,Rodovid ID,186190,6000000001355641705,Q135811,already stated
Q3542445,P2949,WikiTree person ID,Ap_Ednyfed-4,6000000001355641705,Q135811,already stated
Q45792,P1185,Rodovid ID,132198,,Q136304,already stated
Q45792,P535,Find a Grave memorial ID,4554,,Q136304,already stated
Q248817,P1185,Rodovid ID,1224220,,Q135475,already stated
Q69789168,P4638,The Peerage person ID,p58175.htm#i581744,,Q149175,already stated
Q69789168,P4159,WeRelate person ID,Mary.Clarissa_Bruce_(1),,Q149175,already stated
Q69789168,P2949,WikiTree person ID,Bruce-3219,,Q149175,already stated
Q69789168,P7929,Roglo person ID,p=mary;n=n;oc=90,,Q149175,already stated
Q69789168,P1819,genealogics.org person ID,I00026584,,Q149175,already stated
Q131588,P9495,National Historical Museums of Sweden ID,person/1CBB5677-CA6F-4632-AA33-2324C5E8B64F,,Q132330,already stated
Q2040026,P1185,Rodovid ID,353530,6000000003896530119,Q32270,already stated
Q2040026,P1819,genealogics.org person ID,I00360134,6000000003896530119,Q32270,already stated
Q2040026,P8094,GeneaStar person ID,dejuan,6000000003896530119,Q32270,already stated
Q2040026,P2949,WikiTree person ID,De_Oñate_y_Salazar-2,6000000003896530119,Q32270,already stated
Q5682,P535,Find a Grave memorial ID,7014808,6000000015973070193,Q3457,already stated
Q5682,P2949,WikiTree person ID,Cervantes-289,6000000015973070193,Q3457,already stated
Q5682,P8094,GeneaStar person ID,decervantesm,6000000015973070193,Q3457,already stated
Q5682,P7929,Roglo person ID,p=miguel;n=de+cervantes+saavedra,6000000015973070193,Q3457,already stated
Q5682,P9495,National Historical Museums of Sweden ID,person/76B8CFAC-2FA2-4A96-9B77-FC53B517B257,6000000015973070193,Q3457,already stated
Q5682,P535,Find a Grave memorial ID,7014808,6000000015973070193,Q3457,already stated
Q5682,P2949,WikiTree person ID,Cervantes-289,6000000015973070193,Q3457,already stated
Q5682,P8094,GeneaStar person ID,decervantesm,6000000015973070193,Q3457,already stated
Q5682,P7929,Roglo person ID,p=miguel;n=de+cervantes+saavedra,6000000015973070193,Q3457,already stated
Q5682,P9495,National Historical Museums of Sweden ID,person/76B8CFAC-2FA2-4A96-9B77-FC53B517B257,6000000015973070193,Q3457,already stated
Q313229,P1185,Rodovid ID,79444|174169,,Q38090,item states a DIFFERENT value for this property
Q721295,P1185,Rodovid ID,174176,,Q4652,already stated
Q721295,P9495,National Historical Museums of Sweden ID,term/6b463a66-5ba4-42a5-90a3-f9a18d85cd6b,,Q4652,already stated
Q1879787,P1185,Rodovid ID,440569,,Q135118,already stated
Q4833002,P1185,Rodovid ID,596849,,Q4662,already stated
