geni_id,cjk,culture,evidence
3044162,大唐帝國 謝氏,zh,"graph traversal, 2 hop(s)"
3044169,隋朝列祖列宗 謝氏,zh,"graph traversal, 1 hop(s)"
3044182,貞 元正 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044191,藺 希如 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044197,經 謝,zh,"graph traversal, 1 hop(s)"
3044228,瑤 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044253,琰 瑗度 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044272,鯤 幼輿 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044292,廣 謝,zh,"graph traversal, 1 hop(s)"
3044296,尚 仁祖 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044322,奕 無奕 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044331,據 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044341,鐵 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044361,澹 謝,zh,"graph traversal, 1 hop(s)"
3044366,混 叔源 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044368,峻 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044386,肇 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044393,韜元 道韞 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044400,瑍 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044402,靈運 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044404,鳳 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044405,超宗 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044406,才卿 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044413,幾卿 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044415,藻 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044421,朗 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044423,允 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044428,重 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044455,裕 景仁 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044456,述 景先 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
3044489,綜 陳郡陽夏,zh,"carries the clan seat 陳郡陽夏, which is Chinese"
