qid	relative	kinship	qualifiers
Q1000203	Q2939637	Q3238556	P1039
Q1000203	Q39757387	Q31819505	P1039
Q1000203	Q773855	Q41810796	P1039
Q1000203	Q30124563	Q9235758	P1039
Q1000555	Q1000536	Q15224724	P1039
Q1000957	Q346703	Q2914212	P1039
Q1001002	Q715128	Q9235758	P1039
Q1001002	Q379621	Q9238344	P1039
Q1001063	Q701504	Q23009870	P1039
Q100155001	Q19268754	Q23045293	P1039
Q1001694	Q113133905	Q3752578	P1039
Q100325949	Q591957	Q183905	P1039
Q100330337	Q467133	Q3752578	P1039
Q1004779	Q1004786	Q19680017	P1039
Q1004779	Q107691		
Q1004779	Q12351990	Q19680017	P1039
Q1004779	Q28924632		
Q100502385	Q1679442	Q9238344	P1039
Q100510378	Q268977	Q9238344	P1039
Q1005245	Q1143856	Q61740757	P1039
Q1005245	Q11162555	Q61740758	P1039
Q1005245	Q111108574	Q20746725	P1039
Q100539	Q365288	Q9238344	P1039
Q1007178	Q47480	Q1282201	P1039
Q1008160	Q1104102	Q11921506	P1039
Q1009698	Q55888382	Q76557	P1039
Q1009816	Q5997261	Q12158205	P1039
Q1009875	Q1009878	Q9238344	P1039
Q1009875	Q1002332	Q9238344	P1039
Q1009878	Q1105718	Q2914212	P1039
Q1009878	Q1009875	Q11921506	P1039
Q1009880	Q1002332	Q13204680	P1039
Q1009880	Q22696615	Q3103421	P1039
Q101030	Q74328	Q9235758	P1039
Q1010500	Q47514729	Q9238344	P1039
Q101145203	Q137181615	Q23045211	P1039
Q101246520	Q4535441	Q41805469	P1039
Q101266	Q108316	Q27164536	P1039
Q10132	Q2118577	Q41805469	P1039
Q10132	Q311200	Q41805469	P1039
Q10132	Q11944441	Q9238344	P1039
Q101384796	Q52704182	Q19756330	P1039
Q101426122	Q17370683	Q61740757	P1039
Q101426122	Q3140265	Q12160962	P1039
Q1014586	Q1095394		
Q101543845	Q12747735	Q12160962	P1039
Q101593	Q95198106	Q19595228	P1039
Q101624263	Q2854465	Q41823427	P1039
Q101651713	Q6742663	Q4346792	P1039
Q101676127	Q317521	Q11921506	P1039
Q101740	Q720471	Q12158205	P1039
Q102028	Q1363226	Q13204680	P1039
Q102134215	Q6071672	Q76557	P1039
Q102137	Q214277	Q2914212	P1039
Q102137	Q561089	Q4113832	P1039
Q102139	Q45068	Q31819505	P1039
Q102139	Q151773	Q2914212	P1039
Q102139	Q57287	Q84158642	P1039
Q102139	Q12976	Q84158642	P1039
Q102139	Q3911	Q84158642	P1039
Q102139	Q443361	Q41798832	P1039
Q102139	Q154952	Q41798817	P1039
Q102139	Q1797989	Q41798832	P1039
Q102139	Q165241	Q41798817	P1039
Q102139	Q50379775	Q41798817	P1039
Q102139	Q38053811	Q41798817	P1039
Q102139	Q20200020	Q41798817	P1039
Q102139	Q214704	Q41798817	P1039
Q102139	Q292274	Q41798832	P1039
Q1021713	Q30875	Q31819505	P1039
Q102173206	Q28179102	Q9238344	P1039
Q102225936	Q11820	Q4994791	P1039
Q102226663	Q471794	Q19682162	P1039
Q102228024	Q140521888	Q23045211	P1039
Q102235208	Q5321908	Q76557	P1039
Q102257613	Q21070387	Q4994791	P1039
Q102257613	Q23600580	Q4994787	P1039
Q102257613	Q22686	Q30254751	P1039
Q102276952	Q3745167	Q9238344	P1039
Q102287992	Q2984258	Q76557	P1039
Q102323	Q553947	Q15224724	P1039
Q102350236	Q110863718	Q13204680	P1039
Q102352052	Q15061819	Q9238344	P1039
Q102352795	Q4229405	Q9238344	P1039
Q102364419	Q102366264	Q20746702	P1039
Q102367205	Q102366264	Q20746702	P1039
Q102370784	Q1530440	Q13204680	P1039
Q1023873	Q1301539	Q76557	P1039
Q1023873	Q1401906	Q2914212	P1039
Q102413149	Q5582	Q15224724	P1039
Q102413149	Q317188	Q15224724	P1039
Q102423843	Q101116056	Q4994791	P1039
Q102536	Q132737966	Q15224724	P1039
Q10264359	Q123750470	Q10861465	P1039
Q10266468	Q10326071	Q19756330	P1039
Q10266475	Q10363699		
Q10281203	Q123740508	Q3403377	P1039
Q10281203	Q10363029	Q19756330	P1039
Q10281203	Q59572427	Q19680017	P1039
Q1028253	Q36951	Q15224724	P1039
Q1028253	Q386394	Q15224724	P1039
Q102830120	Q69755763	Q19682162	P1039
