char,codepoint,unicode_name,script_word,occurrences,top_tags,sample
о,U+043E,CYRILLIC SMALL LETTER O,CYRILLIC,135775,TITL:96981; NAME:14810; GIVN:6997; SURN:4613,Наполеон Жозеф Шарл Пол Бонапарт
и,U+0438,CYRILLIC SMALL LETTER I,CYRILLIC,86922,TITL:41103; NAME:20781; GIVN:11573; SURN:5410,принц на Франция
а,U+0430,CYRILLIC SMALL LETTER A,CYRILLIC,76016,TITL:39540; NAME:15603; GIVN:9766; SURN:3218,Наполеон Жозеф Шарл Пол Бонапарт
н,U+043D,CYRILLIC SMALL LETTER EN,CYRILLIC,64866,TITL:34071; NAME:13605; GIVN:6970; SURN:3495,Наполеон Жозеф Шарл Пол Бонапарт
е,U+0435,CYRILLIC SMALL LETTER IE,CYRILLIC,57271,TITL:31436; NAME:9719; GIVN:5441; SURN:2328,Наполеон Жозеф Шарл Пол Бонапарт
с,U+0441,CYRILLIC SMALL LETTER ES,CYRILLIC,56511,TITL:34758; NAME:7414; CTRY:3656; GIVN:3264,княжна Добронега Мария Киевская
р,U+0440,CYRILLIC SMALL LETTER ER,CYRILLIC,53065,TITL:29231; NAME:9861; GIVN:5453; SURN:2745,Наполеон Жозеф Шарл Пол Бонапарт
в,U+0432,CYRILLIC SMALL LETTER VE,CYRILLIC,51673,TITL:23447; NAME:12182; GIVN:7601; SURN:2369,Dobronega Maria Vladimirovna /Рюриковичи/ Rurikid
к,U+043A,CYRILLIC SMALL LETTER KA,CYRILLIC,51384,TITL:33014; NAME:6899; SURN:2683; GIVN:1805,граф Монкалиери
é,U+00E9,LATIN SMALL LETTER E WITH ACUTE,LATIN,45239,NAME:17350; GIVN:5818; _MARNM:5578; SURN:4221,Bérenguier II /D'ESTIENNE/
л,U+043B,CYRILLIC SMALL LETTER EL,CYRILLIC,39617,TITL:22008; NAME:7640; GIVN:4336; SURN:1524,Наполеон Жозеф Шарл Пол Бонапарт
ø,U+00F8,LATIN SMALL LETTER O WITH STROKE,LATIN,37856,NAME:9008; PLAC:7041; _MARNM:3812; TITL:3558,Tøtland
г,U+0433,CYRILLIC SMALL LETTER GHE,CYRILLIC,36881,TITL:29999; NAME:2865; SURN:1247; GIVN:1107,граф Мьодо
