regnal	name	qid	lineage	role
1	Ame no Hohi		other	kokuso
2	Takehi-Nateru		other	kokuso
4	Tsusahime no Mikoto	Q135579354	other	kokuso
5	Kushifusakinomikoto	Q135579355	other	kokuso
6	Kushitsukinomikoto	Q135579356	other	kokuso
7	Kushichitoriuminomikoto	Q135579358	other	kokuso
8	Kushidanomikoto	Q135579359	other	kokuso
9	Chirinomikoto	Q135579360	other	kokuso
10	Yomorosunomikoto	Q135579361	other	kokuso
11	Izumo no Furune	Q55533077	Izumo	kokuso
12	Ukatsu Kunu no Mikoto	Q135579365	other	kokuso
13	Kanesune no Mikoto	Q109361305	other	kokuso
14	Kihisatsumi	Q123511663	other	kokuso
15	Mishima no Ashinazunomikoto	Q135579366	other	kokuso
16	Ou no Sukune	Q55406423	other	kokuso
17	Miyamukasu Ashinine no Mikoto	Q135579367	other	kokuso
18	Izumo no Funin	Q135579368	Izumo	kokuso
19	Izumo no Funei	Q135579369	Izumo	kokuso
20	Izumo no Ihohiku	Q135579370	Izumo	kokuso
21	Izumo no Miko	Q135579371	Izumo	kokuso
22	Izumo no Eiya	Q135579373	Izumo	kokuso
23	Izumo no Obitake	Q135579374	Izumo	kokuso
24	Izumo no Hatayasu	Q95161958	Izumo	kokuso
25	Izumo no Hiroshima	Q92924732	Izumo	kokuso
26	Izumo no Otoyama	Q95161949	Izumo	kokuso
27	Izumo no Masukata	Q95161959	Izumo	kokuso
28	Izumo no Kunikami	Q135579375	Izumo	kokuso
29	Izumo no Kuninari	Q135579376	Izumo	kokuso
30	Izumo no Hitonaga	Q135579377	Izumo	kokuso
31	Izumo no Chikuni	Q135579379	Izumo	kokuso
32	Izumo no Kanemutsu	Q135579378	Izumo	kokuso
33	Izumo no Tabito	Q135579380	Izumo	kokuso
34	Izumo no Toyomochi	Q135579381	Izumo	kokuso
35	Izumo no Tokinobu	Q135579382	Izumo	kokuso
36	Izumo no Tsunesuke	Q135579384	Izumo	kokuso
36	Izumo no Ujihiro	Q135579385	Izumo	kokuso
38	Izumo no Harutoshi	Q135579386	Izumo	kokuso
39	Izumo no Yoshitada	Q135579387	Izumo	kokuso
40	Izumo no Kuniaki	Q135579388	Izumo	kokuso
41	Izumo no Kunitake	Q135579389	Izumo	kokuso
42	Izumo no Yukikane	Q135579391	Izumo	kokuso
43	Izumo no Munefusa	Q135579394	Izumo	kokuso
44	Izumo no Kanemune	Q135579395	Izumo	kokuso
45	Izumo no Kanetada	Q135579397	Izumo	kokuso
46	Izumo no Kanetsune	Q135579398	Izumo	kokuso
47	Izumo no Munetaka	Q135579399	Izumo	kokuso
48	Izumo no Takafusa	Q135579400	Izumo	kokuso
49	Izumo no Takatsuna	Q135579402	Izumo	kokuso
50	Izumo no Masataka	Q135579404	Izumo	kokuso
51	Izumo no Yoshitaka	Q135579406	Izumo	kokuso
52	Izumo no Yasutaka	Q135579407	Izumo	kokuso
53	Izumo no Takatoki	Q135579409	Izumo	kokuso
54	Izumo no Kiyotaka	Q135579414	Izumo	kokuso
55	Kitajima no Sadataka	Q135579416	Kitajima	kokuso
55	Senge no Takamune	Q135579415	Senge	kokuso
56	Kitajima no Yoshitaka	Q135579421	Kitajima	kokuso
56	Senge no Naokuni	Q135579420	Senge	kokuso
57	Kitajima no Yukitaka	Q135579425	Kitajima	kokuso
57	Senge no Takakuni	Q135579441	Senge	kokuso
58	Kitajima no Takataka	Q135579447	Kitajima	kokuso
58	Senge no Mochikuni	Q135579455	Senge	kokuso
59	Kitajima no Yoshitaka	Q135579457	Kitajima	kokuso
59	Senge no Naonobu	Q135579464	Senge	kokuso
60	Kitajima no Masataka	Q135579466	Kitajima	kokuso
60	Senge no Takatoshi	Q135579471	Senge	kokuso
61	Kitajima no Hidetaka	Q135579475	Kitajima	kokuso
61	Senge no Toyotoshi	Q135579478	Senge	kokuso
62	Kitajima no Hisataka	Q135579485	Kitajima	kokuso
62	Senge no Takakatsu	Q135579472	Senge	kokuso
63	Kitajima no Hirokatsu	Q135579488	Kitajima	kokuso
63	Senge no Naokatsu	Q135579476	Senge	kokuso
64	Kitajima no Harutaka	Q135579492	Kitajima	kokuso
64	Senge no Yoshikatsu	Q135579477	Senge	kokuso
65	Kitajima no Tsunetaka	Q135579497	Kitajima	kokuso
65	Senge no Yoshihiro	Q135579481	Senge	kokuso
66	Kitajima no Kanetaka	Q135579502	Kitajima	kokuso
66	Senge no Motokatsu	Q135579487	Senge	kokuso
67	Kitajima no Michitaka	Q135579503	Kitajima	kokuso
67	Senge no Takanou	Q135579491	Senge	kokuso
68	Kitajima no Naotaka	Q135579506	Kitajima	kokuso
68	Senge no Takamitsu	Q135579496	Senge	kokuso
69	Senge no Takafusa	Q135579494	Senge	kokuso
70	Senge no Naoharu	Q135579495	Senge	kokuso
71	Senge no Munetoshi	Q135579493	Senge	kokuso
72	Senge no Hiromitsu	Q135579501	Senge	kokuso
73	Senge no Toyomasa	Q135579498	Senge	kokuso
74	Senge no Toyomi	Q135579499	Senge	kokuso
75	Senge no Toshikatsu	Q135579505	Senge	kokuso
76	Senge no Toshihide	Q135579508	Senge	kokuso
	2020	Q25337	other	
	Ada no Mikoto	Q135579362	other	kokuso
	Akatsuka no Kazunobu	Q135579479	other	
	Akatsuka no Masakuni	Q135579465	other	
	Akatsuka no Masatoki	Q135579456	other	
	Akatsuka no Nagatoshi	Q135579484	other	
	Akatsuka no Tokinobu	Q135579473	other	
	Amabe clan	Q65272445	other	
	Amami Haniyasu no Mikoto	Q136908598	other	
	Amaterasu	Q455602	other	
	Ame-no-oshihomimi	Q462555	other	
	Ancestor of Kikumakoku Governor	Q11619936	other	
	Ancestor of Suga no Kuni no Miyatsuko	Q85883175	other	
	Aogaki Publishing	Q140447402	other	
	Atsumi-shinnō	Q11499521	other	
	Awa no Kuni no Miyatsuko	Q11657515	other	
	Daichi Sokei		other	
	Emperor Annei	Q313345	other	
	Emperor Bidatsu	Q316637	other	
	Emperor Chūai	Q179971	other	
	Emperor Itoku	Q271536	other	
	Emperor Jimmu	Q200188	other	
	Emperor Jomei	Q329761	other	
	Emperor Kaika	Q333548	other	
	Emperor Kanmu	Q314846	other	
	Emperor Keikō	Q329723	other	
	Emperor Keitai	Q349277	other	
	Emperor Kinmei	Q329792	other	
	Emperor Kōan	Q312821	other	
	Emperor Kōgen	Q333572	other	
	Emperor Kōkō	Q440518	other	
	Emperor Kōnin	Q958662	other	
	Emperor Kōrei	Q313041	other	
	Emperor Kōshō	Q312841	other	
	Emperor Ninmyō	Q349271	other	
	Emperor Nintoku	Q313119	other	
	Emperor Saga	Q316654	other	
	Emperor Suinin	Q314850	other	
	Emperor Suizei	Q313321	other	
	Emperor Sujin	Q333530	other	
	Emperor Tenji	Q314802	other	
	Emperor Uda	Q349267	other	
	Emperor Ōjin	Q317997	other	
	Empress Jingū	Q232803	other	
	En'ya Sadakiyo	Q18225783	other	
	En'ya Takasada	Q11428604	other	
	En'ya Yoriyasu	Q18236076	other	
	Futakata Kuni no Miyatsuko	Q108487217	other	
	Haji clan	Q10927758	other	
	Hakikoku no Miyatsuko	Q135579364	other	
	Higashianatsuu	Q135579470	other	
	Higashinobutoshi	Q135579490	other	
	Higashisadanobu	Q135579486	other	
	Higashisadatsune	Q135579500	other	
	Higashisadayori	Q135579434	other	
	Higashitakakage	Q135579411	other	
	Higashitakanori	Q135579454	other	
	Higashitakataka	Q135579423	other	
	Higashitokitaka	Q135579418	other	
	Higashiyasunori	Q135579462	other	
	Higashiyoshiakira	Q135579483	other	
	Hikoushi no Ōkimi	Q11487892	other	
	Hiraoka no Kuninori	Q135579426	other	
	Hiraoka no Naokiyo	Q135579468	other	
	Hiraoka no Naonori	Q135579453	other	
	Hiraoka no Naotaka	Q135579461	other	
	Hiraoka no Sadataka	Q135579410	other	
	Hiraoka no Takataka	Q135579417	other	
