regnal	name	qid	lineage	geni_ids	status
1	Ame no Hohi		other		no wikidata item
2	Takehi-Nateru		other		no wikidata item
4	Tsusahime no Mikoto	Q135579354	other		NO GENI ID
5	Kushifusakinomikoto	Q135579355	other		NO GENI ID
6	Kushitsukinomikoto	Q135579356	other		NO GENI ID
7	Kushichitoriuminomikoto	Q135579358	other		NO GENI ID
8	Kushidanomikoto	Q135579359	other		NO GENI ID
9	Chirinomikoto	Q135579360	other		NO GENI ID
10	Yomorosunomikoto	Q135579361	other		NO GENI ID
11	Izumo no Furune	Q55533077	Izumo		NO GENI ID
12	Ukatsu Kunu no Mikoto	Q135579365	other		NO GENI ID
13	Kanesune no Mikoto	Q109361305	other		NO GENI ID
14	Kihisatsumi	Q123511663	other		NO GENI ID
15	Mishima no Ashinazunomikoto	Q135579366	other		NO GENI ID
16	Ou no Sukune	Q55406423	other		NO GENI ID
17	Miyamukasu Ashinine no Mikoto	Q135579367	other		NO GENI ID
18	Izumo no Funin	Q135579368	Izumo		NO GENI ID
19	Izumo no Funei	Q135579369	Izumo		NO GENI ID
20	Izumo no Ihohiku	Q135579370	Izumo		NO GENI ID
21	Izumo no Miko	Q135579371	Izumo		NO GENI ID
22	Izumo no Eiya	Q135579373	Izumo		NO GENI ID
23	Izumo no Obitake	Q135579374	Izumo		NO GENI ID
24	Izumo no Hatayasu	Q95161958	Izumo		NO GENI ID
25	Izumo no Hiroshima	Q92924732	Izumo		NO GENI ID
26	Izumo no Otoyama	Q95161949	Izumo		NO GENI ID
27	Izumo no Masukata	Q95161959	Izumo		NO GENI ID
28	Izumo no Kunikami	Q135579375	Izumo		NO GENI ID
29	Izumo no Kuninari	Q135579376	Izumo		NO GENI ID
30	Izumo no Hitonaga	Q135579377	Izumo		NO GENI ID
31	Izumo no Chikuni	Q135579379	Izumo		NO GENI ID
32	Izumo no Kanemutsu	Q135579378	Izumo		NO GENI ID
33	Izumo no Tabito	Q135579380	Izumo		NO GENI ID
34	Izumo no Toyomochi	Q135579381	Izumo		NO GENI ID
35	Izumo no Tokinobu	Q135579382	Izumo		NO GENI ID
36	Izumo no Tsunesuke	Q135579384	Izumo		NO GENI ID
36	Izumo no Ujihiro	Q135579385	Izumo		NO GENI ID
38	Izumo no Harutoshi	Q135579386	Izumo		NO GENI ID
39	Izumo no Yoshitada	Q135579387	Izumo		NO GENI ID
40	Izumo no Kuniaki	Q135579388	Izumo		NO GENI ID
41	Izumo no Kunitake	Q135579389	Izumo		NO GENI ID
42	Izumo no Yukikane	Q135579391	Izumo		NO GENI ID
43	Izumo no Munefusa	Q135579394	Izumo		NO GENI ID
44	Izumo no Kanemune	Q135579395	Izumo		NO GENI ID
45	Izumo no Kanetada	Q135579397	Izumo		NO GENI ID
46	Izumo no Kanetsune	Q135579398	Izumo		NO GENI ID
47	Izumo no Munetaka	Q135579399	Izumo		NO GENI ID
48	Izumo no Takafusa	Q135579400	Izumo		NO GENI ID
49	Izumo no Takatsuna	Q135579402	Izumo		NO GENI ID
50	Izumo no Masataka	Q135579404	Izumo		NO GENI ID
51	Izumo no Yoshitaka	Q135579406	Izumo		NO GENI ID
52	Izumo no Yasutaka	Q135579407	Izumo		NO GENI ID
53	Izumo no Takatoki	Q135579409	Izumo		NO GENI ID
54	Izumo no Kiyotaka	Q135579414	Izumo		NO GENI ID
55	Kitajima no Sadataka	Q135579416	Kitajima		NO GENI ID
55	Senge no Takamune	Q135579415	Senge		NO GENI ID
56	Kitajima no Yoshitaka	Q135579421	Kitajima		NO GENI ID
56	Senge no Naokuni	Q135579420	Senge		NO GENI ID
57	Kitajima no Yukitaka	Q135579425	Kitajima		NO GENI ID
57	Senge no Takakuni	Q135579441	Senge		NO GENI ID
58	Kitajima no Takataka	Q135579447	Kitajima		NO GENI ID
58	Senge no Mochikuni	Q135579455	Senge		NO GENI ID
59	Kitajima no Yoshitaka	Q135579457	Kitajima		NO GENI ID
59	Senge no Naonobu	Q135579464	Senge		NO GENI ID
60	Kitajima no Masataka	Q135579466	Kitajima		NO GENI ID
60	Senge no Takatoshi	Q135579471	Senge		NO GENI ID
61	Kitajima no Hidetaka	Q135579475	Kitajima		NO GENI ID
61	Senge no Toyotoshi	Q135579478	Senge		NO GENI ID
62	Kitajima no Hisataka	Q135579485	Kitajima		NO GENI ID
62	Senge no Takakatsu	Q135579472	Senge		NO GENI ID
63	Kitajima no Hirokatsu	Q135579488	Kitajima		NO GENI ID
63	Senge no Naokatsu	Q135579476	Senge		NO GENI ID
64	Kitajima no Harutaka	Q135579492	Kitajima		NO GENI ID
64	Senge no Yoshikatsu	Q135579477	Senge		NO GENI ID
65	Kitajima no Tsunetaka	Q135579497	Kitajima		NO GENI ID
65	Senge no Yoshihiro	Q135579481	Senge		NO GENI ID
66	Kitajima no Kanetaka	Q135579502	Kitajima		NO GENI ID
66	Senge no Motokatsu	Q135579487	Senge		NO GENI ID
67	Kitajima no Michitaka	Q135579503	Kitajima		NO GENI ID
67	Senge no Takanou	Q135579491	Senge		NO GENI ID
68	Kitajima no Naotaka	Q135579506	Kitajima		NO GENI ID
68	Senge no Takamitsu	Q135579496	Senge		NO GENI ID
69	Senge no Takafusa	Q135579494	Senge		NO GENI ID
70	Senge no Naoharu	Q135579495	Senge		NO GENI ID
71	Senge no Munetoshi	Q135579493	Senge		NO GENI ID
72	Senge no Hiromitsu	Q135579501	Senge		NO GENI ID
73	Senge no Toyomasa	Q135579498	Senge		NO GENI ID
74	Senge no Toyomi	Q135579499	Senge		NO GENI ID
75	Senge no Toshikatsu	Q135579505	Senge		NO GENI ID
76	Senge no Toshihide	Q135579508	Senge		NO GENI ID
	2020	Q25337	other		NO GENI ID
	Ada no Mikoto	Q135579362	other		NO GENI ID
	Akatsuka no Kazunobu	Q135579479	other		NO GENI ID
