qid	geni_id
Q9738	6000000002188099903
Q29201	6000000001381274001
Q34479	6000000011626937289
Q37979	6000000001783879627
Q41178	6000000003957630238
Q70899	6000000201847373856
Q120564	6000000177656672888
Q128371	6000000008659107006
Q144565	6000000031527612551
Q147677	6000000009687941284
Q150642	376469227150012924
Q151805	6000000005747697181
Q151819	6000000004869093733
Q152375	6000000004869093655
Q152751	6000000005747697264
Q157052	6000000011626767474
Q159888	6000000210521076830
Q174231	6000000011627000232
Q181677	6000000081001962237
Q198180	6000000001381123265
Q217096	6000000001783830969
Q230548	6000000004869093676
Q232803	6000000001846508982
Q232803	6000000045545840003
Q255585	6000000006743335611
Q299179	6000000012035508955
Q310878	6000000016659670347
Q311811	6000000042325392108
Q312351	6000000011626949470
Q313336	6000000130192002822
Q313342	6000000195149451825
Q313801	6000000011627101338
Q313806	6000000011626837071
Q313864	6000000011626555953
Q313870	6000000011627097322
Q313942	6000000011627012029
Q314063	6000000011626781657
Q314809	6000000009562419205
Q314817	6000000011626674938
Q316658	6000000011627248393
Q317984	6000000011626980739
Q318613	6000000209058145828
Q320229	6000000011627083509
Q320908	6000000004869097266
Q324688	6000000009687440092
Q328495	6000000009687862020
Q329753	6000000011627224453
Q329765	6000000011626857554
Q334111	6000000028714712399
Q349296	6000000011627106008
Q349440	6000000011627007814
Q349452	6000000011626627991
Q349467	6000000011626574081
Q357261	6000000011627126557
Q357269	6000000011627264565
Q373949	6000000011626825815
Q374075	6000000011627264219
Q374104	6000000011627278817
Q380623	6000000011627118319
Q440454	6000000011626573108
Q440538	6000000011626574126
Q449540	6000000011627411247
Q451926	6000000011626994461
Q453243	6000000006743369482
Q453508	6000000004869093727
Q453789	6000000004869093649
Q459153	6000000042324946693
Q460342	6000000009687922295
Q464248	6000000004869093838
Q470528	6000000002491551942
Q484866	6000000028856413461
Q489064	6000000016328494813
Q496421	6000000028895625641
Q515574	6000000042325255325
Q548623	6000000042325032728
Q558437	6000000009687838414
Q716024	6000000009687948287
Q721756	6000000002481253260
Q733163	6000000009687950258
Q736112	6000000009687933443
Q819556	6000000003485847175
Q870223	6000000031528142916
Q888003	6000000009687829485
Q913749	6000000003957676451
Q958662	6000000011627413251
Q1045160	6000000003474166572
Q1052959	6000000016662722475
Q1147250	6000000002481254239
Q1441379	6000000002048439278
Q1466794	6000000227350547867
Q1962794	6000000005747697123
Q2031200	6000000178795253826
Q2067443	6000000178793768878
Q2164896	6000000178794668840
Q2342780	6000000005747697154
Q2666440	6000000178794757852
Q2746812	5152366561060066977
Q4243879	6000000008004518685
Q4268330	6000000020107122663
Q4302144	6000000026522778851
Q4499078	6000000001272854603
Q4766049	6000000016328513720
Q4806168	6000000012561210538
Q6040326	6000000031528058919
Q6377648	6000000001381063554
Q7214248	6000000028786845951
Q7424985	6000000012561014967
Q7480137	6000000189960169823
Q7664534	6000000001380983518
Q7878975	6000000001272026560
Q7991612	6000000189960074826
