round	geni_id	qid	slot	method	from_geni	from_qid	evidence
1	1077590	Q110601806	father	solo	1077061	Q108743024	position
1	1077592	Q110601811	mother	solo	1077061	Q108743024	position
1	1077692	Q116003570	father	solo	1077060	Q108743022	position
1	1077697	Q116003577	mother	solo	1077060	Q108743022	position
1	1312227	Q96201650	mother	solo	6000000006441973808	Q96201744	position
1	1341991	Q2718796	father	solo	6000000001744995580	Q3008316	position
1	1350415	Q107302286	mother	solo	1349900	Q131439540	position
1	1350453	Q3263552	child	date	6000000014295174253	Q3132252	born 1652 vs 1652
1	1550479	Q117025763	child	date	6000000000100999637	Q115974190	born 1751 vs 1751
1	1793389	Q20890684	spouse	solo	1793388	Q5586696	position
1	2186128	Q5976087	child	date	6000000013522528302	Q5976081	born 1860 vs 1860
1	2247833	Q117353651	child	name	2247266	Q6228284	shared: ivar
1	2258142	Q106491223	child	date	2258038	Q6228270	born 1826 vs 1826
1	2258155	Q93356632	child	date	2258038	Q6228270	born 1835 vs 1835
1	2258205	Q6228311	child	date	2258038	Q6228270	born 1839 vs 1839
1	2289851	Q6337740	child	date	6000000055720206039	Q6228302	born 1846 vs 1846
1	2433762	Q19546134	father	solo	2433806	Q2312669	position
1	2442511	Q75956977	child	name	6000000015822408016	Q70010489	shared: thomas
1	2442522	Q76001287	child	name	6000000015822408016	Q70010489	shared: james
1	2442544	Q76001293	child	name	6000000015822408016	Q70010489	shared: christian
1	2532832	Q20711390	child	date	6000000002116068310	Q19873055	born 1521 vs 1521
1	283157258880005868	Q110549309	mother	solo	6000000006952749886	Q127270395	position
1	283163048380005890	Q127270394	mother	solo	6000000006952952307	Q16650077	position
1	284143581860005978	Q112969084	child	date	6000000006127174051	Q16649971	born 1625 vs 1625
1	284144464140004000	Q135479893	child	name	284138677450001022	Q6082487	shared: johannes
1	2852356	Q126089031	father	solo	6000000004708247018	Q6077504	position
1	2852958	Q98697619	child	date	2853073	Q98697620	born 1672 vs 1672
1	286111905220005108	Q111031903	child	date	6000000015901456755	Q48070566	born 1934 vs 1934
1	287616355090002968	Q75445757	father	solo	6000000011615041535	Q75445756	position
1	287620114100006364	Q75445769	mother	solo	6000000011615334347	Q75445766	position
1	288469248880005617	Q96235332	child	date	4796608	Q96235336	born 1704 vs 1704
1	290458573020002572	Q3417511	mother	solo	6000000005023230047	Q316892	position
1	290459821900001444	Q3431489	father	solo	6000000005913162130	Q2899786	position
1	290460696890002594	Q3104400	mother	solo	6000000005913162130	Q2899786	position
1	290640787220001509	Q99301908	spouse	name	6000000002736610064	Q5562890	shared: anna,axelsdotter,hällekis
1	291011464460007572	Q16945071	father	solo	6000000001163771105	Q18649239	position
1	292346345950008551	Q110426276	mother	solo	6000000006251238564	Q3321271	position
1	292350426030002931	Q19896976	spouse	date	6000000020109737178	Q5581921	born 1913 vs 1913
1	292355389580002928	Q12331324	spouse	name	292355520990005943	Q121925925	shared: per
1	294434855870002563	Q359596	child	date	5305294636990124817	Q297194	born 1163 vs 1163
1	294497400980006361	Q314001	spouse	solo	6000000001500929223	Q2656351	position
1	294499031220005507	Q57323	spouse	solo	6000000001500886022	Q450811	position
1	294505619910001663	Q5053006	mother	solo	6000000006727863185	Q258917	position
