qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q110617,Q101352,Самарџић,Samardžić,サマルジッチ,萨马尔季奇,,,,Самарджич,Samardžić,Samardžić,Samardžić,Samardžić,Samardžić,Samardžić,Samardžić,Samardžić,Samardžić,Samardžić,Samardžić
Q116697,Q101352,Fitelberg,Fitelberg,フィテルベルク,,,,,Файтельберг,Fitelberg,,,,,,,,,,
Q142857,Q11879590,Soraya,Soraya,ソラヤ,苏拉娅,,سورايا,סוראיה,Сорайя,Soraya,Soraya,Soraya,Soraya,Soraya,Soraya,Soraya,Soraya,Soraya,Soraya,Soraya
Q143129,Q101352,Fagan,Fagan,フェイガン,,,فاغان,פאגן,Фаган,Fagan,,,,,,,,,,
Q168233,Q11879590,Zoe,Zoe,ゾーイ,佐伊,,زوي,זואי,Зои,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe,Zoe
Q175753,Q101352,Cordier,,コルディエ,柯第爾,코르디에,كوردييه,,Кордье,,,,,,,,,,,
Q176249,Q101352,Panabaker,,,,,باناباكر,,,,,,,,,,,,,
Q178041,Q12308941,Pontius,Pontius,ポンティウス,,,,פונטיוס,Понтий,Pontius,Pontius,Pontius,Pontius,Pontius,Pontius,Pontius,Pontius,Pontius,Pontius,Pontius
Q179033,Q12308941,Illés,Illés,,,,,אילש,Иллеш,Illés,Illés,Illés,Illés,Illés,Illés,Illés,Illés,Illés,Illés,Illés
Q184857,Q101352,Zeiher,,,,,,,,,,,,,,,,,,
Q198281,Q101352,Ziadi,,,,,,,Зиади,,,,,,,,,,,
Q198857,Q101352,Ziegler,Ziegler,ツィーグラー,齐格勒,,تسيغلر,ציגלר,Циглер,Ziegler,Ziegler,Ziegler,Ziegler,Ziegler,Ziegler,Ziegler,Ziegler,Ziegler,Ziegler,Ziegler
Q199417,Q12308941,Zigmantas,Zigmantas,ジグマンタス,西格曼塔斯,,,זיגמנטס,Зигмантас,Zigmantas,Zigmantas,Zigmantas,Zigmantas,Zigmantas,Zigmantas,Zigmantas,Zigmantas,Zigmantas,Zigmantas,Zigmantas
Q219849,Q101352,Zondek,Zondek,,,,,צונדק,,Zondek,Zondek,Zondek,Zondek,Zondek,Zondek,Zondek,Zondek,Zondek,Zondek,Zondek
Q222105,Q101352,Jääskeläinen,Jääskeläinen,,,,,,Яаскеляйнен,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen,Jääskeläinen
Q226761,Q101352,Zorn,Zorn,ソーン,佐恩,,زورن,זורן,Цорн,Zorn,Zorn,Zorn,Zorn,Zorn,Zorn,Zorn,Zorn,Zorn,Zorn,Zorn
Q233193,Q101352,Wesley,Wesley,ウェズリー,韦斯利,,ويزلي,וסלי,Уэсли,Wesley,Wesley,Wesley,Wesley,Wesley,Wesley,Wesley,Wesley,Wesley,Wesley,Wesley
Q245145,Q101352,Zwyssig,Zwyssig,,,,,,,Zwyssig,Zwyssig,Zwyssig,Zwyssig,Zwyssig,Zwyssig,Zwyssig,Zwyssig,Zwyssig,Zwyssig,Zwyssig
Q255209,Q11879590,Mercedes,Mercedes,メルツェーデス,梅塞德丝,,مرسيدس,מרסדס,Мерседес,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes,Mercedes
Q261113,Q12308941,Noel,Noel,ノエル,諾埃爾,노엘,نويل,נואל,Ноэль,Noel,Noel,,,,,,,,,
Q267401,Q12308941,Facundo,Facundo,,法昆多,,فاكوندو,פקונדו,,Facundo,Facundo,Facundo,Facundo,Facundo,Facundo,Facundo,Facundo,Facundo,Facundo,Facundo
Q300777,Q12308941,Aadolf,Aadolf,,阿道夫,,,,,Aadolf,Aadolf,Aadolf,Aadolf,Aadolf,Aadolf,Aadolf,Aadolf,Aadolf,Aadolf,Aadolf
Q301657,Q11879590,Viola,Viola,ヴィオラ,维奥拉,,فيولا,ויולה,Виола,Viola,Viola,Viola,Viola,Viola,Viola,Viola,Viola,Viola,Viola,Viola
