our_geni	our_name	via_child_geni	via_child_name	via_child_qid	candidate_parent_qids
1077590	Pierre Blosset	1077061	Marguerite Blosset	Q108743024	Q110601806|Q110601811
1077592	Isabelle Blosset	1077061	Marguerite Blosset	Q108743024	Q110601806|Q110601811
1077692	Robert VI d'O Seigneur d'O	1077060	Robert VII dit Robin D'O Seigneur d'O & de Maillebois	Q108743022	Q116003570|Q116003577
1077697	Jeanne La Baveuse Dame de Fresnes, Baillet, Mailleboix et Franconville	1077060	Robert VII dit Robin D'O Seigneur d'O & de Maillebois	Q108743022	Q116003570|Q116003577
1312227	Bethia Hinckley	6000000006441973808	Samuel Hinckley	Q96201744	Q96201650
1341991	Godred Haraldsson King of the Isle of Man and of Dublin	6000000001744995580	"Olaf I ""Morsel"", King of Man & the Isles"	Q3008316	Q2718796
1350415	Borbála Esterházy de Galántha	1349900	Dániel IV Esterházy de Galántha Graf	Q131439540	Q107302285|Q107302286
1415237	Eva Christina Eriksdotter de Besche	6000000009843347103	Gustaf Wathier Vathier Hamilton	Q3121047	Q138582215
1549945	Johan Larsson Biörkman	6000000019853407263	Bengt Magnus Björkman	Q5577796	Q130739041
1549946	Maria Öhman	6000000019853407263	Bengt Magnus Björkman	Q5577796	Q130739041
1554791	Maria Emilia Jung	6000000002823411313	Helge Victor Jung	Q5704515	Q19976633
1609740	Justina Sophie Naucler	311815313480004654	Olof Nauclér	Q16649960	Q16649961
2186128	Alfred Henrik de Maré	6000000013579625099	Rolf de Maré	Q2609138	Q5976087
2289879	Maria Margareta Wærn	6000000016396096830	Kerstin Hesselgren	Q4953847	Q98433605
2433762	Willem III van Brederode van Teylingen	2433806	Dirk van Brederode III	Q2312669	Q19546134|Q76189328
2757448	Emilia Matilda von Hofsten	2757165	Carl-Fredrik Gerhard von Hofsten	Q130524410	Q130524451
283077976790001036	Daniel Theodard Amatus Isaksson Stierna	6000000008210989844	Peter Danielsson Schönström till Bernshammar	Q6197718	Q135479976|Q135479980
283157258880005868	Anna Plantina	6000000006952749886	Catharina Blackstadia	Q127270395	Q110549307|Q110549309
283163048380005890	Margareta Hansdotter	6000000006952952307	Petrus Olai Dalekarlus	Q16650077	Q127270393|Q127270394
284143581860005978	Catharina Segersdotter Nentzelia	6000000002487189932	Magdalena Wallvik	Q112968210	Q112969084
2852356	Peder Arvidsson Roman	6000000004708247018	Arvid Persson Roman	Q6077504	Q126089031|Q135480006
287591664670001435	Nanny Elisabeth Johanna Bratt	6000000042293853728	Axel Engelbert Rinman	Q16650212	Q111382828
287616355090002968	Carl Johan Bagge	6000000011615041535	Eleonora Margareta Bagge	Q75445756	Q75445757|Q75445761
287620114100006364	Caroline Elizabeth Bagge	6000000011615334347	Eleonore Dickson	Q75445766	Q75445767|Q75445769
290458573020002572	Ragnetrude De Neustrie	6000000005023230047	Sigebert III King of the Franks in Austrasia	Q316892	Q3417511
290459821900001444	Richemer d'Orleans Duke of the Burgundians and Franconians	6000000005913162130	Haldetrude Adaltrudis	Q2899786	Q3431489|Q3104400
290460696890002594	Saint Gertrude, abbess of Hamage	6000000005913162130	Haldetrude Adaltrudis	Q2899786	Q3431489|Q3104400
290640787220001509	Anna Axelsdotter Posse	6000000003274794856	Elsa Axelsdotter Posse	Q18326066	Q99301908
291011464460007572	Göran Andersson Armsköld	6000000001163771105	Olof Göransson Armsköld	Q18649239	Q16945071
292346345950008551	Lone Seidenfaden	6000000006251238564	Tøger Peter Seidenfaden	Q3321271	Q110426276
294505619910001663	Katarzyna	6000000006727863185	Anna von Schweidnitz Svídnická	Q258917	Q553884|Q5053006
294505796020003642	Henry II of Świdnica	6000000006727863185	Anna von Schweidnitz Svídnická	Q258917	Q553884|Q5053006
297898016850003658	Sten Haraldsson Gren	6000000007551562282	Magnus Stensson Gren till Tidö	Q5770947	Q101248439|Q101248449
298732052860003667	Elisabeth von Bayern Römisch-Deutsche Königin, Königin von Sizilien und Jerusalem	6000000000350865415	Conrad von Hohenstaufen Duke of Swabia, King of Jerusalem and Sicily	Q158246	Q157179|Q261237
300373742270008098	Christine Henriette de Savoie Carignan	6000000016228183782	Maria Gabriella di Savoia Carignano	Q60845049	Q1747562
302329770210002882	Katherine Howard	6000000036041112174	Catherine Neville	Q75238417	Q75382599
303017853050005647	Ulpia Traiana	6000000006101317642	Publius Aelius Hadrianus Afer Hadrian Roman Senator	Q2280800	Q4687704|Q7879756
305505408250004454	Göran Hansson (Stiernsköld)	6000000005931155527	Märta Göransdotter Stiernsköld	Q99301915	Q101247640|Q101247643
305829152110004435	Brita Knutsdotter Posse	6000000007497064577	Bengt Bengtsson Oxenstierna af Eka och Lindö till Ekebyholm	Q3742159	Q6031720
305976324250005669	Judith of Swabia	6000000010107772824	Judith Maria of Kiev	Q96239458	Q54046|Q254374
310795735510001425	Wilhelm Ludwig von Württemberg Herzog	6000000013093047464	Eberhard Ludwig Duke of Württemberg Herzog	Q61169	Q61212
311731497930005744	Wilhelm of Brunswick-Lüneburg the Younger, Duke of Brunswick-Lüneburg	6000000007527524235	Friedrich IV von Braunschweig-Lüneburg Herzog, Fürst zu Lüneburg	Q68652	Q62481
312092994390004595	Augusta Frederica of the United Kingdom, of Hanover	6000000000702651495	Auguste Karoline Friederike Luise von Braunschweig-Wolfenbüttel Herzogin, Königin zu Württemberg	Q220823	Q238458
313670929900002772	Alphonse Jean François de Saussure	313672122440003609	Henri Louis Frédéric de Saussure	Q123776	Q19838821
313674878450008158	Germaine de Saussure	6000000001732799412	Hermine Seyrig	Q55853603	Q16219395
3137536	Franz I von Sachsen-Lauenburg Herzog	6000000003549817645	Heinrich III von Sachsen-Lauenburg Erzbischof v. Hamburg-Bremen, Bischof v. Osnabrück u. Paderborn	Q89268	Q553550|Q465382
3137692	Hámundur Hjörsson prince of Rogaland	3137665	Þórir Hámundarson	Q15901190	Q14841647
3137997	Ingjald Anundsson	6000000010132173972	Olof Ingjaldsson	Q2664809	Q130896|Q5527923
3139222	Ingunn Helgadóttir	3137665	Þórir Hámundarson	Q15901190	Q14841647
