language,all_items,items_with_geni_id,items_in_our_tree
en,1356859,495442,13607
nl,1136213,397116,11584
es,470345,283323,8731
de,399712,238735,5353
ast,383285,241482,7435
fr,379252,208910,5710
mul,359541,207382,2203
ca,283272,180470,4204
sq,268082,173619,3406
sl,259929,166570,3235
it,235494,147316,4138
sv,234578,150544,3826
cs,223158,150813,3987
pt,204617,123765,3301
pt-br,200460,122360,3213
ru,193637,104722,5052
da,191489,130201,3221
ga,190714,131078,1872
nb,174080,121424,3642
zh,162014,111037,8230
fi,147364,103314,1930
bn,135711,23350,517
pl,134809,91208,3103
hu,127365,85458,2570
nn,122748,92677,1714
ja,119313,68769,3966
tr,108649,69178,1923
zh-hant,108492,80275,6264
arz,107122,77881,2379
zh-hans,97000,74683,6060
cy,84854,50654,1513
pap,83252,60874,678
ar,76051,52630,1865
lzh,72629,57781,5098
he,65216,44287,2060
gl,63864,39993,1295
uk,62761,39828,2966
ro,59912,40216,1707
el,53332,26638,3269
eu,52705,34875,1268
fa,52188,37836,1402
ko,50843,33576,1591
id,50498,33757,1794
be,46259,28500,2586
en-gb,45720,28969,1229
sk,44937,30028,774
eo,44170,30616,1405
et,42785,30122,820
en-ca,42424,27226,1165
nds,36510,25576,330
vi,34251,20937,1719
bg,33848,17836,2340
lb,33304,23160,411
be-tarask,32467,20327,1104
hy,31981,21890,995
af,30988,21789,506
hr,30537,20582,1053
sco,30237,21122,721
ur,29410,18532,659
br,28967,18946,952
an,27601,19213,369
yo,27552,22106,301
lt,27207,19169,774
bar,26956,18302,183
oc,26898,19239,468
de-ch,26713,18460,394
sc,23797,16085,132
co,23746,15881,174
sw,23529,16137,347
io,23136,16038,285
de-at,22871,15545,115
pms,22814,15759,207
gsw,21777,14419,301
zh-cn,21458,15634,1005
azb,21079,17836,650
ms,19768,13206,422
la,19236,12115,1151
is,18827,13982,473
dag,18723,15366,84
nds-nl,18377,12461,121
mg,17924,12487,312
li,17847,11804,151
sr,17488,12093,1217
lv,17328,12995,566
vec,17175,11549,150
rm,16845,11159,87
gd,16784,11410,172
wa,16705,11148,114
scn,16691,11211,231
vls,15864,10503,234
pcd,15699,10407,113
lij,15454,10252,110
sh,15357,10564,1252
fur,15295,10156,94
nap,15265,10184,106
ka,15192,10452,1028
vo,15008,9721,90
az,14539,9635,690
zh-hk,14318,8881,742
min,14137,9058,111
th,13990,8749,884
sr-el,13916,8949,322
ia,13551,8850,143
ie,13139,8503,77
frp,12944,8324,95
nrm,12832,8178,110
zu,12649,8048,73
wo,12438,7931,70
kg,12263,7819,86
zh-tw,11147,7807,599
uz,10554,6954,246
bs,9874,7303,440
vmf,9693,6171,61
sje,9620,7118,37
mk,9485,7087,622
kab,8871,5653,82
jam,8779,5594,74
frc,8642,5454,56
bm,8608,5448,60
tl,8403,6548,356
zh-sg,8373,6239,538
prg,8352,5231,55
rgn,8047,5038,54
fo,7743,5785,109
yue,7278,5111,486
ckb,6931,5403,251
lmo,6741,5234,121
ig,6736,4551,78
war,6729,5502,181
fy,6652,5063,244
ml,6492,4578,172
se,6416,4827,27
hi,6373,4474,256
jut,5616,3923,19
jv,5483,3959,146
kk,5477,4252,202
ceb,5421,4195,44
ta,5337,3842,174
en-us,5270,2872,135
hsb,5248,3819,46
frr,5244,3838,116
wuu,5140,4229,446
ty,5075,3121,21
sr-ec,4998,3660,300
ha,4981,3213,121
sma,4827,3721,21
mt,4787,3512,87
dsb,4708,3387,34
smj,4414,3432,18
ku,4265,1929,140
nan,4262,3169,449
ee,4210,3168,24
tt,4146,3039,152
mr,3906,3085,257
ht,3906,2875,34
kl,3836,2517,24
pa,3724,2824,77
pfl,3714,2627,24
pnb,3617,2438,129
ace,3374,2366,14
lfn,3331,2439,48
te,3217,2279,58
qu,3120,2557,60
mn,3085,2291,134
su,3032,2044,43
xmf,3004,2621,145
tg,2983,2079,103
ku-latn,2811,668,44
ext,2794,2101,39
fit,2785,1999,10
eml,2724,2050,14
map-bms,2635,1763,10
bcl,2553,1841,58
diq,2483,1916,131
ilo,2424,1787,32
pam,2366,1848,22
bjn,2239,1543,13
kn,2219,1761,95
ba,2207,1612,126
mzn,2150,1713,87
gv,2143,1510,28
kw,2103,1575,61
yi,2099,1593,68
ff,2062,1257,16
zea,2034,1374,31
pdc,2024,1356,10
stq,2022,1366,22
as,2008,1154,62
hyw,1977,1133,78
szl,1975,1326,22
ps,1931,1550,124
ksh,1916,1275,21
mwl,1861,1288,86
ky,1859,1533,72
mi,1851,1104,13
ang,1736,1191,160
ne,1735,1293,47
hak,1722,1377,74
sgs,1659,1234,54
bi,1642,1188,10
zh-my,1631,913,69
my,1576,1287,62
cv,1570,1201,113
ay,1523,1166,11
kk-latn,1509,1015,34
bug,1498,996,1
skr,1476,971,50
tpi,1439,996,8
lad,1433,978,24
rup,1420,974,10
fj,1387,925,4
nah,1372,1034,31
tet,1371,747,6
grc,1346,156,110
kaa,1328,990,40
csb,1286,834,18
pdt,1284,826,4
xh,1268,827,8
so,1252,832,47
egl,1242,907,2
gn,1224,897,29
cdo,1222,892,51
roa-tara,1221,805,5
mus,1212,791,3
sli,1197,769,3
aa,1194,790,4
vro,1171,819,27
vep,1147,840,24
tum,1133,835,7
zh-mo,1127,434,69
ak,1122,711,4
nov,1116,779,7
cbk-zam,1112,804,16
rmy,1106,761,7
gor,1092,559,15
hif,1080,819,33
crh-latn,1072,700,11
sdc,1053,686,3
kk-tr,1050,739,32
haw,1037,723,12
srn,1032,706,4
pag,997,714,14
avk,993,768,65
pih,991,631,6
olo,986,672,11
sei,973,627,3
sat,968,639,17
tg-latn,968,644,9
tk,952,729,22
si,941,685,62
jbo,938,650,14
gag,906,611,5
ce,905,585,63
na,890,592,6
ki,889,597,9
ch,887,593,5
sn,887,588,9
smn,884,670,14
cho,866,573,3
tn,865,548,4
ln,862,570,7
dtp,860,575,9
mai,850,620,27
chy,848,559,3
am,841,635,63
ik,837,553,4
ks,834,509,30
hif-latn,831,528,5
ike-latn,824,522,3
ho,823,539,3
rw,822,550,7
hz,820,537,3
ary,800,566,34
ny,798,529,8
sm,797,516,15
to,788,466,3
st,785,493,7
rn,757,488,10
km,745,563,36
ltg,741,461,7
ts,740,474,8
ve,735,464,3
nv,729,468,4
nso,728,462,4
gu,720,473,29
new,720,664,40
sd,718,502,63
tt-latn,718,441,6
or,716,397,27
ruq-latn,716,435,3
shi-latn,711,429,3
sg,710,449,4
za,709,515,18
ug-latn,709,431,4
cr,708,493,5
os,704,522,40
kj,703,444,3
ng,700,441,3
sms,682,497,3
kk-cyrl,677,485,33
sah,664,532,53
ban,663,457,38
tw,653,401,12
vot,651,433,3
om,648,457,8
mad,643,371,92
krj,640,396,10
lg,639,398,6
kk-arab,635,457,31
atj,632,390,0
got,631,445,23
sa,625,499,56
sju,623,453,1
rmf,621,451,2
arn,608,388,3
aln,601,375,4
qug,595,375,4
rif,578,361,3
kk-kz,563,435,32
kr,559,350,3
chr,553,395,10
crh,545,418,38
bo,529,280,26
lo,527,401,14
loz,497,302,3
lus,497,302,3
iu,480,335,8
kk-cn,477,374,29
bho,462,344,21
rue,454,397,34
brh,444,307,4
lzz,436,304,3
tly,434,347,18
ss,433,231,1
tru,432,300,3
mhr,429,340,4
simple,417,254,2
ug,398,282,31
kbp,388,292,27
tok,387,336,31
tt-cyrl,376,295,6
no,367,239,3
myv,366,284,9
hrx,365,207,0
guw,362,321,8
gan,361,288,75
nys,359,172,0
pi,342,204,5
mh,339,177,0
knc,334,243,18
hil,324,192,2
gpe,313,202,6
ku-arab,312,267,14
dty,311,212,3
tyv,297,248,13
mni,292,110,10
mdf,291,180,6
sjd,285,217,2
liv,280,133,0
pcm,255,201,12
bxr,251,233,23
szy,239,196,20
kea,234,122,0
tay,226,170,2
dv,222,164,6
bbc,221,100,2
gom-latn,214,99,3
shi,213,159,15
es-419,213,148,4
nqo,210,156,11
niu,203,100,0
lez,201,167,17
lld,199,166,18
gom,197,172,9
bew,197,145,20
ab,196,126,14
aeb-latn,193,83,0
bbc-latn,193,83,0
mrj,193,174,2
btm,191,180,23
awa,189,153,18
acm,189,135,3
lrc,186,168,19
din,185,91,1
mnc,177,114,32
mo,177,84,8
srq,163,68,0
cps,155,63,1
av,154,114,22
krl,153,64,0
bto,152,62,0
kri,152,62,0
cu,151,93,16
anp,128,113,18
zgh,126,107,9
arc,118,78,10
ruq,114,73,2
gcr,111,102,18
aeb-arab,110,24,0
gaa,108,73,4
udm,106,90,7
ms-arab,106,59,3
iba,103,78,6
tcy,102,60,8
apc,100,70,0
ko-kp,99,77,14
kcg,99,74,6
glk,99,75,5
kbd,97,86,11
ike-cans,91,58,2
bpy,88,73,5
krc,88,76,4
ota,87,48,5
ami,85,62,1
kv,84,61,2
mos,83,58,8
rki,78,74,10
syl,76,62,8
trv,73,48,1
gan-hant,72,48,3
tg-cyrl,72,43,1
gan-hans,71,48,3
arq,69,55,0
nup,68,46,2
luz,63,32,0
ryu,63,39,9
pnt,61,38,1
alt,57,56,0
xal,54,43,4
ady,53,41,8
gur,53,36,2
fat,53,44,0
mag,52,26,12
shn,51,39,4
ti,50,39,9
ann,44,40,7
ug-arab,43,30,1
mnw,41,37,0
dz,41,17,1
lbe,41,23,1
nan-latn-tailo,37,27,2
nan-latn-pehoeji,36,27,2
igl,36,10,1
lua,33,24,0
gom-deva,31,19,3
rsk,29,24,0
fon,29,22,1
inh,27,17,2
lki,27,11,0
koi,25,14,0
crh-cyrl,24,13,0
nia,23,21,3
es-formal,23,9,0
dga,23,16,1
ppl,20,19,2
de-formal,17,3,0
uz-cyrl,16,8,0
nr,15,12,0
kge,15,10,2
kaj,14,14,4
kus,14,10,0
bdr,14,4,0
nod,13,3,0
shi-tfng,13,4,0
guc,12,9,0
aeb,11,7,1
kbd-cyrl,11,2,0
ruq-cyrl,11,2,0
rwr,11,3,1
nan-hant,11,7,1
wlx,10,9,0
ady-cyrl,10,2,0
ks-arab,10,2,0
ks-deva,10,2,0
blk,10,9,0
kai,10,7,0
bqi,9,3,0
kiu,9,3,0
pap-aw,9,4,0
nan-hani,9,6,1
bcc,8,2,0
be-x-old,8,8,2
bgn,7,2,0
ii,7,2,0
khw,7,2,0
ses,7,2,0
wls,7,5,0
ibb,7,4,0
wuu-hant,6,5,0
sdh,6,2,0
yrl,6,3,0
sh-cyrl,6,3,0
fkv,5,3,0
tig,5,3,0
pwn,4,4,0
abr,3,3,0
wes,3,1,0
sh-latn,3,3,0
rmc,3,3,0
isv-cyrl,3,3,1
shy-latn,2,1,0
ase,2,1,0
sty,2,1,0
cop,2,2,0
sro,2,1,0
tzm,2,0,0
shy,1,1,0
mua,1,1,0
tdd,1,1,0
quc,1,1,0
isv,1,1,0
roa-rup,1,1,0
als,1,1,0
kum,1,0,0
hu-formal,1,0,0
nl-informal,1,0,0
kjp,1,0,0
xsy,1,0,0
uz-latn,1,0,0
skr-arab,1,0,0
abs,1,0,0
bh,1,0,0
mcn,1,0,0
aae,1,0,0
