regnal	roster_name	qid	lineage	geni_id	geni_name	status
1	Ame no Hohi		other			not found
2	Takehi-Nateru		other			not found
4	Tsusahime no Mikoto	Q135579354	other			not found
5	Kushifusakinomikoto	Q135579355	other			not found
6	Kushitsukinomikoto	Q135579356	other			not found
7	Kushichitoriuminomikoto	Q135579358	other			not found
8	Kushidanomikoto	Q135579359	other	6000000012789332311	Kushida-no-mikoto	match (hop 4)
9	Chirinomikoto	Q135579360	other	6000000012789365875	Chiri-no-mikoto	match (hop 5)
10	Yomorosunomikoto	Q135579361	other			not found
11	Izumo no Furune	Q55533077	Izumo			not found
12	Ukatsu Kunu no Mikoto	Q135579365	other			not found
13	Kanesune no Mikoto	Q109361305	other			not found
14	Kihisatsumi	Q123511663	other			not found
15	Mishima no Ashinazunomikoto	Q135579366	other			not found
16	Ou no Sukune	Q55406423	other			not found
17	Miyamukasu Ashinine no Mikoto	Q135579367	other			not found
18	Izumo no Funin	Q135579368	Izumo			not found
19	Izumo no Funei	Q135579369	Izumo			not found
20	Izumo no Ihohiku	Q135579370	Izumo			not found
21	Izumo no Miko	Q135579371	Izumo			not found
22	Izumo no Eiya	Q135579373	Izumo			not found
23	Izumo no Obitake	Q135579374	Izumo			not found
24	Izumo no Hatayasu	Q95161958	Izumo			not found
25	Izumo no Hiroshima	Q92924732	Izumo			not found
26	Izumo no Otoyama	Q95161949	Izumo			not found
27	Izumo no Masukata	Q95161959	Izumo			not found
28	Izumo no Kunikami	Q135579375	Izumo			not found
29	Izumo no Kuninari	Q135579376	Izumo			not found
30	Izumo no Hitonaga	Q135579377	Izumo			not found
31	Izumo no Chikuni	Q135579379	Izumo			not found
32	Izumo no Kanemutsu	Q135579378	Izumo			not found
33	Izumo no Tabito	Q135579380	Izumo			not found
34	Izumo no Toyomochi	Q135579381	Izumo			not found
35	Izumo no Tokinobu	Q135579382	Izumo			not found
36	Izumo no Tsunesuke	Q135579384	Izumo			not found
36	Izumo no Ujihiro	Q135579385	Izumo			not found
38	Izumo no Harutoshi	Q135579386	Izumo			not found
39	Izumo no Yoshitada	Q135579387	Izumo			not found
40	Izumo no Kuniaki	Q135579388	Izumo			not found
41	Izumo no Kunitake	Q135579389	Izumo			not found
42	Izumo no Yukikane	Q135579391	Izumo			not found
43	Izumo no Munefusa	Q135579394	Izumo			not found
44	Izumo no Kanemune	Q135579395	Izumo			not found
45	Izumo no Kanetada	Q135579397	Izumo			not found
46	Izumo no Kanetsune	Q135579398	Izumo			not found
47	Izumo no Munetaka	Q135579399	Izumo			not found
48	Izumo no Takafusa	Q135579400	Izumo			not found
49	Izumo no Takatsuna	Q135579402	Izumo			not found
50	Izumo no Masataka	Q135579404	Izumo			not found
51	Izumo no Yoshitaka	Q135579406	Izumo			not found
52	Izumo no Yasutaka	Q135579407	Izumo			not found
53	Izumo no Takatoki	Q135579409	Izumo			not found
54	Izumo no Kiyotaka	Q135579414	Izumo			not found
55	Kitajima no Sadataka	Q135579416	Kitajima			not found
55	Senge no Takamune	Q135579415	Senge			not found
56	Kitajima no Yoshitaka	Q135579421	Kitajima			not found
56	Senge no Naokuni	Q135579420	Senge			not found
57	Kitajima no Yukitaka	Q135579425	Kitajima			not found
57	Senge no Takakuni	Q135579441	Senge			not found
58	Kitajima no Takataka	Q135579447	Kitajima			not found
58	Senge no Mochikuni	Q135579455	Senge			not found
59	Kitajima no Yoshitaka	Q135579457	Kitajima			not found
59	Senge no Naonobu	Q135579464	Senge			not found
60	Kitajima no Masataka	Q135579466	Kitajima			not found
60	Senge no Takatoshi	Q135579471	Senge			not found
61	Kitajima no Hidetaka	Q135579475	Kitajima			not found
61	Senge no Toyotoshi	Q135579478	Senge			not found
62	Kitajima no Hisataka	Q135579485	Kitajima			not found
62	Senge no Takakatsu	Q135579472	Senge			not found
63	Kitajima no Hirokatsu	Q135579488	Kitajima			not found
63	Senge no Naokatsu	Q135579476	Senge			not found
64	Kitajima no Harutaka	Q135579492	Kitajima			not found
64	Senge no Yoshikatsu	Q135579477	Senge			not found
65	Kitajima no Tsunetaka	Q135579497	Kitajima			not found
65	Senge no Yoshihiro	Q135579481	Senge			not found
66	Kitajima no Kanetaka	Q135579502	Kitajima			not found
66	Senge no Motokatsu	Q135579487	Senge			not found
67	Kitajima no Michitaka	Q135579503	Kitajima			not found
67	Senge no Takanou	Q135579491	Senge			not found
68	Kitajima no Naotaka	Q135579506	Kitajima			not found
68	Senge no Takamitsu	Q135579496	Senge			not found
69	Senge no Takafusa	Q135579494	Senge			not found
70	Senge no Naoharu	Q135579495	Senge			not found
71	Senge no Munetoshi	Q135579493	Senge			not found
72	Senge no Hiromitsu	Q135579501	Senge			not found
73	Senge no Toyomasa	Q135579498	Senge			not found
74	Senge no Toyomi	Q135579499	Senge			not found
75	Senge no Toshikatsu	Q135579505	Senge			not found
76	Senge no Toshihide	Q135579508	Senge			not found
	2020	Q25337	other			not found
	Ada no Mikoto	Q135579362	other			not found
	Akatsuka no Kazunobu	Q135579479	other			not found
	Akatsuka no Masakuni	Q135579465	other			not found
	Akatsuka no Masatoki	Q135579456	other			not found
	Akatsuka no Nagatoshi	Q135579484	other			not found
