sv_title	qid	geni_id	tree_url
Daniel Djurberg (geograf)	Q5622753	6000000172119806833	https://www.geni.com/family-tree/index/6000000172119806833
Daniel Melanderhjelm	Q5983613	6000000018625012640	https://www.geni.com/family-tree/index/6000000018625012640
David Wilhelm Silfverstolpe	Q6175942	6000000007510100335	https://www.geni.com/family-tree/index/6000000007510100335
Detlof Heijkenskjöld den yngre	Q5797554	6000000011370804802	https://www.geni.com/family-tree/index/6000000011370804802
Edvard Fredrik von Saltza	Q10480021	6000000012942583482	https://www.geni.com/family-tree/index/6000000012942583482
Elof Rosenblad	Q6079637	6000000006127907129	https://www.geni.com/family-tree/index/6000000006127907129
Elof Steuch	Q6330080	342032974900007076	https://www.geni.com/family-tree/index/342032974900007076
Emanuel Swedenborg	Q185832	6000000006713354346	https://www.geni.com/family-tree/index/6000000006713354346
Eric Alstrin	Q5547967	6000000038458872253	https://www.geni.com/family-tree/index/6000000038458872253
Erik Göran Adelswärd	Q5542628	6000000009401515923	https://www.geni.com/family-tree/index/6000000009401515923
Erik Reinhold Adelswärd	Q5542632	6000000009726668887	https://www.geni.com/family-tree/index/6000000009726668887
Franz Berwald	Q217044	6000000018252392646	https://www.geni.com/family-tree/index/6000000018252392646
Fredric Philip Klingspor	Q5914160	6000000006127120320	https://www.geni.com/family-tree/index/6000000006127120320
Fredrik August Adelswärd	Q19975889	6000000006127732174	https://www.geni.com/family-tree/index/6000000006127732174
Fredrik Boije	Q5580892	6000000020865415341	https://www.geni.com/family-tree/index/6000000020865415341
Fredrik Johan Cederschiöld	Q5605651	6000000020086878142	https://www.geni.com/family-tree/index/6000000020086878142
Fredrik Otto Silfverstolpe	Q6175945	6000000019324978972	https://www.geni.com/family-tree/index/6000000019324978972
Georg Brandt	Q473225	6000000008496890943	https://www.geni.com/family-tree/index/6000000008496890943
Gustaf Fredrik von Rosen (1758–1815)	Q6079275	6000000013143783109	https://www.geni.com/family-tree/index/6000000013143783109
Gustaf Fredrik Åkerhielm	Q6255155	6000000013400675492	https://www.geni.com/family-tree/index/6000000013400675492
Gustaf Harmens	Q5790728	6000000008831013351	https://www.geni.com/family-tree/index/6000000008831013351
Gustaf Knös	Q5916189	6000000021501491188	https://www.geni.com/family-tree/index/6000000021501491188
Gustaf Thure Bielke	Q5575580	6000000001801796027	https://www.geni.com/family-tree/index/6000000001801796027
Gustaf de Laval	Q364270	6000000006429643351	https://www.geni.com/family-tree/index/6000000006429643351
Gustaf von Essen (1803–1874)	Q10511031	6000000018736511969	https://www.geni.com/family-tree/index/6000000018736511969
Gösta Sandels (konstnär)	Q6092385	6000000026306044337	https://www.geni.com/family-tree/index/6000000026306044337
Hans Henric von Essen (1755–1824)	Q657814	6000000012617406308	https://www.geni.com/family-tree/index/6000000012617406308
Hedvig Sofia von Rosen	Q16596199	6000000012056862710	https://www.geni.com/family-tree/index/6000000012056862710
Helena Maria Ehrenstråhle	Q4945900	6000000013173880845	https://www.geni.com/family-tree/index/6000000013173880845
Henning Mankell (tonsättare)	Q329253	6000000010039794573	https://www.geni.com/family-tree/index/6000000010039794573
Henrik Gabriel Porthan	Q333651	6000000012069920227	https://www.geni.com/family-tree/index/6000000012069920227
