qid	geni_id	label	active_from	note
Q714044	6000000003022010249	Robert Chester Wilson Ettinger	2026-09-03	"Emma 2026-09-03: ""Robert Ettinger is added as an entry point right now""; rationale: ""important enough that he is worthy of being an entry point of his own"""
Q50368774	5328189268700111491	Olof Hersesson	2026-09-13	"Emma 2026-09-13: ""I want to add this person to Bure entrypoints ... They are the earliest recorded ancestor of the Bure clan. I manually added their geni id. They deserve to act as an entrypoint like any other."" And explicitly NOT the 2027-01-01 bloc: ""this is putting them in the bure clan entrypoint ledger thing. Not putting them in the Jan 1 dump of additional entrypoints. This person should have been an entrypoint ages ago"" -- so the date is today, and this file is the right one because it is the one that carries a person's OWN date. The Geni id is hers, added to the item by hand; it is not a 6000000 id and does not need to be."
Q792154	6000000001827582117	Axel Gyntersberg	2026-09-17	"Emma 2026-09-17: ""Make https://www.wikidata.org/wiki/Q792154 an entry point immediately"". Own date, today, so it is live now rather than waiting on the 2027-01-01 gedcom switch -- entry-points.tsv is for a person needing their OWN date. Geni id read off the item's own P2600; Norwegian nobleman."
Q141493463	4976573922110117540	Kristine Trondsdatter Benkestok	2026-09-17	"Emma 2026-09-17: ""she is a new entry point as of right now"", and asked which bucket: ""she alone is a new entry point ... we just have immediate people of which she is a part of and the Jan 1 group"". So her OWN date, today, which is what this file is for -- not the 2027-01-01 gedcom switch. Geni id read off the item's own P2600; it is not a 6000000 id and does not need to be, same as Olof Hersesson above. Benkestok is a Norwegian noble family, so she sits in the Scandinavian genealogy the pipeline is pointed at."
Q141529844	6000000002106194792	Solveig Halfdansdatter	2026-09-21	"Emma 2026-09-21: ""three isolated individuals were created. They become immediate entry points and fix the error that made them."" Created by build-ancestor-creations.py into wikidata-garborg-day.txt; each carried exactly ONE relationship, the reciprocal ""Q\u003cchild\u003e P22|P25 LAST"", and the locality gate stripped that line because the child sits outside the edit universe -- leaving the CREATE behind with nothing pointing at it. Confirmed on Wikidata: Special:WhatLinksHere reports ""No pages link to"" for all three. Own date, today, so they are live now rather than waiting on the 2027-01-01 bloc. Geni id read off the P2600 in the creation block that made them."
Q141529845	6000000004648710083	Ogmund Torbergsson Giske	2026-09-21	"Emma 2026-09-21: ""three isolated individuals were created. They become immediate entry points and fix the error that made them."" Created by build-ancestor-creations.py into wikidata-garborg-day.txt; each carried exactly ONE relationship, the reciprocal ""Q\u003cchild\u003e P22|P25 LAST"", and the locality gate stripped that line because the child sits outside the edit universe -- leaving the CREATE behind with nothing pointing at it. Confirmed on Wikidata: Special:WhatLinksHere reports ""No pages link to"" for all three. Own date, today, so they are live now rather than waiting on the 2027-01-01 bloc. Geni id read off the P2600 in the creation block that made them."
Q141529847	6000000002187828621	Poppo von Berg-Schelklingen zu Roggenstein	2026-09-21	"Emma 2026-09-21: ""three isolated individuals were created. They become immediate entry points and fix the error that made them."" Created by build-ancestor-creations.py into wikidata-garborg-day.txt; each carried exactly ONE relationship, the reciprocal ""Q\u003cchild\u003e P22|P25 LAST"", and the locality gate stripped that line because the child sits outside the edit universe -- leaving the CREATE behind with nothing pointing at it. Confirmed on Wikidata: Special:WhatLinksHere reports ""No pages link to"" for all three. Own date, today, so they are live now rather than waiting on the 2027-01-01 bloc. Geni id read off the P2600 in the creation block that made them."
Q105819709	5576581004760066388	Robert Pierre Thiery de Saint Thomas	2026-09-22	"Emma 2026-09-22: asked to add https://www.wikidata.org/wiki/Q141539878 as an entry point. That QID redirects to Q105819709 (same person: Robert Pierre Thiery de Saint Thomas). Own date, today — immediate, not the 2027-01-01 bloc. Geni id from P2600; FamilySearch P2889 L51S-NRL."
Q141539936		François Thiery	2026-09-22	"Emma 2026-09-22: ""add this person too https://www.wikidata.org/wiki/Q141539936"". François Thiery (~1529–1623), son of Q105819709. Own date, today. No P2600 on the item yet; FamilySearch P2889 is L64M-MBC. Geni id left blank rather than invented (same empty-geni allowance as Arne in the immediate sheet). Do not contact Geni.com."
Q141382445	6000000211987885821	Niklas Olsson	2026-09-22	"Emma 2026-09-22: asked to add https://www.wikidata.org/wiki/Q141539550 as an entry point (from FamilySearch). That QID redirects to Q141382445 (same person: Niklas Olsson / Niklas Olofsson, 1827–1909). Own date, today — immediate, not the 2027-01-01 bloc. Geni id from P2600 6000000211987885821 (item also has 6000000130107786903); FamilySearch P2889 KHW5-BDP. Do not contact Geni.com."
