geni_id,token,implied_father_given_name,modal_count,confirmed_fathers_for_token,mother_geni_id,father_group
1548992,Henriksson,Henrik,41,41,,own
1622505,Håkansdotter,Håkan,7,7,,own
1855960,Svensson,Sven,69,69,,own
1899411,Olofsson,Olof,257,257,,own
1899615,Olofsdotter,Olof,249,249,,own
1905326,Ambrosiusson,Ambrosius,5,5,,own
2363251,ap Thomas,Thomas,20,20,,own
2399295,Gabrielsdotter,Gabriel,30,30,,own
2530721,Nilsson,Nils,424,424,,own
2593041,Svensson,Sven,69,69,6000000004118530505,6000000004118530505:Sven
2697364,Larsdotter,Lars,336,336,,own
283223876710005852,Bengtsdotter,Bengt,16,16,,own
284103720170005984,Rasmusdatter,Rasmus,404,404,6000000008695306594,6000000008695306594:Rasmus
284138677450001022,Johansson,Johan,270,271,,own
2852356,Arvidsson,Arvid,19,19,,own
285788338900007296,Hansdatter,Hans,618,618,6000000000862149128,own
290615137410002629,Holgersen,Holger,22,22,,own
294546644730002581,Eriksson,Erik,231,231,,own
295048686300008933,Andersson,Anders,603,603,,own
295048846030007956,Olofsdotter,Olof,249,249,,own
296012042310008030,Jonsdotter,Jon,115,116,,own
296162972240006342,Knutsdatter,Knut,142,142,,own
297651064320005482,Johansdatter,Johan,69,70,,own
297652008070003664,Jørgensdatter,Jørgen,238,238,,own
302708652640002917,Jensdatter,Jens,392,392,,own
303474136170002715,Mortensen,Morten,33,33,,own
303630466160001107,Willumsen,Willum,6,6,6000000001719509329,6000000001719509329:Willum
307427926340001904,Larsson,Lars,637,637,,own
307428195420001893,Johansdotter,Johan,258,258,,own
3120488,Ormsson,Orm,21,21,,own
315879690770004867,Göransson,Göran,13,13,,own
316019426630003266,Andersdotter,Anders,440,440,,own
3196664,Svensson,Sven,69,69,6000000004118530505,6000000004118530505:Sven
3196685,Svensson,Sven,69,69,6000000004118530505,6000000004118530505:Sven
3196700,Svensson,Sven,69,69,6000000004118530505,6000000004118530505:Sven
320403124760006354,Nilsson,Nils,424,424,,own
3223326,Pehrsdotter,Pehr,17,17,,own
325664057670004783,Ottesen,Otte,38,38,,own
327315379880005392,Pederson,Peder,221,221,4060485141810022060,4060485141810022060:Peder
327317024480002818,Jonson,Jon,208,208,6000000002390809426,6000000002390809426:Jon
327330871420006955,Nilsdatter,Nils,311,311,6000000007980617544,6000000007980617544:Nils
327742072470005396,Persdotter,Per,210,210,,own
327749719710004509,Andersdotter,Anders,440,440,,own
327854160770006002,Kristensdatter,Kristen,89,89,,own
328014972370007078,Henriksson,Henrik,41,41,,own
328146478560007120,Hansdotter,Hans,95,95,,own
331523329200013407,Danielsson,Daniel,63,63,,own
334596064800013588,Nilsdotter,Nils,278,278,,own
334898351280005260,Arntson,Arnt,1,1,334902751860003592,334902751860003592:Arnt
334902751860003592,Nielsdatter,Niels,223,223,6000000003492033809,own
335943221370006061,Samuelsdatter,Samuel,74,74,,own
337608686310003245,Torsen,Tore,5,5,,own
340327809540013028,Torsteinsdatter,Torstein,24,24,6000000003094925200,own
343777353030007579,Eriksson,Erik,231,231,,own
345472290850012913,Pedersen,Peder,633,633,345473844720010725,345473844720010725:Peder
347819991940006048,Andersson,Anders,603,603,,own
347887072340006100,Andersson,Anders,603,603,,own
347887617710011413,Olofsdotter,Olof,249,249,,own
348936130030013536,Nilsdotter,Nils,278,278,,own
349620038380013520,Jonsdatter,Jon,363,370,,own
353298109510005440,Esgesen,Esge,3,3,,own
353440830330013057,Guttormsdotter,Guttorm,8,8,,own
3565310,Andersdotter,Anders,440,440,,own
356575805210011493,Haakonsson,Haakon,4,4,,own
361838596980010355,Jonsdatter,Jon,363,370,6000000001891957076,6000000001891957076:Jon
361843381280007976,Jonsdatter,Jon,363,370,6000000001891957076,6000000001891957076:Jon
361873935520001758,Christophersdatter,Christopher,26,26,6000000005382191314,6000000005382191314:Christopher
361881560350013902,Hanssen,Hans,14,14,6000000005382191314,6000000005382191314:Hans
361885056670012031,Hanssen,Hans,14,14,6000000005382191314,6000000005382191314:Hans
361885454580013913,Ivanovna,Ivan,21,21,,own
361886303730011890,Hanssen,Hans,14,14,6000000005382191314,6000000005382191314:Hans
361886878180011892,Hanssen,Hans,14,14,6000000005382191314,6000000005382191314:Hans
364930664760012696,Nilsdotter,Nils,278,278,,own
370397319740013905,Torkelsen,Torkel,49,50,,own
3711822,Andersdotter,Anders,440,440,,own
3711974,Jacobsson,Jacob,23,23,,own
3712401,Öndesson,Önde,2,2,,own
373072426790012909,Larsson,Lars,637,637,,own
3738704,Jakobson,Jakob,63,63,,own
375043,Pedersen,Peder,633,633,,own
377128108140012189,Svensdatter,Sven,106,106,,own
377128654220005778,Olsdatter,Ole,814,1256,,own
377288864220007585,Vetlesdatter,Vetle,2,2,,own
385067436900011809,Jacobsdotter,Jacob,30,30,,own
3868756,Olofsdotter,Olof,249,249,,own
386885404670003070,Henriksen,Henrik,127,127,,own
387667386760007351,Sveinungsen,Sveinung,2,2,,own
387694296710006294,Tollaksen,Tollak,34,34,,own
387694522740007377,Tolleivsdatter,Tolleiv,37,37,,own
3895388,Tollefsdatter,Tollef,49,49,,own
390126243350012704,Sigbjørnsdatter,Sigbjørn,20,20,,own
390233590430006553,Omundsen,Omund,15,15,,own
390233821570004430,Torkelsdatter,Torkel,73,74,,own
390621352630002151,Lopez,Lope,6,7,,own
3955929703550023255,Andersson,Anders,603,603,,own
3960833,Torgersdatter,Torger,89,89,6000000006890259710,6000000006890259710:Torger
3962182675660122499,Jansdotter,Jan,38,40,,own
3967153,Gabrielsdatter,Gabriel,76,76,,own
3967376,Torbjørnson,Torbjørn,53,53,,own
3967892063190122858,Olofsson,Olof,257,257,,own
3967894908200024433,Trulsdotter,Truls,5,5,,own
3968429,Jonsdatter,Jon,363,370,6000000013716687119,6000000013716687119:Jon
4030090361760011100,Abrahamsdatter,Abraham,27,27,,own
4047048,Jönsdotter,Jöns,30,31,,own
4055300,Olofsson,Olof,257,257,,own
4058622150340022203,Bengtsdotter,Bengt,16,16,,own
4064927564670020871,Clausdatter,Claus,91,91,,own
4073318,Magnúsdóttir,Magnús,3,4,,own
4083281,Eriksson,Erik,231,231,,own
4102776297920031737,Jensdatter,Jens,392,392,,own
4108577316670068257,Bosdatter,Bo,4,4,,own
4117958212810071793,Eriksen,Erik,279,279,,own
4154156238310024758,Larsson,Lars,637,637,,own
4162589897330022480,Olofsdotter,Olof,249,249,,own
4162951008540045313,Jacobsson,Jacob,23,23,,own
4163642708050038876,Axelsdatter,Axel,65,65,,own
4179077319020050535,Mårtensson,Mårten,29,29,,own
4180959273130035412,Erichsdatter,Erich,10,10,,own
4180994931040125418,Eriksen,Erik,279,279,,own
4264798122450038210,Mikhailovna,Mikhail,5,5,,own
4265475684170021035,Josefsdatter,Josef,3,3,6000000005961930053,6000000005961930053:Josef
4274938605510044387,Pedersen,Peder,633,633,,own
4275680740020033036,Ditlevsdatter,Ditlev,3,3,,own
4284282320910046581,Haraldsson,Harald,31,31,,own
4343835711580026750,Henriques,Henrique,6,6,4343879807700026761,4343879807700026761:Henrique
4349450,Eriksdotter,Erik,191,192,,own
4359005376200044500,Fitzgerald,Gerald,6,6,,own
4364054,Henriksen,Henrik,127,127,,own
4365574,Toreson,Tore,112,112,,own
4365814,Olson,Ola,311,428,,own
4388085221170046730,Gustafsdotter,Gustaf,39,39,,own
4411864202850067047,Evensen,Even,38,38,,own
4412076713190038224,Christophersen,Christopher,27,27,,own
4413347,Andersdotter,Anders,440,440,,own
4445390477480033490,Jonsson,Jon,129,135,,own
4446178546310026306,Andersdotter,Anders,440,440,,own
4464389,Johansdotter,Johan,258,258,,own
4474763,Andersdatter,Anders,577,577,,own
4481953445360014962,Jansdotter,Jan,38,40,,own
4482087067250014992,Andersdatter,Anders,577,577,,own
4492219,Gunnarson,Gunnar,109,109,4492250,own
4496545,Toresen,Tore,54,54,6000000013136147301,own
4499594,Monsdatter,Mons,56,56,4534878,own
4499705839780059449,Paulsen,Paul,7,7,,own
4499715696410038648,Hansdatter,Hans,618,618,,own
4517512670790010799,Hansdatter,Hans,618,618,,own
4534887,Isaksdotter,Isak,19,19,6000000005609566480,6000000005609566480:Isak
4550047585320066745,Eriksdotter,Erik,191,192,,own
4579386,Jakobsdotter,Jakob,58,58,,own
4579787,Danielsson,Daniel,63,63,,own
4590725,Berntson,Bernt,14,14,,own
4591241,Torgersdatter,Torger,89,89,4592306,4592306:Torger
4592306,Nilsdatter,Nils,311,311,6000000013027425443,6000000013027425443:Nils
4592903,Osmundson,Osmund,27,27,,own
4592921,Knutsdatter,Knut,142,142,,own
4609139835850127444,Tormodsdatter,Tormod,30,30,,own
4609602804840048652,Askildsen,Askild,10,10,,own
4614844,Eriksson,Erik,231,231,,own
4636928,Olson,Ola,311,428,6000000040254575849,6000000040254575849:Ola
4659980,Larsdotter,Lars,336,336,,own
4699233482990024400,Pedersson,Peder,62,62,,own
4726853,Eriksdotter,Erik,191,192,,own
4745514,Martinsdatter,Martin,48,48,,own
4792620874190030304,Hansdatter,Hans,618,618,6000000002880302349,6000000002880302349:Hans
4792629222230030776,Mortensdatter,Morten,18,18,4792689770050030787,4792689770050030787:Morten
4792689770050030787,Alexandersdatter,Alexander,1,1,6000000005609117194,6000000005609117194:Alexander
4795690848990068481,Hansson,Hans,195,195,6000000002880302349,6000000002880302349:Hans
4795744358930077397,Isakson,Isak,15,15,6000000004074266177,6000000004074266177:Isak
4820657804010082120,Tollaksdatter,Tollak,50,50,,own
4834344509250089530,Jansen,Jan,8,8,,own
4836033322610133137,Larsson,Lars,637,637,,own
4853206478480015683,Bjørnsdatter,Bjørn,78,78,,own
4853243439180015572,Johansdotter,Johan,258,258,,own
4853250618410130845,Jonson,Jon,208,208,,own
4855220016470015499,Olsdotter,Ole,37,74,,own
4871938425900032533,Olsen,Ole,936,1210,,own
4872421343650081407,Knutson,Knut,156,156,,own
4881016527720057041,Olsdatter,Ole,814,1256,,own
4881155777090032305,Erichsen,Erich,6,6,6000000005097645254,own
4881155792090032311,Andersdatter,Anders,577,577,,own
4882015412840020007,Brynjulvson,Brynjulv,1,1,,own
4887905009720063128,Jørgensen,Jørgen,216,216,4887923278570083401,4887923278570083401:Jørgen
4887985545530071395,Bentsen,Bent,13,13,,own
4889632620980063165,Lassesdatter,Lasse,6,6,,own
4889767039210062694,Andersdatter,Anders,577,577,,own
4889789782060128648,Olsen,Ole,936,1210,,own
4889925537900062768,Olufsdatter,Oluf,68,69,,own
4890003753420062571,Enersen,Ener,6,6,,own
4923167770590067029,Borisovna,Boris,4,4,,own
4924307623720137747,Petersson,Peter,15,15,,own
4924315534060036009,Eriksson,Erik,231,231,,own
4924689342170059304,Olsen,Ole,936,1210,,own
4939294064480089515,Johansdotter,Johan,258,258,,own
4939321903210124830,Olofsson,Olof,257,257,6000000017090703843,own
4948243383640077871,Jönsdotter,Jöns,30,31,6000000017095763441,own
4948336058760125248,Ersdotter,Ers,1,1,,own
4956074856530028188,Johansen,Johan,120,121,,own
4956142731190080144,Eilersdatter,Eiler,21,21,,own
4958994950380052159,Eriksdatter,Erik,339,339,,own
4973088027320114863,Pedersen,Peder,633,633,,own
4975811415120053048,Östensdotter,Östen,22,22,,own
4981454299370082575,Andersdatter,Anders,577,577,,own
4984139570350044058,Nilsson,Nils,424,424,,own
5069835062910030068,Halvarsdatter,Halvar,9,9,,own
5096601679550112796,Karlsen,Karl,48,48,,own
5118773007200129749,Olofsdotter,Olof,249,249,,own
5131845387820129668,Olavsdatter,Olav,26,26,,own
5132829956720138378,Pedersen,Peder,633,633,,own
5138184823130046537,Jonson,Jon,208,208,6000000013372925859,6000000013372925859:Jon
5138389653220117374,Asbjørnson,Asbjørn,14,14,6000000005101417265,6000000005101417265:Asbjørn
5138438440090083861,Ellingson,Elling,37,37,6000000023485891568,6000000023485891568:Elling
5138500091250104978,Haldorsson,Haldor,10,10,6000000004871755905,own
5148228262260073842,Pallesdatter,Palle,56,56,,own
5149550446320139742,Nielsdatter,Niels,223,223,,own
5149606732080084545,Eggertsdatter,Eggert,7,7,,own
5149696546690139767,Christensdatter,Christen,91,91,,own
5152059396280139503,Mendes,Mendo,20,20,,own
5155183615880025460,Persdotter,Per,210,210,,own
5170269728720048146,Olavsdatter,Olav,26,26,,own
5178464964300113691,Eriksson,Erik,231,231,,own
5179113010850113729,Hansson,Hans,195,195,,own
5206037195990079715,Rasmussen,Rasmus,232,232,6000000195401793137,own
5206062343750062543,Samuelsdatter,Samuel,74,74,6000000005607618509,6000000005607618509:Samuel
5207802564530089128,Kristofferson,Kristoffer,45,45,5214693217560042642,5214693217560042642:Kristoffer
5207874742810106036,Gulliksen,Gullik,6,6,,own
5207995748360118397,Mortensen,Morten,33,33,5208019977900089521,5208019977900089521:Morten
5208019977900089521,Johannesdotter,Johannes,33,33,6000000005609207529,6000000005609207529:Johannes
5208340101060127024,Knudsen,Knud,72,72,,own
5214693217560042642,Karlsdatter,Karl,43,43,6000000005607679040,6000000005607679040:Karl
5214796266210135345,Tjerandsen,Tjerand,11,11,,own
5214796290920135351,Rasmusdatter,Rasmus,404,404,,own
5215105513560053847,Svensen,Sven,70,70,6000000009263889618,own
5215138136390079078,Mortensen,Morten,33,33,5208019977900089521,5208019977900089521:Morten
5223512825760042167,Esgesdatter,Esge,4,4,,own
5251653855510129840,Ottesdatter,Otte,48,48,,own
5257844995850100066,Andersdatter,Anders,577,577,,own
5266654523790101779,Olsdatter,Ole,814,1256,6000000002351900493,own
5267211996730068114,Knutson,Knut,156,156,,own
5269238793840121227,Mattisdatter,Mattis,1,1,,own
5269517524100121452,Christensen,Christen,110,110,,own
5287783676380075255,Olofsson,Olof,257,257,,own
5301895230970076294,Andersdotter,Anders,440,440,,own
5303003621400133047,González,Gonzalo,13,14,,own
5303324292670022009,Henriksen,Henrik,127,127,,own
5304024813420061116,Tjerandsen,Tjerand,11,11,,own
5335316406130024438,Svenson,Sven,71,71,,own
