qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q20020,Q11879590,Veronica,Veronica,ヴェロニカ,韦罗妮卡,,فيرونيكا,ורוניקה,Вероника,Veronica,Veronica,Veronica,Veronica,Veronica,Veronica,Veronica,Veronica,,Veronica,
Q20164,Q12308941,Sergius,Sergius,セルゲイ,Sergius,,سرجيوس,סרגיוס,Сергиус,Sergius,Sergius,Sergius,Sergius,Sergius,Sergius,Sergius,Sergius,Sergius,Sergius,Sergius
Q52420,Q101352,McEnery,McEnery,マッキーナリー,麦克内里,,كونينغهام,,Макинери,McEnery,,,,,,,,,,
Q119444,Q101352,Blacher,Blacher,ブラッハー,,,,,,Blacher,,,,,,,,,,
Q144532,Q101352,Zając,Zając,,扎哈克,,,,,Zając,,,,,,,,,,
Q144724,Q101352,Téllez,Téllez,テレス,特列斯,,,,Тельес,Téllez,,,,,,,,,,
Q145172,Q12308941,زلمی,Zalmay,,,,,,Залмай,Zalmay,Zalmay,Zalmay,Zalmay,Zalmay,Zalmay,Zalmay,Zalmay,Zalmay,Zalmay,Zalmay
Q164308,Q101352,Hájek,,ハーイェク,哈杰克,,هاجيك,,Гаек,,,,,,,,,,,
Q167812,Q101352,Zayas,,サヤス,扎亚斯,,زياس,,Сайас,,,,,,,,,,,
Q168932,Q12308941,Zdenko,Zdenko,ズデンコ,茲登科,,زدينكو,זדנקו,Зденко,Zdenko,Zdenko,Zdenko,Zdenko,Zdenko,Zdenko,Zdenko,Zdenko,Zdenko,Zdenko,Zdenko
Q177892,Q101352,Bebel,,,,,,,Бебель,,,,,,,,,,,
Q196916,Q101352,Zetzsche,,,,,,,,,,,,,,,,,,
Q202884,Q101352,Zikaras,Zikaras,,,,,,,Zikaras,Zikaras,Zikaras,Zikaras,Zikaras,Zikaras,Zikaras,Zikaras,Zikaras,Zikaras,Zikaras
Q213348,Q101352,Jammeh,Jammeh,,贾梅,,,,Джамме,Jammeh,Jammeh,Jammeh,Jammeh,Jammeh,Jammeh,Jammeh,Jammeh,Jammeh,Jammeh,Jammeh
Q215780,Q12308941,Фома,Foma,,,,,,Фома,Foma,,,,,,,,,,
Q220484,Q12308941,Zoran,Zoran,ゾラン,佐兰,,زوران,זוראן,Зоран,Zoran,Zoran,Zoran,Zoran,Zoran,Zoran,Zoran,Zoran,Zoran,Zoran,Zoran
Q221332,Q11879590,Bernarda,Bernarda,,贝尔纳达,,,ברנרדה,,Bernarda,Bernarda,Bernarda,Bernarda,Bernarda,Bernarda,Bernarda,Bernarda,Bernarda,Bernarda,Bernarda
Q221396,Q11879590,Agatha,Agatha,アガサ,阿嘉莎 (名字),,أغاثا,אגאתה,Агата,Agatha,Agatha,Agatha,Agatha,Agatha,Agatha,Agatha,Agatha,Agatha,Agatha,Agatha
Q225940,Q11879590,Tünde,Tünde,トゥンデ,通德,,,,Тюнде,Tünde,Tünde,Tünde,Tünde,Tünde,Tünde,Tünde,Tünde,Tünde,Tünde,Tünde
Q237732,Q101352,Тищенко,Tyshchenko,ティーシチェンコ,,,,,Тыщенко,Tyschtschenko,Tichtchenko,Tyshchenko,Tyshchenko,Tyshchenko,Tysjtsjenko,Tysjtjenko,,Tysjtjenko,,Tyszczenko
Q259268,Q12308941,Brúnó,Brúnó,ブルーノー,布鲁诺,,,,,Brúnó,Brúnó,Brúnó,Brúnó,Brúnó,Brúnó,Brúnó,Brúnó,Brúnó,Brúnó,Brúnó
Q300676,Q101352,Aabech,Aabech,,,,,,,Aabech,Aabech,Aabech,Aabech,Aabech,Aabech,Aabech,Aabech,Aabech,Aabech,Aabech
Q300804,Q11879590,Aagje,Aagje,,阿赫耶,,آخية,,Агье,Aagje,Aagje,Aagje,Aagje,Aagje,Aagje,Aagje,Aagje,Aagje,Aagje,Aagje
Q324532,Q11879590,Vigdís,Vigdís,ヴィグディス,维格迪丝,,,ויגדיס,Вигдис,Vigdís,Vigdís,Vigdís,Vigdís,Vigdís,Vigdís,Vigdís,Vigdís,Vigdís,Vigdís,Vigdís
Q330948,Q101352,Abrahamson,Abrahamson,エイブラハムソン,亚伯拉罕森,,أبراهامسون,אברהמסון,Абрагамсон,Abrahamson,Abrahamson,Abrahamson,Abrahamson,Abrahamson,Abrahamson,Abrahamson,Abrahamson,Abrahamson,Abrahamson,Abrahamson
Q336452,Q101352,Custic,Custic,,,,,,,Ćustić,Custic,,,,,,,,,
Q341764,Q101352,Ackerknecht,Ackerknecht,アッカークネヒト,,,,,Аккеркнехт,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht,Ackerknecht
Q342004,Q12308941,Đorđe,Đorđe,ジョルジェ,乔尔杰,,,ג'ורג'ה,Джордже,Đorđe,Đorđe,Đorđe,Đorđe,Đorđe,Đorđe,Đorđe,Đorđe,Đorđe,Đorđe,Đorđe
Q343476,Q12308941,,İhsan,,伊赫桑,,إحسان,אחסאן,Ихсан,İhsan,İhsan,İhsan,İhsan,İhsan,İhsan,İhsan,İhsan,İhsan,İhsan,İhsan
Q343988,Q101352,İpek,İpek,,伊佩克,,,,Ипек,İpek,İpek,İpek,İpek,İpek,İpek,İpek,İpek,İpek,İpek,İpek
Q362868,Q12308941,Chlodwig,Chlodwig,クロートヴィヒ,赫洛维 (名字),,,כלודוויג,Хлодвиг,Chlodwig,Chlodwig,Chlodwig,Chlodwig,Chlodwig,Chlodwig,Chlodwig,Chlodwig,Chlodwig,Chlodwig,Chlodwig
Q370292,Q12308941,Oleg,Oleg,オレグ,奥列格,올레그,أوليغ,אולג,Олег,Oleg,Oleg,Oleg,Oleg,Oleg,Oleg,Oleg,Oleg,Oleg,Oleg,Oleg
Q376340,Q12308941,Narciso,Narciso,ナルシソ,纳西索,,نارسيسو,נרקיסו,Наркисо,Narciso,Narciso,Narciso,Narciso,Narciso,Narciso,Narciso,Narciso,Narciso,Narciso,Narciso
Q391460,Q101352,Šerifović,Šerifović,,,,,,,Šerifović,Šerifović,Šerifović,Šerifović,Šerifović,Šerifović,Šerifović,Šerifović,Šerifović,Šerifović,Šerifović
Q394148,Q11879590,Živilė,Živilė,,齐维尔,,,,,Živilė,Živilė,Živilė,Živilė,Živilė,Živilė,Živilė,Živilė,Živilė,Živilė,Živilė
Q394612,Q101352,Əliyev,Əliyev,アリエフ,,,علييف,,Алиев,Əliyev,Əliyev,Əliyev,Əliyev,Əliyev,Əliyev,Əliyev,Əliyev,Əliyev,Əliyev,Əliyev
Q396452,Q101352,Agrell,Agrell,アグレル,,,,,Агрелл,Agrell,Agrell,Agrell,Agrell,Agrell,Agrell,Agrell,Agrell,Agrell,Agrell,Agrell
