geni_id	qid	sv_title	in_corpus	found_in
6000000011370804802	Q5797554	Detlof Heijkenskjöld den yngre	yes	exports/bure-campaign/export-Forest-6000000227472157986.ged
6000000011399399424	Q6001589	Carl Stellan Mörner	yes	merged tree
6000000011532511759	Q5807131	Mikael Hising	yes	merged tree
6000000011536457635	Q5580881	Carl Gustaf Boije	yes	merged tree
6000000011539184038	Q3450190	Johan Hisinger	yes	merged tree
6000000011637024489	Q717179	Arvid Horn	yes	merged tree
6000000011724781475	Q5772271	Nils Gripenhielm	yes	merged tree
6000000012044161205	Q6175446	Anders Sidner (musiker)	yes	merged tree
6000000012056738350	Q6218220	Olof Törnflycht	yes	merged tree
6000000012056862710	Q16596199	Hedvig Sofia von Rosen	yes	exports/bure-campaign/export-Forest-6000000227472483865.ged
6000000012069920227	Q333651	Henrik Gabriel Porthan	yes	exports/bure-campaign/export-Forest-6000000227472057910.ged
6000000012159725691	Q5618800	Pontus Fredrik De la Gardie	yes	merged tree
6000000012526829690	Q16165426	Catharina Burea	yes	merged tree
6000000012617406308	Q657814	Hans Henric von Essen (1755–1824)	yes	exports/bure-campaign/export-Forest-6000000227471944047.ged
6000000012648547676	Q3428167	Olof Kolmodin den äldre	yes	merged tree
6000000012734454230	Q4993033	Carl Gustaf Nordin	yes	merged tree
6000000012736122012	Q6015181	Carl Johan af Nordin	yes	merged tree
6000000013020967973	Q16649958	Johan Otto Nauckhoff	yes	exports/bure-campaign/export-Forest-6000000227468650841.ged
6000000013143783109	Q6079275	Gustaf Fredrik von Rosen (1758–1815)	yes	exports/bure-campaign/export-Forest-6000000227472483865.ged
6000000013175221906	Q6206421	Lars Gustaf Tersmeden	yes	merged tree
6000000013175234469	Q6206408	Jacob Johan Tersmeden	yes	merged tree
6000000013296288034	Q763053	Henning Adolf Gyllenborg	yes	merged tree
6000000013400608577	Q6206392	Fredrik Tersmeden (militär)	yes	merged tree
6000000013400675492	Q6255155	Gustaf Fredrik Åkerhielm	yes	exports/bure-campaign/export-Forest-6000000227471944047.ged
6000000013400741602	Q5951795	Johan Wilhelm Liljencrantz	yes	merged tree
6000000013400899375	Q5951779	Johan Liljencrantz	yes	merged tree
6000000015119243250	Q6079124	Axel von Rosen	yes	merged tree
6000000016586458365	Q4944381	Brita Sophia De la Gardie	yes	merged tree
6000000017424989989	Q16945159	Nils Abraham Bruncrona	yes	exports/bure-campaign/export-Forest-6000000227469177824.ged
6000000017425518359	Q6060365	Olof Ingelsson Rabenius	yes	exports/bure-campaign/export-Forest-6000000227469177824.ged
6000000017986416972	Q4953277	Margaretha Heijkenskjöld	yes	exports/bure-campaign/export-Forest-6000000227472157986.ged
6000000017999766001	Q792307	Axel Otto Mörner	yes	merged tree
6000000019149843256	Q5605565	Germund Ludvig Cederhielm	yes	merged tree
6000000019271045023	Q5628179	Pehr von Ehrenheim	yes	merged tree
6000000019273184653	Q932770	Gustaf von Paykull	yes	merged tree
6000000019344206446	Q5725105	Eric Michael Fant	yes	merged tree
6000000019584518841	Q490686	Anders Abraham Grafström	yes	merged tree
6000000020086878142	Q5605651	Fredrik Johan Cederschiöld	yes	exports/bure-campaign/export-Forest-6000000227469461989.ged
6000000020584191181	Q4938400	Charlotta Berger	yes	merged tree
6000000020982846787	Q593496	Anton Rolandsson Martin	yes	merged tree
6000000020984646082	Q5977879	Hugo Martin	yes	merged tree
6000000023896755915	Q6060350	Lars Georg Rabenius	yes	exports/bure-campaign/export-Forest-6000000227469177824.ged
6000000024166897841	Q5822415	Albrecht Ihre	yes	merged tree
6000000024594396398	Q5590212	Laurentius Bureus	yes	merged tree
6000000025022974646	Q2694124	Albrecht Elof Ihre	yes	exports/bure-campaign/export-Forest-6000000227469177824.ged
6000000026433911361	Q5590407	Eric Burman	yes	merged tree
6000000038458872253	Q5547967	Eric Alstrin	yes	exports/bure-campaign/export-Forest-6000000227469177824.ged
6000000042115980532	Q4976863	Stina Sandels	yes	merged tree
6000000044151433054	Q4989818	Ulrika Strömfelt	yes	exports/bure-campaign/export-Forest-6000000227469461989.ged
6000000044191693814	Q5976894	Gabriel Marklin	yes	merged tree
6000000050931739847	Q14554945	Robert Magnus von Rosen	yes	exports/bure-campaign/export-Forest-6000000227472483865.ged
6000000054235169012	Q5698210	Samuel Chydenius	yes	merged tree
6000000070658376932	Q5702986	Carl Olof Delldén	yes	merged tree
6000000078585591829	Q5819456	Zacharias Hæggström	yes	exports/bure-campaign/export-Forest-6000000227469177824.ged
6000000107274459226	Q5773252	Lars Grubbe	yes	merged tree
