person,geni_id,name,status,geni_url
Clara Amilia Hoknes,3138183,Domar Domaldeson av Ynglingene,absent,https://www.geni.com/people/x/3138183
Clara Amilia Hoknes,3138252,"Svegdi Fjolnarson, King of Uppsala",absent,https://www.geni.com/people/x/3138252
Clara Amilia Hoknes,3138260,"Fjolnir, King of Uppsala",absent,https://www.geni.com/people/x/3138260
Clara Amilia Hoknes,5050635554390041613,Kung i Danpsted Rig Drott of Danpsted,absent,https://www.geni.com/people/x/5050635554390041613
Clara Amilia Hoknes,5620645112580020100,Queen Yrsa Hildi Hailagasdottir,held,https://www.geni.com/people/x/5620645112580020100
Clara Amilia Hoknes,5620645208310020106,"Adils ""The Mighty"" Ottarsin, King of Uppsala {Semi-Legendary}",held,https://www.geni.com/people/x/5620645208310020106
Clara Amilia Hoknes,5620659842590034492,Ottar in Egilsson,absent,https://www.geni.com/people/x/5620659842590034492
Clara Amilia Hoknes,5620730465330062045,"King Aun ""The Aged"" Jörundsson, of Uppsala",absent,https://www.geni.com/people/x/5620730465330062045
Clara Amilia Hoknes,5620764032290123026,King Jörund Yngvesson,absent,https://www.geni.com/people/x/5620764032290123026
Clara Amilia Hoknes,5620778200760077477,Yngve Alreksson av Sveariket,absent,https://www.geni.com/people/x/5620778200760077477
Clara Amilia Hoknes,5620814643950034262,"Alrek Agnasson, king of Sweden",absent,https://www.geni.com/people/x/5620814643950034262
Clara Amilia Hoknes,5621360343390114039,"Agni ""the Powerful"" Dagsson, King in Sweden",absent,https://www.geni.com/people/x/5621360343390114039
Clara Amilia Hoknes,5621423870110100976,"Dag ""the Wise"", King of Uppsala",absent,https://www.geni.com/people/x/5621423870110100976
Clara Amilia Hoknes,5621487493390051701,Queen Drott Danpsdatter of Uppsala,absent,https://www.geni.com/people/x/5621487493390051701
Clara Amilia Hoknes,5621895665330114523,"Domaldi Visbursson, King in Uppsala",absent,https://www.geni.com/people/x/5621895665330114523
Clara Amilia Hoknes,5622011640720034761,"Vanlandi, King of Uppsala",absent,https://www.geni.com/people/x/5622011640720034761
Clara Amilia Hoknes,5622011688610034767,Driva Snaersdotter Snødatter,absent,https://www.geni.com/people/x/5622011688610034767
Clara Amilia Hoknes,5624606243540035685,"Queen of Saxland Ulla Sigmundrsdotter, {Legendary}",absent,https://www.geni.com/people/x/5624606243540035685
Clara Amilia Hoknes,5625229909380062806,"Koning Hreithgotaland Heidrek Hofundsson, King in Reidgotaland, Norway",absent,https://www.geni.com/people/x/5625229909380062806
Clara Amilia Hoknes,5625264223350021109,"Frilla Hervor ""Hjørvard"" Angantyrsdotter",absent,https://www.geni.com/people/x/5625264223350021109
Clara Amilia Hoknes,5625264248090021115,"Höfund Gudmundsson, king in Glaesivollum",absent,https://www.geni.com/people/x/5625264248090021115
Clara Amilia Hoknes,5625289620290113243,Angantyr the Berserker,absent,https://www.geni.com/people/x/5625289620290113243
Clara Amilia Hoknes,5625693347300080816,"Svafrlami Sigrlamasson, King of Gardariki, Russia",absent,https://www.geni.com/people/x/5625693347300080816
Clara Amilia Hoknes,5625693387980080822,Frid,absent,https://www.geni.com/people/x/5625693387980080822
Clara Amilia Hoknes,6000000000115617983,N.N.,absent,https://www.geni.com/people/x/6000000000115617983
Clara Amilia Hoknes,6000000000314930135,"Heid Gylfesdotter, Queen of Gardarriket",absent,https://www.geni.com/people/x/6000000000314930135
Clara Amilia Hoknes,6000000000314930151,Gylfi (Gylve) King of Sweden,absent,https://www.geni.com/people/x/6000000000314930151
Clara Amilia Hoknes,6000000000314930399,Weaga,held,https://www.geni.com/people/x/6000000000314930399
Clara Amilia Hoknes,6000000000437546093,"Coenwalh, King of Wessex",held,https://www.geni.com/people/x/6000000000437546093
Clara Amilia Hoknes,6000000000452686437,Freawine,held,https://www.geni.com/people/x/6000000000452686437
Clara Amilia Hoknes,6000000000462674113,"Nauma, Queen of Haalogaland",absent,https://www.geni.com/people/x/6000000000462674113
Clara Amilia Hoknes,6000000001074275300,Wigg,held,https://www.geni.com/people/x/6000000001074275300
Clara Amilia Hoknes,6000000001257444591,"Ceawlin, King of Wessex",held,https://www.geni.com/people/x/6000000001257444591
Clara Amilia Hoknes,6000000001351755864,Bressal Belach mac Fiachu,absent,https://www.geni.com/people/x/6000000001351755864
Clara Amilia Hoknes,6000000001452856681,Cormac mac Ailella Ó'Dúnlainge,absent,https://www.geni.com/people/x/6000000001452856681
Clara Amilia Hoknes,6000000001452856689,Ailill mac Dunlainge,absent,https://www.geni.com/people/x/6000000001452856689
Clara Amilia Hoknes,6000000001510650092,Weothulgeot,held,https://www.geni.com/people/x/6000000001510650092
Clara Amilia Hoknes,6000000001588414303,"Harald Reidgotaland, King of Reidgotaland",absent,https://www.geni.com/people/x/6000000001588414303
Clara Amilia Hoknes,6000000001712703292,King in Denmark Danp Rigsson,absent,https://www.geni.com/people/x/6000000001712703292
Clara Amilia Hoknes,6000000002122855531,"Wermund, King of the Angles in Germany",held,https://www.geni.com/people/x/6000000002122855531
Clara Amilia Hoknes,6000000002123050763,Ēomǣr,held,https://www.geni.com/people/x/6000000002123050763
Clara Amilia Hoknes,6000000002123075677,Thrytho,held,https://www.geni.com/people/x/6000000002123075677
Clara Amilia Hoknes,6000000002123129520,Angeltheow,held,https://www.geni.com/people/x/6000000002123129520
Clara Amilia Hoknes,6000000002142188519,"Crioda, King of West Saxons",held,https://www.geni.com/people/x/6000000002142188519
Clara Amilia Hoknes,6000000002142247689,"Cerdic, king of the West Saxons",held,https://www.geni.com/people/x/6000000002142247689
Clara Amilia Hoknes,6000000002142248176,Cuthwine,held,https://www.geni.com/people/x/6000000002142248176
Clara Amilia Hoknes,6000000002172915806,"Vana, Queen of Uppsala",absent,https://www.geni.com/people/x/6000000002172915806
Clara Amilia Hoknes,6000000002188062164,N.N.,absent,https://www.geni.com/people/x/6000000002188062164
Clara Amilia Hoknes,6000000002188140029,NN NN,absent,https://www.geni.com/people/x/6000000002188140029
Clara Amilia Hoknes,6000000002188140044,NN NN,absent,https://www.geni.com/people/x/6000000002188140044
Clara Amilia Hoknes,6000000002290445635,"Offa - 'the Gentle', King of the Angles in Germany",held,https://www.geni.com/people/x/6000000002290445635
Clara Amilia Hoknes,6000000002290827232,Cynewald,held,https://www.geni.com/people/x/6000000002290827232
Clara Amilia Hoknes,6000000002290827454,"Pybba, king of Mercia",held,https://www.geni.com/people/x/6000000002290827454
Clara Amilia Hoknes,6000000002290867232,Icel,held,https://www.geni.com/people/x/6000000002290867232
Clara Amilia Hoknes,6000000002290874853,"Creoda, king of Mercia",held,https://www.geni.com/people/x/6000000002290874853
Clara Amilia Hoknes,6000000002290907506,Cnebba,held,https://www.geni.com/people/x/6000000002290907506
Clara Amilia Hoknes,6000000003051138960,Bjartmar van Adeigjuborg,absent,https://www.geni.com/people/x/6000000003051138960
Clara Amilia Hoknes,6000000003086828004,N.N. wife of Vedrhall,absent,https://www.geni.com/people/x/6000000003086828004
Clara Amilia Hoknes,6000000003396994659,CHeydlC,absent,https://www.geni.com/people/x/6000000003396994659
Clara Amilia Hoknes,6000000003645683166,Helga Haraldsdatter,absent,https://www.geni.com/people/x/6000000003645683166
Clara Amilia Hoknes,6000000003645683201,Arngrim the Berserker,absent,https://www.geni.com/people/x/6000000003645683201
Clara Amilia Hoknes,6000000003645683213,Grim Hergrimsson,absent,https://www.geni.com/people/x/6000000003645683213
Clara Amilia Hoknes,6000000003645683220,Baugheid Starkadsdatter,absent,https://www.geni.com/people/x/6000000003645683220
Clara Amilia Hoknes,6000000003826380980,Tötra Tatters,held,https://www.geni.com/people/x/6000000003826380980
Clara Amilia Hoknes,6000000003826482905,Skafnortung 'the Skinflint',held,https://www.geni.com/people/x/6000000003826482905
Clara Amilia Hoknes,6000000003827018968,"Cynric, king of Wessex",held,https://www.geni.com/people/x/6000000003827018968
Clara Amilia Hoknes,6000000003827138372,Findchaem ingen Cerb,absent,https://www.geni.com/people/x/6000000003827138372
Clara Amilia Hoknes,6000000003828107386,"Leutfried I, duke of the Alemannians",held,https://www.geni.com/people/x/6000000003828107386
Clara Amilia Hoknes,6000000003828110552,"Cian mac Mug Nuadat, King of Munster",absent,https://www.geni.com/people/x/6000000003828110552
Clara Amilia Hoknes,6000000003828110559,Tadg mac Cein Ciannachta,absent,https://www.geni.com/people/x/6000000003828110559
Clara Amilia Hoknes,6000000003828190498,Ogn Alvasprengi,absent,https://www.geni.com/people/x/6000000003828190498
Clara Amilia Hoknes,6000000003828250899,"Lugaid Lorc mac Óengusa Finn, Dál Fiatach",absent,https://www.geni.com/people/x/6000000003828250899
Clara Amilia Hoknes,6000000003828250921,"Oengus (Aenghus) Finn, King of Ulster",absent,https://www.geni.com/people/x/6000000003828250921
Clara Amilia Hoknes,6000000003828254153,"Sciath Luigheach Meann, Dál Fiatach",absent,https://www.geni.com/people/x/6000000003828254153
Clara Amilia Hoknes,6000000003828254160,Condla mac Taidhg Ciannachta,absent,https://www.geni.com/people/x/6000000003828254160
Clara Amilia Hoknes,6000000003828261350,King of Ulster Luigheach Meann,absent,https://www.geni.com/people/x/6000000003828261350
Clara Amilia Hoknes,6000000003828361450,"Leutharis I, duke of the Alemannians",held,https://www.geni.com/people/x/6000000003828361450
Clara Amilia Hoknes,6000000003998829486,Esla,held,https://www.geni.com/people/x/6000000003998829486
Clara Amilia Hoknes,6000000003998829500,Gewis,held,https://www.geni.com/people/x/6000000003998829500
Clara Amilia Hoknes,6000000004111598767,Frithogar,held,https://www.geni.com/people/x/6000000004111598767
Clara Amilia Hoknes,6000000004112468363,Brand,held,https://www.geni.com/people/x/6000000004112468363
Clara Amilia Hoknes,6000000004335337720,"Favila, duque de Cantabria",held,https://www.geni.com/people/x/6000000004335337720
Clara Amilia Hoknes,6000000004869064462,Wilibalda of the Alemannians,held,https://www.geni.com/people/x/6000000004869064462
Clara Amilia Hoknes,6000000004990919055,Arngrim,absent,https://www.geni.com/people/x/6000000004990919055
Clara Amilia Hoknes,6000000005922890529,Tova Bjartmarsdatter,absent,https://www.geni.com/people/x/6000000005922890529
Clara Amilia Hoknes,6000000005999822001,"Dyggvi Domarsson, King of Uppsala, Sweden",absent,https://www.geni.com/people/x/6000000005999822001
Clara Amilia Hoknes,6000000006000292008,"Visbur Vanlandesson, King of Uppsala",absent,https://www.geni.com/people/x/6000000006000292008
Clara Amilia Hoknes,6000000006146952792,"Heimgest Godgestsson, King of Hålogaland, Norway",absent,https://www.geni.com/people/x/6000000006146952792
Clara Amilia Hoknes,6000000006209646776,"King Starkad - 'Eel Boy' Åludreng, King of Norway",absent,https://www.geni.com/people/x/6000000006209646776
Clara Amilia Hoknes,6000000006209726376,Alfhild Finnalfsdatter,absent,https://www.geni.com/people/x/6000000006209726376
Clara Amilia Hoknes,6000000006209953129,"Hergrim Halv-Troll Arngrímsson, {Hervarar saga}",absent,https://www.geni.com/people/x/6000000006209953129
Clara Amilia Hoknes,6000000006271194025,"Saemingr, King in Hålogaland",absent,https://www.geni.com/people/x/6000000006271194025
Clara Amilia Hoknes,6000000006290731061,"Bledrig ap Custennin, King of Dumnonia, Duke of Cornwall",held,https://www.geni.com/people/x/6000000006290731061
