qid	label	geni_ids	geni_source	position
Q34479	Hirohito	6000000011626937289	live	Q208233
Q37979	Akihito	6000000001783879627	live	Q208233
Q45844	Go-Sanjō			Q208233
Q60949	Emperor Shirakawa			Q208233
Q120564	Empress Meishō	6000000177656672888	bio	Q208233
Q123052	Go-Komatsu			Q208233
Q157052	Emperor Taishō	6000000011626767474	live	Q208233
Q174231	Emperor Meiji	6000000011627000232	live	Q208233
Q179971	Chūai			Q208233
Q200188	Jimmu			Q208233
Q217096	Naruhito	6000000001783830969	live	Q208233
Q230525	Go-Sakuramachi			Q208233
Q232026	Jitō			Q208233
Q241765	Ankan			Q208233
Q271536	Emperor Itoku			Q208233
Q298057	Suiko			Q208233
Q299179	Emperor Kōmei	6000000012035508955	live	Q208233
Q312351	Emperor Ninkō	6000000011626949470	live	Q208233
Q312821	Emperor Kōan			Q208233
Q312841	Emperor Kōshō			Q208233
Q313041	Kōrei			Q208233
Q313119	Nintoku			Q208233
Q313321	Emperor Suizei			Q208233
Q313345	Emperor Annei			Q208233
Q313801	Higashiyama	6000000011627101338	live	Q208233
Q313806	Emperor Kōkaku	6000000011626837071	live	Q208233
Q313808	Emperor Reigen			Q208233
Q313864	Momozono	6000000011626555953	live	Q208233
Q313870	Sakuramachi	6000000011627097322	live	Q208233
Q313942	Go-Daigo	6000000011627012029	live	Q208233
Q314063	Go-Momozono	6000000011626781657	live	Q208233
Q314802	Tenji			Q208233
Q314817	Nakamikado	6000000011626674938	live	Q208233
Q314846	Emperor Kanmu			Q208233
Q314850	Suinin			Q208233
Q316637	Bidatsu			Q208233
Q316651	Antoku			Q208233
Q316654	Emperor Saga			Q208233
Q316658	Go-Toba	6000000011627248393	live	Q208233
Q316672	Emperor Seimu			Q208233
Q317980	Kōtoku			Q208233
Q317984	Emperor Go-Shirakawa	6000000011626980739	live	Q208233
Q317997	Ōjin			Q208233
Q320229	Emperor Go-Mizunoo	6000000011627083509	live	Q208233
Q329704	Richū			Q208233
Q329713	Junnin			Q208233
Q329723	Keikō			Q208233
Q329728	Senka			Q208233
Q329753	Daigo	6000000011627224453	live	Q208233
Q329761	Jomei			Q208233
Q329765	Go-Kōmyō	6000000011626857554	live	Q208233
Q329769	Emperor Hanzei			Q208233
Q329792	Kinmei			Q208233
Q333530	Sujin			Q208233
Q333548	Emperor Kaika			Q208233
Q333572	Emperor Kōgen			Q208233
Q334076	Ōgimachi			Q208233
Q334644	Buretsu			Q208233
Q335181	Tenmu			Q208233
Q349238	Sushun			Q208233
Q349243	Seiwa			Q208233
Q349246	Emperor Go-Fukakusa			Q208233
Q349258	Ingyō			Q208233
Q349259	Emperor Go-Saga			Q208233
Q349263	Shōmu			Q208233
Q349267	Uda			Q208233
Q349271	Ninmyō			Q208233
Q349277	Keitai			Q208233
Q349280	Yōzei			Q208233
Q349281	Yōmei			Q208233
Q349284	Emperor Toba			Q208233
Q349287	Emperor Sutoku			Q208233
Q349296	Go-Suzaku	6000000011627106008	live	Q208233
Q349414	Go-Sai			Q208233
Q349440	Go-Yōzei	6000000011627007814	live	Q208233
Q349452	Go-Kashiwabara	6000000011626627991	live	Q208233
Q349467	Go-Nara	6000000011626574081	live	Q208233
Q353558	Emperor Heizei			Q208233
Q356060	Go-Reizei			Q208233
Q357046	Rokujō			Q208233
Q357221	Go-Horikawa			Q208233
Q357225	Montoku			Q208233
Q357231	Sanjō			Q208233
Q357235	Yūryaku			Q208233
Q357242	Kōbun			Q208233
Q357246	Monmu			Q208233
Q357249	Juntoku			Q208233
Q357253	Emperor Chūkyō			Q208233
Q357261	Takakura	6000000011627126557	live	Q208233
Q357266	Emperor Ninken			Q208233
Q357269	Tsuchimikado	6000000011627264565	live	Q208233
Q357273	Seinei			Q208233
Q360966	Emperor Kenzō			Q208233
Q360972	Emperor Kameyama			Q208233
Q361000	Emperor Kazan			Q208233
Q361010	Emperor Ankō			Q208233
Q361019	Suzaku			Q208233
Q373949	Fushimi	6000000011626825815	live	Q208233
Q373997	Emperor Konoe			Q208233
Q374015	Murakami			Q208233
Q374020	Emperor Shijō			Q208233
Q374075	Go-Nijō	6000000011627264219	live	Q208233
Q374087	Go-Ichijō			Q208233
Q374104	En'yū	6000000011627278817	live	Q208233
Q374125	Emperor Reizei			Q208233
Q374136	Emperor Junna			Q208233
Q380623	Go-Tsuchimikado	6000000011627118319	live	Q208233
Q440149	Nijō			Q208233
Q440447	Go-Murakami			Q208233
Q440454	Go-Fushimi	6000000011626573108	live	Q208233
Q440503	Emperor Hanazono			Q208233
Q440518	Kōkō			Q208233
Q440538	Go-Uda	6000000011626574126	live	Q208233
Q449540	Ichijō	6000000011627411247	live	Q208233
Q451827	Shōkō			Q208233
Q451864	Go-Kameyama			Q208233
Q451926	Go-Hanazono	6000000011626994461	live	Q208233
Q464039	Chōkei			Q208233
Q464267	Emperor Horikawa			Q208233
Q471799	Go-En'yū			Q208233
Q555465	Go-Kōgon			Q208233
Q958662	Kōnin	6000000011627413251	live	Q208233
Q11094916	Suzaku Emperor			Q208233
Q11112640	Kiritsubo Emperor			Q208233
Q11376528	Kinjō Emperor			Q208233
Q11388140	A Previous Emperor			Q208233
Q11395345	Reizei Emperor			Q208233
Q11544860	Q11544860			Q208233
