qid,geni_id,label,side,states,occupations,cbdb
Q1005462,6000000074728067052,Chen Jiru,China,Ming dynasty,painter | writer | calligrapher | poet | autobiographer,
Q1008018,6000000075424933863,Dahui Zonggao,China,Song dynasty,Buddhist monk,
Q10125270,6000000075481396885,Sun Sigong,China,Song dynasty,politician,
Q1014899,6000000075502551864,Yongming Yanshou,China,Song dynasty,writer | Buddhist monk,
Q10184707,6000000075414586929,Song Xi,China,Ming dynasty,historian,
Q102370784,6000000028892197255,Yi-Yuan Yu,China,Republic of China,mechanical engineer | business executive | university teacher,
Q10244158,6000000074784398185,Jia Xuanweng,China,Song dynasty,politician,
Q10265327,6000000075423972039,Yin Qishen,China,Song dynasty,historian | recluse,
Q10271262,6000000074704226057,Cui Taifu,China,Song dynasty,politician,
Q10282143,6000000075426999843,Xing Yinxun,China,Song dynasty,politician | historian,
Q10287656,6000000074783367864,Liao Deming,China,Song dynasty,,
Q10292658,6000000074770862883,Zhang Wumeng,China,Song dynasty,daoshi,
Q10293151,6000000075484126216,Zhang Duanyi,China,Song dynasty,politician,
Q10294042,6000000075484356826,Zhang Gongxiang,China,Song dynasty,politician,
Q10294985,6000000075484666857,Zhang Mengde,China,Song dynasty,politician,
Q10295880,6000000037889287747,Zhang Biaochen,China,Song dynasty,politician,
Q10296421,6000000075326158468,Xu Ziming,China,Song dynasty,politician,
Q10296423,6000000074771478868,Xu Fan,China,Song dynasty,teacher,
Q10299269,6000000075328183989,Jing Bo,China,Tang dynasty,politician,
Q10307923,6000000074792884020,Fang Shao,China,Song dynasty,,
Q10323734,6000000074704378049,Cao Yingshu,China,Song dynasty,politician,
Q10332182,6000000075425133822,Li Jiuling,China,Song dynasty | Tang dynasty,politician,
Q10334752,6000000075405364893,Li Youwu,China,Song dynasty,writer | teacher,
Q10334812,6000000074736917090,Li Zhi,China,Song dynasty,poet,
Q10335039,6000000075425764860,Li Dechu,China,Song dynasty,geographer,
Q10335712,6000000074792369036,Li Chengji,China,Ming dynasty,writer,
Q10337438,6000000074735626121,Li Zhixiao,China,Song dynasty,politician,
Q10337824,6000000075424585196,Li Zun,China,Song dynasty,military personnel,
Q10338313,6000000075425847889,Li Shunju,China,Song dynasty,eunuch,
Q10338351,6000000074699014438,Li Ruoxu,China,Song dynasty,politician,
Q10341540,6000000074771301902,Yang Hongzhong,China,Song dynasty,,
Q10346479,6000000075427056913,Lin Qianzhi,China,Song dynasty | Yuan dynasty,politician,
Q10346666,6000000074771354963,Lin Danai,China,Song dynasty,politician,
Q10347349,6000000074782456514,Lin Jingxi,China,Song dynasty | Yuan dynasty,politician | poet | Buddhist monk | recluse,
Q10348617,6000000074727965444,Lin Ting,China,Song dynasty,,
Q10353016,6000000075405012028,Gui Wanrong,China,Song dynasty,politician,
Q10378427,6000000075422628947,Shaoyu Jiang,China,Song dynasty,politician,
Q10379457,6000000075424189868,Wang Yifeng,China,Song dynasty,politician,
Q10379479,6000000075423723133,Wang Chucai,China,Song dynasty,politician,
Q10379511,6000000075503047827,Fenyang Shanzhao,China,Song dynasty,Buddhist monk,
Q10379533,6000000074727711062,Shen Zuozhe,China,Song dynasty,politician,
Q10379589,6000000074771306943,Shen Jizu,China,Song dynasty,politician,
Q10381917,6000000074727367964,Hong Qin,China,Song dynasty,politician | farmer,
Q10412584,6000000074736441843,Wang Ze,China,Song dynasty,rebel,
Q10414324,6000000074751196346,Wang Weizhong,China,Song dynasty,,
Q10414568,6000000075419950888,Wang Cao,China,Song dynasty,politician,
Q10414594,6000000075418902373,Wang Zhengzhong,China,Song dynasty,,
