qid,geni_id,label,side,states,occupations,cbdb
Q10415352,6000000075420955032,Wang Ruyi,China,Song dynasty | Yuan dynasty,politician,
Q10415399,6000000075407408958,Wang Yisun,China,Yuan dynasty,politician | poet | ci lyric writer,
Q10416241,6000000075420092840,Wang Ji,China,Song dynasty,politician,
Q10417288,6000000074727807075,Wang Pizhi,China,Song dynasty,politician,
Q10430257,6000000075422530838,Bai Zhongzan,China,Song dynasty,military personnel | military commander,
Q10452130,6000000074745522964,Cheng Ruoyong,China,Song dynasty,politician,
Q1045300,6000000141955829843,Cheng Yanqiu,China,Qing dynasty | People's Republic of China,actor | politician | Peking opera actor,
Q10455076,6000000074792391970,Zhang Ruyu,China,Song dynasty,politician | teacher,
Q10489897,6000000074771520848,Hu Hong,China,Song dynasty,politician,
Q1049563,6000000148779404114,Lodovico Buglio,China,Qing dynasty,missionary | mathematician | Catholic priest,
Q10497131,6000000074703625964,Shu Dan,China,Song dynasty,politician,
Q10503599,6000000074745494830,Fan Tianshun,China,Song dynasty,,
Q10503843,6000000074788784303,Fan Peng,China,Yuan dynasty,poet,
Q10513347,6000000075490053922,Ye Xiufa,China,Song dynasty,politician,
Q10514163,6000000074716205881,Su Shidan,China,Song dynasty,politician,
Q10516920,6000000074789150860,Chu Boxiu,China,Yuan dynasty,,
Q10525283,6000000074690026303,Ji Yougong,China,Song dynasty,politician,
Q10526342,6000000074731774882,Xu Yi,China,Song dynasty,politician,
Q10529363,6000000075481078360,Xu Dunren,China,Song dynasty,,
Q10531548,6000000074748886065,Xie Tang,China,Song dynasty,politician,
Q10532586,6000000074728553987,Feng Cunfang,China,Song dynasty,politician,
Q10542196,6000000075490687008,Zhao Xie,China,Yuan dynasty,,
Q10542620,6000000075491156957,Zhao Kui,China,Song dynasty,politician,
Q10554236,6000000074771742823,Deng Mingshi,China,Song dynasty,historian,
Q10554325,6000000074771313004,Deng Xiaofu,China,Song dynasty,politician,
Q10556091,6000000075414843861,Qiu Kui,China,Song dynasty | Yuan dynasty,politician | recluse | poet,
Q10559784,6000000075482425382,Guo Jin,China,Song dynasty,,
Q10562559,6000000074745020186,Zheng Ke,China,Song dynasty,politician,
Q10563821,6000000075424228033,Shi Huaishen,China,Song dynasty,Buddhist monk,
Q10563824,6000000075503124822,Shi Sizhi,China,Song dynasty,poet | Buddhist monk,
Q10564550,6000000075499817515,Yan Rixin,China,Song dynasty,politician,
Q10564901,6000000075404219479,Ruan Yue,China,Song dynasty,politician,
Q10565049,6000000075485219000,Chen Yunping,China,Song dynasty | Yuan dynasty,poet | ci lyric writer,
Q10565256,6000000075485280983,Chen Dazhen,China,Yuan dynasty,,
Q10565385,6000000075419654339,Chen Xuan,China,Song dynasty,,
Q10565403,6000000016653698588,Sakai Tadamasa,Japan,Japan | Empire of Japan,politician,
Q10565478,6000000075484349157,Chen Shan,China,Song dynasty,poet,
Q10565528,6000000075484951366,Chen Zhensun,China,Song dynasty,,
Q10565629,6000000074786612248,Chen Shunyu,China,Song dynasty,politician,
Q10566301,6000000075424175958,Shoushan Xingnian,China,Song dynasty,Buddhist monk,
Q10566512,6000000075428942891,Zhao Liangsi,China,Song dynasty,politician,
Q10566822,6000000075429016122,Gao He,China,Song dynasty,poet,
Q10566915,6000000074705265132,Wei Anxing,China,Song dynasty,politician,
Q10566948,6000000074707158488,Yu Zhouxun,China,Song dynasty,politician,
Q10566997,6000000075426497934,Bao Yunlong,China,Song dynasty | Yuan dynasty,politician,
Q10567154,6000000075486952113,Huang Shiyi,China,Song dynasty,,
Q10567174,6000000074727874040,Huang Gan,China,Song dynasty,,
Q10567184,6000000075326672908,Chaoying Huang,China,Song dynasty,,
Q10567228,6000000075486725342,Huang Yigang,China,Song dynasty,,
Q10567376,6000000075431272845,Long Dayuan,China,Song dynasty,politician,
Q10567407,6000000074698637159,Gong Yuan,China,Song dynasty,politician,
Q1060944,6000000075502187072,Hongzhi Zhengjue,China,Song dynasty,Buddhist monk,
Q10743129,6000000075501777319,Baiyun Shouduan,China,Song dynasty,Buddhist monk,
Q10779983,6000000052526852859,Shan-fu Shen,China,Republic of China,military flight engineer | university teacher,
Q108048019,6000000075503319862,Fojian Huiqin,China,Song dynasty,Buddhist monk,
Q1084715,6000000100826959892,Inoue Masaru,Japan,Japan,engineer | farmer | politician,
Q10864137,6000000075508602848,Ding Renchang,China,Qing dynasty | Republic of China,politician,
Q10864243,6000000075508580835,Ding Baoquan,China,Qing dynasty | Republic of China,politician,
Q10864286,6000000075508169143,Ding Zhenduo,China,Qing dynasty | Republic of China,politician,
Q10864322,6000000075508654834,Ding Huai,China,Republic of China,military personnel,
Q10864354,6000000075503575947,Ding Yu,China,Ming dynasty,military commander,
Q10865566,6000000075507316150,Nala Sanhe,China,Qing dynasty,politician,
Q10865831,6000000075507765836,Samboo,China,Qing dynasty,politician,
Q10877280,6000000074783483825,Sun Daofu,China,Song dynasty,politician,
Q10880605,6000000075507917116,Yu Shimei,China,Qing dynasty | Republic of China,politician,
Q10884022,6000000075507830822,Shushujueluo Jieshan,China,Qing dynasty,politician,
Q10884676,6000000074748986762,Ren Xiyi,China,Song dynasty,politician,
Q10886013,6000000074726031087,He Li,China,Song dynasty,politician,
Q10886102,6000000074787583902,He Menggui,China,Song dynasty,politician,
Q10886241,6000000074692228886,He Changyan,China,Song dynasty,,
Q10886484,6000000074717854885,Yu Zhong,China,Song dynasty,politician,
Q10886521,6000000074727463142,Yu Tianren,China,Song dynasty,politician,
Q10886706,6000000075501960092,Shi Liaoyuan,China,Song dynasty,Buddhist monk,
Q10886783,6000000075502321513,Shi Huiyuan,China,Song dynasty,Buddhist monk,
Q10886870,6000000075504157841,Tong Jingwen,China,Qing dynasty,politician,
Q10887642,6000000075507220145,Tubote Baoning,China,Qing dynasty,politician,
Q10887667,6000000075507811933,Feimo Baochang,China,Qing dynasty,politician,
Q10887831,6000000075429306859,Yu Wenbao,China,Song dynasty,politician,
Q10889027,6000000075610986822,Fu Jianian,China,Qing dynasty | Republic of China,politician,
Q10889061,6000000074692075876,Fu Songqing,China,Song dynasty,politician | historian,
Q10889139,6000000075488225848,Fu Qian,China,Song dynasty,politician,
Q10889206,6000000075507534863,Fucha Funai,China,Qing dynasty,politician,
Q10889520,6000000075502261003,Shi Yunkan,China,Song dynasty,Buddhist monk,
Q10893110,6000000075507404034,Liushiqi,China,Qing dynasty,politician,
Q10895376,6000000075485869291,Feng Mengde,China,Song dynasty,,
Q10897091,6000000075405432851,Liu Xianlun,China,Song dynasty,poet,
Q10897989,6000000074787342015,Liu Guo,China,Song dynasty,playwright,
Q10899556,6000000075500442828,Liu Kui,China,Song dynasty,,
Q10899619,6000000075508910889,Liu Xueqian,China,Qing dynasty | Republic of China,politician,
Q10899749,6000000075506713819,Liu Pengnian,China,Qing dynasty | Republic of China,politician,
Q10899902,6000000074700852968,Liu Fang,China,Song dynasty,,
Q10899920,6000000075509051849,Liu Chunlin,China,Qing dynasty | Republic of China,politician,
Q10900189,6000000075615211933,Liu Ruiqi,China,Qing dynasty,politician,
Q10900301,6000000075500712887,Liu Xisou,China,Song dynasty,astronomer | historian,
Q10900354,6000000075508660002,Liu Ruoceng,China,Qing dynasty | Republic of China,politician,
Q10900362,6000000075508746915,Liu Hua,China,Qing dynasty | Republic of China,politician,
Q10900370,6000000074738687939,Liu Fen,China,Tang dynasty,politician,
Q10900444,6000000074784752567,Liu Hui,China,Song dynasty,,
Q10905038,6000000075555198822,Sheng Yun,China,Qing dynasty | Republic of China,politician,
Q10916068,6000000074727921853,Shi Yaobi,China,Song dynasty,politician,
Q10916215,6000000075422340029,Shi Dazu,China,Song dynasty,ci lyric writer,
Q10916334,6000000075490251847,Ye Daqing,China,Song dynasty,politician,
Q10916427,6000000074738367822,Ye Zuxia,China,Song dynasty,,
Q10916434,6000000074768801822,Ye Shaoweng,China,Song dynasty,poet | historian,
Q10918673,6000000074759074115,Wu Shiqing,China,Song dynasty,politician,
Q10918727,6000000075554635831,Wu Shijian,China,Qing dynasty | Republic of China,politician,
Q10918860,6000000075611695983,Qingchi Wu,China,Qing dynasty | Republic of China,poet,
Q10918943,6000000075424880414,Wu Yu,China,Song dynasty,bureaucrat | philologist,
Q10919022,6000000075553175096,Wu Xu,China,Qing dynasty | Republic of China,politician,
Q10919024,6000000075549393275,Wu Tao,China,Qing dynasty | Republic of China,politician,
Q10919223,6000000075550199431,Wu Lu,China,Qing dynasty | Republic of China,politician,
Q10919348,6000000075425815859,Wu Ji,China,Song dynasty,politician,
Q10919368,6000000074783426905,Wu Jian,China,Song dynasty,politician | rebel,
Q10919534,6000000075482617839,Wu Wenying,China,Song dynasty,ci lyric writer,
Q10919582,6000000075612039881,Wu Tang,China,Qing dynasty,politician,
Q10919608,6000000074759460844,Wu Hang,China,Song dynasty,politician | recluse | historian | scholar,
Q10919881,6000000074701692920,Lü Jiawen,China,Song dynasty,politician,
Q10919887,6000000075422052168,Lv Dagui,China,Song dynasty,politician,
Q10920228,6000000074727518879,Zhou Qufei,China,Song dynasty,scientist | writer | geographer,
Q10920578,6000000075427409898,Zhou Huaizheng,China,Song dynasty,eunuch,
Q10921064,6000000074746129239,Zhou Bangyan,China,Song dynasty,poet | ci lyric writer | qu writer,
Q10922242,6000000075507644006,Guaerjia Hadaha,China,Qing dynasty,politician,
Q10922662,6000000075503440029,Tang Sunhua,China,Qing dynasty,politician,
Q10923013,6000000075427554260,Tang Zhong,China,Song dynasty,,
Q10924354,6000000075501524128,Yan Ren,China,Song dynasty,,
Q10931865,6000000075617163839,Xia Xiushu,China,Qing dynasty,poet,
Q10942390,6000000075406578107,Qisong,China,Song dynasty,Buddhist monk,
Q10943303,6000000075613480043,Yao Ximeng,China,Ming dynasty,politician,
Q10943311,6000000075407329005,Yao Guang Xiao,China,Ming dynasty,physician | poet | Buddhist monk | painter | politician,
Q10943380,6000000075430047873,Yao Huan,China,Song dynasty,civil servant,
Q10943533,6000000075428370081,Jiang Cai,China,Song dynasty,,
Q10944376,6000000012400041989,Kong Yuxu,China,Qing dynasty,politician,
Q10944421,6000000075508726862,Kong Xianglin,China,Qing dynasty | Republic of China,politician,
Q10945524,6000000074751006118,Sun Fu,China,Song dynasty,beamter | scholar,
Q10945642,6000000075406439101,Sun Xu,China,Ming dynasty,politician,
Q10948233,6000000075406641003,Shi Zongle,China,Ming dynasty,monk | Buddhist monk,
Q10948241,6000000075606751099,Zong Jichen,China,Qing dynasty,essayist,
Q11012808,6000000075508806876,Qi Yaoshan,China,Qing dynasty | Republic of China,civil servant,
Q11040594,6000000075424179889,Yin Se,China,Song dynasty,politician,
Q11040635,6000000075507489403,Yin Mingshou,China,Qing dynasty | Republic of China,politician,
Q11057332,6000000075422269906,Zuo Yu,China,Song dynasty,politician | Buddhist monk,
Q11058676,6000000075507786848,Li Bahabu,China,Qing dynasty,politician,
Q11058952,6000000075507467965,Bayansan,China,Qing dynasty,politician,
Q11064340,6000000075607202824,Tingxiang Liao,China,Qing dynasty,politician,
Q11066432,6000000074790473042,Zhang Zhihan,China,Yuan dynasty,politician,
Q11066492,6000000075484210975,Zhang Boyu,China,Song dynasty,politician | poet,
Q11066542,6000000075484356886,Zhang Guanghan,China,Song dynasty,,
Q11066658,6000000075405106138,Zhang Kejiu,China,Yuan dynasty,poet,
Q11067182,6000000074790610972,Zhang Shiche,China,Ming dynasty,politician,
Q11067422,6000000074725996046,Zhang Zheng,China,Song dynasty,politician,
Q11067782,6000000075483981829,Zhang Shun,China,Song dynasty,,
Q11068115,6000000075483192058,Zhang Yuan,China,Song dynasty,politician,
Q11068117,6000000074751477843,Zhang Yuangan,China,Song dynasty,writer,
Q11068286,6000000075484033987,Zhang Shouyue,China,Song dynasty,politician | historian,
Q11068335,6000000075484228041,Zhang Shizheng,China,Song dynasty,politician,
Q11068366,6000000075483989099,Zhang Tinghan,China,Song dynasty,,
Q11068396,6000000075509029822,Zhang Biao,China,Republic of China,military personnel,
Q11068591,6000000019186578986,Chang Tseng-Yang,China,Qing dynasty,politician,
Q11068631,6000000074736854923,Zhang Shu,China,Song dynasty,politician | ci lyric writer,
Q11068651,6000000172457790323,Zhang Zhengyu,China,Qing dynasty | Republic of China,,
Q11068683,6000000075483640139,Zhang Ruzhou,China,Song dynasty,politician,
Q11068721,6000000075484332997,Zhang Yuanwei,China,Song dynasty,politician,
Q11068759,6000000074737139912,Zhang Yan,China,Yuan dynasty,ci lyric writer,
Q11068763,6000000075610954048,Zhang Bingkun,China,Qing dynasty,politician,
Q11068808,6000000075482194562,Zhang Jue,China,Song dynasty,,
Q11068853,6000000075484002903,Zhang Qiong,China,Song dynasty,,
Q11069070,6000000075483932031,Zhang Jiao,China,Song dynasty,,
Q11069079,6000000074792604849,Zhang Ao,China,Ming dynasty,politician,
Q11069090,6000000074737445008,Zhang Du,China,Song dynasty,politician,
Q11070265,6000000074789156003,Xu Yikui,China,Ming dynasty,scholar,
Q11070401,6000000075508751951,Xu Fang,China,Qing dynasty | Republic of China,politician,
Q11070478,6000000075551110384,Xu Dingchao,China,Qing dynasty | Republic of China,politician,
Q11070830,6000000075431685843,Xu Zhao,China,Song dynasty,poet,
Q11070863,6000000074692588875,Xu Di,China,Song dynasty,magistrate,
Q11070891,6000000075554764827,Xu Jiru,China,Qing dynasty | Republic of China,politician,
Q11070896,6000000075554454865,Shaozhen Xu,China,Republic of China,military personnel | politician,
Q11070909,6000000075509058822,Xu Zhijing,China,Qing dynasty | Republic of China,politician,
Q11070940,6000000075508492013,Xu Qian,China,Qing dynasty | Republic of China,,
Q11070969,6000000075554677834,Xu Daokun,China,Qing dynasty | Republic of China,politician,
Q11071035,6000000075554720822,Xu Dingkang,China,Republic of China,politician,
Q11071736,6000000075504120838,Delertei,China,Qing dynasty,politician,
Q11074560,6000000075507613866,Cheng Xing,China,Qing dynasty,politician,
Q11075402,6000000043828643991,Dai Hongci,China,Qing dynasty,politician,
Q11075713,6000000075481656970,Hu Yanke,China,Song dynasty,politician | military commander,
Q11079190,6000000074734147822,Ao Taosun,China,Song dynasty,poet,
Q11079731,6000000018586405101,Tatala Wenning,China,Qing dynasty,politician,
Q11079815,6000000075507077121,Feimo Wenqing,China,Qing dynasty,politician,
Q11080068,6000000075507740835,Feimo Wenyu,China,Qing dynasty,politician,
Q11085164,6000000075428783842,Shi Yisheng,China,Song dynasty,politician | rebel,
Q11085292,6000000075502786860,Dānapāla,China,Song dynasty,Sanskrit scholar | Buddhist monk,
Q11088228,6000000074702023822,Ming Hao,China,Song dynasty,,
Q11088349,6000000074747264870,Yi Zhong,China,Tang dynasty,politician | poet,
Q11089707,6000000075501942197,Shi Yinsu,China,Song dynasty,Buddhist monk,
Q11090252,6000000075502687123,Shi Zhiyuan,China,Song dynasty,Buddhist monk,
Q11090943,6000000074716896935,Cao Xiugu,China,Song dynasty | Tang dynasty,politician | historian | poet,
Q11091221,6000000075407180876,Cao Shenji,China,Qing dynasty,poet,
Q11091293,6000000075406163367,Cao Zhenji,China,Qing dynasty,poet,
Q11091403,6000000074716831130,Zeng Conglong,China,Song dynasty,,
Q11091461,6000000075486923853,Zeng Anzhi,China,Song dynasty,agronomist,
Q11091512,6000000074704476167,Zeng Zao,China,Song dynasty,writer,
Q11091587,6000000075607471900,Zeng Yu,China,Qing dynasty,poet,
Q11091600,6000000075614400886,Zeng Biguang,China,Qing dynasty,politician,
Q11091610,6000000066186038254,Zeng Fuqian,China,Qing dynasty,,
Q11091644,6000000075431336832,Zeng Di,China,Song dynasty,politician,
Q11092984,6000000075420964905,Mu Daiwen,China,Song dynasty,,
Q110941436,6000000150107479822,Toshiya Kuge,Japan,Japan,,
Q11094200,6000000074736981848,Zhu Xiyan,China,Song dynasty,politician,
Q11094547,6000000075606962852,Zhu Fushen,China,Qing dynasty | Republic of China,politician,
Q11094757,6000000075424689837,Zhu Guan,China,Song dynasty,military commander,
Q11094932,6000000075423565950,Zhu Zhen,China,Song dynasty,politician,
Q11095246,6000000074698829187,Li Zhichun,China,Song dynasty,politician,
Q11096315,6000000075425840010,Li Qingsun,China,Song dynasty,,
Q11096655,6000000075405119998,Li You,China,Song dynasty,,
Q11096682,6000000074725965249,Li Wenhui,China,Song dynasty,,
Q11096934,6000000075344717135,Li Chaoyin,China,Tang dynasty,politician,
Q11097044,6000000074698990089,Li Chunnian,China,Song dynasty,politician,
Q11097544,6000000075424283621,Li Qi,China,Song dynasty,politician,
Q11097893,6000000074727940834,Li Ruoshui,China,Song dynasty,politician,
Q11099421,6000000075425081886,Du Chun,China,Song dynasty,gentry,
Q11099565,6000000075425158911,Du Mo,China,Song dynasty,politician | poet,
Q11100340,6000000074787299040,Yang Guanqing,China,Song dynasty,politician,
Q11101080,6000000074768326072,Yang Fang,China,Song dynasty,politician,
Q11101788,6000000075407723840,Yang Lian,China,Ming dynasty,politician,
Q11102074,6000000075507203952,Yang Fang,China,Qing dynasty,diplomat,
Q11105369,6000000075427186829,Lin Biao,China,Song dynasty,poet | official,
Q11105505,6000000074734787854,Lin Guangshi,China,Song dynasty,politician,
Q11105577,6000000075426720842,Lin Sheng,China,Song dynasty,poet,
Q11105851,6000000075426780829,Lin Wai,China,Song dynasty,politician | poet | ci lyric writer,
Q11106062,6000000075425467719,Lin Xun,China,Song dynasty,politician,
Q11106521,6000000075405318923,Lin Hong,China,Song dynasty,politician,
Q11106808,6000000075508794822,Lin Shaonian,China,Qing dynasty | Republic of China,politician,
Q11107260,6000000075597417857,Lin Kunxiang,China,Republic of China,politician,
Q11109043,6000000074684353530,Zha Yue,China,Song dynasty,,
Q11109221,6000000075428881057,Ke Xi,China,Song dynasty,,
Q11109602,6000000075507243002,Liu Yindong,China,Qing dynasty,politician,
Q11111694,6000000023419356149,Tuokuoluo Guiqing,China,Qing dynasty,politician,
Q11114041,6000000075483163901,Liang Chengda,China,Song dynasty,politician,
Q11117697,6000000075407725836,Yang Zhongliang,China,Song dynasty,historian,
Q11117704,6000000075554307034,Yang Peizhang,China,Qing dynasty | Republic of China,politician,
Q11117757,6000000074725960833,Yi Yang,China,Song dynasty,writer | historian | politician,
Q11117919,6000000074790027914,Jang Ťi,China,Ming dynasty,writer | painter | poet | calligrapher,
Q11118006,6000000075489389926,Yang Shouzhen,China,Song dynasty,,
Q11118302,6000000075553057200,Yang Mushi,China,Qing dynasty | Republic of China,military personnel,
Q11118361,6000000075554885945,Yang Jiesan,China,Qing dynasty | Republic of China,politician,
Q11118481,6000000075508748918,Yang Sheng,China,Qing dynasty | Republic of China,diplomat,
Q11118880,6000000075430155827,Yang Lianzhenjia,China,Yuan dynasty,official,
Q11119335,6000000075489262905,Yang Shi,China,Song dynasty,,
Q11119812,6000000074685450910,Chu Zhaofu,China,Song dynasty,politician,
Q11119880,6000000075488571870,Chu Yan,China,Song dynasty,mathematician | astronomer | linguist,
Q11121079,6000000074727617932,Lou Fang,China,Song dynasty,historian,
Q11123144,6000000074771470912,Ouyang Che,China,Song dynasty,politician,
Q11123798,6000000074792301946,Wu Xian,China,Yuan dynasty,military officer | daoshi,
Q11127066,6000000075508504937,Mao Qingfan,China,Qing dynasty | Republic of China,politician,
Q11132742,6000000075504100399,Baidu Yonggui,China,Qing dynasty,politician,
Q11134540,6000000075508522882,Jiang Chunlin,China,Qing dynasty | Republic of China,politician,
Q11136264,6000000075486790823,Tang Shu,China,Song dynasty,,
Q11137016,6000000075610947961,Wang Quan,China,Qing dynasty,writer,
Q11137128,6000000074787054199,Wang Shen,China,Song dynasty,politician | recluse | scholar,
Q11138500,6000000075423679852,Shen Ruxie,China,Song dynasty,politician,
Q11138790,6000000075503835112,Shen Daokuan,China,Qing dynasty,painter | politician,
Q11138797,6000000074703408046,Shen Mo,China,Song dynasty,politician,
Q11143011,6000000075606624132,Zhouyi Kuang,China,Republic of China,politician,
Q11146576,6000000074737231958,Hong Xingzu,China,Song dynasty,politician | writer,
Q11152597,6000000074769327429,Ling Wanqing,China,Song dynasty,politician,
Q11172672,6000000075507938822,Bao Yuanshen,China,Qing dynasty,politician,
Q11176574,6000000074728545822,Huang Tao,China,Tang dynasty,poet,
Q11176792,6000000075327289832,Huang Yujian,China,Qing dynasty,politician,
Q11176825,6000000075487658897,Huang Baoguang,China,Song dynasty,politician,
Q11176877,6000000075487310907,Huang Tong,China,Song dynasty,politician,
Q11177322,6000000074697732475,Huang Zongdan,China,Song dynasty,historian,
Q11177924,6000000075487023005,Huang Qia,China,Song dynasty,,
Q11180164,6000000075508805898,Qi Yaolin,China,Qing dynasty | Republic of China,businessperson | politician,
Q11180782,6000000075607002861,Gong Yitu,China,Qing dynasty,politician,
Q112118690,6000000149973608835,Takashi Ogawa,Japan,Japan,employee,
Q112122246,6000000149961408855,Kazuhiro Anai,Japan,Japan,banker | deputy managing director,
Q112202431,6000000149971066823,Chow Kwan Lam,China,People's Republic of China,auditor,
Q113010,6000000010432307538,Klara Blum,China,People's Republic of China,writer | journalist | translator | poet | university teacher | Ukrainian–German translator | literary scholar | Germanist,
Q113330592,6000000075485168824,Chen Xuan,China,Song dynasty,,
Q11388067,6000000075422567849,Yuan Da,China,Song dynasty,military personnel | gentry,
Q11398301,6000000075500369138,Liu Shenqiong,China,Song dynasty,,
Q11398749,4304466546090010445,Hisaakira Kanō,Japan,Japan | Empire of Japan,banker | politician,
Q11416607,6000000075413337864,Wu Qiuyan,China,Yuan dynasty,seal cutter | calligrapher,
Q11422834,6000000030568896492,Sanenori Sonoda,Japan,Japan,businessperson | politician,
Q11451699,6000000075505835884,Jue Song,China,Ming dynasty,painter | calligrapher | poet,
Q11473062,6000000129583209158,Yoshio Okamoto,Japan,Japan,chemist,
Q11481389,6000000075486175822,Chang Side,China,Song dynasty,military commander,
Q11522470,6000000075424339138,Li Bin,China,Song dynasty,,
Q11541113,6000000074746948030,Yang Guangmei,China,Song dynasty,military personnel | writer,
Q1155987,6000000075326793953,Xin Qiji,China,Song dynasty,poet | ci lyric writer | military leader,
Q11572877,6000000075610384967,Wang Kaiyun,China,Republic of China | Qing dynasty,historian,
Q11573200,6000000075508809970,Wang Zhixiang,China,Republic of China,politician,
Q11573214,6000000075481611272,Wang Zan,China,Song dynasty,politician,
Q11584630,6000000075502589931,Zhīlǐ,China,Song dynasty,Buddhist monk,
Q11626507,6000000074738686824,Yuan Shu,China,Song dynasty,historian,
Q11635056,6000000074770796844,Zànníng,China,Song dynasty,Buddhist monk,
Q11636647,6000000074688750100,Zhao Pin,China,Song dynasty,military commander,
Q11643007,6000000034121728391,Masami Kuni,Japan,Japan | Empire of Japan,dancer | dance teacher,
Q11653716,6000000199918833823,Saburō Hasegawa,Japan,Japan | Empire of Japan,painter | university teacher | calligrapher | printmaker,
Q11658411,6000000074792389046,Chen Bangzhan,China,Ming dynasty,politician,
Q11677730,6000000075610627064,Huang Shiling,China,Qing dynasty,painter,
Q11691731,6000000075502129082,Cuiyan Kezhen,China,Song dynasty,Buddhist monk,
Q11699105,6000000075502752822,Fushan Fayuan,China,Song dynasty,Buddhist monk,
Q11733314,6000000075503031933,Kaifu Daoning,China,Song dynasty,Buddhist monk,
Q1185798,6000000074710265861,Chao Cuo,China,Han dynasty,philosopher | politician,
Q1187531,6000000075501890269,Yuanwu Keqin,China,Song dynasty,Buddhist monk,
Q1196022,6000000075429758824,Wu Daozi,China,Tang dynasty,painter,
Q11996682,6000000074685358898,Qiao Weiyue,China,Song dynasty,inventor | engineer | statesperson,
Q12145896,6000000011367160068,Jueluo Baoxing,China,Qing dynasty,politician,
Q12147801,6000000075507095933,Jueluo Manbao,China,Qing dynasty,politician,
Q12148260,6000000075507556860,Hesheli Saichonga,China,Qing dynasty,military personnel,
Q12148293,6000000075507599952,Artai,China,Qing dynasty,politician,
Q12156471,6000000075507892839,Asu,China,Qing dynasty,politician,
Q12158589,6000000075507563000,Guaerjia Axixi,China,Qing dynasty,politician,
Q12173878,6000000029736581780,Bing Zhi,China,People's Republic of China,zoologist | biologist,
Q12244639,6000000075507830930,Lu Zhuo,China,Qing dynasty,politician,
Q12269791,6000000075507258099,Jin Guangzu,China,Qing dynasty,politician,
Q1261786,6000000075427000168,Yi Yuanji,China,Song dynasty,painter,
