qid,classes,mul,en,ja,zh,ko,ar,he,ru,de,fr,es,pt,it,nl,sv,nb,da,fi,pl
Q113098,Q12308941,طاهر,Tahir,ターヒル,塔黑尔,,طاهر,טאהר,Тахир,Taher,Tahir,Tahir,Tahir,Tahir,Tahir,Tahir,Tahir,Tahir,Tahir,Tahir
Q123546,Q12308941,Gaudenz,Gaudenz,,,,,,,Gaudenz,Gaudenz,Gaudenz,Gaudenz,Gaudenz,Gaudenz,Gaudenz,Gaudenz,Gaudenz,Gaudenz,Gaudenz
Q127578,Q101352,Kretschmer,,クレッチマー,克雷奇默,크레치머,,,Кречмер,,,,,,,,,,,
Q127706,Q101352,Țițeica,Țițeica,,,,,,,Țițeica,,,,,,,,,,
Q145210,Q101352,Weiss,,ヴァイス,魏斯,,وايس,וייס,Вайс,,,,,,,,,,,
Q153914,Q101352,Schardinel,,,,,,,,,,,,,,,,,,
Q179610,Q12308941,Alvin,Alvin,アルヴィン,阿尔文,,آلفين,אלווין,Элвин,Alvin,Alvin,Alvin,Alvin,Alvin,Alvin,Alvin,Alvin,Alvin,Alvin,Alvin
Q199898,Q12308941,Slaven,Slaven,,,,سلافين,סלאבן,Славен,Slaven,Slaven,Slaven,Slaven,Slaven,Slaven,Slaven,Slaven,Slaven,Slaven,Slaven
Q205226,Q101352,Zinsou,Zinsou,ザンス,,,زينسو,,Зинсу,Zinsou,Zinsou,Zinsou,Zinsou,Zinsou,Zinsou,Zinsou,Zinsou,Zinsou,Zinsou,Zinsou
Q221978,Q12308941,Bernhard,Bernhard,ベルンハルト,伯恩哈德,베른하르트,برنهارد,ברנהרד,Бернард / Бернгард / Бернхард,Bernhard,Bernhard,Bernhard,Bernhard,Bernhard,Bernhard,Bernhard,Bernhard,,Bernhard,
Q225898,Q12308941,Jagiełło,Jagiełło,,,,,יגיילו,Ягелло,Jagiełło,Jagiełło,Jagiełło,Jagiełło,Jagiełło,Jagiełło,Jagiełło,Jagiełło,Jagiełło,Jagiełło,Jagiełło
Q229146,Q101352,Mori,Mori,モリ,Mori,,موري,מורי,Мори,Mori,Mori,Mori,Mori,Mori,Mori,Mori,Mori,Mori,Mori,Mori
Q241290,Q11879590,Vilja,Vilja,,维尔利亚,,,,Вилья,Vilja,Vilja,Vilja,Vilja,Vilja,Vilja,Vilja,Vilja,Vilja,Vilja,Vilja
Q241658,Q12308941,Malachia,Malachia,,,,,,,Malachias,Malachia,Malachia,Malachia,Malachia,Malachia,Malachia,Malachia,Malachia,Malachia,Malachia
Q242426,Q101352,Leconte,Leconte,ルコンテ,,,لوكونت,,Леконт,Leconte,Leconte,Leconte,Leconte,Leconte,Leconte,Leconte,Leconte,Leconte,Leconte,Leconte
Q254906,Q101352,Hunt,,ハント,亨特,,هنت,האנט,Хант,,,,,,,,,,,
Q271370,Q12308941,Ælfwald,Ælfwald,,,,,אאלפוולד,,Ælfwald,Ælfwald,Ælfwald,Ælfwald,Ælfwald,Ælfwald,Ælfwald,Ælfwald,Ælfwald,Ælfwald,Ælfwald
Q272330,Q12308941,Çakar,Çakar,,,,,,,Çakar,Çakar,Çakar,Çakar,Çakar,Çakar,Çakar,Çakar,Çakar,Çakar,Çakar
Q273754,Q12308941,,Éder,エデル,埃德,,إيدر,אדר,,Éder,Éder,Éder,Éder,Éder,Éder,Éder,Éder,Éder,Éder,Éder
Q280570,Q11879590,Sünne,Sünne,,,,,,,Sünne,Sünne,Synke,Synke,Synke,Sünne,Synke,Sünne,Sünne,Sünne,Synke
Q291930,Q11879590,Prakseda,Prakseda,,,,,,,Prakseda,Prakseda,Prakseda,Prakseda,Prassede,Prakseda,Prakseda,Prakseda,Prakseda,Prakseda,Prakseda
Q301610,Q101352,Aaron,Aaron,アアロン,阿隆,,هارون,אהרן,Аарон,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron,Aaron
Q307578,Q12308941,,Abdullah,アブドゥッラー,阿卜杜拉,,عبد الله,עבדאללה,Абдалла / Абдаллах / Абдуллах / Абдулла,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah,Abdullah
Q307914,Q101352,,Özkök,,,,,,,Özkök,Özkök,Özkök,Özkök,Özkök,Özkök,Özkök,Özkök,Özkök,Özkök,Özkök
Q334826,Q12308941,أبو بكر,Abu Bakr,アブー・バクル,阿布·巴卡尔,,أبو بكر,אבו בכר,Абу Бакр,Abu Bakr,Abu Bakr,Abu Bakr,Abu Bakr,Abu Bakr,Abu Bakr,,Abu Bakr,,,
Q339930,Q11879590,,Nanako,ななこ,,,,,,Nanako,Nanako,Nanako,Nanako,Nanako,Nanako,Nanako,Nanako,Nanako,Nanako,Nanako
Q349866,Q101352,Redknapp,Redknapp,レドナップ,,,ريدناب,רדנאפ,Реднапп,Redknapp,Redknapp,Redknapp,Redknapp,Redknapp,Redknapp,Redknapp,Redknapp,Redknapp,Redknapp,Redknapp
Q354330,Q101352,Braun,Braun,ブラウン,布劳恩,,برون,,Браун,Braun,,,,,,,,,,
Q355482,Q101352,Ильюшин,Ilyushin,イリューシン,伊柳辛,,إليوشن,,Ильюшин,Iljuschin,Iliouchine,Iljuschin,Iljuschin,Iljuschin,Iljuschin,,,Iljuschin,,Iljuszyn
Q358090,Q101352,Adler,Adler,アドラー,阿德勒,,أدلر,אדלר,Адлер,Adler,Adler,Adler,Adler,Adler,Adler,Adler,Adler,Adler,Adler,Adler
Q368314,Q12308941,Carles,Carles,カルラス,卡莱斯,,كارلز,קרלס,Карлес,Carles,Carles,Carles,Carles,Carles,Carles,Carles,Carles,Carles,Carles,Carles
Q372250,Q12308941,Adrian,Adrian,エイドリアン,阿德里安,아드리안,أدريان,אדריאן,Адриан / Эдриан,Adrian,Adrian,Adrian,Adrian,Adrian,Adrian,Adrian,Adrian,Adrian,Adrian,Adrian
Q381098,Q12308941,Benno,Benno,ベンノ,本诺,,,בנו,Бенно,Benno,Benno,Benno,Benno,Benno,Benno,Benno,Benno,Benno,Benno,Benno
Q381802,Q101352,Aerts,Aerts,,阿兹,,آيرتس,,Артс,Aerts,Aerts,Aerts,Aerts,Aerts,Aerts,Aerts,Aerts,Aerts,Aerts,Aerts
Q385674,Q101352,Lottner,Lottner,,,,لوتنير,,Лоттнер,Lottner,Lottner,Lottner,Lottner,Lottner,Lottner,Lottner,Lottner,Lottner,Lottner,Lottner
Q387114,Q101352,Śliwiński,Śliwiński,,,,,,Сливиньский,Śliwiński,Śliwiński,Śliwiński,Śliwiński,Śliwiński,Śliwiński,Śliwiński,Śliwiński,Śliwiński,Śliwiński,Śliwiński
Q388010,Q101352,Şahan,Şahan,シャハン,沙汗,,,,,Şahan,Şahan,Şahan,Şahan,Şahan,Şahan,Şahan,Şahan,Şahan,Şahan,Şahan
Q392506,Q101352,,Štuhec,,,,,,,Štuhec,Štuhec,Štuhec,Štuhec,Štuhec,Štuhec,Štuhec,Štuhec,Štuhec,Štuhec,Štuhec
Q394314,Q101352,Župančič,Župančič,,,,,,Жупанчич,Župančič,Župančič,Župančič,Župančič,Župančič,Župančič,Župančič,Župančič,Župančič,Župančič,Župančič
Q400282,Q101352,Nyers,Nyers,ニェルシュ,,,,,Ньерш,Nyers,Nyers,Nyers,Nyers,Nyers,Nyers,Nyers,Nyers,Nyers,Nyers,Nyers
Q400458,Q101352,Wiseman,Wiseman,ワイズマン,懷斯曼,,وايزمان,וייזמן,Уайзман,Wiseman,Wiseman,Wiseman,Wiseman,Wiseman,Wiseman,Wiseman,Wiseman,Wiseman,Wiseman,Wiseman
Q400538,Q101352,Ahlqvist,Ahlqvist,,,,,,,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist,Ahlqvist
Q405626,Q12308941,Aimo,Aimo,アイモ,,,,,Аймо,Aimo,Aimo,Aimo,Aimo,Aimo,Aimo,Aimo,Aimo,Aimo,Aimo,Aimo
Q410778,Q12308941,Aitor,Aitor,アイトール,艾托,,أيتور,אייטור,,Aitor,Aitor,Aitor,Aitor,Aitor,Aitor,Aitor,Aitor,Aitor,Aitor,Aitor
Q421434,Q101352,,Galkina,,加尔金娜,,,,Галкина,Galkina,Galkina,Galkina,,Galkina,,,,,,
Q428826,Q101352,Vischer,Vischer,,菲舍尔,,فيشر,,,Vischer,Vischer,Vischer,Vischer,Vischer,Vischer,Vischer,Vischer,Vischer,Vischer,Vischer
Q431274,Q101352,Glover,Glover,グロヴァー,格洛弗,,غلوفر,גלובר,Гловер,Glover,Glover,Glover,Glover,Glover,Glover,Glover,Glover,Glover,Glover,Glover
Q453722,Q11879590,Amanda,Amanda,アマンダ,阿曼达,어맨다,أماندا,אמנדה,Аманда,Amanda,Amanda,Amanda,Amanda,Amanda,Amanda,Amanda,Amanda,Amanda,Amanda,Amanda
Q453946,Q11879590,Kinga,Kinga,,Kinga,,,קינגה,Кинга,Kinga,Kinga,Kinga,Kinga,Kinga,Kinga,Kinga,Kinga,,Kinga,
Q471514,Q11879590,Aminata,Aminata,アミナタ,阿米娜塔,,أميناتا,אמינטה,Амината,Aminata,Aminata,Aminata,Aminata,Aminata,Aminata,Aminata,Aminata,Aminata,Aminata,Aminata
Q474666,Q101352,,Garfinkel,,,,جارفينكل,,,Garfinkel,Garfinkel,Garfinkel,Garfinkel,Garfinkel,Garfinkel,Garfinkel,Garfinkel,Garfinkel,Garfinkel,Garfinkel
Q475210,Q12308941,Juan,Juan,フアン,胡安,후안,خوان,חואן,Хуан,Juan,Juan,,,,,,,,,
Q482154,Q12308941,Amédée,Amédée,アメディー,阿梅蒂,아메데,,אמדה,Амеде,Amédée,Amédée,Amédée,Amédée,Amédée,Amédée,Amédée,Amédée,Amédée,Amédée,Amédée
Q492282,Q12308941,,Andoni,アンドニ,安多尼,,,אנדוני,,Andoni,Imanol,Andoni,Andoni,Andoni,Andoni,Andoni,Andoni,Andoni,Andoni,Andoni
Q492730,Q12308941,Lambert,Lambert,ランバート,兰伯特,,لامبرت,למברט,Ламберт / Ламбер,Lambert,Lambert,Lambert,Lambert,Lambert,Lambert,Lambert,Lambert,Lambert,Lambert,Lambert
Q503594,Q11879590,Adelinda,Adelinda,,,,,,,Adelinda,Adelinda,Adelinda,Adelinda,Adelinda,Adelinda,Adelinda,Adelinda,Adelinda,Adelinda,Adelinda
Q512586,Q11879590,Csilla,Csilla,,,,,קסילה,Чилла,Csilla,Csilla,Csilla,Csilla,Csilla,Csilla,Csilla,Csilla,Csilla,Csilla,Csilla
Q512778,Q101352,,Min,閔,閔,민,مين,מין,Минь,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min,Min
Q515050,Q12308941,,Agapion,,,,,,,Agapion,Agapion,Agapion,Agapion,Agapion,Agapion,Agapion,Agapion,Agapion,Agapion,Agapion
Q520762,Q12308941,Ata,Ata,,阿塔,,عطا,,,Ata,Ata,Ata,Ata,Ata,Ata,Ata,Ata,Ata,Ata,Ata
Q533466,Q11879590,Ilse,Ilse,イルセ,伊尔丝,,إلسه,אילזה,Ильзе,Ilse,Ilse,Ilse,Ilse,Ilse,Ilse,Ilse,Ilse,Ilse,Ilse,Ilse
Q533594,Q101352,,Manetti,,马内蒂,마네티,مانيتي,,Манетти,Manetti,Manetti,Manetti,Manetti,Manetti,Manetti,Manetti,Manetti,Manetti,Manetti,Manetti
Q535850,Q101352,Forlán,Forlán,,,포를란,فورلان,,Форлан,Forlán,Forlán,Forlán,Forlán,Forlán,Forlán,Forlán,Forlán,Forlán,Forlán,Forlán
Q541194,Q11879590,Emma,Emma,エマ,埃玛,,إيما,אמה,Эмма,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Emma,Emma
Q548106,Q101352,Gourcuff,Gourcuff,,,,غوركوف,,Гуркюфф,Gourcuff,Gourcuff,Gourcuff,Gourcuff,Gourcuff,Gourcuff,Gourcuff,Gourcuff,Gourcuff,Gourcuff,Gourcuff
Q550506,Q12308941,Heriberto,Heriberto,,埃里韦托,,هيريبيرتو,הריברטו,Эриберто,Heriberto,Heriberto,Heriberto,Heriberto,Heriberto,Heriberto,Heriberto,Heriberto,Heriberto,Heriberto,Heriberto
Q566394,Q101352,,Beloglazov,,,벨로글라조프,,,Белоглазов,Beloglasow,Beloglazov,Beloglazov,Beloglazov,Beloglazov,Beloglazov,Beloglazov,,Beloglazov,Beloglazov,Biełogłazow
Q566410,Q11879590,Annemieke,Annemieke,,安妮米可,,,אנמיקה,,Annemieke,Annemieke,Annemieke,Annemieke,Annemieke,Annemieke,Annemieke,Annemieke,Annemieke,Annemieke,Annemieke
Q567178,Q11879590,Annikki,Annikki,アンニッキ,安尼基,,أنيكي,אניקי,Анникки,Annikki,Annikki,Annikki,Annikki,Annikki,Annikki,Annikki,Annikki,Annikki,Annikki,Annikki
Q571050,Q12308941,Ardian,Ardian,,阿迪安,,,,,Ardian,Ardian,Ardian,Ardian,Ardian,Ardian,Ardian,Ardian,Ardian,Ardian,Ardian
Q571530,Q12308941,Ante,Ante,アントニオ,安特,안테,أنتي,אנטה,Анте,Ante,Ante,Ante,Ante,Ante,Ante,Ante,Ante,Ante,Ante,Ante
Q576970,Q12308941,Boudewijn,Boudewijn,,布德维,,بودوين,בודווין,Будевейн,Boudewijn,Boudewijn,Boudewijn,Boudewijn,Boudewijn,Boudewijn,Boudewijn,Boudewijn,Boudewijn,Boudewijn,Boudewijn
Q587130,Q12308941,Vít,Vít,ヴィート,维特,,فيت,ויט,Вито / Вит,Vít,Vít,Vít,Vít,Vít,Vít,Vít,Vít,Vít,Vít,Vít
Q600538,Q3409032,Nicky,Nicky,ニッキー,尼基,,نيكي,ניקי,Ники,Nicky,Nicky,Nicky,Nicky,Nicky,Nicky,Nicky,Nicky,Nicky,Nicky,Nicky
Q602138,Q12308941,Witold,Witold,ヴィトルド,维尔托德,,ويتولد,ויטולד,Витольд,Witold,Witold,Witold,Witold,Witold,Witold,Witold,Witold,Witold,Witold,Witold
Q605834,"Q202444,Q12308941",Kevin,Kevin,ケヴィン,凯文,케빈,كيفن,קווין (Kevin),Кевин,Kevin,Kevin,Kevin,Kevin,Kevin,Kevin,Kevin,Kevin,Kevin,Kevin,Kevin
Q615898,Q101352,青野,Aono,青野,靑野,아오노,أونو,,Аоно,Aono,Aono,Aono,Aono,Aono,Aono,,,Aono,,
Q632842,Q12308941,Hans,Hans,ハンス,汉斯,한스,هانس,הנס,Ганс / Ханс,Hans,,,,,,,,,,
Q647610,Q101352,Hedberg,Hedberg,,赫德伯格,,هيدبيرغ,,Хедберг,Hedberg,Hedberg,Hedberg,Hedberg,Hedberg,Hedberg,Hedberg,Hedberg,Hedberg,Hedberg,Hedberg
Q648010,Q101352,Ali,Ali,アリ,阿里,,علي,עלי,Али,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali,Ali
Q655722,Q11879590,Ina,Ina,イナ,伊那,,إينا,אינה,Ина,Ina,Ina,Ina,Ina,Ina,Ina,Ina,Ina,Ina,Ina,Ina
Q656698,Q11879590,Regina,Regina,レギーナ,瑞杰娜/雷吉娜/丽贾娜,,ريغينا,רג'ינה,Реджина / Регина,Regina,Regina,Regina,Regina,Regina,Regina,Regina,Regina,Regina,Regina,Regina
Q661482,Q12308941,Arimantas,Arimantas,アリマンタス,,,,,,Arimantas,Arimantas,Arimantas,Arimantas,Arimantas,Arimantas,Arimantas,Arimantas,Arimantas,Arimantas,Arimantas
Q666954,Q11879590,Josephine,Josephine,ジョゼフィン,约瑟芬,,جوزفين,ג'וזפין,Джозефина,Josephine,Josephine,Josephine,Josephine,Josephine,Josephine,Josephine,Josephine,Josephine,Josephine,Josephine
Q669274,Q101352,Kaczmarek,Kaczmarek,カチュマレク,卡兹马雷克,,كازماريك,,Качмарек,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek,Kaczmarek
Q677210,Q12308941,Silvano,Silvano,シルヴァーノ,西尔瓦诺,,سيلفانو,סילבנו,Сильвано,Silvano,,,,,,,,,,
Q680426,Q12308941,Predrag,Predrag,,普雷德拉格,프레드라그,بريدراغ,פרדראג,Предраг,Predrag,Predrag,Predrag,Predrag,Predrag,Predrag,Predrag,Predrag,Predrag,Predrag,Predrag
Q682250,Q12308941,Wespazjan,Wespazjan,ヴェスパシアーノ,,,,,,Wespazjan,Wespazjan,Wespazjan,Wespazjan,Wespazjan,Wespazjan,Wespazjan,Wespazjan,Wespazjan,Wespazjan,Wespazjan
Q687322,Q11879590,Amaranta,Amaranta,,阿玛兰塔,,,,Амаранта,Amaranta,Amaranta,Amaranta,Amaranta,Amaranta,Amaranta,Amaranta,Amaranta,Amaranta,Amaranta,Amaranta
Q694010,Q12308941,Virgilio,Virgilio,ビルヒリオ,维吉利奥,,,וירג'יליו,Вирджилио / Вирхилио / Виргилио,Virgilio,Virgilio,Virgilio,Virgilio,Virgilio,Virgilio,Virgilio,Virgilio,Virgilio,Virgilio,Wirgiliusz
Q704650,Q12308941,Arsenije,Arsenije,,,,,,,Arsenije,Arsenije,Arsenije,Arsenije,Arsenije,Arsenije,Arsenije,Arsenije,Arsenije,Arsenije,Arsenije
Q713322,Q12308941,,Artyom,アルチョム,阿尔乔姆,,,ארטיום,Артём,Artjom,Artiom,Artiom,Artiom,Artëm,,Artiom,Artjom,,Artjom,Artiom
Q713706,Q101352,Gao,Gao,高,高,가오,قاو,גאו,Гао,Gao,Gāo,Gao,Gao,Gāo,Gāo,Gao,Gao,Gao,Gao,Gao
Q714938,Q11879590,Cora,Cora,コーラ,科拉,,كورا,קורה,Кора,Cora,Cora,Cora,Cora,Cora,Cora,Cora,Cora,Cora,Cora,Cora
