geni_id	descendants
6000000223806637991	0
6000000006706305305	618
6000000223232948430	17
6000000114690694912	0
6000000223725066065	0
6000000223356717274	6
6000000019352715434	146
6000000042155698572	11
6000000034306270295	16
6000000015443030131	12
6000000158419951826	0
6000000182965899830	0
6000000223232738264	350
6000000208492058081	0
6000000056394093948	0
6000000083769823891	19
6000000223794421149	0
6000000019004518853	0
6000000150647295862	0
6000000224254319961	0
6000000208492448386	12
6000000151675978947	0
6000000040211996997	262
6000000014255368650	0
6000000139620939889	26
6000000182964419403	0
6000000083774601863	0
6000000032959465267	0
6000000206011349022	2
6000000161548228827	0
6000000208492058117	106
6000000115778524950	0
6000000223232908469	15
6000000056392555192	228
6000000022336486708	62
6000000182967810096	67
6000000083769303832	-1
6000000223764690076	167
6000000021568851612	0
6000000223231340255	1
