han	corpus_count	ko	ja_kana_candidate	ja_romaji_candidate	zh_pinyin
室	5117	실	しつ	shitsu	shì
原	3701	원	はら	hara	yuán
陳	3692	진	ちん	chin	chén
藤	3548	등	ふじ	fuji	téng
正	3537	정	せい	sei	zhèng
河	3436	하	かわ	kawa	hé
子	3089	자	こ	ko	zǐ
田	2960	전	た	ta	tián
平	2900	평	たいら	taira	píng
州	2783	주	しゅう	shuu	zhōu
長	2774	장	ちょう	chou	zhǎng
陽	2672	양	よう	you	yáng
南	2521	남	みなみ	minami	nán
曾	2454	증	そ	so	céng
道	2234	도	みち	michi	dào
安	2092	안	あん	an	ān
西	2013	서	にし	nishi	xī
忠	1973	충	ただし	tadashi	zhōng
松	1911	송	まつ	matsu	sōng
山	1829	산	やま	yama	shān
大	1822	대	だい	dai	dà
縣	1771	현	けん	ken	xiàn
東	1739	동	ひがし	higashi	dōng
信	1738	신	しん	shin	xìn
京	1701	경	きょう	kyou	jīng
隴	1594	농 롱	ろう	rou	lǒng
兆	1567	조	ちょう	chou	zhào
狄	1529	적	てき	teki	dí
陵	1500	능 릉	りょう	ryou	líng
世	1481	세	よ	yo	shì
川	1446	천	かわ	kawa	chuān
氏	1417	씨	し	shi	shì
公	1388	공	こう	kou	gōng
一	1323	일	いち	ichi	yī
三	1312	삼	さん	san	sān
清	1292	청	きよし	kiyoshi	qīng
城	1283	성	しろ	shiro	chéng
院	1275	원	いん	in	yuàn
久	1224	구	きゅう	kyuu	jiǔ
義	1221	의	ぎ	gi	yì
重	1196	중	じゅう	juu	zhòng
政	1176	정	まつりごと	matsurigoto	zhèng
野	1175	야	の	no	yě
高	1147	고	たか	taka	gāo
宗	1119	종	しゅう	shuu	zōng
洛	1116	낙 락	らく	raku	luò
王	1110	왕	おう	ou	wáng
利	1090	이 리	り	ri	lì
光	1072	광	ひかり	hikari	guāng
条	1049	조	じょう	jou	tiáo
井	1046	정	い	i	jǐng
元	1044	원	もと	moto	yuán
直	1043	직	ちょく	choku	zhí
親	1022	친	おや	oya	qīn
源	996	원	げん	gen	yuán
小	971	소	しょう	shou	xiǎo
貞	950	정	てい	tei	zhēn
成	950	성	せい	sei	chéng
