fs_id	qid	name	french_placed	new_in_rootsmagic
LCZN-T6T	Q559062	Pepin de Vermandois	yes	yes
LDH1-G9D	Q3494265	Sprota De Bretagne	yes	yes
LDHQ-P5F	Q353829	Adèle de France	yes	yes
LDHS-DF1	Q378271	Baudouin Ier 'Bras de Fer'	yes	yes
LDS9-GGV	Q2733546	Judith de Bretagne	yes	yes
LDSH-HB3	Q919247	Eberhard von Friaul	yes	yes
LDSM-QN8	Q242601	Bertha van Holland	yes	yes
LDSM-WYF	Q562630	Raymond de Bourgogne	yes	yes
LDSS-ZCS	Q1687299	William de Warenne	yes	yes
LDW5-623	Q230073	Анна Ярославна	yes	yes
LKF5-3N5	Q2066259	Guillaume II de Dampierre	yes	yes
LM1H-8JF	Q266523	Baudouin VI de Flandre	yes	yes
LY57-55F	Q391944	Mathilde de Flandre	yes	yes
LY83-151	Q105819710	Pierre Thiéry	yes	yes
LZGK-GZB	Q456955	Conan de Rennes	yes	yes
LZVR-GMG	Q263343	Ermengarde d'Anjou	yes	yes
MBHP-X23	Q2886007	Barthélemi du Drac	yes	yes
MBMH-FJ9	Q165883	Louis VI 'le Gros'	yes	yes
MRJF-7TH	Q3172694	Jean I Baillet	yes	yes
MSZC-Z12	Q203792	Robert Guiscard de Hauteville	yes	yes
MWBC-XS5	Q3139023	Hodierna de Gometz-La-Ferte	yes	yes
MXWH-HJ8	Q204351	Isabelle de Vermandois	yes	yes
P3XD-6G6	Q3130606	Henri Baillet	yes	yes
PWHG-HT7	Q111397827	Béatrix Emma de Clermont en Beauvaisis	yes	yes
PWVP-JW8	Q141540049	Nicolas DE CONDÉ	yes	yes
2Z98-QKN	Q2161868	Olderico Manfredi II		yes
933H-W94	Q250731	Álmos Árpád-házi		yes
93HY-N89	Q2746341	Ælfthryth of Wessex		yes
999Y-LF2	Q159597	Harold Godwinson		yes
9CFG-QM8	Q347013	Vratislav Přemysl		yes
9CW3-3SK	Q150872	Matilda		yes
9CW5-JNL	Q462856	Ealdgyth of Mercia		yes
9CZV-2KJ	Q234246	Mathilde von Ringelheim		yes
9H17-VTZ	Q37594	Guillaume de Normandy		yes
9HLX-GWL	Q545470	Sancho I Ramírez		yes
9HTX-2CD	Q333359	Richard I de Normandie		yes
9HV2-NRT	Q246812	Svend Estridsen Ulfsson		yes
G17F-3M5	Q454577	Oldřich Přemyslovec		yes
G571-41Z	Q50368774	Olof Hersesson Bure		yes
G5VY-C6W	Q141442423	Ingeborg Olofsdotter Jätte		yes
G79M-5Q7	Q141442522	Tord Byr		yes
GDYX-2KR	Q141442515	Thord		yes
GHF5-VS3	Q141442392	Härse hin äldre		yes
GHVC-M59	Q141442365	Fale Hin Gamle Bure		yes
GJPV-P6N	Q136521392	Jacob Haller		yes
GJPV-ZKP	Q141498617	Heinrich von Reichenbach		yes
GKYY-34Y	Q6008707	Nils Fartegnsson Bøjd Arm		yes
GL3P-BWK	Q141529028	Merklin I. Pfinzing		yes
GL3P-RNN	Q141523034	Elisabeth Isolt		yes
GQ1X-99J	Q26486	I. László Árpád-házi		yes
GWLR-RPH	Q951503	"Ashot II, ""The Iron"""		yes
GWV4-6N5	Q141225218;Q141487986	Olof Olofsson Bure		yes
GY31-ZRH	Q141199851	Gunnbjørn Toresen		yes
GYQ1-XW5	Q141519959	Elisabeth Pfinzing		yes
GYQ7-XLQ	Q141216603	Brynhild Hallvardsdatter		yes
GYQ7-ZPD	Q141219176	Eivind Ogmundsen		yes
GYQF-NHN	Q141521172	Rapato Rapold Geuschmidt		yes
GYQG-25Z	Q141290200	Ølversdatter Rømer		yes
K2T2-K2Q	Q319990	Ratislaus von Rügen		yes
K8D7-F5D	Q26326	Duncan I		yes
KN4J-P1M	Q68508	Malcolm 'Longneck'		yes
KNQB-K22	Q271104	II. András Árpád-házi		yes
KPWY-Z2M	Q3439099	Roger de Toeni		yes
L13J-RCK	Q82686	Béla Árpádházi		yes
L193-QYW	Q298298	Géza Árpádházi		yes
L5B6-YV3	Q141442387	Fartegn Unge, Olof Nicolasson Nilsson		yes
L5NP-DMS	Q141271422	Jon Olofsson Bure		yes
L66G-XS3	Q449000	Nesta ferch Rhys		yes
L6R6-R9G	Q141442384	Härse Halsten Falesson Bure		yes
L83J-7KR	Q3356544	Tora Torbergsdatter		yes
L879-K4S	Q150320	Přemysl Otakar II. Přemyslovec		yes
L87X-4T4	Q141515122	Heinrich Geuschmid		yes
L8BY-3VJ	Q14974	Vladimir I of Kiev		yes
L8BY-B3Y	Q552696	Vratislav I Duke of Bohemia		yes
L8M6-YW7	Q230507	Margaret of Wessex		yes
L8MB-C1W	Q1939105	William de Warenne		yes
L8MB-PBB	Q236994	Adeliza		yes
L8MB-ZF7	Q83476	Alfred of Wessex		yes
L8PY-4HG	Q5423032	Eystein Ivarsson		yes
L8T2-WFV	Q431172	García IV 'El Restaurador' Ramirez de Navarra		yes
L8T2-WP2	Q235080	"Alfonso VI ""el Bravo"" de León y Castilla, Galicia Asturias et Nájera,"		yes
L8WB-M2R	Q43915	Otto I. 'der Große',		yes
