qid	geni_id	label	in_nordic_roster	blood_url	inlaw_url
Q102128169	6000000004051490175		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000004051490175	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000004051490175
Q1029323	6000000174444394081	Camillo Ballin	0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000174444394081	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000174444394081
Q104220839	6000000026849996554		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000026849996554	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000026849996554
Q104251589	6000000174261685911		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000174261685911	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000174261685911
Q104446489	6000000024848288348		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000024848288348	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000024848288348
Q104446706	6000000075777116827		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000075777116827	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000075777116827
Q104449354	6000000037477227001		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000037477227001	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000037477227001
Q104656099	6000000024102105756		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000024102105756	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000024102105756
Q104685911	6000000019031014816		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000019031014816	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000019031014816
Q104702122	6000000077988642595		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000077988642595	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000077988642595
Q104807909	6000000018747382327		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000018747382327	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000018747382327
Q104810227	6000000059873485164		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000059873485164	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000059873485164
Q105359821	6000000188817855822		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000188817855822	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000188817855822
Q105392292	6000000042112380373		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000042112380373	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000042112380373
Q105459170	6000000001826339630		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000001826339630	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000001826339630
Q105521196	6000000189214471821		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000189214471821	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000189214471821
Q105521637	6000000041740618931		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000041740618931	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000041740618931
Q105579314	6000000089452617869		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000089452617869	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000089452617869
Q105579984	6000000001335702813		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000001335702813	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000001335702813
Q105580259	6000000129381572848		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000129381572848	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000129381572848
Q105594251	6000000072168452370		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000072168452370	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000072168452370
Q105597286	6000000025096985990		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000025096985990	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000025096985990
Q105600219	6000000152456435836		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000152456435836	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000152456435836
Q105604577	6000000040947428814		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000040947428814	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000040947428814
Q105610599	6000000121836149850		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000121836149850	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000121836149850
Q105641963	6000000021475413577		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000021475413577	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000021475413577
Q105643168	6000000034136628854		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000034136628854	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000034136628854
Q105655236	6000000007741108347		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000007741108347	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000007741108347
Q105656255	6000000024875462043		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000024875462043	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000024875462043
Q106471651	6000000175949095860		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000175949095860	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000175949095860
Q106870466	6000000040728425411		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000040728425411	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000040728425411
Q1085599	6000000151388898942		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000151388898942	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000151388898942
Q109949134	6000000145513239986		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000145513239986	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000145513239986
Q117007452	6000000192523870824		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000192523870824	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000192523870824
Q12028696	6000000071619269889		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000071619269889	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000071619269889
Q126906456	6000000092214095830		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000092214095830	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000092214095830
Q126973892	6000000083078044976		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000083078044976	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000083078044976
Q1280419	6000000065546697352		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000065546697352	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000065546697352
Q128068263	6000000040539833345		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000040539833345	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000040539833345
Q128069677	6000000074245705840		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000074245705840	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000074245705840
Q128165832	6000000029392019410		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000029392019410	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000029392019410
Q128166422	6000000034476002872		0	https://www.geni.com/path/x?from=6000000087535357291&path_type=blood&to=6000000034476002872	https://www.geni.com/path/x?from=6000000087535357291&path_type=inlaw&to=6000000034476002872
