qid,en_label,geni_id,label_langs,has_parent,has_child
Q101423107,NN,6000000003681222381,3,,yes
Q102151362,NN,6000000046225884250,3,,yes
Q103771787,NN,6000000188993996851,3,,yes
Q104538450,NN,6000000016280887008,6,,yes
Q105802518,NN,6000000026892201436,3,,yes
Q107009739,?,6000000028963438945,3,,yes
Q110526209,NN,6000000052838661005,2,,yes
Q110621214,NN,6000000184342049834,2,,yes
Q110622817,NN,6000000014450275235,2,,yes
Q111989345,NN,6000000019580600146,2,,yes
Q111989347,NN,6000000008035407226,2,,yes
Q112542671,NN,6000000209576572837,3,,yes
Q116146421,NN,6000000096334833919,2,,yes
Q122259202,NN,6000000000571078562,1,,yes
Q128985993,NN,6000000002598422917,5,,yes
Q130741154,NN,6000000048023343929,5,,yes
Q75393450,Unknown,6000000002043214812,3,yes,yes
Q96198000,NN,6000000003391340733,3,,yes
Q96198101,NN,6000000182115938868,3,,yes
Q96202985,NN,6000000003243433242,3,,yes
Q96214444,NN,6000000007603989914,3,,yes
Q96215892,NN,6000000191708926904,3,,yes
Q97103888,NN,6000000018080905984,4,,yes
Q98698088,NN,6000000046225596832,3,,yes
Q98698930,NN,6000000000701231928,3,,yes
Q99210682,NN,6000000008438893869,3,,yes
Q99304151,NN,6000000000640977134,3,,yes
Q98050556,NN,,3,,yes
Q127270736,NN,,2,yes,yes
Q101248196,NN,,3,,yes
Q101248139,NN,,3,,yes
Q101340804,NN,,3,yes,yes
Q101421160,NN,,3,,yes
Q101423095,NN,,3,,yes
Q102226681,NN,,3,,yes
Q102226670,NN,,3,,yes
Q102226677,NN,,3,,yes
Q136142307,NN,,1,yes,yes
Q103782655,NN,,3,,yes
Q103782775,NN,,3,yes,yes
Q104550298,NN,,3,,yes
Q112968497,NN,,2,,yes
Q106509536,NN,,3,,yes
Q112630245,NN,,2,,yes
Q105528056,NN,,3,,yes
Q105554427,NN,,3,,yes
Q112542668,NN,,2,,yes
Q105878053,NN,,3,,yes
Q107305262,NN,,3,,yes
Q110385450,NN,,3,,yes
Q110386436,NN,,3,,yes
Q109334676,NN,,3,,yes
Q110715248,NN,,2,,yes
Q110103033,NN,,3,,yes
Q110152482,NN,,3,,yes
Q110152481,NN,,3,,yes
Q110152493,NN,,3,,yes
Q110302791,NN,,3,yes,yes
Q110313455,NN,,3,,yes
Q110363212,NN,,3,,yes
Q110364594,NN,,3,,yes
Q110364609,NN,,3,,yes
Q110394814,NN,,3,,yes
Q110398447,NN,,3,,yes
Q98699240,NN,,3,,yes
Q110549227,NN,,2,,yes
Q110549563,NN,,2,,yes
Q110579846,NN,,2,,yes
Q110605038,NN,,2,,yes
Q98699158,NN,,3,,yes
Q111989372,NN,,2,,yes
Q111989423,NN,,2,,yes
Q112542665,NN,,2,,yes
Q112542663,NN,,2,,yes
Q112970860,NN,,2,,yes
Q130682437,NN,,2,,yes
Q130682438,NN,,2,,yes
Q130682439,NN,,2,,yes
Q113504464,NN,,2,,yes
Q113504482,NN,,2,,yes
Q113504480,NN,,2,,yes
Q113633066,NN,,2,,yes
Q115870628,NN,,2,yes,yes
Q116040059,NN,,2,,yes
Q103566144,NN,,3,,yes
Q116113286,NN,,3,,yes
Q116007140,NN,,2,,yes
Q110603745,NN,,2,,yes
Q129092979,NN,,2,,yes
Q136028458,NN,,1,,yes
Q107303003,NN,,3,,yes
Q110703075,NN,,2,,yes
Q111442601,NN,,2,,yes
Q111442607,NN,,4,,yes
Q128990106,NN,,5,,yes
Q130374360,NN,,2,,yes
Q131726729,NN,,2,,yes
Q130334061,NN,,2,,yes
Q136005952,NN,,1,,yes
Q110586110,NN,,2,,yes
Q110384635,NN,,3,,yes
Q96239457,NN,,6,,yes
Q102857955,NN,,3,,yes
Q97072487,NN,,3,,yes
Q111989726,NN,,2,,yes
Q102858869,NN,,3,,yes
Q102858879,NN,,3,,yes
Q108760463,NN,,3,,yes
Q110578320,NN,,3,,yes
Q124038461,NN,,2,,
Q127270761,NN,,2,,yes
Q130364218,NN,,2,,yes
Q99304162,NN,,4,,yes
Q98698910,NN,,6,,yes
Q136008378,NN,,1,,yes
Q105819926,NN,,4,,yes
Q110578355,NN,,2,,yes
Q96081565,Unknown,,2,,
Q96084050,Unknown,,3,,yes
