qid	regnal	lineage	name
Q25337		other	2020
Q135579479		other	Akatsuka no Kazunobu
Q135579465		other	Akatsuka no Masakuni
Q135579456		other	Akatsuka no Masatoki
Q135579484		other	Akatsuka no Nagatoshi
Q135579473		other	Akatsuka no Tokinobu
Q65272445		other	Amabe clan
Q455602		other	Amaterasu
Q462555		other	Ame-no-oshihomimi
Q11619936		other	Ancestor of Kikumakoku Governor
Q85883175		other	Ancestor of Suga no Kuni no Miyatsuko
Q140447402		other	Aogaki Publishing
Q11499521		other	Atsumi-shinnō
Q11657515		other	Awa no Kuni no Miyatsuko
Q313345		other	Emperor Annei
Q316637		other	Emperor Bidatsu
Q179971		other	Emperor Chūai
Q271536		other	Emperor Itoku
Q200188		other	Emperor Jimmu
Q329761		other	Emperor Jomei
Q333548		other	Emperor Kaika
Q314846		other	Emperor Kanmu
Q329723		other	Emperor Keikō
Q349277		other	Emperor Keitai
Q329792		other	Emperor Kinmei
Q312821		other	Emperor Kōan
Q333572		other	Emperor Kōgen
Q440518		other	Emperor Kōkō
Q958662		other	Emperor Kōnin
Q313041		other	Emperor Kōrei
Q312841		other	Emperor Kōshō
Q349271		other	Emperor Ninmyō
Q313119		other	Emperor Nintoku
Q316654		other	Emperor Saga
Q314850		other	Emperor Suinin
Q313321		other	Emperor Suizei
Q333530		other	Emperor Sujin
Q314802		other	Emperor Tenji
Q349267		other	Emperor Uda
Q317997		other	Emperor Ōjin
Q232803		other	Empress Jingū
Q18225783		other	En'ya Sadakiyo
Q11428604		other	En'ya Takasada
Q108487217		other	Futakata Kuni no Miyatsuko
Q10927758		other	Haji clan
Q135579364		other	Hakikoku no Miyatsuko
Q11487892		other	Hikoushi no Ōkimi
Q135579426		other	Hiraoka no Kuninori
Q135579468		other	Hiraoka no Naokiyo
Q135579453		other	Hiraoka no Naonori
Q135579461		other	Hiraoka no Naotaka
Q135579417		other	Hiraoka no Takataka
Q135579422		other	Hiraoka no Tsunetaka
Q135579504		other	Hisayama no Mototaka
Q55533680		other	Iiirine
Q11379683		other	Ijimu Kuni no Miyatsuko
Q135579459		other	Inaoka no Nobutaka
Q11634953		other	Kamo district
Q11591020		other	Kando district
Q11369801		other	King Hōfei
Q135579474		Kitajima	Kitajima no Tokitaka
Q135579480		Kitajima	Kitajima no Yasutaka
Q3314711		other	Minamoto no Masanobu
Q11564103		other	Minamoto no Sukenori
Q11504612		other	Musashi no Kuni no Miyatsuko
Q11502674		other	Niihari no Kuni no Miyatsuko
Q965742		other	Nomi no Sukune
Q11493025		other	Ohfubutsu no Ōkimi
Q135579412		other	Ookuma no Munetoshi
Q135579419		other	Ookuma no Sadakuni
Q135579363		other	Oshima no Kuni no Miyatsuko
Q11497661		other	Prince Oshisaka Hikohito no Ōe
Q11072254		other	Prince Shiki
Q135579489		other	Sakusa no Jisei
Q11382364		other	Sasaki Tsunekata
Q135579390		other	Sasaki no Moriyoshi
Q135579393		other	Sasaki no Yoshiaki
Q135579408		other	Shioya no Tokimune
Q135579467		other	Takahama no Tomotaka
Q135579460		other	Takahama no Yoshitaka
Q48752911		other	Takao Takashige
Q6129881		other	Takaoka Muneyasu
Q11486866		other	Takebe no Omi
Q11457249		other	Toda Yoshiyasu
Q11452691		other	Toshio Hōga
Q119922998		other	Tsushima no Agata no Atai
Q13264213		other	Wakanuke no Futamata
Q135579507		other	Yakura no Motonori
Q461258		other	Yamato Takeru
Q135579401		other	Yoshida no Yoshide
Q11582190		other	sagamu no kuni no miyatsuko
Q11668988		other	takanokunimiyatsuko
Q97706278		other	Ōka kuni no atai
