qid	geni_id	kind	geni_name
Q2312669	2433806	already stated	Dirk /van Brederode/ III
Q60109288	4721724533970026524	second geni id	Olof /Nobelius/
Q1659944	4721732038620069541	already stated	Immanuel Olof /Nobelius/ Sr.
Q16649780	5262328193020111110	already stated	Hans /Lundberg/
Q100342338	5612945144420059801	addition	Eda Johanna Elionora /Svennius/
Q109942711	6000000000047166315	already stated	Johan Augustin /Mannerheim/ till Tärnö
Q100352817	6000000000149796881	already stated	Jonas /Beronius/
Q75446688	6000000000310641480	second geni id	Jennette /MacKenzie/
Q75592752	6000000000310641480	already stated	Jennette /MacKenzie/
Q908278	6000000001126393441	addition	Domenico /Selvo/ 31st doge of Venice
Q457586	6000000001479998258	already stated	Sophia /Jagiellon/ Princess, Markgravine of Brandenburg-Ansbach-Bayreuth
Q11382304	6000000001753971014	addition	Yasukiyo泰清 Jiro /Sasaki佐々木/
Q135579362	6000000001893413214	addition	阿多
Q136908598	6000000001893436003	addition	韓日狭
Q86919328	6000000002999805089	already stated	Esaias Elias /Hackzell/
Q28967673	6000000003420851602	already stated	Henrik Nils Robert /Themptander/
Q110574919	6000000003828248315	already stated	Bourguine /de Guilhem/ Dame de Clermont-l'Hérault
Q110574913	6000000003828248322	already stated	Pons I /de Caylus/ Baron de Castelnau, Calmont-d'Olt
Q346968	6000000004868902258	addition	Pierre /d'Amboise/ III
Q86133100	6000000006128024512	already stated	Lars David /von Troil/
Q4444793	6000000006444125910	already stated	Thomas /Stanley/
Q97649768	6000000006943278003	already stated	Sara Maria /Seidelius/
Q75527286	6000000007038023043	addition	Isabella /Rothschild/
Q327869	6000000007090942276	addition	Antoinette Marie /Murat/
Q3510168	6000000007184914927	already stated	Lauri Einari /Kettunen/
Q1567543	6000000007316403023	already stated	Adrien
Q12377587	6000000007372277353	already stated	Tönnis /Maydell/ till Sutlem, Sr.
Q4957433	6000000007923470687	already stated	Wilhelmina /Josephson/
Q1677426	6000000007923627795	already stated	Jacob Axel /Josephson/
Q5907317	6000000007980693054	already stated	Carl Fredrik Edvin Emil /Ke/
