qid,geni_id,label,place_evidence
Q1082440,6000000006589193300,Christian Zetlitz Bretteville,P19=Stavanger
Q10991050,6000000008529438853,Martin Nag,P19=Stavanger
Q110951824,6000000009894903775,Tove Bærheim,P19=Stavanger | P20=Stavanger
Q110970024,6000000148770660912,Sigurd Some,P19=Stavanger
Q111473969,6000000008260238995,Morten Smidt Petersen von Fyren,P19=Stavanger
Q115125399,6000000022141374557,Torjer Meling,P19=Stavanger
Q115471418,6000000018958663014,Kristoffer Bertram Louis Berg,P19=Stavanger | P20=Stavanger
Q116617492,6000000011235467397,Peder Pavels Hielm,P19=Stavanger
Q118464176,6000000077667834821,Michael Malvin Michaelsen,P19=Stavanger | P20=Stavanger
Q118825236,6000000023286661837,Johan Marnburg,P19=Stavanger | P20=Stavanger
Q119090346,6000000016035515278,Birger Pedersen,P19=Stavanger | P20=Stavanger
Q11957963,6000000070497375043,Andreas Emil Erichsen,P20=Stavanger
Q11959149,6000000024841032051,Arnt Møglestue,P20=Stavanger
Q11961214,6000000000631615727,Bjarne Restan,P19=Stavanger
Q11961400,6000000012284316316,Bjørn Nilsen,P19=Stavanger
Q11966792,6000000020254004837,Einar Borch,P19=Stavanger
Q11971819,6000000100167913878,Georg Backer Berg,P19=Stavanger
Q11973260,6000000009915578140,Gunder Aas,P20=Stavanger
Q11973755,6000000008062966266,Hallvard Sandnes,P20=Stavanger
Q11974385,6000000027507886451,Hartvig Sverdrup Eckhoff,P20=Stavanger
Q11975049,6000000015399620672,Henrik Finne,P19=Stavanger
Q11976380,6000000006080715460,Håkon Nilsen,P19=Stavanger
Q11978054,6000000075001015838,Jan Groth,P19=Stavanger
Q11979024,6000000041308652692,John Norem,P19=Stavanger
Q11980232,6000000006589269376,Karl Adolf Langberg,P19=Stavanger
Q11983462,6000000007959864423,Laurits Clausen Scabo,P20=Stavanger
Q11983473,6000000017016113858,Lauritz Wilhelm Hansen,P19=Stavanger
Q11995265,6000000031344931074,Per Pedersen Tjøstland,P20=Stavanger
Q11995591,6000000035740078536,Philip Henrich Kriebel,P20=Stavanger
Q12003830,6000000010760898759,Ståle Eskeland,P19=Stavanger
Q12006004,6000000011171370599,Theodor Dahl,P20=Stavanger
Q12010680,365488721470011625,William Coucheron-Aamot,P19=Stavanger
Q12348730,6000000118648470833,Harald Wiig,P19=Stavanger
Q124883759,6000000021143457434,Leonard Johan Wickstrøm,P19=Stavanger | P20=Stavanger
Q125982015,6000000003813808900,Bjarne Kristensen,P19=Stavanger
Q126075965,6000000044160484143,Garmann Granfoss,P19=Stavanger
Q130283182,6000000026392951320,Bertram C. Middelthon,P19=Stavanger | P20=Stavanger
Q130543719,6000000011000125945,Claudius Winther Rosenkilde,P19=Stavanger
Q1346539,6000000104759702112,Lars Hertervig,P20=Stavanger
Q135024698,6000000028258191964,Boyine Wilhelmine Martens,P19=Stavanger
Q135037521,6000000077625189026,Allert Marius Middelthon,P19=Stavanger
Q15359377,6000000023968655929,Svein Molaug,P19=Stavanger
Q15814770,6000000002607381870,Ole Gabriel Kverneland,P20=Rogaland
Q16079053,6000000006764979093,Alf Gowart Olsen,P19=Stavanger
Q16568644,6000000007826003451,Karsten Johannessen,P19=Stavanger
Q1687346,6000000013776824344,Jens Gregoriussen Riber,P20=Stavanger
Q17119718,6000000025350996418,Tor Helliesen,P20=Stavanger
Q17120088,6000000000687421882,Ole Fredrik Olden,P19=Stavanger | P20=Stavanger
Q1779563,6000000015762582857,Carl Gustav Sparre Olsen,P19=Stavanger
Q1779725,6000000173916064919,Jens Tvedt,P20=Stavanger
Q18511674,6000000018338407673,Hjalmar Johnssen,P19=Stavanger
Q19329827,6000000095213396844,AURORA,P19=Stavanger
Q20030487,6000000008230605732,Ole Røisland,P19=Stavanger
Q2022437,6000000000794832014,Vegar Hoel,P20=Stavanger University Hospital
Q2031514,6000000044870041882,Tore Renberg,P19=Stavanger
Q23042792,379735685930012896,Bendix de Fine,P20=Stavanger
Q256830,6000000033181822821,Gunn-Rita Dahle Flesjå,P19=Stavanger
Q2582880,6000000025453703378,Hartmann Bjørnsen,P19=Stavanger | P20=Stavanger
Q2853015,6000000006979657520,Stinius Fredriksen,P19=Stavanger
Q3020360,6000000064755109128,Søren Årstad,P19=Stavanger
Q3350159,6000000171685356124,Olav Hindahl,P19=Stavanger
Q3354970,6000000057175128821,Harald Natvig,P19=Stavanger
Q3370996,6000000045282484883,Are Strandli,P19=Stavanger
Q3373115,6000000014347515827,Just Henrik Ely,P19=Stavanger
Q3374110,6000000014287321085,Jens Erichstrup,P20=Stavanger
Q3375766,6000000005440591069,Christian Ulrik Kastrup,P19=Stavanger
Q3441235,6000000011357531284,Thore Michelsen,P19=Stavanger
Q3623562,6000000006327229028,Arne Dørumsgaard,P19=Stavanger
Q4274134,6000000019442981782,Georg Washington Magnus,P20=Stavanger
Q4352943,6000000007084491319,Tord Godal,P19=Stavanger
Q449557,6000000022189959429,Kjetil Jansrud,P19=Stavanger
Q4579090,6000000007464365206,Peder Valentin Rosenkilde,P19=Stavanger
Q4583808,6000000084892311057,Carl Sundt-Hansen,P19=Stavanger | P20=Stavanger
Q4584347,6000000018941002216,Per Inge Torkelsen,P19=Stavanger
Q4585168,6000000029456827620,Fredrik Petersen,P19=Stavanger
Q4794651,6000000041071183503,Arne Rettedal,P20=Stavanger
Q4887822,6000000012956997840,Sverre Bruland,P19=Stavanger
Q4919843,6000000005609095725,Bjørn Bue,P20=Stavanger
Q4950177,6000000064115854341,Alexandra Gjestvang,P19=Stavanger
Q5171424,6000000008765536305,Cornelius Middelthon,P19=Stavanger | P20=Stavanger
Q5376592,6000000011647607597,Endre Berner,P19=Stavanger
Q546565,6000000018604811298,Annik Saxegaard,P19=Stavanger
Q5618969,6000000013761079106,Gunnar Bull Gundersen,P19=Stavanger
Q59820419,6000000032943569850,Finn Berner,P19=Stavanger
Q6213562,6000000025293310764,Erling Torkelsen,P19=Stavanger
Q63332376,6000000015423592428,Axel Lund,P20=Stavanger
Q63527315,6000000042754216220,Thorvald Buch,P19=Stavanger | P20=Stavanger
Q6491699,6000000003095038547,Lars Ramndal,P19=Stavanger | P20=Stavanger
Q6491752,6000000042855696961,Lars T. Platou,P19=Stavanger
Q67132455,6000000103752336986,Torger Torgerson Wetteland,P19=Stavanger | P20=Stavanger
Q6865743,6000000023130178145,Ola Abrahamsson,P19=Stavanger
Q7082977,6000000015165484143,Olaf Lange,P19=Stavanger | P20=Stavanger
Q7283164,6000000022131214019,Ragnar Schreiner,P20=Rogaland
Q7652052,6000000026827467145,Sven Nielsen,P19=Stavanger | P20=Stavanger
Q7796254,6000000009745740734,Thorleif Karlsen,P19=Stavanger | P20=Stavanger
Q7825861,6000000007453699167,Torkel Opsahl,P19=Stavanger
Q78321909,6000000031097643683,Mathea Tønder,P19=Stavanger
Q80094092,6000000106643828977,Ingvald Enersen,P19=Stavanger
Q88479557,6000000015843590321,Endre Aanensen,P19=Stavanger
Q98381234,6000000006563253878,Erling Kvadsheim,P551=Stavanger
Q98433554,6000000180285636825,Alette Stangeland,P19=Stavanger | P20=Stavanger
Q98808738,6000000054990622176,Franz Dørr,P19=Stavanger
