qid,geni_id,name,date,note
Q4268330,6000000020107122663,Jī Nǚ Xīu姬女修 4,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q9511624,6000000195149174838,Huaxu,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q721756,6000000002481253260,Emperor Kù 帝嚳 4,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q1045160,6000000003474166572,Qì 契 5,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q18028984,6000000188494434823,Reformatorin Ursula von Münsterberg,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q9738,6000000002188099903,Wu Zhao 武曌 Zetian Emperor,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q318613,6000000209058145828,Scorpion I,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q314809,6000000009562419205,Iry Hor Pharaoh of Egypt,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q334111,6000000028714712399,조선 27대 순종 척,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q484866,6000000028856413461,Yi Un Crown Prince of Korea,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q7214248,6000000028786845951,순헌황귀비 엄씨,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q496421,6000000028895625641,private,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q2746812,5152366561060066977,Umayya bin Abd Shams,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q128371,6000000008659107006,Caliph Marwan II bin Muhammad,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q70899,6000000201847373856,Adam the First Man,2026-09-15,"queue: Chinese gedcom entry points; LOCAL ONLY, never emitted to Wikidata"
Q313559,6000000037347655783,Jerry Cantrell,2026-09-17,"given in conversation; geni.com/people/private/6000000037347655783. The P2600 on the item, 6000000037349680798, 404s on BOTH relationship searches -- that profile is gone from Geni."
