parent	child	kind
Sakanoue no Ōkuni	Sakanoue no Inukai	child
Sakanoue no Ōkuni	Tanba no Yasuyori	child
Tanba no Yasuyori	Tanba no Shigemitsu	child
Tanba no Yasuyori	Tanba no Kiyomasa	child
Tanba no Yasuyori	Tanba no Toshiyoshi	child
Tanba no Shigemitsu	Tanba no Tadamitsu	child
Tanba no Tadamitsu	Tanba no Masatada	child
Tanba no Tadamitsu	Tanba no Shigetsune	child
Tanba no Masatada	Tanba no Tadayasu	adopted
Tanba no Masatada	Tanba no Shigeyasu	child
Tanba no Tadayasu	Tanba no Masayasu	child
Tanba no Tadayasu	Tanba no Nakakiyo	child
Tanba no Shigeyasu	Tanba no Shigeyori	child
Tanba no Masayasu	Tanba no Mikoyasu	child
Tanba no Masayasu	Tanba no Tsuneyasu	child
Tanba no Shigeyori	Tanba no Motoyasu	child
Tanba no Mikoyasu	Tanba no Masanaga	child
Tanba no Motoyasu	Tanba no Yorimoto	child
Tanba no Yorimoto	Tanba no Yoshimoto	child
Tanba no Yoshimoto	Tanba no Yoriyuki	child
Tanba no Yoshimoto	Tanba no Naganobu	child
Tanba no Yoriyuki	Tanba no Yorimoto II	child
Tanba no Yoriyuki	Tanba no Yorikiyo	child
Tanba no Yorimoto II	Tanba no Ienaga	child
Tanba no Ienaga	Tanba no Ennaga	child
Tanba no Tsunenaga	Tanba no Naganaga	child
Tanba no Tsunenaga	Tanba no Hisanaga	child
Tanba no Motokane	Tanba no Motoyoshi	child
Tanba no Hisanaga	Tanba no Yukinaga	child
Tanba no Hisanaga	Tanba no Morinaga	child
Tanba no Motoyoshi	Tanba no Toshiyasu	child
Tanba no Motoyoshi	Tanba no Yukimoto	child
Tanba no Naganaga	Tanba no Hiromoto	child
Tanba no Yukinaga	Tanba no Hisayasu	child
Tanba no Toshiyasu	Tanba no Muneyasu	child
Tanba no Toshiyasu	Tanba no Fuyuyasu	child
Tanba no Hisayasu	Tanba no Kanehira	child
Tanba no Hisayasu	Tanba no Tomonaga	child
Tanba no Fuyuyasu	Tanba no Moriyasu	child
