qid	n_geni	n_in_corpus	n_absent	closest_hops	one_export_covers	missing_first_degree	first_degree_total	already_refreshed	sources	geni_in_corpus	geni_absent	names
Q2501720	6	4	2	4	yes	6	6	no	wikidata-p2600;zipper	6000000009179165501;6000000011770046741;6000000080878401040;6000000080886152187	6000000019588659894;6000000038487178037	? | Vladimir Volodarovich | ? | ?
Q2621664	3	3	0	1	yes	22	22	no	structural;wikidata-p2600;zipper	4363152365890123437;6000000011456724581;6000000090936564822		Narymunt Gleb Gleb Giedymidis Gedi | Michael Narimuntovich Gediminid | Narimantas Gediminaitis
Q638646	3	3	0	3	yes	16	16	no	structural;wikidata-p2600;zipper	6000000009129315712;6000000020985906917;6000000179697104858		? | Pucuwerus Butvydas of Lithuania | Butvydas Pukuveras
Q66534565	3	3	0	1	yes	11	11	no	structural;wikidata-p2600	6000000018171165192;6000000024777532686;6000000187312988852		Michailas | Mikhail Romanovich of Slonim | Druckis
Q3920891	3	3	0	2	yes	4	4	no	wikidata-p2600;zipper	6000000011770233298;6000000080886919102;6000000215075609868		Wasilko Wołodarowicz Prince of Bla | ? | Vasiļko Volodarevitch
Q4273436	2	2	0	3	yes	56	56	no	wikidata-p2600;zipper	6000000002003837593;6000000017687692040		Pakubuwono V | Pakubuwana V Sunan Sugih Raden Mas
Q3178742	2	2	0	2	yes	35	35	no	structural;zipper	6000000124087367844;6000000135693871917		? | ?
Q75276078	3	2	1	3	yes	32	32	no	structural;wikidata-p2600;zipper	6000000000066969238;6000000002188095479	303113594420005652	Sarah Maxwell | Lilias Graham Countess of Wigton
Q244852	2	2	0	4	yes	29	29	no	wikidata-p2600;zipper	6000000000671822547;6000000179389495866		Gediminas, Grand Duke of Lithuania | Gediminas
Q58674087	2	2	0	1	yes	28	28	no	structural;wikidata-p2600	6000000003273404861;6000000004586546893		Adélaïde Agnes de Ramerupt dame de | Adelaide de Roucy
Q8254970	2	2	0	2	yes	24	24	no	structural;zipper	6000000021304460668;6000000021304587145		? | ?
Q778550	2	2	0	3	yes	23	23	no	wikidata-p2600;zipper	6000000007456333287;6000000038650093974		Tezozomoc of Tenochitlan | Tezozomoc of Ecatepec of Azcapotza
Q365909	2	2	0	2	yes	22	22	no	structural;wikidata-p2600	6000000000273074735;6000000012901690333		Thomas Casparsen Bartholin den æld | Caspar Casparsen Bartholin til Lej
Q438469	2	2	0	3	yes	22	22	no	structural;wikidata-p2600	6000000001669615869;6000000023299594160		Ingrid Ragnvaldsdatter Rögnvaldsdó | NN
Q64822987	2	2	0	1	yes	22	22	no	structural;wikidata-p2600	6000000004149394365;6000000018502982805		Anders Leffler | Johan Albrecht Leffler
Q61497599	2	2	0	4	yes	21	21	no	structural;wikidata-p2600	6000000000191983296;6000000006719752691		Margaret de Beaumont | Margaret de Vernon
Q76154265	2	2	0	2	yes	20	20	no	structural;wikidata-p2600	6000000039488754979;6000000062610128830		Bledri ap Rhys | Bledri ap Cydifor Fawr Baron of Ci
Q100327211	2	2	0	1	yes	19	19	no	structural;wikidata-p2600	348889594040013469;6000000004586565260		Ermengarde | Ermengarde de Provence Daughter of
Q96985053	2	2	0	1	yes	18	18	no	wikidata-p2600;zipper	6000000003617703553;6000000006376446567		John Loomis | John Loomis
Q1703908	2	2	0	4	yes	17	17	no	structural;wikidata-p2600	6000000003146930404;6000000003828175232		Saier de Quincy 1st Earl of Winche | Ranulph de Bostock
Q559062	2	2	0	1	yes	17	17	no	structural;wikidata-p2600	6000000000172841572;6000000003219704356		Pepin comte de Péronne II | Pépin III Bérenger de Senlis comte
Q96240743	2	2	0	1	yes	17	17	no	structural;zipper	6000000000769743924;6000000175330200881		Else Holgersdatter Krognos til Bjø | N.N. Andersdatter Hvide af Jylland
Q133730172	2	2	0	2	yes	16	16	no	structural;wikidata-p2600	5542177730730115488;6000000014746409278		Friederike Henriette Sack | Unknown Sack
Q2578776	2	2	0	3	yes	16	16	no	structural;wikidata-p2600	6000000000430097060;6000000003051199594		Arnold I de Warcq | Renaud de Vermandois I
Q2697022	2	2	0	2	yes	16	16	no	structural;zipper	6000000000852934828;6000000007321803307		Inger Iversdatter Lunge | Euphemia
Q2995934	2	2	0	2	yes	16	16	no	structural;zipper	6000000002968662186;6000000064680550975		Gytha Haraldsdóttir Grand Princess | Euphemia Monomakh I
Q338638	2	2	0	2	yes	16	16	no	structural;zipper	6000000002315770064;6000000110500057853		Mahaut de Albon | Adelaide ....
Q535598	2	2	0	2	yes	16	16	no	structural;zipper	6000000001500928203;6000000001500928210		Beatrix von Andechs Gräfin von Wei | Margarethe von Andechs-Meranien
Q735117	2	2	0	3	yes	16	16	no	structural;wikidata-p2600	6000000000196880703;6000000073725470821		Bonne of Berry | Françoise Arnaud
Q75388621	2	2	0	2	yes	16	16	no	structural;wikidata-p2600	6000000003646057844;6000000078166803900		Janet Kennedy | Name Not Known
Q128049306	2	2	0	2	yes	15	15	no	structural;wikidata-p2600	6000000019181966266;6000000021096011763		Johann von den Brincken | Ewald Dietrich von den Brincken
Q19392764	2	2	0	2	yes	15	15	no	structural;wikidata-p2600	6000000004533635453;6000000195144306823		þóra Skagadóttir | Thora Skagesdatter
Q2001541	2	2	0	3	yes	15	15	no	structural	6000000000440064763;6000000002174688133		Sybil Sybilla Corbet Lady of Alces | Concubine #4 of Henry I
