geni_id	qid	round	slot	method	chain_depth	root_geni_id	status	reason
4196146861380033002	Q99303967	8	father	solo	8	6000000007033906052	INFERRED	
4595073302690072904	Q3785847	8	spouse	solo	8	6000000000737726892	INFERRED	
4795334765240052480	Q6579403	8	child	name	8	5102404071680114676	INFERRED	
4877953256420126738	Q99186146	8	mother	solo	8	6000000006444452330	CORROBORATED	via 6000000006444232502: structural-walk
4990838851220119027	Q110622246	8	mother	solo	8	6000000003615547826	CORROBORATED	via 6000000013778850803: structural-walk
5004464045310117000	Q5806835	8	father	solo	8	6000000000116753717	INFERRED	
5004464116060117006	Q116004513	8	mother	solo	8	6000000000116753717	INFERRED	
5127142777880035163	Q110153930	8	mother	solo	8	6000000006727800262	CORROBORATED	via 6000000006727800197: structural-walk
5678715681180050230	Q112973932	8	father	solo	8	6000000000649241524	CORROBORATED	via 6000000000522325456: structural-walk
5679046298050033478	Q136382648	8	child	name	8	6000000000670436758	CORROBORATED	via 6000000007652106629: structural-walk
6000000000057236890	Q110390407	8	child	solo	8	6000000003087110618	CORROBORATED	via 6000000002106131629: structural-walk
6000000000109096289	Q99199157	8	child	solo	8	6000000006444665556	CORROBORATED	via 6000000002950926330: structural-walk
6000000000128221893	Q75605512	8	child	date	8	6000000006290586183	INFERRED	
6000000000157279202	Q110423537	8	father	solo	8	6000000003493056901	CORROBORATED	via 6000000003493138717: structural-walk
6000000000157311079	Q110423538	8	mother	solo	8	6000000003493056901	CORROBORATED	via 6000000003493138717: structural-walk
6000000000170541374	Q112968191	8	child	name	8	6000000011851686210	INFERRED	
6000000000172371804	Q116005222	8	father	solo	8	4703817009760067257	CORROBORATED	via 6000000000109930732: structural-walk
6000000000225028113	Q130341544	8	child	solo	8	6000000000232604672	CORROBORATED	via 6000000000232604693: structural-walk
6000000000229548624	Q15835633	8	father	solo	8	6000000003615547826	CORROBORATED	via 6000000004287448743: structural-walk
6000000000343927265	Q110152870	8	father	solo	8	6000000003087037037	CORROBORATED	via 6000000000796819389: structural-walk
6000000000437027964	Q116113328	8	father	solo	8	6000000000232604672	CORROBORATED	via 6000000000232604693: structural-walk
6000000000437400073	Q711577	8	father	solo	8	6000000003897579687	CORROBORATED	via 6000000006971357246: structural-walk
6000000000437400083	Q14505105	8	mother	solo	8	6000000003897579687	CORROBORATED	via 6000000006971357246: structural-walk
6000000000474020777	Q96244910	8	child	name	8	6000000000531580778	INFERRED	
