qid,geni_id,our_name,wikidata_name,batch,date
Q117303291,6000000008481458843,NN Woman de Caen Concubine #1 of Henry I of England,NN,parent-adjudication-gui,2026-09-04
Q110332813,6000000001877468038,NN Baskerville,NN Baskerville,family-adjudication-gui,2026-09-09
Q110378108,6000000003827527658,NN Von Frohburg,NN von Froburg,family-adjudication-gui,2026-09-09
Q116054588,6000000056374116880,NN verch Iorwerth,NN ferch Iorwerth ab Owain Brogyntyn,family-adjudication-gui,2026-09-09
Q116150015,6000000003827746052,NN von Waldeck (von Schwalenberg),of Schwalenberg,family-adjudication-gui,2026-09-09
Q1934051,6000000031940461725,NN Sverkerska Kungaätten,Helena of Sweden,family-adjudication-gui,2026-09-09
Q22678387,6000000009305096005,NN de Courtenay,Hodierne of Courtenay,family-adjudication-gui,2026-09-09
Q75382729,6000000002459825098,NN ingen Cináed,daughter of Kennet I,family-adjudication-gui,2026-09-09
Q75534229,6000000019384582884,NN Cameron,unknown daughter Cameron,family-adjudication-gui,2026-09-09
Q76189618,6000000020835572302,NN van Valkenburg,unknown daughter von Kleve-Valkenburg,family-adjudication-gui,2026-09-09
Q83505139,6000000017606702172,NN Komnenos,N. Megale Komnene,family-adjudication-gui,2026-09-09
