cut	rank	geni_id	our_label	our_birth	our_death	dist	searched	qid	wd_label	wd_description	instance_of_human	instance_of	wd_birth	wd_death	wd_p2600
100	3	6000000005747697215	Nebti			127	Nebti	Q111654711	Nebti	gallery	no	Q1007870 Q4830453			
100	3	6000000005747697264	Nebre			117	Nebre	Q152751	Nebra	Horus name of the second early Egyptian king of the 2nd dynasty	yes	Q5	-2900	-2890	
100	3	6000000005747697319	Hudjefa			118	Hudjefa	Q3173742	Hudjefa	Ancient Egyptian name placeholder	no				
100	3	6000000005747697324	Kheire			118	Kheire	Q102848725	Kheireddine Belakroum	Ph.D. University of Annaba 2018	yes	Q5			
100	3	6000000006033317090	Semiramis			124	Semiramis	Q103960	Semiramis	legendary queen	no	Q21070568			
100	3	6000000006707349471	Marduk			125	Marduk	Q190123	Marduk	national god of the Babylonians	no	Q6058157 Q1589492			
100	3	6000000006707548144	Chaldea of Mardon			126	Chaldea	Q200969	Chaldea	small country between the late 10th or early 9th and mid-6th centuries BC	no	Q3024240			
100	3	6000000006743335611	Neithhotep			124	Neithhotep	Q255585	Neithotep	ancient Egyptian queen consort	yes	Q5		-3100	
100	3	6000000006743369482	Herneith of Egypt			122	Herneith	Q453243	Herneith	ancient Egyptian queen consort	yes	Q5			
100	3	6000000006743383370	Iti Pharaoh of Egypt	-2960	-2907	121	Iti	Q82575	Integrated Taxonomic Information System	authoritative taxonomic information on plants, animals, fungi, and microbes of North America and the world	no	Q728646 Q7689673 Q5570651 Q7094076			
100	3	6000000006744009182	Qebh Pharaoh of Egypt	-2860	-2813	118	Qebh	Q7265411	QEBH	honor society at the University of Missouri	no	Q9078534			
100	3	6000000006744791162	Semti Pharaoh of Egypt	-2930	-2875	120	Semti	Q45320277	Semtínská	street in Pardubice, Czech Republic	no	Q79007			
100	3	6000000006744791191	Itit Pharaoh of Egypt	-2990	-2942	122	Itit	Q3804533	Itit		yes	Q5			
100	3	6000000009561845115	Ka, Pharaoh of Egypt	-3200	-3099	126	Ka,	Q3305520	Memorick: The Apprentice Knight	2004 video game developed by Microids	no	Q7889			
100	3	6000000010201604935	Hunor			125	Hunor	Q1367682	Hunor	star	no	Q1353952 Q523 Q67206785			
100	3	6000000010201987923	Magor			125	Magor	Q601812	Magor	extrasolar planet	no	Q44559 Q18611609 Q523			
100	3	6000000015211291801	Shesh I			125	Shesh I	Q15639426	Shesh I	ancient Egyptian pharaoh	yes	Q5			
100	3	6000000016659670347	Seth-Peribsen Pharaoh of Egypt			119	Seth-Peribsen	Q310878	Seth-Peribsen	ancient Egyptian ruler	yes	Q5	-2775	-2650	
100	3	6000000032057157877	Belo			126	Belo	Q4193658	Belo	district in Bima Regency, West Nusa Tenggara Province, Indonesia	no	Q3700011			
100	3	6000000209058145828	Scorpion I	-3305		129	Scorpion I	Q318613	Scorpion I	predynastic Egypt pharaoh	yes	Q5	-3500		
100	5	6000000005493659001	Dave Lee			131	Dave Lee	Q1691840	Dave Lee	British DJ and house music producer	yes	Q5	1964		
100	5	6000000005493710024	George Lee			131	George Lee	Q110140349	George Lee	Master of Architecture, University of Washington	yes	Q5			
100	5	6000000005738513893	Felix Chung			131	Felix Chung	Q13634462	Felix Chung	Hong Kong politician	yes	Q5	1963		
100	5	6000000005738513903	Richard Chung			131	Richard Chung	Q7324747	Richard Chung	American monk and priest who committed suicide (1951–1992)	yes	Q5	1951	1992	
100	5	6000000005738926397	Alice Chung			132	Alice Chung	Q98293885	Alice Chung	researcher	yes	Q5			
100	5	6000000007726203365	Barbara Weil			132	Barbara Weil	Q88846	Barbara Weiler	German politician	yes	Q5	1946		
100	6	6000000210520567878	Dawit II King of Axum		-78	101	Dawit II	Q558437	Lebna Dengel	emperor of Ethiopia (1496-1540)	yes	Q5	1496	1540	6000000009687838414
100	6	6000000210520702858	Sanay King of Axum		-99	102	Sanay	Q37185771	Sanay	family name	no	Q101352			
100	6	6000000210520938826	Bassyo King of Axum			118	Bassyo	Q64958614	Hala T. Bassyouni	researcher	yes	Q5			
100	6	6000000210520950823	Hadina King of Axum			121	Hadina	Q110859264	Hadina	family name	no	Q101352			
100	6	6000000210520981823	Apras King of Axum		-422	125	Apras	Q2695796	Aprasia	genus of reptiles	no	Q16521			
100	6	6000000210521001850	Sabaka King of Axum		-740	142	Sabaka	Q26215978	Sabaka	village in Landak Regency, West Kalimantan, Indonesia	no	Q26211545			
100	6	6000000210521076830	Makeda Queen of Sheba	-1013	-982	153	Makeda	Q159888	Queen of Sheba	biblical figure	no	Q20643955	-1000	-1000	
100	6	6000000210521125824	Solomon King of Israel			153	Solomon	Q18607853	Solomon	male given name	no	Q12308941			
100	12	6000000042324946693	Osorkon II	-905	-850	101	Osorkon II	Q459153	Osorkon II	Egyptian pharaoh	yes	Q5	-1000	-850	
100	12	6000000042325032728	Takelot I	-935	-874	102	Takelot I	Q548623	Takelot I	Egyptian pharaoh (1000–0874)	yes	Q5	-1000	-874	
100	12	6000000042325255325	Osorkon I	-965	-889	103	Osorkon I	Q515574	Osorkon I	Egyptian pharaoh (c. 925 BC – c. 890 BC)	yes	Q5	-1000	-889	
100	12	6000000042325312273	Karomama I			104	Karomama I	Q1722805	Karomama II	ancient Egyptian queen consort	yes	Q5	-800	-800	
100	12	6000000042325392108	Scheschonq I	-985	-924	104	Scheschonq I	Q311811	Shoshenq I	Pharaoh of Egypt	yes	Q5	-1000	-924	
100	12	6000000042325394854	Takelot	-865	-810	100	Takelot	Q1097597	Takelot	priest	yes	Q5		-775	
100	12	6000000042325427137	Namlit	-1008	-945	105	Namlit	Q6961940	Namlit	human settlement in Myanmar	no	Q486972			
100	12	6000000042325429983	Kapes			102	Kapes	Q6366576	Kapes	genus of procolophonians	no	Q16521			
100	12	6000000042325479985	Scheschonq	-1030		106	Scheschonq	Q311811	Shoshenq I	Pharaoh of Egypt	yes	Q5	-1000	-924	
100	12	6000000042325644869	Pasuti			107	Pasuti	Q1039573	Pashutin	family name (Пашутин)	no	Q101352			
100	15	6000000002893033845	Hetep	2191	2122	101	Hetep	Q112605670	Hetepka		yes	Q5			
100	15	6000000004869097266	Merenre Nemtyemsaf II Pharaoh of Egypt	2216	2142	100	Merenre Nemtyemsaf II	Q320908	Merenre Nemtyemsaf II	Egyptian pharaoh	yes	Q5	-2300	-2200	
100	15	6000000016328494813	Ankhesenpepi IV			101	Ankhesenpepi IV	Q489064	Anchenespepi IV.	Egyptian queen in the Sixth Dynasty of Egypt	yes	Q5	-2300		
100	15	6000000016328513720	Ankhesenpepi III			100	Ankhesenpepi III	Q4766049	Ankhesenpepi III	Egyptian queen in Sixth Dynasty of Egypt	yes	Q5	-2250		
100	15	6000000016328911586	Neferka Pharaoh of Egypt			101	Neferka	Q11790452	Neferka		yes	Q5			
100	15	6000000016662722475	Nefer Pharaoh of Egypt			100	Nefer	Q1052959	Nefer	Egyptian pharaoh of the 6th Dynasty	yes	Q5	-2550		
