card_id	slot	side	sex	options	geni_id	our_name	qid	candidate_name
child|1115246|M|theirs	child	theirs		2	1125907	Miles de Thouars seigneur de Pouzaugues	Q111475299	Miles I de Thouars, Seigneur de Pouzauges et de Tiffauges
child|1115246|M|theirs	child	theirs		2	1125907	Miles de Thouars seigneur de Pouzaugues	Q111978971	Gaucher de Thouars, Seigneur de Tiffauges et de Pouzauges
child|1341507|M|ours	child	ours	M	2	6000000053910720837	Godred Guðfriðr Óláfsson	Q3417501	Rǫgnvaldr Óláfsson
child|1341507|M|ours	child	ours	M	2	6000000017345024955	Reginald Ragnvald Olafsson	Q3417501	Rǫgnvaldr Óláfsson
sibling|1341507|M|ours	sibling	ours	M	2	6000000053910720837	Godred Guðfriðr Óláfsson	Q3417501	Rǫgnvaldr Óláfsson
sibling|1341507|M|ours	sibling	ours	M	2	6000000017345024955	Reginald Ragnvald Olafsson	Q3417501	Rǫgnvaldr Óláfsson
child|1354718|M|theirs	child	theirs		2	6000000080117151041	Domenico Scarpetta	Q75756156	Vittorio Emanuele di Savoia-Carignano
child|1354718|M|theirs	child	theirs		2	6000000080117151041	Domenico Scarpetta	Q75293935	Vittorio di Rho
child|1467360|M|ours	child	ours	M	2	1468903		Q118985710	Hans Wachtmeister
child|1467360|M|ours	child	ours	M	2	1468928	Carl* Edvard Hansson Wachtmeister	Q118985710	Hans Wachtmeister
child|2284923|M|theirs	child	theirs		2	2442010	Thomas Hay	Q76001252	Thomas Hay
child|2284923|M|theirs	child	theirs		2	2442010	Thomas Hay	Q76001254	John Hay
sibling|2470149|M|ours	sibling	ours	M	3	5172488030340068608	Jacob Gilliusson G de Besche	Q3120296	Willem de Besche
sibling|2470149|M|ours	sibling	ours	M	3	6000000008534782034	Willem Gilliusson De Besche	Q3120296	Willem de Besche
sibling|2470149|M|ours	sibling	ours	M	3	3052110	Gillius Gilliusson De Besche	Q3120296	Willem de Besche
child|283077976790001036|M|ours	child	ours	M	3	6000000006776924042	Daniel Danielsson Svedberg	Q140192806	Daniel Svedberg
child|283077976790001036|M|ours	child	ours	M	3	6000000003167414122	Johan Swedberg	Q140192806	Daniel Svedberg
child|283077976790001036|M|ours	child	ours	M	3	6000000017546250674	Jesper Svedberg	Q140192806	Daniel Svedberg
sibling|283077976790001036|M|ours	sibling	ours	M	3	6000000006776924042	Daniel Danielsson Svedberg	Q140192806	Daniel Svedberg
sibling|283077976790001036|M|ours	sibling	ours	M	3	6000000003167414122	Johan Swedberg	Q140192806	Daniel Svedberg
sibling|283077976790001036|M|ours	sibling	ours	M	3	6000000017546250674	Jesper Svedberg	Q140192806	Daniel Svedberg
child|283181900190003966|F|theirs	child	theirs		2	6000000008630614257	Amyitis	Q2917844	Rhodogune
