sv_title,qid,kind,geni_ids
Abraham Abrahami Burman,Q16165476,unknown,
Abraham Burensund,Q19976400,person,6000000002142697033
Abraham Laurentii Burman,Q16165489,person,6000000003966342388
Adam Carl De la Gardie,Q5618759,person,6000000003694920477
Adam Horn af Ekebyholm,Q5813616,person,6000000007285499105
Adlerhielm,Q10401390,family,
Adolf Erik Nordenskiöld,Q156749,person,6000000000839941745
Adolf Fredrik Munck,Q2478781,person,6000000003748326674
Adolf Fredrik Wijnbladh,Q55874258,person,
Adolf Ludvig Piper,Q6050268,person,
Adolph Ribbing,Q1648141,person,6000000008897593297
Adolph von Engeström,Q5712203,person,
Af Edholm,Q10402053,family,
Af Grubbens,Q10402059,family,
Af Nordin,Q10402067,family,
Albrecht Elof Ihre,Q2694124,person,6000000025022974646
Albrecht Ihre,Q5822415,person,6000000024166897841
Anders Abraham Grafström,Q490686,person,6000000019584518841
Anders Bure,Q3655969,person,6000000004032037913
Anders Chydenius,Q490870,person,6000000001865040777
Anders Erik Knös,Q5916153,person,6000000019898891222
Anders Sidner (musiker),Q6175446,person,6000000012044161205
Andreas Grubb,Q5773237,unknown,
Andreas Laurentii Björnram,Q1406584,person,
Andreas Nicolai Arctman,Q16158551,unknown,
Andreas Nicolai Bothniensis,Q16649984,unknown,
Andreas Petri Grubb,Q16649300,person,
Andreas Solenblomma,Q6183159,person,
Anna Snifs,Q134081367,unknown,
Anton Rolandsson Martin,Q593496,person,6000000020982846787
Appelgren,Q10416187,family,
Appelman,Q10416188,family,
Aron Gustaf Silfversparre,Q6175928,person,6000000006127570851
Aron Isak Silfversparre,Q6175923,unknown,
Arvid Forbus,Q5735890,person,6000000005087238866
Arvid Horn,Q717179,person,6000000011637024489
Arvid Nils Stenbock,Q6188777,person,6000000004594967673
Arvid Sigismund Horn af Åminne,Q10418965,person,6000000007400320991
August Berwald,Q5574572,person,6000000018254235320
August Nordenskiöld,Q4355686,person,6000000007900343922
August Sandels,Q6092404,person,6000000011634551625
August von Hartmansdorff,Q5792035,person,6000000019659798123
Aurora Karamzin,Q2471654,person,6000000004396685338
Aurore von Haxthausen,Q1195436,person,
Axel Gabriel De la Gardie,Q5618766,person,6000000008820838686
Axel Gustaf Gyllenkrok,Q4830275,person,344146815060011563
Axel Johan Gripenhielm,Q5772249,person,
Axel Leonhard Klinckowström,Q5913812,person,6000000008779183401
Axel Otto Mörner,Q792307,person,6000000017999766001
