qid	geni_id	label	in_nordic_roster	blood_steps	inlaw_steps	blood_chain	inlaw_chain	chain_found	people_union	inlaw_only_people	people_new	blood_description	inlaw_description
Q102128169	6000000004051490175		0					0					
Q1029323	6000000174444394081	Camillo Ballin	0					0					
Q104220839	6000000026849996554		0					0					
Q104251589	6000000174261685911		0					0					
Q104446489	6000000024848288348		0					0					
Q104446706	6000000075777116827		0					0					
Q104449354	6000000037477227001		0					0					
Q104656099	6000000024102105756		0					0					
Q104685911	6000000019031014816		0					0					
Q104702122	6000000077988642595		0					0					
Q104807909	6000000018747382327		0					0					
Q104810227	6000000059873485164		0					0					
Q105359821	6000000188817855822		0					0					
Q105392292	6000000042112380373		0					0					
Q105459170	6000000001826339630		0					0					
Q105521196	6000000189214471821		0					0					
Q105521637	6000000041740618931		0					0					
Q105579314	6000000089452617869		0					0					
Q105579984	6000000001335702813		0	2		pending		pending					
Q105580259	6000000129381572848		0					0					
Q105594251	6000000072168452370		0					0					
Q105597286	6000000025096985990		0					0					
Q105600219	6000000152456435836		0					0					
Q105604577	6000000040947428814		0					0					
Q105610599	6000000121836149850		0					0					
Q105641963	6000000021475413577		0					0					
Q105643168	6000000034136628854		0					0					
Q105655236	6000000007741108347		0					0					
Q105656255	6000000024875462043		0					0					
Q106471651	6000000175949095860		0					0					
Q106870466	6000000040728425411		0					0					
Q1085599	6000000151388898942		0					0					
Q109949134	6000000145513239986		0					0					
Q117007452	6000000192523870824		0					0					
Q12028696	6000000071619269889		0					0					
Q126906456	6000000092214095830		0					0					
Q126973892	6000000083078044976		0					0					
Q1280419	6000000065546697352		0					0					
Q128068263	6000000040539833345		0					0					
Q128069677	6000000074245705840		0					0					
Q128165832	6000000029392019410		0					0					
Q128166422	6000000034476002872		0					0					
Q128195829	6000000076774926079		0					0					
Q128196004	6000000078891045035		0					0					
Q1401742	291026634180003195		0	0		0		0					
Q15408881	6000000181036310844		0					0					
Q16060085	6000000022202609073		0					0					
Q1606039	6000000034569017855		0					0					
Q16404678	6000000021903853287		0					0					
Q1700472	6000000017478099576		0					0					
Q1710921	6000000081087381841	Vilho Ylönen	1					0					
Q1779055	6000000076101396985		0					0					
Q188263	6000000017096407923		0					0					
Q20502209	6000000007425412342		0					0					
Q2097323	6000000066024599821		0					0					
Q21551575	6000000205349611830		0					0					
Q2355998	6000000000503303734		0	2		pending		pending					
Q2417566	6000000031175749115		0					0					
Q2636612	6000000041544139488		0					0					
Q298496	6000000055041621884		0					0					
Q3072844	6000000137800497843		0					0					
Q317008	6000000176754623876		0					0					
Q326626	6000000018080676477		0					0					
Q3656365	6000000013349891934		0					0					
Q3723020	6000000166561536855		0					0					
Q3731969	6000000090830529714		0					0					
Q376354	6000000157487652826		0					0					
Q3956238	6000000177397455823		0					0					
Q436530	6000000018119318134		0					0					
Q45358874	6000000074703185568	Song Cangshu	0					0					
Q45424753	6000000075415530946	Dai Duanshu	0					0					
Q45429416	6000000075426993825	Qi Kejiu	0					0					
Q45429634	6000000075422143962	Rao Ziyi	0					0					
Q45434165	6000000075420061052	Wang Zhe	0					0					
Q45482553	6000000075491800943	Zhao Riqi	0					0					
Q4563321	6000000052527554821		0					0					
Q45680694	6000000075502917055	Shi Yuan	0					0					
Q45702154	6000000075489597833	Yang Youdu	0					0					
Q4669038	6000000075674026857		0					0					
Q47011848	6000000013749280860		0					0					
Q48759034	6000000003312241152		0					0					
Q5388051	6000000166018926903	Erich Katz	0					0					
Q56065206	6000000012059930599		0					0					
Q561224	2205409		0	2		pending		pending					
Q5630454	6000000008048128713	Nils Eklöf	1					0					
Q5953172	6000000168951571075		0					0					
Q60623788	6000000012620309416	Adolf Hecht	0					0					
Q608113	6000000004053634470		0					0					
Q62021958	6000000004086410657		0					0					
Q62728966	6000000224572153821		0					0					
Q707785	6000000027943363968	Birger Dahlerus	1					0					
Q7085879	6000000007276916105	Ole Klemet Sara	1					0					
Q7372504	6000000024376153357		0					0					
Q7817678	6000000002831500863		0					0					
Q79637069	6000000014189308260		0					0					
Q904664	6000000040382462848	Gábor A. Somorjai	0					0					
Q95166372	4927838703020075553		0	2		pending		pending					
Q95239031	6000000039859903609		0					0					
Q95465127	6000000024932584062		0					0					
Q98818349	6000000015811369256		0					0					
